s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
 3.8701748E+001, 3.7609030E+002, 4.3092607E+002, 4.2237016E+002, 4.2264817E+002, 2.9996152E+002, 1.0139442E+002, 4.8662919E+001, 3.7080870E+001, 3.6960470E+001, 2.6153981E+001, 2.1598678E+001, 2.0396520E+001, 2.0597641E+001, 2.0728734E+001, 2.0674862E+001, 2.0695641E+001
 3.8801430E+001, 3.7003750E+002, 4.2832860E+002, 4.2156741E+002, 4.2219813E+002, 3.0249788E+002, 1.0090755E+002, 4.9812439E+001, 3.6945904E+001, 3.6888840E+001, 2.6193815E+001, 2.1544312E+001, 2.0412076E+001, 2.0605375E+001, 2.0728753E+001, 2.0669150E+001, 2.0694012E+001
 3.8901112E+001, 3.5453718E+002, 4.2867096E+002, 4.2083464E+002, 4.2136582E+002, 3.0747220E+002, 1.0161515E+002, 5.0859702E+001, 3.6750356E+001, 3.6847398E+001, 2.6242054E+001, 2.1493944E+001, 2.0422492E+001, 2.0610647E+001, 2.0723634E+001, 2.0661331E+001, 2.0690024E+001
 3.9000793E+001, 3.5320972E+002, 4.3132567E+002, 4.2026841E+002, 4.1948365E+002, 3.1292794E+002, 1.0210055E+002, 5.1481466E+001, 3.6335152E+001, 3.6862561E+001, 2.6308788E+001, 2.1452103E+001, 2.0445406E+001, 2.0625354E+001, 2.0716707E+001, 2.0656603E+001, 2.0693062E+001
 3.9100475E+001, 3.5051399E+002, 4.3373481E+002, 4.2049379E+002, 4.1673087E+002, 3.1659006E+002, 1.0209734E+002, 5.2217460E+001, 3.6186645E+001, 3.7019334E+001, 2.6383735E+001, 2.1416478E+001, 2.0463961E+001, 2.0644662E+001, 2.0713136E+001, 2.0653217E+001, 2.0693971E+001
 3.9200157E+001, 3.5039676E+002, 4.3358941E+002, 4.2155327E+002, 4.1432855E+002, 3.1710478E+002, 1.0012487E+002, 5.2556864E+001, 3.6025046E+001, 3.7525989E+001, 2.6467861E+001, 2.1385104E+001, 2.0468830E+001, 2.0662291E+001, 2.0714708E+001, 2.0659224E+001, 2.0703866E+001
 3.9319778E+001, 3.5384237E+002, 4.3020673E+002, 4.2229544E+002, 4.1368744E+002, 3.1464734E+002, 9.6016357E+001, 5.2237593E+001, 3.5726202E+001, 3.8953057E+001, 2.6581353E+001, 2.1359633E+001, 2.0488829E+001, 2.0682868E+001, 2.0709211E+001, 2.0660984E+001, 2.0713596E+001
 3.9419460E+001, 3.4268218E+002, 4.2523692E+002, 4.2081196E+002, 4.1414364E+002, 3.1093074E+002, 9.2008555E+001, 5.1569965E+001, 3.5525676E+001, 4.1692230E+001, 2.6715398E+001, 2.1341894E+001, 2.0515593E+001, 2.0709727E+001, 2.0704543E+001, 2.0656988E+001, 2.0710971E+001
 3.9519142E+001, 3.5565075E+002, 4.2058789E+002, 4.1684707E+002, 4.1418813E+002, 3.0772717E+002, 8.9278530E+001, 5.0777058E+001, 3.5338464E+001, 4.5128390E+001, 2.6849173E+001, 2.1329655E+001, 2.0529798E+001, 2.0730461E+001, 2.0706127E+001, 2.0662940E+001, 2.0714733E+001
 3.9618824E+001, 3.8151396E+002, 4.1622750E+002, 4.1121496E+002, 4.1364803E+002, 3.0562897E+002, 8.7935560E+001, 5.0111885E+001, 3.5209604E+001, 4.8301389E+001, 2.7006174E+001, 2.1324992E+001, 2.0548389E+001, 2.0742547E+001, 2.0695988E+001, 2.0659226E+001, 2.0712175E+001
 3.9718506E+001, 3.6548046E+002, 4.1240982E+002, 4.0544878E+002, 4.1252879E+002, 3.0505592E+002, 8.8520916E+001, 4.9633904E+001, 3.5148267E+001, 4.9966170E+001, 2.7191455E+001, 2.1320867E+001, 2.0557898E+001, 2.0757406E+001, 2.0696531E+001, 2.0662609E+001, 2.0713313E+001
 3.9818188E+001, 3.5024125E+002, 4.0930618E+002, 4.0079903E+002, 4.1047854E+002, 3.0579085E+002, 9.1069975E+001, 4.9152052E+001, 3.5130591E+001, 4.9701038E+001, 2.7401251E+001, 2.1323115E+001, 2.0582069E+001, 2.0775862E+001, 2.0700652E+001, 2.0670739E+001, 2.0721155E+001
 3.9917870E+001, 3.5711983E+002, 4.0714906E+002, 3.9802330E+002, 4.0736272E+002, 3.0776326E+002, 9.5645186E+001, 4.8611872E+001, 3.5029387E+001, 4.8086796E+001, 2.7648216E+001, 2.1328801E+001, 2.0613499E+001, 2.0796584E+001, 2.0703572E+001, 2.0673250E+001, 2.0723987E+001
 4.0017551E+001, 3.4098436E+002, 4.0618005E+002, 3.9740582E+002, 4.0364029E+002, 3.1039127E+002, 1.0098480E+002, 4.8194192E+001, 3.4948769E+001, 4.6051474E+001, 2.7921682E+001, 2.1335811E+001, 2.0636984E+001, 2.0811767E+001, 2.0706954E+001, 2.0679557E+001, 2.0731576E+001
 4.0117233E+001, 3.4447906E+002, 4.0655723E+002, 3.9923225E+002, 4.0008524E+002, 3.1300615E+002, 1.0615826E+002, 4.7781764E+001, 3.4992444E+001, 4.4173080E+001, 2.8242687E+001, 2.1348168E+001, 2.0665613E+001, 2.0824616E+001, 2.0704857E+001, 2.0681257E+001, 2.0738349E+001
 4.0216915E+001, 3.5150486E+002, 4.0786532E+002, 4.0308052E+002, 3.9726750E+002, 3.1535884E+002, 1.0929029E+002, 4.7296124E+001, 3.5031679E+001, 4.2578971E+001, 2.8605907E+001, 2.1358168E+001, 2.0671927E+001, 2.0831169E+001, 2.0704743E+001, 2.0683366E+001, 2.0741070E+001
 4.0316597E+001, 3.5324820E+002, 4.0927973E+002, 4.0741322E+002, 3.9532185E+002, 3.1678908E+002, 1.0955981E+002, 4.6882759E+001, 3.5082681E+001, 4.1294061E+001, 2.9011951E+001, 2.1377908E+001, 2.0682993E+001, 2.0836387E+001, 2.0704953E+001, 2.0684817E+001, 2.0741641E+001
 4.0416279E+001, 3.4221172E+002, 4.0982678E+002, 4.1097283E+002, 3.9413267E+002, 3.1630253E+002, 1.0666724E+002, 4.6484424E+001, 3.5139683E+001, 4.0426169E+001, 2.9476335E+001, 2.1405376E+001, 2.0696228E+001, 2.0840011E+001, 2.0703235E+001, 2.0683556E+001, 2.0739213E+001
 4.0515961E+001, 3.3333487E+002, 4.0878948E+002, 4.1314862E+002, 3.9365667E+002, 3.1338067E+002, 1.0150660E+002, 4.5989953E+001, 3.5150775E+001, 4.0066267E+001, 2.9974919E+001, 2.1439811E+001, 2.0691912E+001, 2.0838141E+001, 2.0703787E+001, 2.0686291E+001, 2.0740973E+001
 4.0615643E+001, 3.3675487E+002, 4.0601252E+002, 4.1385690E+002, 3.9390508E+002, 3.0873306E+002, 9.6700966E+001, 4.5619410E+001, 3.5163609E+001, 4.0179787E+001, 3.0534179E+001, 2.1494098E+001, 2.0725391E+001, 2.0847816E+001, 2.0700805E+001, 2.0680242E+001, 2.0735043E+001
 4.0715324E+001, 3.4704466E+002, 4.0231678E+002, 4.1294442E+002, 3.9478755E+002, 3.0348004E+002, 9.2731073E+001, 4.5453188E+001, 3.5173899E+001, 4.0534295E+001, 3.1134056E+001, 2.1568248E+001, 2.0751102E+001, 2.0857275E+001, 2.0704689E+001, 2.0685331E+001, 2.0740995E+001
 4.0815006E+001, 3.5458583E+002, 3.9905881E+002, 4.1053644E+002, 3.9609068E+002, 2.9841337E+002, 9.0400377E+001, 4.5171535E+001, 3.5205627E+001, 4.0782488E+001, 3.1761649E+001, 2.1670987E+001, 2.0780447E+001, 2.0871377E+001, 2.0711110E+001, 2.0692889E+001, 2.0747785E+001
 4.0914688E+001, 3.5933549E+002, 3.9735841E+002, 4.0704727E+002, 3.9743562E+002, 2.9452312E+002, 8.9545184E+001, 4.4944547E+001, 3.5159543E+001, 4.0671396E+001, 3.2413060E+001, 2.1810191E+001, 2.0804138E+001, 2.0887170E+001, 2.0723424E+001, 2.0706564E+001, 2.0758038E+001
 4.1014370E+001, 3.6263548E+002, 3.9771167E+002, 4.0342716E+002, 3.9857250E+002, 2.9190077E+002, 9.0268089E+001, 4.4818296E+001, 3.5151433E+001, 4.0226838E+001, 3.3060004E+001, 2.1993056E+001, 2.0826565E+001, 2.0901855E+001, 2.0733663E+001, 2.0715356E+001, 2.0762400E+001
 4.1114052E+001, 3.5956035E+002, 3.9969544E+002, 4.0030976E+002, 3.9912900E+002, 2.9025961E+002, 9.1979374E+001, 4.4746844E+001, 3.5165064E+001, 3.9738591E+001, 3.3685373E+001, 2.2229355E+001, 2.0854642E+001, 2.0910720E+001, 2.0733003E+001, 2.0711730E+001, 2.0756426E+001
 4.1213734E+001, 3.5289826E+002, 4.0202243E+002, 3.9816855E+002, 3.9878623E+002, 2.8895318E+002, 9.1001727E+001, 4.4729327E+001, 3.5160970E+001, 3.9520281E+001, 3.4265576E+001, 2.2524418E+001, 2.0875814E+001, 2.0914023E+001, 2.0731374E+001, 2.0707752E+001, 2.0750388E+001
 4.1313416E+001, 3.4517006E+002, 4.0324715E+002, 3.9708805E+002, 3.9722803E+002, 2.8735922E+002, 8.9664458E+001, 4.4749996E+001, 3.5152606E+001, 3.9726242E+001, 3.4779500E+001, 2.2883047E+001, 2.0912353E+001, 2.0924917E+001, 2.0731509E+001, 2.0699203E+001, 2.0736408E+001
 4.1413097E+001, 3.4152142E+002, 4.0308139E+002, 3.9652867E+002, 3.9474153E+002, 2.8525772E+002, 8.9266424E+001, 4.4927978E+001, 3.5138701E+001, 4.0356642E+001, 3.5215451E+001, 2.3305499E+001, 2.0939261E+001, 2.0928109E+001, 2.0731789E+001, 2.0696709E+001, 2.0732617E+001
 4.1512779E+001, 3.4046694E+002, 4.0172945E+002, 3.9582607E+002, 3.9199854E+002, 2.8320132E+002, 8.9606880E+001, 4.5186559E+001, 3.5066719E+001, 4.1338772E+001, 3.5568051E+001, 2.3795079E+001, 2.0966877E+001, 2.0934343E+001, 2.0735924E+001, 2.0697915E+001, 2.0732223E+001
 4.1612461E+001, 3.3719276E+002, 3.9957657E+002, 3.9473506E+002, 3.9096821E+002, 2.8226505E+002, 9.0539362E+001, 4.5661161E+001, 3.5058704E+001, 4.2572754E+001, 3.5846955E+001, 2.4355888E+001, 2.0996067E+001, 2.0941432E+001, 2.0737492E+001, 2.0694415E+001, 2.0727034E+001
 4.1712143E+001, 3.3197468E+002, 3.9722740E+002, 3.9322773E+002, 3.9113456E+002, 2.8293964E+002, 9.1810993E+001, 4.6196763E+001, 3.5074835E+001, 4.3965173E+001, 3.6056139E+001, 2.4986908E+001, 2.1014837E+001, 2.0944171E+001, 2.0736047E+001, 2.0688370E+001, 2.0721877E+001
 4.1811825E+001, 3.2423814E+002, 3.9504294E+002, 3.9162369E+002, 3.9101844E+002, 2.8576174E+002, 9.3712351E+001, 4.6474571E+001, 3.4929797E+001, 4.5501760E+001, 3.6202374E+001, 2.5685935E+001, 2.1029045E+001, 2.0949920E+001, 2.0743033E+001, 2.0692162E+001, 2.0724712E+001
 4.1911507E+001, 3.1304315E+002, 3.9329472E+002, 3.9032721E+002, 3.9032398E+002, 2.9070290E+002, 9.6630009E+001, 4.7043593E+001, 3.4942183E+001, 4.7258739E+001, 3.6297174E+001, 2.6444461E+001, 2.1044098E+001, 2.0956459E+001, 2.0752633E+001, 2.0701041E+001, 2.0734137E+001
 4.2011189E+001, 2.9640653E+002, 3.9196877E+002, 3.8926763E+002, 3.8824041E+002, 2.9718799E+002, 1.0000295E+002, 4.7810760E+001, 3.5163102E+001, 4.9321225E+001, 3.6340139E+001, 2.7249703E+001, 2.1070794E+001, 2.0967506E+001, 2.0760553E+001, 2.0705572E+001, 2.0740924E+001
 4.2110870E+001, 3.0341661E+002, 3.9100058E+002, 3.8828503E+002, 3.8556429E+002, 3.0441505E+002, 1.0399019E+002, 4.8276262E+001, 3.5121737E+001, 5.1655811E+001, 3.6337366E+001, 2.8080722E+001, 2.1099480E+001, 2.0981245E+001, 2.0769101E+001, 2.0704309E+001, 2.0739849E+001
 4.2210552E+001, 3.2466629E+002, 3.9027983E+002, 3.8759192E+002, 3.8316503E+002, 3.1149003E+002, 1.0869471E+002, 4.8799048E+001, 3.5206582E+001, 5.4023031E+001, 3.6296442E+001, 2.8911981E+001, 2.1121528E+001, 2.0991089E+001, 2.0777236E+001, 2.0701445E+001, 2.0737240E+001
 4.2310234E+001, 3.3695638E+002, 3.8961735E+002, 3.8735660E+002, 3.8122167E+002, 3.1761610E+002, 1.1322400E+002, 4.9561946E+001, 3.5512076E+001, 5.5926937E+001, 3.6228044E+001, 2.9717410E+001, 2.1153010E+001, 2.1011275E+001, 2.0793224E+001, 2.0700702E+001, 2.0732798E+001
 4.2409920E+001, 3.3779629E+002, 3.8900643E+002, 3.8767279E+002, 3.7988155E+002, 3.2226282E+002, 1.1759681E+002, 4.9567789E+001, 3.5631844E+001, 5.6682225E+001, 3.6137067E+001, 3.0465586E+001, 2.1161109E+001, 2.1015197E+001, 2.0805161E+001, 2.0703798E+001, 2.0736958E+001
 4.2509602E+001, 3.3304763E+002, 3.8844352E+002, 3.8845567E+002, 3.7919719E+002, 3.2485901E+002, 1.2093277E+002, 4.9294099E+001, 3.5816644E+001, 5.6013788E+001, 3.6035901E+001, 3.1142690E+001, 2.1198115E+001, 2.1033151E+001, 2.0816907E+001, 2.0701561E+001, 2.0736521E+001
 4.2609283E+001, 3.2817347E+002, 3.8790197E+002, 3.8918805E+002, 3.7918309E+002, 3.2560255E+002, 1.2250543E+002, 4.8958818E+001, 3.6046187E+001, 5.4376196E+001, 3.5941175E+001, 3.1730515E+001, 2.1229223E+001, 2.1050421E+001, 2.0831405E+001, 2.0700813E+001, 2.0737268E+001
 4.2708965E+001, 3.2472895E+002, 3.8761253E+002, 3.8948950E+002, 3.7973469E+002, 3.2581109E+002, 1.2188481E+002, 4.8353347E+001, 3.6177165E+001, 5.2495738E+001, 3.5854787E+001, 3.2221051E+001, 2.1257658E+001, 2.1073143E+001, 2.0853932E+001, 2.0709627E+001, 2.0747750E+001
 4.2808647E+001, 3.3075338E+002, 3.8753995E+002, 3.8925088E+002, 3.8015963E+002, 3.2653399E+002, 1.1947407E+002, 4.7798239E+001, 3.6373798E+001, 5.0808370E+001, 3.5808133E+001, 3.2622670E+001, 2.1297611E+001, 2.1107771E+001, 2.0878596E+001, 2.0717067E+001, 2.0757017E+001
 4.2908329E+001, 3.3092402E+002, 3.8726121E+002, 3.8855297E+002, 3.8014122E+002, 3.2879281E+002, 1.1635637E+002, 4.7326558E+001, 3.6448481E+001, 4.9394135E+001, 3.5793358E+001, 3.2948913E+001, 2.1321711E+001, 2.1142005E+001, 2.0907454E+001, 2.0722291E+001, 2.0758674E+001
 4.3008011E+001, 3.3326155E+002, 3.8689014E+002, 3.8784058E+002, 3.7971379E+002, 3.3208645E+002, 1.1376225E+002, 4.6993413E+001, 3.6461328E+001, 4.8191881E+001, 3.5810064E+001, 3.3225108E+001, 2.1331706E+001, 2.1162076E+001, 2.0928245E+001, 2.0722806E+001, 2.0757373E+001
 4.3107693E+001, 3.6289149E+002, 3.8659226E+002, 3.8746283E+002, 3.7913994E+002, 3.3527192E+002, 1.1168402E+002, 4.6917323E+001, 3.6465570E+001, 4.7144142E+001, 3.5870844E+001, 3.3479718E+001, 2.1350489E+001, 2.1177604E+001, 2.0934428E+001, 2.0702783E+001, 2.0734616E+001
 4.3207375E+001, 3.6027134E+002, 3.8658398E+002, 3.8730989E+002, 3.7865363E+002, 3.3763546E+002, 1.1096842E+002, 4.6763814E+001, 3.6261557E+001, 4.6211039E+001, 3.5958103E+001, 3.3735597E+001, 2.1361993E+001, 2.1187225E+001, 2.0949290E+001, 2.0699818E+001, 2.0729492E+001
 4.3307056E+001, 3.3789988E+002, 3.8681653E+002, 3.8709676E+002, 3.7785909E+002, 3.3900067E+002, 1.1163664E+002, 4.6727138E+001, 3.6222770E+001, 4.5378409E+001, 3.6070994E+001, 3.4010309E+001, 2.1393931E+001, 2.1207918E+001, 2.0966166E+001, 2.0695728E+001, 2.0723032E+001
 4.3406738E+001, 3.5544771E+002, 3.8697466E+002, 3.8661573E+002, 3.7656224E+002, 3.3949023E+002, 1.1389350E+002, 4.6634068E+001, 3.6166393E+001, 4.4637715E+001, 3.6204104E+001, 3.4303141E+001, 2.1401667E+001, 2.1201061E+001, 2.0981303E+001, 2.0695819E+001, 2.0723058E+001
 4.3506420E+001, 3.4954172E+002, 3.8721605E+002, 3.8603318E+002, 3.7495775E+002, 3.3940767E+002, 1.1819620E+002, 4.6655218E+001, 3.6147481E+001, 4.3985410E+001, 3.6354275E+001, 3.4609369E+001, 2.1410200E+001, 2.1186895E+001, 2.0994687E+001, 2.0696423E+001, 2.0724837E+001
 4.3606102E+001, 3.3301874E+002, 3.8729018E+002, 3.8581341E+002, 3.7381998E+002, 3.3888560E+002, 1.2414170E+002, 4.6654971E+001, 3.6189174E+001, 4.3422895E+001, 3.6520269E+001, 3.4908341E+001, 2.1415002E+001, 2.1169344E+001, 2.1003556E+001, 2.0691378E+001, 2.0721250E+001
 4.3705784E+001, 3.3163547E+002, 3.8622543E+002, 3.8613270E+002, 3.7426879E+002, 3.3846696E+002, 1.2975532E+002, 4.6390212E+001, 3.6090321E+001, 4.2942541E+001, 3.6684333E+001, 3.5173649E+001, 2.1409410E+001, 2.1147533E+001, 2.1009058E+001, 2.0682963E+001, 2.0712270E+001
 4.3805466E+001, 3.3285930E+002, 3.8634895E+002, 3.8695786E+002, 3.7667935E+002, 3.3901878E+002, 1.3324713E+002, 4.6092282E+001, 3.5744426E+001, 4.2550174E+001, 3.6860316E+001, 3.5377641E+001, 2.1386193E+001, 2.1115155E+001, 2.1014279E+001, 2.0681248E+001, 2.0709602E+001
 4.3905148E+001, 3.3925026E+002, 3.8635793E+002, 3.8791767E+002, 3.8053007E+002, 3.4148720E+002, 1.3276971E+002, 4.6123219E+001, 3.5642520E+001, 4.2242431E+001, 3.7044752E+001, 3.5498072E+001, 2.1361856E+001, 2.1084074E+001, 2.1010970E+001, 2.0671702E+001, 2.0701147E+001
 4.4004829E+001, 3.4669856E+002, 3.8580323E+002, 3.8835971E+002, 3.8416467E+002, 3.4510124E+002, 1.2866911E+002, 4.6286795E+001, 3.5652665E+001, 4.2011832E+001, 3.7229400E+001, 3.5515220E+001, 2.1347633E+001, 2.1068128E+001, 2.1003468E+001, 2.0654279E+001, 2.0682297E+001
 4.4104511E+001, 3.4165010E+002, 3.8544817E+002, 3.8787821E+002, 3.8589778E+002, 3.4609471E+002, 1.2189324E+002, 4.6549008E+001, 3.5752243E+001, 4.1858586E+001, 3.7410473E+001, 3.5414086E+001, 2.1316792E+001, 2.1043705E+001, 2.0994013E+001, 2.0643778E+001, 2.0672028E+001
 4.4212170E+001, 3.3456693E+002, 3.8560704E+002, 3.8632164E+002, 3.8533047E+002, 3.4161772E+002, 1.1382078E+002, 4.6911432E+001, 3.5757960E+001, 4.1787450E+001, 3.7592530E+001, 3.5184378E+001, 2.1281127E+001, 2.1021055E+001, 2.0989027E+001, 2.0644471E+001, 2.0675797E+001
 4.4321819E+001, 3.3333299E+002, 3.8540169E+002, 3.8410855E+002, 3.8428129E+002, 3.2925016E+002, 1.0613226E+002, 4.7256205E+001, 3.5731871E+001, 4.1825276E+001, 3.7765842E+001, 3.4821030E+001, 2.1265612E+001, 2.1025281E+001, 2.0985492E+001, 2.0639255E+001, 2.0671776E+001
 4.4409538E+001, 3.3155527E+002, 3.8484648E+002, 3.8227794E+002, 3.8498577E+002, 3.1428959E+002, 1.0085031E+002, 4.7596863E+001, 3.5802270E+001, 4.1980632E+001, 3.7887727E+001, 3.4403431E+001, 2.1241259E+001, 2.1037500E+001, 2.0992107E+001, 2.0643384E+001, 2.0672467E+001
 4.4519188E+001, 3.3124749E+002, 3.8384675E+002, 3.8097884E+002, 3.8756797E+002, 3.0533291E+002, 9.8047692E+001, 4.7951298E+001, 3.5841789E+001, 4.2282436E+001, 3.7967353E+001, 3.3919581E+001, 2.1195867E+001, 2.1034806E+001, 2.0987376E+001, 2.0647480E+001, 2.0677900E+001
 4.4606907E+001, 3.3016594E+002, 3.8266543E+002, 3.8032806E+002, 3.9105584E+002, 3.0596399E+002, 9.7471857E+001, 4.8233871E+001, 3.5889027E+001, 4.2727534E+001, 3.8007380E+001, 3.3400913E+001, 2.1155468E+001, 2.1043183E+001, 2.0979628E+001, 2.0646525E+001, 2.0675274E+001
 4.4716560E+001, 3.2993629E+002, 3.8233468E+002, 3.8030233E+002, 3.9443334E+002, 3.1143729E+002, 9.8963661E+001, 4.8406985E+001, 3.6067312E+001, 4.3283003E+001, 3.7997847E+001, 3.2865210E+001, 2.1102623E+001, 2.1039986E+001, 2.0956419E+001, 2.0636296E+001, 2.0665563E+001
 4.4804279E+001, 3.3423075E+002, 3.8344639E+002, 3.8050839E+002, 3.9672807E+002, 3.1416153E+002, 1.0202285E+002, 4.8473359E+001, 3.6121027E+001, 4.3856364E+001, 3.7935880E+001, 3.2328511E+001, 2.1032859E+001, 2.1039731E+001, 2.0939050E+001, 2.0634287E+001, 2.0662712E+001
 4.4913929E+001, 3.4208511E+002, 3.8480872E+002, 3.8059277E+002, 3.9631555E+002, 3.1241996E+002, 1.0620224E+002, 4.8411360E+001, 3.6162822E+001, 4.4368758E+001, 3.7833421E+001, 3.1808457E+001, 2.0964825E+001, 2.1051420E+001, 2.0925025E+001, 2.0635865E+001, 2.0661665E+001
 4.5001648E+001, 3.4329239E+002, 3.8532508E+002, 3.8041048E+002, 3.9291149E+002, 3.1029641E+002, 1.1033512E+002, 4.8162686E+001, 3.6161442E+001, 4.4844219E+001, 3.7707255E+001, 3.1313157E+001, 2.0909617E+001, 2.1079905E+001, 2.0912216E+001, 2.0632687E+001, 2.0652582E+001
 4.5111298E+001, 3.4350885E+002, 3.8512713E+002, 3.8035318E+002, 3.8782076E+002, 3.1177631E+002, 1.1488812E+002, 4.8169341E+001, 3.6015289E+001, 4.5515207E+001, 3.7548941E+001, 3.0847527E+001, 2.0850840E+001, 2.1113917E+001, 2.0906096E+001, 2.0637334E+001, 2.0650269E+001
 4.5209942E+001, 3.4665312E+002, 3.8492208E+002, 3.8063520E+002, 3.8276467E+002, 3.1778702E+002, 1.1932069E+002, 4.8290433E+001, 3.6005098E+001, 4.6875799E+001, 3.7368437E+001, 3.0387237E+001, 2.0783266E+001, 2.1140117E+001, 2.0894941E+001, 2.0648711E+001, 2.0660443E+001
 4.5308582E+001, 3.4366028E+002, 3.8500030E+002, 3.8103873E+002, 3.7937693E+002, 3.2704393E+002, 1.2269211E+002, 4.8098263E+001, 3.5848400E+001, 4.9232986E+001, 3.7201155E+001, 2.9972174E+001, 2.0740424E+001, 2.1174392E+001, 2.0880171E+001, 2.0653218E+001, 2.0664728E+001
 4.5407223E+001, 3.5126209E+002, 3.8494061E+002, 3.8131110E+002, 3.7714672E+002, 3.3646388E+002, 1.2441010E+002, 4.7882871E+001, 3.5688765E+001, 5.2519104E+001, 3.7027145E+001, 2.9574259E+001, 2.0700800E+001, 2.1203669E+001, 2.0856176E+001, 2.0648979E+001, 2.0659795E+001
 4.5505863E+001, 3.7909188E+002, 3.8431910E+002, 3.8110073E+002, 3.7520275E+002, 3.4204834E+002, 1.2353286E+002, 4.7578063E+001, 3.5539729E+001, 5.5797638E+001, 3.6850814E+001, 2.9186067E+001, 2.0663120E+001, 2.1238724E+001, 2.0846241E+001, 2.0660199E+001, 2.0668130E+001
 4.5604504E+001, 3.6054007E+002, 3.8264755E+002, 3.8025394E+002, 3.7300344E+002, 3.4570166E+002, 1.2122424E+002, 4.7485062E+001, 3.5404896E+001, 5.7649273E+001, 3.6678506E+001, 2.8804246E+001, 2.0638026E+001, 2.1276845E+001, 2.0836156E+001, 2.0667673E+001, 2.0669292E+001
 4.5703148E+001, 3.3470395E+002, 3.7991749E+002, 3.7889774E+002, 3.7058825E+002, 3.5044106E+002, 1.1862134E+002, 4.7450377E+001, 3.5227768E+001, 5.7266004E+001, 3.6505592E+001, 2.8423317E+001, 2.0619066E+001, 2.1313373E+001, 2.0820228E+001, 2.0668359E+001, 2.0666195E+001
 4.5801788E+001, 3.4036021E+002, 3.7742308E+002, 3.7762006E+002, 3.6822210E+002, 3.5596952E+002, 1.1678930E+002, 4.7576215E+001, 3.5070135E+001, 5.5189387E+001, 3.6321256E+001, 2.8040928E+001, 2.0601523E+001, 2.1347114E+001, 2.0805185E+001, 2.0669443E+001, 2.0660092E+001
 4.5900429E+001, 3.4028112E+002, 3.7630080E+002, 3.7704142E+002, 3.6608411E+002, 3.6009881E+002, 1.1552271E+002, 4.7627847E+001, 3.4919792E+001, 5.2631430E+001, 3.6123265E+001, 2.7662996E+001, 2.0598377E+001, 2.1380727E+001, 2.0788999E+001, 2.0669270E+001, 2.0653338E+001
 4.6018799E+001, 3.2743432E+002, 3.7624631E+002, 3.7797436E+002, 3.6358629E+002, 3.6051173E+002, 1.1340078E+002, 4.7587129E+001, 3.4829443E+001, 5.0359649E+001, 3.5889360E+001, 2.7251722E+001, 2.0595279E+001, 2.1410914E+001, 2.0769927E+001, 2.0667132E+001, 2.0645166E+001
 4.6117439E+001, 3.0911232E+002, 3.7635666E+002, 3.8331508E+002, 3.6090538E+002, 3.5718173E+002, 1.0949895E+002, 4.7178074E+001, 3.4650029E+001, 4.9123088E+001, 3.5634518E+001, 2.6852569E+001, 2.0598481E+001, 2.1443811E+001, 2.0765997E+001, 2.0681096E+001, 2.0649658E+001
 4.6216080E+001, 3.2282460E+002, 3.7720416E+002, 3.9650371E+002, 3.5798311E+002, 3.5107509E+002, 1.0417315E+002, 4.6865971E+001, 3.4565984E+001, 4.8900731E+001, 3.5396370E+001, 2.6512706E+001, 2.0632288E+001, 2.1482735E+001, 2.0757221E+001, 2.0680035E+001, 2.0639510E+001
 4.6314720E+001, 3.3205467E+002, 3.8613532E+002, 4.1351749E+002, 3.5472500E+002, 3.4259362E+002, 9.7246201E+001, 4.6399892E+001, 3.4552150E+001, 4.9144077E+001, 3.5150757E+001, 2.6191516E+001, 2.0645449E+001, 2.1498629E+001, 2.0739146E+001, 2.0673921E+001, 2.0626524E+001
 4.6413361E+001, 3.3622540E+002, 4.1825114E+002, 4.2077592E+002, 3.5166413E+002, 3.3103506E+002, 9.1003069E+001, 4.5978075E+001, 3.4455270E+001, 4.9404587E+001, 3.4908950E+001, 2.5895768E+001, 2.0653459E+001, 2.1513528E+001, 2.0736564E+001, 2.0682546E+001, 2.0625206E+001
 4.6512005E+001, 3.4944145E+002, 4.4626637E+002, 4.1652957E+002, 3.4927918E+002, 3.1559020E+002, 8.7720262E+001, 4.6060820E+001, 3.4488131E+001, 4.9356750E+001, 3.4690895E+001, 2.5631068E+001, 2.0675517E+001, 2.1531188E+001, 2.0733778E+001, 2.0682489E+001, 2.0611684E+001
 4.6610645E+001, 3.7541564E+002, 4.3356566E+002, 4.0832992E+002, 3.4843597E+002, 2.9980158E+002, 8.7468839E+001, 4.6442020E+001, 3.4846286E+001, 4.8904602E+001, 3.4486086E+001, 2.5393332E+001, 2.0690437E+001, 2.1533913E+001, 2.0725932E+001, 2.0681482E+001, 2.0599471E+001
 4.6709286E+001, 3.8343083E+002, 4.0543600E+002, 4.0196340E+002, 3.4954696E+002, 2.8851974E+002, 9.0489364E+001, 4.6397129E+001, 3.4946500E+001, 4.8249644E+001, 3.4306986E+001, 2.5182849E+001, 2.0706785E+001, 2.1535612E+001, 2.0716658E+001, 2.0676739E+001, 2.0585548E+001
 4.6807926E+001, 3.7680857E+002, 3.8493690E+002, 3.9829800E+002, 3.5245900E+002, 2.8403979E+002, 9.7129032E+001, 4.6164779E+001, 3.4942916E+001, 4.7917647E+001, 3.4172219E+001, 2.5003074E+001, 2.0744574E+001, 2.1550921E+001, 2.0719791E+001, 2.0676442E+001, 2.0571705E+001
