s,s,s,s,C,C,C,C,C,C,C,C
FDS Time,"TIMER","open stair door","open hall door","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10"
 3.3500513E+002, 3.3253764E+002, 3.3253764E+002, 3.3253764E+002, 1.8491124E+002, 1.7622942E+002, 1.5804640E+002, 1.3002875E+002, 8.3868917E+001, 5.1912565E+001, 4.3925050E+001, 3.8172823E+001
 3.4001874E+002, 3.3748610E+002, 3.3748610E+002, 3.3748610E+002, 1.8435787E+002, 1.7290294E+002, 1.5180189E+002, 1.2704695E+002, 9.9379765E+001, 5.3008634E+001, 4.4155742E+001, 4.0739933E+001
 3.4500345E+002, 3.4254272E+002, 3.4254272E+002, 3.4254272E+002, 1.8260316E+002, 1.7007676E+002, 1.5498691E+002, 1.3177473E+002, 7.6348736E+001, 5.1884289E+001, 4.6331534E+001, 3.9327939E+001
 3.5001224E+002, 3.4751488E+002, 3.4751488E+002, 3.4751488E+002, 1.7730843E+002, 1.6262527E+002, 1.4812750E+002, 1.3326646E+002, 7.9141306E+001, 4.7268415E+001, 4.1953241E+001, 3.7897410E+001
 3.5501337E+002, 3.5255987E+002, 3.5255987E+002, 3.5255987E+002, 1.7841984E+002, 1.6604529E+002, 1.4869389E+002, 1.2964467E+002, 8.6726088E+001, 4.8123015E+001, 4.0354921E+001, 3.7132745E+001
 3.6000189E+002, 3.5747562E+002, 3.5747562E+002, 3.5747562E+002, 1.7747676E+002, 1.6553233E+002, 1.4098823E+002, 1.2901932E+002, 8.6660747E+001, 5.2531368E+001, 4.1372345E+001, 3.7863771E+001
 3.6501224E+002, 3.6251670E+002, 3.6251670E+002, 3.6251670E+002, 1.7469207E+002, 1.6458445E+002, 1.4722026E+002, 1.2882118E+002, 7.2295149E+001, 5.0631527E+001, 4.2723334E+001, 3.8604055E+001
 3.7000916E+002, 3.6751714E+002, 3.6751714E+002, 3.6751714E+002, 1.7438443E+002, 1.5855283E+002, 1.4165658E+002, 1.2776176E+002, 8.2064315E+001, 4.6212788E+001, 4.0569037E+001, 3.7123115E+001
 3.7501749E+002, 3.7252649E+002, 3.7252649E+002, 3.7252649E+002, 1.7160097E+002, 1.5925571E+002, 1.4847666E+002, 1.3430277E+002, 6.3654354E+001, 4.4809223E+001, 3.9615385E+001, 3.6583739E+001
 3.8001685E+002, 3.7752889E+002, 3.7752889E+002, 3.7752889E+002, 1.7140944E+002, 1.5740729E+002, 1.4684378E+002, 1.2301500E+002, 7.8371157E+001, 4.8416501E+001, 4.4093349E+001, 3.8012285E+001
 3.8501465E+002, 3.8250560E+002, 3.8250560E+002, 3.8250560E+002, 1.7001255E+002, 1.6406381E+002, 1.4987482E+002, 1.1748531E+002, 8.5231142E+001, 4.6095988E+001, 4.1739694E+001, 3.7734780E+001
 3.9000583E+002, 3.8752784E+002, 3.8752784E+002, 3.8752784E+002, 1.6793829E+002, 1.5978885E+002, 1.4453606E+002, 1.1676760E+002, 8.3605761E+001, 4.5630521E+001, 4.1548531E+001, 3.6972131E+001
 3.9500153E+002, 3.9249480E+002, 3.9249480E+002, 3.9249480E+002, 1.6914026E+002, 1.6227036E+002, 1.4192745E+002, 1.1867633E+002, 8.3337094E+001, 5.0000732E+001, 4.2937556E+001, 3.6722719E+001
 4.0001035E+002, 3.9752340E+002, 3.9752340E+002, 3.9752340E+002, 1.6673906E+002, 1.5952539E+002, 1.4707856E+002, 1.2235976E+002, 7.7319814E+001, 4.8202214E+001, 4.3599630E+001, 3.7152248E+001
