s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FDS Time,"TC_A1","TC_A2","TC_A3","TC_A4","TC_A5","TC_A6","TC_A7","TC_A8","TC_B1","TC_B2","TC_B3","TC_B4","TC_B5","TC_B6","TC_B7","TC_B8","TC_C1","TC_C2","TC_C3","TC_C4","TC_C5","TC_C6","TC_C7","TC_C8"
 1.7000414E+002, 4.7921834E+002, 5.7480969E+002, 5.7729563E+002, 5.9067794E+002, 5.3097305E+002, 2.7199897E+002, 1.0974655E+002, 7.0241251E+001, 3.9349768E+002, 3.5222980E+002, 3.2627555E+002, 6.2528267E+001, 3.9045534E+001, 3.5892301E+001, 3.0477158E+001, 2.9040779E+001, 2.2252501E+002, 1.8519255E+002, 1.3453100E+002, 6.5906263E+001, 3.0803924E+001, 2.6977334E+001, 2.3889825E+001, 2.2073056E+001
 1.7500305E+002, 4.6418947E+002, 5.4207289E+002, 5.3848455E+002, 5.3659879E+002, 5.2309898E+002, 2.8981884E+002, 1.2329339E+002, 7.0926824E+001, 3.9126124E+002, 3.4705421E+002, 2.9685556E+002, 6.3661388E+001, 3.9088529E+001, 3.4124472E+001, 2.9372998E+001, 2.8172978E+001, 2.1696722E+002, 1.8643337E+002, 1.3563697E+002, 5.7754330E+001, 3.0490853E+001, 2.6560684E+001, 2.3666603E+001, 2.2132617E+001
 1.8000772E+002, 4.9365862E+002, 5.8476210E+002, 5.9075910E+002, 5.9024226E+002, 4.6789774E+002, 2.6230961E+002, 1.1804393E+002, 6.9864223E+001, 3.8946817E+002, 3.3850978E+002, 2.8449018E+002, 6.1428530E+001, 3.7635620E+001, 3.3733887E+001, 2.8619576E+001, 2.7954462E+001, 2.1374311E+002, 1.8180191E+002, 1.2365771E+002, 4.9137503E+001, 2.9626732E+001, 2.6765136E+001, 2.3183606E+001, 2.2327861E+001
 1.8500856E+002, 4.5693480E+002, 5.4618515E+002, 5.4136769E+002, 5.2065653E+002, 4.9539482E+002, 3.4621105E+002, 1.0740707E+002, 7.0953128E+001, 4.0350849E+002, 3.4622038E+002, 2.8109049E+002, 6.3145308E+001, 3.8163812E+001, 3.5984132E+001, 2.9285823E+001, 2.8306301E+001, 2.1531443E+002, 1.7481587E+002, 1.2460864E+002, 5.0252692E+001, 2.9724554E+001, 2.6455307E+001, 2.3643427E+001, 2.2218931E+001
 1.9000354E+002, 4.3886886E+002, 5.1296244E+002, 5.0910537E+002, 5.0220016E+002, 5.1026943E+002, 3.7846801E+002, 1.1104478E+002, 6.6051540E+001, 3.8849745E+002, 3.3963662E+002, 2.8471929E+002, 6.6538316E+001, 3.8147681E+001, 3.6215444E+001, 3.0306251E+001, 2.8875752E+001, 2.0905850E+002, 1.7511271E+002, 1.1972096E+002, 4.9270767E+001, 2.9943884E+001, 2.6733111E+001, 2.4114866E+001, 2.2265385E+001
 1.9500414E+002, 4.4850952E+002, 5.1986504E+002, 5.1447785E+002, 5.1330641E+002, 5.4076612E+002, 3.9182673E+002, 1.0971075E+002, 7.3493901E+001, 3.7565769E+002, 3.5316929E+002, 2.9627360E+002, 5.7153236E+001, 3.9107909E+001, 3.4088080E+001, 3.0590024E+001, 2.8782114E+001, 2.0310220E+002, 1.6108374E+002, 1.2098050E+002, 4.7392091E+001, 3.0390037E+001, 2.7616039E+001, 2.5077391E+001, 2.2412983E+001
 2.0000273E+002, 5.0927120E+002, 6.0689675E+002, 6.0202170E+002, 5.9689547E+002, 5.4400609E+002, 3.2217037E+002, 1.1085713E+002, 7.5222602E+001, 3.9507642E+002, 3.5129303E+002, 3.4042219E+002, 6.2534538E+001, 4.0674428E+001, 3.5822601E+001, 3.1407763E+001, 2.9770721E+001, 2.3163337E+002, 1.8375662E+002, 1.2599915E+002, 5.9480315E+001, 3.0946652E+001, 2.8046270E+001, 2.4819135E+001, 2.2675005E+001
 2.0501189E+002, 5.0497435E+002, 5.8627383E+002, 5.6997809E+002, 5.4616472E+002, 5.2343898E+002, 3.1375169E+002, 1.3541376E+002, 7.9814824E+001, 4.1672730E+002, 3.7055705E+002, 3.3080793E+002, 6.9045646E+001, 4.2079398E+001, 3.7487342E+001, 3.1202608E+001, 2.9841662E+001, 2.3942949E+002, 1.9010714E+002, 1.3619092E+002, 7.1171738E+001, 3.0216324E+001, 2.6870481E+001, 2.4732848E+001, 2.2067206E+001
 2.1001198E+002, 4.8564769E+002, 5.6152615E+002, 5.5488130E+002, 5.5296735E+002, 5.4608627E+002, 2.8711221E+002, 1.3386581E+002, 7.6222883E+001, 3.9729856E+002, 3.4213905E+002, 2.6338066E+002, 5.9579944E+001, 3.7557517E+001, 3.4725589E+001, 2.9401091E+001, 2.7985151E+001, 2.0558872E+002, 1.8756639E+002, 1.3167798E+002, 5.0794119E+001, 2.9119692E+001, 2.6845236E+001, 2.4843291E+001, 2.2255768E+001
 2.1501208E+002, 4.7794901E+002, 5.5275637E+002, 5.4528004E+002, 5.4958956E+002, 5.3605578E+002, 2.5563608E+002, 1.0434852E+002, 7.3131655E+001, 3.9141789E+002, 3.3992864E+002, 2.6800017E+002, 6.1428610E+001, 4.0025963E+001, 3.3904790E+001, 2.8441992E+001, 2.8368002E+001, 2.0804772E+002, 1.8027319E+002, 1.2477407E+002, 4.6991764E+001, 3.0110551E+001, 2.7248095E+001, 2.5222395E+001, 2.2042797E+001
