s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,s
 2.6913054E+001, 3.7662865E+002, 4.9597277E+002, 4.9305058E+002, 4.6730019E+002, 2.9480652E+002, 7.7749876E+001, 5.6066282E+001, 4.4317852E+001, 3.5395120E+001, 2.3983998E+001, 2.0585596E+001, 2.0380601E+001, 2.0472476E+001, 2.0462430E+001, 2.0455200E+001, 2.0379277E+001, 0.0000000E+000, 2.6871643E+001
 2.7012438E+001, 3.9216002E+002, 4.9695413E+002, 4.8960569E+002, 4.6304261E+002, 2.9097065E+002, 7.2474943E+001, 5.6797031E+001, 4.3820310E+001, 3.5135523E+001, 2.3994775E+001, 2.0602489E+001, 2.0387007E+001, 2.0476245E+001, 2.0463894E+001, 2.0457721E+001, 2.0382018E+001, 0.0000000E+000, 2.6971027E+001
 2.7111822E+001, 3.9117506E+002, 4.9717442E+002, 4.8762015E+002, 4.6167444E+002, 2.8441018E+002, 6.8660793E+001, 5.8355394E+001, 4.3741326E+001, 3.4903347E+001, 2.4004132E+001, 2.0619801E+001, 2.0389143E+001, 2.0472852E+001, 2.0461917E+001, 2.0459863E+001, 2.0385927E+001, 0.0000000E+000, 2.7070411E+001
 2.7211205E+001, 3.7903839E+002, 4.9659273E+002, 4.8759944E+002, 4.6455246E+002, 2.7559956E+002, 6.5490669E+001, 6.0047040E+001, 4.3690632E+001, 3.4727501E+001, 2.4015137E+001, 2.0637864E+001, 2.0392454E+001, 2.0469133E+001, 2.0457582E+001, 2.0459738E+001, 2.0388807E+001, 0.0000000E+000, 2.7169795E+001
 2.7310589E+001, 3.5766322E+002, 4.9515792E+002, 4.8839886E+002, 4.6976768E+002, 2.6942321E+002, 6.3872544E+001, 6.0847391E+001, 4.3645374E+001, 3.4617370E+001, 2.4034894E+001, 2.0657746E+001, 2.0398387E+001, 2.0469474E+001, 2.0456761E+001, 2.0460926E+001, 2.0390322E+001, 0.0000000E+000, 2.7269180E+001
 2.7409973E+001, 3.2775451E+002, 4.9302484E+002, 4.8840815E+002, 4.7266526E+002, 2.7081760E+002, 6.3934822E+001, 6.0166295E+001, 4.3554944E+001, 3.4565503E+001, 2.4071422E+001, 2.0680658E+001, 2.0404392E+001, 2.0468809E+001, 2.0455121E+001, 2.0461783E+001, 2.0392582E+001, 0.0000000E+000, 2.7368564E+001
 2.7509357E+001, 3.3938851E+002, 4.9051444E+002, 4.8757429E+002, 4.7113096E+002, 2.8053264E+002, 6.5374976E+001, 5.9850488E+001, 4.3552100E+001, 3.4552708E+001, 2.4132298E+001, 2.0708226E+001, 2.0412731E+001, 2.0468339E+001, 2.0452715E+001, 2.0461459E+001, 2.0392668E+001, 0.0000000E+000, 2.7467948E+001
 2.7608742E+001, 3.9930040E+002, 4.8811484E+002, 4.8686075E+002, 4.6792389E+002, 2.9616422E+002, 6.9056089E+001, 5.9689786E+001, 4.3385962E+001, 3.4553222E+001, 2.4221324E+001, 2.0741298E+001, 2.0421260E+001, 2.0467059E+001, 2.0451366E+001, 2.0463150E+001, 2.0395654E+001, 0.0000000E+000, 2.7567332E+001
 2.7708126E+001, 4.2803736E+002, 4.8661078E+002, 4.8696764E+002, 4.6728143E+002, 3.1534939E+002, 7.4873964E+001, 6.0250789E+001, 4.3377513E+001, 3.4540907E+001, 2.4339778E+001, 2.0780480E+001, 2.0434601E+001, 2.0469177E+001, 2.0451176E+001, 2.0464678E+001, 2.0397954E+001, 0.0000000E+000, 2.7666716E+001
 2.7807510E+001, 3.6547828E+002, 4.8636486E+002, 4.8793270E+002, 4.6988874E+002, 3.3588157E+002, 8.1636463E+001, 5.9979974E+001, 4.3412732E+001, 3.4494748E+001, 2.4487696E+001, 2.0825428E+001, 2.0449747E+001, 2.0470322E+001, 2.0449796E+001, 2.0465374E+001, 2.0399709E+001, 0.0000000E+000, 2.7766100E+001
 2.7906895E+001, 3.0967208E+002, 4.8723434E+002, 4.8925276E+002, 4.7280267E+002, 3.5517341E+002, 8.6394023E+001, 5.8807251E+001, 4.3426262E+001, 3.4403229E+001, 2.4663946E+001, 2.0875799E+001, 2.0466921E+001, 2.0470631E+001, 2.0447685E+001, 2.0465967E+001, 2.0401732E+001, 0.0000000E+000, 2.7865484E+001
 2.8009592E+001, 3.7293326E+002, 4.8874882E+002, 4.9044347E+002, 4.7356387E+002, 3.6515709E+002, 8.6883770E+001, 5.7966925E+001, 4.3427278E+001, 3.4275167E+001, 2.4868357E+001, 2.0932877E+001, 2.0487985E+001, 2.0471560E+001, 2.0445495E+001, 2.0465874E+001, 2.0402434E+001, 0.0000000E+000, 2.7965696E+001
 2.8100693E+001, 3.9955020E+002, 4.9019602E+002, 4.9136721E+002, 4.7304632E+002, 3.5709888E+002, 8.3083257E+001, 5.7317700E+001, 4.3358053E+001, 3.4161256E+001, 2.5091520E+001, 2.0995841E+001, 2.0512716E+001, 2.0473531E+001, 2.0444300E+001, 2.0466476E+001, 2.0402905E+001, 0.0000000E+000, 2.8064252E+001
 2.8210016E+001, 4.0992385E+002, 4.9115595E+002, 4.9180411E+002, 4.7245585E+002, 3.3144994E+002, 7.7217337E+001, 5.6850575E+001, 4.3310691E+001, 3.4171059E+001, 2.5338966E+001, 2.1068701E+001, 2.0540726E+001, 2.0471413E+001, 2.0439386E+001, 2.0465824E+001, 2.0404149E+001, 0.0000000E+000, 2.8164465E+001
 2.8301117E+001, 4.0693749E+002, 4.9147898E+002, 4.9179101E+002, 4.7122939E+002, 2.9939133E+002, 7.1111671E+001, 5.6553523E+001, 4.3295140E+001, 3.4470473E+001, 2.5602669E+001, 2.1151586E+001, 2.0576537E+001, 2.0474151E+001, 2.0436619E+001, 2.0464697E+001, 2.0402466E+001, 0.0000000E+000, 2.8264677E+001
 2.8410440E+001, 3.8669222E+002, 4.9112526E+002, 4.9150576E+002, 4.6838572E+002, 2.7174111E+002, 6.6632564E+001, 5.6418397E+001, 4.3254291E+001, 3.5302361E+001, 2.5880315E+001, 2.1246192E+001, 2.0619269E+001, 2.0477881E+001, 2.0433300E+001, 2.0463809E+001, 2.0402462E+001, 0.0000000E+000, 2.8364889E+001
 2.8501543E+001, 3.5156179E+002, 4.9071878E+002, 4.9100859E+002, 4.6462405E+002, 2.5380349E+002, 6.3620509E+001, 5.6276803E+001, 4.3176186E+001, 3.6788565E+001, 2.6169420E+001, 2.1352611E+001, 2.0668870E+001, 2.0482725E+001, 2.0429538E+001, 2.0462971E+001, 2.0403171E+001, 0.0000000E+000, 2.8465102E+001
 2.8610865E+001, 3.6309461E+002, 4.9102451E+002, 4.9036501E+002, 4.6141546E+002, 2.4598211E+002, 6.2360803E+001, 5.6103281E+001, 4.3041073E+001, 3.8856073E+001, 2.6467537E+001, 2.1470635E+001, 2.0727551E+001, 2.0492415E+001, 2.0428020E+001, 2.0463089E+001, 2.0403690E+001, 0.0000000E+000, 2.8565314E+001
 2.8701967E+001, 3.8502841E+002, 4.9203285E+002, 4.8995314E+002, 4.6049060E+002, 2.4510051E+002, 6.1893636E+001, 5.5786825E+001, 4.2765755E+001, 4.0979160E+001, 2.6770217E+001, 2.1597502E+001, 2.0794538E+001, 2.0505529E+001, 2.0427076E+001, 2.0464084E+001, 2.0405957E+001, 0.0000000E+000, 2.8665526E+001
 2.8811289E+001, 4.2062467E+002, 4.9277698E+002, 4.9005543E+002, 4.6318930E+002, 2.4856585E+002, 6.4828823E+001, 5.5653503E+001, 4.2542241E+001, 4.2404489E+001, 2.7071809E+001, 2.1730547E+001, 2.0870088E+001, 2.0524315E+001, 2.0428104E+001, 2.0466580E+001, 2.0409951E+001, 0.0000000E+000, 2.8765739E+001
 2.8902391E+001, 3.9457133E+002, 4.9213245E+002, 4.9045503E+002, 4.6838010E+002, 2.5271875E+002, 7.1023381E+001, 5.5767871E+001, 4.2517499E+001, 4.2678351E+001, 2.7365501E+001, 2.1866337E+001, 2.0953116E+001, 2.0547465E+001, 2.0429278E+001, 2.0469438E+001, 2.0415162E+001, 0.0000000E+000, 2.8865951E+001
 2.9011715E+001, 3.4265681E+002, 4.9042967E+002, 4.9058941E+002, 4.7256339E+002, 2.5585255E+002, 8.0395319E+001, 5.5824319E+001, 4.2483536E+001, 4.1870390E+001, 2.7644373E+001, 2.2003088E+001, 2.1043941E+001, 2.0576751E+001, 2.0430303E+001, 2.0471047E+001, 2.0418859E+001, 0.0000000E+000, 2.8966163E+001
 2.9102816E+001, 3.8865458E+002, 4.8936707E+002, 4.9016771E+002, 4.7332593E+002, 2.5868078E+002, 9.1565182E+001, 5.5912804E+001, 4.2461003E+001, 4.0639412E+001, 2.7905081E+001, 2.2141410E+001, 2.1140989E+001, 2.0613444E+001, 2.0434319E+001, 2.0474638E+001, 2.0423192E+001, 0.0000000E+000, 2.9066375E+001
 2.9212139E+001, 4.0485444E+002, 4.8966810E+002, 4.8962364E+002, 4.7045950E+002, 2.6160962E+002, 1.0183022E+002, 5.6301946E+001, 4.2646444E+001, 3.9615400E+001, 2.8146162E+001, 2.2284121E+001, 2.1244329E+001, 2.0655796E+001, 2.0437487E+001, 2.0477288E+001, 2.0426726E+001, 0.0000000E+000, 2.9166588E+001
 2.9303242E+001, 4.0993170E+002, 4.9076801E+002, 4.8897994E+002, 4.6591976E+002, 2.6404928E+002, 1.0783936E+002, 5.6486384E+001, 4.2781908E+001, 3.9098618E+001, 2.8370749E+001, 2.2433395E+001, 2.1354101E+001, 2.0704875E+001, 2.0439768E+001, 2.0478988E+001, 2.0430249E+001, 0.0000000E+000, 2.9266800E+001
 2.9412563E+001, 3.9936401E+002, 4.9199856E+002, 4.8734198E+002, 4.6247020E+002, 2.6539956E+002, 1.0712391E+002, 5.6308165E+001, 4.2783288E+001, 3.9142252E+001, 2.8579143E+001, 2.2590101E+001, 2.1474708E+001, 2.0768723E+001, 2.0446604E+001, 2.0483754E+001, 2.0437029E+001, 0.0000000E+000, 2.9367012E+001
 2.9511393E+001, 3.9966127E+002, 4.9348625E+002, 4.8442476E+002, 4.6242791E+002, 2.6568486E+002, 1.0139272E+002, 5.6097046E+001, 4.2739080E+001, 3.9611705E+001, 2.8776935E+001, 2.2757127E+001, 2.1612599E+001, 2.0852296E+001, 2.0457910E+001, 2.0488461E+001, 2.0442340E+001, 0.0000000E+000, 2.9471088E+001
 2.9608124E+001, 3.9612069E+002, 4.9544722E+002, 4.8262429E+002, 4.6595315E+002, 2.6502419E+002, 9.3004474E+001, 5.5917891E+001, 4.2829225E+001, 4.0285435E+001, 2.8937617E+001, 2.2908859E+001, 2.1745991E+001, 2.0937667E+001, 2.0467256E+001, 2.0491114E+001, 2.0446358E+001, 0.0000000E+000, 2.9567819E+001
 2.9704855E+001, 3.8371593E+002, 4.9716319E+002, 4.8308453E+002, 4.7034504E+002, 2.6453998E+002, 8.4254796E+001, 5.5634630E+001, 4.2845800E+001, 4.1039352E+001, 2.9071623E+001, 2.3051699E+001, 2.1884426E+001, 2.1032613E+001, 2.0480022E+001, 2.0496863E+001, 2.0454220E+001, 0.0000000E+000, 2.9664550E+001
 2.9801586E+001, 3.9103539E+002, 4.9679524E+002, 4.8503533E+002, 4.7094500E+002, 2.6401738E+002, 7.6992435E+001, 5.5410637E+001, 4.2861071E+001, 4.1765979E+001, 2.9178132E+001, 2.3184829E+001, 2.2029748E+001, 2.1137382E+001, 2.0492911E+001, 2.0499627E+001, 2.0458573E+001, 0.0000000E+000, 2.9761281E+001
 2.9914438E+001, 3.9782358E+002, 4.9315489E+002, 4.8665803E+002, 4.7016063E+002, 2.6394134E+002, 7.1930986E+001, 5.5470798E+001, 4.3052787E+001, 4.2410834E+001, 2.9266881E+001, 2.3319907E+001, 2.2196223E+001, 2.1263400E+001, 2.0510477E+001, 2.0503370E+001, 2.0464237E+001, 0.0000000E+000, 2.9866073E+001
 3.0011169E+001, 4.0455478E+002, 4.8837777E+002, 4.8670976E+002, 4.7027917E+002, 2.6616439E+002, 6.9957401E+001, 5.5681064E+001, 4.3311131E+001, 4.2836329E+001, 2.9333679E+001, 2.3450503E+001, 2.2375271E+001, 2.1401821E+001, 2.0531520E+001, 2.0506947E+001, 2.0469787E+001, 0.0000000E+000, 2.9970864E+001
 3.0117573E+001, 4.0657124E+002, 4.8447073E+002, 4.8562446E+002, 4.7194155E+002, 2.7168080E+002, 7.1179814E+001, 5.5994014E+001, 4.3593276E+001, 4.2955330E+001, 2.9379734E+001, 2.3575565E+001, 2.2561492E+001, 2.1547862E+001, 2.0553855E+001, 2.0508218E+001, 2.0473846E+001, 0.0000000E+000, 3.0073238E+001
 3.0206244E+001, 3.9101660E+002, 4.8202481E+002, 4.8437506E+002, 4.7417128E+002, 2.7846935E+002, 7.4748538E+001, 5.6304343E+001, 4.3724386E+001, 4.2799300E+001, 2.9409091E+001, 2.3692699E+001, 2.2751961E+001, 2.1705411E+001, 2.0586591E+001, 2.0512929E+001, 2.0478090E+001, 0.0000000E+000, 3.0170775E+001
 3.0312647E+001, 3.6377532E+002, 4.8057428E+002, 4.8320955E+002, 4.7598168E+002, 2.8508220E+002, 8.0218296E+001, 5.6617333E+001, 4.4114170E+001, 4.2463078E+001, 2.9428208E+001, 2.3806556E+001, 2.2948197E+001, 2.1865621E+001, 2.0620014E+001, 2.0516368E+001, 2.0483367E+001, 0.0000000E+000, 3.0268312E+001
 3.0401318E+001, 3.8926567E+002, 4.7960413E+002, 4.8243692E+002, 4.7648424E+002, 2.9066528E+002, 8.7022052E+001, 5.6789947E+001, 4.4461927E+001, 4.2096911E+001, 2.9435462E+001, 2.3916053E+001, 2.3149493E+001, 2.2027624E+001, 2.0655434E+001, 2.0519078E+001, 2.0489830E+001, 0.0000000E+000, 3.0365849E+001
 3.0507721E+001, 3.6890043E+002, 4.7839168E+002, 4.8194848E+002, 4.7568410E+002, 2.9527481E+002, 9.3997142E+001, 5.6702813E+001, 4.4714593E+001, 4.1804029E+001, 2.9429319E+001, 2.4021328E+001, 2.3355598E+001, 2.2189267E+001, 2.0697159E+001, 2.0522404E+001, 2.0495308E+001, 0.0000000E+000, 3.0463386E+001
 3.0614124E+001, 3.4789267E+002, 4.7632972E+002, 4.8089578E+002, 4.7471729E+002, 2.9932687E+002, 1.0046497E+002, 5.6286981E+001, 4.4787533E+001, 4.1583234E+001, 2.9411778E+001, 2.4134132E+001, 2.3588191E+001, 2.2373403E+001, 2.0750340E+001, 2.0525951E+001, 2.0500345E+001, 0.0000000E+000, 3.0569790E+001
 3.0702795E+001, 3.7279123E+002, 4.7396425E+002, 4.7862372E+002, 4.7303153E+002, 3.0196915E+002, 1.0418131E+002, 5.5569804E+001, 4.4709132E+001, 4.1427755E+001, 2.9388113E+001, 2.4236363E+001, 2.3801833E+001, 2.2539154E+001, 2.0802413E+001, 2.0529528E+001, 2.0507417E+001, 0.0000000E+000, 3.0667326E+001
 3.0809198E+001, 3.7418974E+002, 4.7199957E+002, 4.7550520E+002, 4.6677115E+002, 3.0402449E+002, 1.0551061E+002, 5.4795598E+001, 4.4567468E+001, 4.1286702E+001, 2.9356433E+001, 2.4337409E+001, 2.4017810E+001, 2.2706296E+001, 2.0862641E+001, 2.0533502E+001, 2.0512454E+001, 0.0000000E+000, 3.0764863E+001
 3.0915602E+001, 3.7401700E+002, 4.7091218E+002, 4.7223890E+002, 4.6115817E+002, 3.0562459E+002, 1.0499117E+002, 5.3984763E+001, 4.4398123E+001, 4.1135345E+001, 2.9313884E+001, 2.4446759E+001, 2.4244413E+001, 2.2877410E+001, 2.0932313E+001, 2.0538479E+001, 2.0518205E+001, 0.0000000E+000, 3.0871267E+001
 3.1004272E+001, 3.9302300E+002, 4.7058862E+002, 4.7035886E+002, 4.5918897E+002, 3.0573349E+002, 1.0296807E+002, 5.3259450E+001, 4.4341791E+001, 4.1014299E+001, 2.9270920E+001, 2.4547753E+001, 2.4438747E+001, 2.3017391E+001, 2.0994389E+001, 2.0540418E+001, 2.0521393E+001, 0.0000000E+000, 3.0968804E+001
 3.1110676E+001, 4.1009290E+002, 4.7032896E+002, 4.7159273E+002, 4.6190405E+002, 3.0442721E+002, 1.0018006E+002, 5.2419785E+001, 4.4110842E+001, 4.0933748E+001, 2.9230136E+001, 2.4652722E+001, 2.4617598E+001, 2.3142517E+001, 2.1057125E+001, 2.0541209E+001, 2.0525727E+001, 0.0000000E+000, 3.1066341E+001
 3.1217079E+001, 4.0246293E+002, 4.6962876E+002, 4.7648332E+002, 4.6716433E+002, 3.0203893E+002, 9.7356270E+001, 5.1523909E+001, 4.3771970E+001, 4.0895892E+001, 2.9196178E+001, 2.4777425E+001, 2.4804654E+001, 2.3282343E+001, 2.1138908E+001, 2.0545282E+001, 2.0527814E+001, 0.0000000E+000, 3.1172745E+001
 3.1305750E+001, 3.7316008E+002, 4.6851336E+002, 4.7961759E+002, 4.6998250E+002, 3.0007743E+002, 9.5086205E+001, 5.0455421E+001, 4.3113276E+001, 4.0888530E+001, 2.9176360E+001, 2.4900963E+001, 2.4955257E+001, 2.3393038E+001, 2.1211582E+001, 2.0546977E+001, 2.0530605E+001, 0.0000000E+000, 3.1270282E+001
 3.1412153E+001, 3.7342729E+002, 4.6762878E+002, 4.7765695E+002, 4.6893071E+002, 2.9925266E+002, 9.4003554E+001, 4.9843199E+001, 4.2732398E+001, 4.0878707E+001, 2.9168597E+001, 2.5033914E+001, 2.5089352E+001, 2.3500982E+001, 2.1293043E+001, 2.0552775E+001, 2.0534505E+001, 0.0000000E+000, 3.1367819E+001
 3.1500824E+001, 3.9188209E+002, 4.6775588E+002, 4.7366510E+002, 4.6410195E+002, 2.9972073E+002, 9.3675975E+001, 4.9348079E+001, 4.2392154E+001, 4.0849297E+001, 2.9171779E+001, 2.5174996E+001, 2.5204633E+001, 2.3600301E+001, 2.1373729E+001, 2.0555858E+001, 2.0534230E+001, 0.0000000E+000, 3.1465356E+001
 3.1607227E+001, 3.8165255E+002, 4.6879895E+002, 4.7176405E+002, 4.5696790E+002, 3.0095143E+002, 9.4015659E+001, 4.9070068E+001, 4.2190766E+001, 4.0803856E+001, 2.9180746E+001, 2.5322470E+001, 2.5293483E+001, 2.3684400E+001, 2.1449703E+001, 2.0557821E+001, 2.0535251E+001, 0.0000000E+000, 3.1562893E+001
 3.1713633E+001, 3.5324005E+002, 4.7013033E+002, 4.7268151E+002, 4.4912321E+002, 3.0257571E+002, 9.5456910E+001, 4.8867415E+001, 4.1967063E+001, 4.0770056E+001, 2.9196496E+001, 2.5489946E+001, 2.5367755E+001, 2.3773685E+001, 2.1539255E+001, 2.0565486E+001, 2.0537491E+001, 0.0000000E+000, 3.1669297E+001
 3.1802301E+001, 3.4912301E+002, 4.7105827E+002, 4.7505708E+002, 4.4306842E+002, 3.0407395E+002, 9.8022782E+001, 4.8844940E+001, 4.1840158E+001, 4.0791417E+001, 2.9220421E+001, 2.5650037E+001, 2.5416890E+001, 2.3846299E+001, 2.1617237E+001, 2.0571370E+001, 2.0538794E+001, 0.0000000E+000, 3.1766834E+001
 3.1908705E+001, 3.4715313E+002, 4.7196078E+002, 4.7753528E+002, 4.3934951E+002, 3.0518018E+002, 1.0091761E+002, 4.8891457E+001, 4.1860863E+001, 4.0892936E+001, 2.9258350E+001, 2.5818459E+001, 2.5454368E+001, 2.3909918E+001, 2.1690673E+001, 2.0576903E+001, 2.0541487E+001, 0.0000000E+000, 3.1864371E+001
 3.2015110E+001, 3.4659988E+002, 4.7362588E+002, 4.7816661E+002, 4.3852740E+002, 3.0568599E+002, 1.0424167E+002, 4.8863578E+001, 4.1636589E+001, 4.1093805E+001, 2.9319785E+001, 2.6011251E+001, 2.5493893E+001, 2.3978900E+001, 2.1774175E+001, 2.0587660E+001, 2.0547064E+001, 0.0000000E+000, 3.1970775E+001
 3.2103779E+001, 3.8994741E+002, 4.7560673E+002, 4.7632850E+002, 4.4080033E+002, 3.0527568E+002, 1.0634663E+002, 4.8631381E+001, 4.1244719E+001, 4.1339153E+001, 2.9396014E+001, 2.6199807E+001, 2.5542830E+001, 2.4042506E+001, 2.1850879E+001, 2.0599554E+001, 2.0553451E+001, 0.0000000E+000, 3.2068312E+001
 3.2210182E+001, 3.9882360E+002, 4.7630415E+002, 4.7375592E+002, 4.4487230E+002, 3.0400837E+002, 1.0712614E+002, 4.8626694E+001, 4.1049395E+001, 4.1620332E+001, 2.9488237E+001, 2.6401541E+001, 2.5604166E+001, 2.4099060E+001, 2.1923709E+001, 2.0611572E+001, 2.0558010E+001, 0.0000000E+000, 3.2165848E+001
 3.2302399E+001, 3.7680645E+002, 4.7559440E+002, 4.7191639E+002, 4.4900045E+002, 3.0236097E+002, 1.0668007E+002, 4.8792457E+001, 4.0931725E+001, 4.1904905E+001, 2.9591645E+001, 2.6624090E+001, 2.5685718E+001, 2.4151623E+001, 2.1995540E+001, 2.0625599E+001, 2.0561989E+001, 0.0000000E+000, 3.2264449E+001
 3.2419445E+001, 3.7762389E+002, 4.7464807E+002, 4.7048275E+002, 4.5135165E+002, 3.0070662E+002, 1.0482063E+002, 4.8980886E+001, 4.0846672E+001, 4.2214169E+001, 2.9715689E+001, 2.6897551E+001, 2.5802974E+001, 2.4200732E+001, 2.2065960E+001, 2.0637516E+001, 2.0561905E+001, 0.0000000E+000, 3.2370676E+001
 3.2505276E+001, 3.9579065E+002, 4.7441844E+002, 4.6935194E+002, 4.5150324E+002, 2.9954489E+002, 1.0216543E+002, 4.9094307E+001, 4.0696484E+001, 4.2527548E+001, 2.9844485E+001, 2.7207450E+001, 2.5948004E+001, 2.4239576E+001, 2.2127852E+001, 2.0648438E+001, 2.0561593E+001, 0.0000000E+000, 3.2473090E+001
 3.2604759E+001, 3.8375659E+002, 4.7440334E+002, 4.6910172E+002, 4.5023578E+002, 2.9912830E+002, 9.9717888E+001, 4.9287321E+001, 4.0559055E+001, 4.2850897E+001, 2.9971465E+001, 2.7549424E+001, 2.6112966E+001, 2.4268775E+001, 2.2179080E+001, 2.0658463E+001, 2.0561100E+001, 0.0000000E+000, 3.2566527E+001
 3.2717888E+001, 3.5734594E+002, 4.7361115E+002, 4.6922849E+002, 4.4804370E+002, 2.9927217E+002, 9.7152464E+001, 4.9579188E+001, 4.0387106E+001, 4.3280162E+001, 3.0124673E+001, 2.8011908E+001, 2.6331162E+001, 2.4291414E+001, 2.2225979E+001, 2.0669447E+001, 2.0561519E+001, 0.0000000E+000, 3.2670750E+001
 3.2808361E+001, 3.6335516E+002, 4.7174585E+002, 4.6878515E+002, 4.4577474E+002, 2.9992361E+002, 9.5089806E+001, 4.9905409E+001, 4.0208256E+001, 4.3785855E+001, 3.0286968E+001, 2.8555258E+001, 2.6579705E+001, 2.4306541E+001, 2.2272430E+001, 2.0680004E+001, 2.0562221E+001, 0.0000000E+000, 3.2773311E+001
 3.2910088E+001, 3.7497185E+002, 4.6944850E+002, 4.6724889E+002, 4.4383780E+002, 3.0074023E+002, 9.3785508E+001, 5.0365149E+001, 4.0100433E+001, 4.4326107E+001, 3.0444282E+001, 2.9131414E+001, 2.6833801E+001, 2.4313531E+001, 2.2309537E+001, 2.0687767E+001, 2.0561219E+001, 0.0000000E+000, 3.2867700E+001
 3.3011810E+001, 3.8155898E+002, 4.6667035E+002, 4.6480049E+002, 4.4177835E+002, 3.0164931E+002, 9.3004575E+001, 5.0851381E+001, 4.0035335E+001, 4.4960085E+001, 3.0616582E+001, 2.9805230E+001, 2.7118774E+001, 2.4312955E+001, 2.2345712E+001, 2.0696255E+001, 2.0559402E+001, 0.0000000E+000, 3.2969426E+001
 3.3105061E+001, 3.9880675E+002, 4.6412686E+002, 4.6306736E+002, 4.3948930E+002, 3.0270856E+002, 9.3060419E+001, 5.0913587E+001, 3.9898462E+001, 4.5576881E+001, 3.0786430E+001, 3.0472075E+001, 2.7399581E+001, 2.4305496E+001, 2.2377923E+001, 2.0709901E+001, 2.0564416E+001, 0.0000000E+000, 3.3067760E+001
 3.3216957E+001, 4.0498420E+002, 4.6204368E+002, 4.6213606E+002, 4.3541417E+002, 3.0379457E+002, 9.4311688E+001, 5.0747469E+001, 3.9862319E+001, 4.6137691E+001, 3.0963182E+001, 3.1130167E+001, 2.7686087E+001, 2.4287044E+001, 2.2401700E+001, 2.0720869E+001, 2.0567805E+001, 0.0000000E+000, 3.3170334E+001
 3.3310207E+001, 3.8434764E+002, 4.6062088E+002, 4.6105223E+002, 4.3201829E+002, 3.0476584E+002, 9.6332407E+001, 5.0327751E+001, 3.9806045E+001, 4.6514294E+001, 3.1142572E+001, 3.1703383E+001, 2.7959137E+001, 2.4263156E+001, 2.2426345E+001, 2.0734437E+001, 2.0571963E+001, 0.0000000E+000, 3.3272907E+001
 3.3403454E+001, 3.8355412E+002, 4.6025859E+002, 4.5948582E+002, 4.3134060E+002, 3.0489535E+002, 9.8550598E+001, 5.0231207E+001, 3.9804374E+001, 4.6594867E+001, 3.1308262E+001, 3.2098908E+001, 2.8183139E+001, 2.4231553E+001, 2.2450977E+001, 2.0753939E+001, 2.0582394E+001, 0.0000000E+000, 3.3366155E+001
 3.3515354E+001, 3.8950598E+002, 4.6215609E+002, 4.5720177E+002, 4.3399912E+002, 3.0488760E+002, 1.0041718E+002, 5.0200000E+001, 3.9722966E+001, 4.6324758E+001, 3.1490958E+001, 3.2347746E+001, 2.8397671E+001, 2.4188578E+001, 2.2472485E+001, 2.0770412E+001, 2.0589805E+001, 0.0000000E+000, 3.3468728E+001
 3.3608601E+001, 3.9165392E+002, 4.6879666E+002, 4.5558504E+002, 4.3782496E+002, 3.0477830E+002, 1.0203004E+002, 5.0212575E+001, 3.9636427E+001, 4.5696408E+001, 3.1678801E+001, 3.2382978E+001, 2.8567533E+001, 2.4134851E+001, 2.2488711E+001, 2.0783259E+001, 2.0593921E+001, 0.0000000E+000, 3.3571302E+001
 3.3705578E+001, 3.9514118E+002, 4.7833771E+002, 4.5732755E+002, 4.3973678E+002, 3.0452211E+002, 1.0269626E+002, 4.9918569E+001, 3.9454267E+001, 4.4856992E+001, 3.1844889E+001, 3.2217725E+001, 2.8672830E+001, 2.4072675E+001, 2.2498838E+001, 2.0793024E+001, 2.0596243E+001, 0.0000000E+000, 3.3665669E+001
 3.3808151E+001, 3.9893143E+002, 4.8380184E+002, 4.6574255E+002, 4.3966985E+002, 3.0441427E+002, 1.0348291E+002, 4.9443519E+001, 3.9105370E+001, 4.3821413E+001, 3.2016976E+001, 3.1865510E+001, 2.8725302E+001, 2.3992204E+001, 2.2506163E+001, 2.0804888E+001, 2.0600281E+001, 0.0000000E+000, 3.3767123E+001
 3.3910725E+001, 3.9115216E+002, 4.8114460E+002, 4.7742426E+002, 4.3986272E+002, 3.0471371E+002, 1.0444087E+002, 4.9377482E+001, 3.9070516E+001, 4.2792900E+001, 3.2183645E+001, 3.1390700E+001, 2.8707789E+001, 2.3896409E+001, 2.2506802E+001, 2.0818097E+001, 2.0605975E+001, 0.0000000E+000, 3.3869697E+001
 3.4013298E+001, 3.6955538E+002, 4.7811446E+002, 4.8199970E+002, 4.4042873E+002, 3.0536913E+002, 1.0548629E+002, 4.9331128E+001, 3.9105001E+001, 4.1907397E+001, 3.2337795E+001, 3.0891092E+001, 2.8623584E+001, 2.3791300E+001, 2.2496872E+001, 2.0829141E+001, 2.0610637E+001, 0.0000000E+000, 3.3972270E+001
 3.4115871E+001, 3.7793155E+002, 4.7982323E+002, 4.7746436E+002, 4.4153625E+002, 3.0611274E+002, 1.0639208E+002, 4.9356347E+001, 3.9203029E+001, 4.1219058E+001, 3.2474370E+001, 3.0444072E+001, 2.8469293E+001, 2.3674977E+001, 2.2478696E+001, 2.0838008E+001, 2.0613548E+001, 0.0000000E+000, 3.4074843E+001
