FDS Case,Wall Clock Time (s),CPU Time (s),Number of Cells,Number of Time Steps,Performance Metric (1e-6)
Timing_Benchmarks/openmp_test128a.out,1011.664,1011.664,2097152,81,5
Timing_Benchmarks/openmp_test128b.out,676.459,676.459,2097152,81,3
Timing_Benchmarks/openmp_test128c.out,577.409,577.409,2097152,81,3
Timing_Benchmarks/openmp_test128d.out,526.182,526.182,2097152,81,3
Timing_Benchmarks/openmp_test128e.out,635.207,635.207,2097152,81,3
Timing_Benchmarks/openmp_test128f.out,617.649,617.649,2097152,81,3
Timing_Benchmarks/openmp_test128g.out,481.627,481.627,2097152,81,2
Timing_Benchmarks/openmp_test128h.out,482.762,482.762,2097152,81,2
Timing_Benchmarks/openmp_test64a.out,1918.487,1918.487,262144,900,8
Timing_Benchmarks/openmp_test64b.out,1333.673,1333.673,262144,900,5
Timing_Benchmarks/openmp_test64c.out,1128.847,1128.847,262144,900,4
Timing_Benchmarks/openmp_test64d.out,1028.862,1028.862,262144,900,4
Timing_Benchmarks/openmp_test64e.out,1287.062,1287.062,262144,900,5
Timing_Benchmarks/openmp_test64f.out,1234.271,1234.271,262144,900,5
Timing_Benchmarks/openmp_test64g.out,958.016,958.016,262144,900,4
Timing_Benchmarks/openmp_test64h.out,946.580,946.580,262144,900,4
Turbulence/csmag0_32.out,186.224,186.224,32768,42,135
Turbulence/csmag_32.out,121.708,121.708,32768,31,119
Turbulence/csmag_64.out,322.816,322.816,262144,61,20
Turbulence/deardorff_32.out,107.094,107.094,32768,28,116
Turbulence/deardorff_64.out,291.641,291.641,262144,58,19
Turbulence/dsmag_32.out,203.691,203.691,32768,46,135
Turbulence/dsmag_64.out,495.324,495.324,262144,80,23
Turbulence/heated_channel_Pr_0p10_32.out,3647.787,3647.787,65536,900,61
Turbulence/heated_channel_Pr_0p71_32.out,3766.713,3766.713,65536,900,63
Turbulence/heated_channel_Pr_1p00_32.out,3786.144,3786.144,65536,900,64
Turbulence/heated_channel_Pr_2p00_32.out,3738.574,3738.574,65536,900,63
Turbulence/mu0_32.out,454.430,454.430,32768,159,87
Turbulence/ramp_prof_u_z.out,3501.742,3501.742,24000,900,162
Turbulence/ribbed_channel_20.out,600.245,600.245,720,900,926
Turbulence/ribbed_channel_40.out,1058.878,1058.878,5760,900,204
Turbulence/ribbed_channel_80.out,5456.528,5456.528,46080,900,131
Turbulence/rng_32.out,115.343,115.343,32768,31,113
Turbulence/rng_64.out,319.144,319.144,262144,61,19
Turbulence/sem_atm_leddy_p2.out,1510.781,1510.781,35937,900,46
Turbulence/sem_flat_leddy_p2.out,1327.320,1327.320,35937,900,41
Turbulence/sem_par_leddy_p2.out,1275.968,1275.968,35937,900,39
Turbulence/sem_ramp_leddy_p2.out,1348.519,1348.519,35937,900,41
Turbulence/vreman_32.out,112.551,112.551,32768,28,122
Turbulence/vreman_64.out,328.007,328.007,262144,60,20
Turbulence/yplus_16.out,481.213,481.213,128,900,4177
Turbulence/yplus_32.out,822.686,822.686,256,900,3570
Turbulence/yplus_8.out,527.726,527.726,64,900,9161
Visualization/objects_dynamic.out,,,65536,0,0
Visualization/objects_static.out,,,1024,0,0
WRF/wrf_prof_ramp.out,38.426,38.426,200,37,5192
WRF/wrf_time_prof_ramp.out,36.533,36.533,200,34,5372
WRF/wrf_time_ramp.out,42.748,42.748,200,28,7633
WUI/dragon_5a.out,1783.952,1783.952,12000,900,165
WUI/pine_needles.out,342.015,342.015,1000,900,380
WUI/random_walk_1.out,299.353,299.353,2000,134,1116
WUI/random_walk_2.out,295.833,295.833,2000,120,1232
