1/m,1/m,1/m,1/m,1/m,1/m
1.796e+06,0,0,0,0,5
1.7984e+06,0,0,0,0,5
1.8008e+06,0,0,0,0,5
1.8032e+06,0,0,0,0,5
1.8056e+06,0,0,0,0,5
1.808e+06,0,0,0,0,5
1.8104e+06,0,0,0,0,5
1.8128e+06,0,0,0,0,5
1.8153e+06,0,0,0,0,5
1.8177e+06,0,0,0,0,5
1.8201e+06,0,0,0,0,5
1.8225e+06,0,0,0,0,5
1.8249e+06,0,0,0,0,5
1.8273e+06,0,0,0,0,5
1.8297e+06,0,0,0,0,5
1.8321e+06,0,0,0,0,5
1.8345e+06,0,0,0,0,5
1.837e+06,0,0,0,0,5
1.8394e+06,0,0,0,0,5
1.8418e+06,0,0,0,0,5
1.8442e+06,0,0,0,0,5
1.8466e+06,0,0,0,0,5
1.849e+06,0,0,0,0,5
1.8514e+06,0,0,0,0,5
1.8538e+06,0,0,0,0,5
1.8562e+06,0,0,0,0,5
1.8586e+06,0,0,0,0,5
1.8611e+06,0,0,0,0,5
1.8635e+06,0,0,0,0,6
1.8659e+06,0,0,0,0,6
1.8683e+06,0,0,0,0,6
1.8707e+06,0,0,0,0,6
1.8731e+06,0,0,0,0,6
1.8755e+06,0,0,0,0,6
1.8779e+06,0,0,0,0,6
1.8803e+06,0,0,0,0,6
1.8828e+06,0,0,0,0,6
1.8852e+06,0,0,0,0,6
1.8876e+06,0,0,0,0,6
1.89e+06,0,0,0,0,6
1.8924e+06,0,0,0,0,6
1.8948e+06,0,0,0,0,6
1.8972e+06,0,0,0,0,6
1.8996e+06,0,0,0,0,6
1.902e+06,0,0,0,0,6
1.9044e+06,0,0,0,0,6
1.9069e+06,0,0,0,0,6
1.9093e+06,0,0,0,0,6
1.9117e+06,0,0,0,0,6
1.9141e+06,0,0,0,0,6
1.9165e+06,0,0,0,0,6
1.9189e+06,0,0,0,0,6
1.9213e+06,0,0,0,0,6
1.9237e+06,0,0,0,0,6
1.9261e+06,0,0,0,0,6
1.9286e+06,0,0,0,0,6
1.931e+06,0,0,0,0,6
1.9334e+06,0,0,0,0,6
1.9358e+06,0,0,0,0,6
1.9382e+06,0,0,0,0,6
1.9406e+06,0,0,0,0,7
1.943e+06,0,0,0,0,7
1.9454e+06,0,0,0,0,7
1.9478e+06,0,0,0,0,7
1.9502e+06,0,0,0,0,7
1.9527e+06,0,0,0,0,7
1.9551e+06,0,0,0,0,7
1.9575e+06,0,0,0,0,7
1.9599e+06,0,0,0,0,7
1.9623e+06,0,0,0,0,7
1.9647e+06,0,0,0,0,7
1.9671e+06,0,0,0,0,7
1.9695e+06,0,0,0,0,7
1.9719e+06,0,0,0,0,7
1.9744e+06,0,0,0,0,7
1.9768e+06,0,0,0,0,7
1.9792e+06,0,0,0,0,8
1.9816e+06,0,0,0,0,8
1.984e+06,0,0,0,0,8
1.9864e+06,0,0,0,0,8
1.9888e+06,0,0,0,0,8
1.9912e+06,0,0,0,0,8
1.9936e+06,0,0,0,0,8
1.996e+06,0,0,0,0,8
1.9985e+06,0,0,0,0,8
2.0009e+06,0,0,0,0,8
2.0033e+06,0,0,0,0,8
2.0057e+06,0,0,0,0,8
2.0081e+06,0,0,0,0,8
2.0105e+06,0,0,0,0,8
2.0129e+06,0,0,0,0,8
2.0153e+06,0,0,0,0,8
2.0177e+06,0,0,0,0,8
2.0202e+06,0,0,0,0,9
2.0226e+06,0,0,0,0,9
2.025e+06,0,0,0,0,9
2.0274e+06,0,0,0,0,9
2.0298e+06,0,0,0,0,9
2.0322e+06,0,0,0,0,9
2.0346e+06,0,0,0,0,9
2.037e+06,0,0,0,0,9
2.0394e+06,0,0,0,0,9
2.0418e+06,0,0,0,0,9
2.0443e+06,0,0,0,0,9
2.0467e+06,0,0,0,0,9
2.0491e+06,0,0,0,0,9
2.0515e+06,0,0,0,0,9
2.0539e+06,0,0,0,0,9
2.0563e+06,0,0,0,0,10
2.0587e+06,0,0,0,0,10
2.0611e+06,0,0,0,0,10
2.0635e+06,0,0,0,0,10
2.066e+06,0,0,0,0,10
2.0684e+06,0,0,0,0,10
2.0708e+06,0,0,0,0,11
2.0732e+06,0,0,0,0,11
2.0756e+06,0,0,0,0,11
2.078e+06,0,0,0,0,11
2.0804e+06,0,0,0,0,11
2.0828e+06,0,0,0,0,11
2.0852e+06,0,0,0,0,12
2.0876e+06,0,0,0,0,12
2.0901e+06,0,0,0,0,12
2.0925e+06,0,0,0,0,12
2.0949e+06,0,0,0,0,12
2.0973e+06,0,0,0,0,12
2.0997e+06,0,0,0,0,13
2.1021e+06,0,0,0,0,13
2.1045e+06,0,0,0,0,13
2.1069e+06,0,0,0,0,13
2.1093e+06,0,0,0,0,13
2.1118e+06,0,0,0,0,13
2.1142e+06,0,0,0,0,14
2.1166e+06,0,0,0,0,14
2.119e+06,0,0,0,0,14
2.1214e+06,0,0,0,0,14
2.1238e+06,0,0,0,0,15
2.1262e+06,0,0,0,0,15
2.1286e+06,0,0,0,0,15
2.131e+06,0,0,0,0,16
2.1335e+06,0,0,0,0,16
2.1359e+06,0,0,0,0,16
2.1383e+06,0,0,0,0,17
2.1407e+06,0,0,0,0,17
2.1431e+06,0,0,0,0,18
2.1455e+06,0,0,0,0,18
2.1479e+06,0,0,0,0,18
2.1503e+06,0,0,0,0,19
2.1527e+06,0,0,0,0,19
2.1551e+06,0,0,0,0,19
2.1576e+06,0,0,0,0,20
2.16e+06,0,0,0,0,20
2.1624e+06,0,0,0,0,21
2.1648e+06,0,0,0,0,21
2.1672e+06,0,0,0,0,21
2.1696e+06,0,0,0,0,22
2.172e+06,0,0,0,0,22
2.1744e+06,0,0,0,0,23
2.1768e+06,0,0,0,0,23
2.1793e+06,0,0,0,0,23
2.1817e+06,0,0,0,0,24
2.1841e+06,0,0,0,0,24
2.1865e+06,0,0,0,0,24
2.1889e+06,0,0,0,0,25
2.1913e+06,0,0,0,0,25
2.1937e+06,0,0,0,0,26
2.1961e+06,0,0,0,0,26
2.1985e+06,0,0,0,0,26
2.2009e+06,0,0,0,0,27
2.2034e+06,0,0,0,0,27
2.2058e+06,0,0,0,0,28
2.2082e+06,0,0,0,0,28
2.2106e+06,0,0,0,0,28
2.213e+06,0,0,0,0,29
2.2154e+06,0,0,0,0,29
2.2178e+06,0,0,0,0,29
2.2202e+06,0,0,0,0,30
2.2226e+06,0,0,0,0,30
2.2251e+06,0,0,0,0,31
2.2275e+06,0,0,0,0,31
2.2299e+06,0,0,0,0,31
2.2323e+06,0,0,0,0,32
2.2347e+06,0,0,0,0,32
2.2371e+06,0,0,0,0,33
2.2395e+06,0,0,0,0,33
2.2419e+06,0,0,0,0,34
2.2443e+06,0,0,0,0,34
2.2467e+06,0,0,0,0,35
2.2492e+06,0,0,0,0,35
2.2516e+06,0,0,0,0,36
2.254e+06,0,0,0,0,36
2.2564e+06,0,0,0,0,37
2.2588e+06,0,0,0,0,37
2.2612e+06,0,0,0,0,38
2.2636e+06,0,0,0,0,38
2.266e+06,0,0,0,0,39
2.2684e+06,0,0,0,0,39
2.2709e+06,0,0,0,0,40
2.2733e+06,0,0,0,0,40
2.2757e+06,0,0,0,0,40
2.2781e+06,0,0,0,0,41
2.2805e+06,0,0,0,0,41
2.2829e+06,0,0,0,0,42
2.2853e+06,0,0,0,0,42
2.2877e+06,0,0,0,0,43
2.2901e+06,0,0,0,0,43
2.2925e+06,0,0,0,0,44
2.295e+06,0,0,0,0,44
2.2974e+06,0,0,0,0,45
2.2998e+06,0,0,0,0,45
2.3022e+06,0,0,0,0,46
2.3046e+06,0,0,0,0,46
2.307e+06,0,0,0,0,47
2.3094e+06,0,0,0,0,47
2.3118e+06,0,0,0,0,48
2.3142e+06,0,0,0,0,49
2.3167e+06,0,0,0,0,49
2.3191e+06,0,0,0,0,50
2.3215e+06,0,0,0,0,51
2.3239e+06,0,0,0,0,51
2.3263e+06,0,0,0,0,52
2.3287e+06,0,0,0,0,53
2.3311e+06,0,0,0,0,53
2.3335e+06,0,0,0,0,54
2.3359e+06,0,0,0,0,55
2.3383e+06,0,0,0,0,55
2.3408e+06,0,0,0,0,56
2.3432e+06,0,0,0,0,57
2.3456e+06,0,0,0,0,57
2.348e+06,0,0,0,0,58
2.3504e+06,0,0,0,0,59
2.3528e+06,0,0,0,0,59
2.3552e+06,0,0,0,0,60
2.3576e+06,0,0,0,0,61
2.36e+06,0,0,0,0,61
2.3625e+06,0,0,0,0,62
2.3649e+06,0,0,0,0,63
2.3673e+06,0,0,0,0,63
2.3697e+06,0,0,0,0,64
2.3721e+06,0,0,0,0,65
2.3745e+06,0,0,0,0,66
2.3769e+06,0,0,0,0,66
2.3793e+06,0,0,0,0,67
2.3817e+06,0,0,0,0,68
2.3842e+06,0,0,0,0,68
2.3866e+06,0,0,0,0,69
2.389e+06,0,0,0,0,70
2.3914e+06,0,0,0,0,70
2.3938e+06,0,0,0,0,71
2.3962e+06,0,0,0,0,72
2.3986e+06,0,0,0,0,74
2.401e+06,0,0,0,0,75
2.4034e+06,0,0,0,0,77
2.4058e+06,0,0,0,0,79
2.4083e+06,0,0,0,0,81
2.4107e+06,0,0,0,0,83
2.4131e+06,0,0,0,0,85
2.4155e+06,0,0,0,0,87
2.4179e+06,0,0,0,0,88
2.4203e+06,0,0,0,0,90
2.4227e+06,0,0,0,0,92
2.4251e+06,0,0,0,0,94
2.4275e+06,0,0,0,0,96
2.43e+06,0,0,0,0,98
2.4324e+06,0,0,0,0,100
2.4348e+06,0,0,0,0,101
2.4372e+06,0,0,0,0,103
2.4396e+06,0,0,0,0,105
2.442e+06,0,0,0,0,107
2.4444e+06,0,0,0,0,108
2.4468e+06,0,0,0,0,109
2.4492e+06,0,0,0,0,110
2.4516e+06,0,0,0,0,110
2.4541e+06,0,0,0,0,111
2.4565e+06,0,0,0,0,112
2.4589e+06,0,0,0,0,113
2.4613e+06,0,0,0,0,114
2.4637e+06,0,0,0,0,115
2.4661e+06,0,0,0,0,116
2.4685e+06,0,0,0,0,117
2.4709e+06,0,0,0,0,118
2.4733e+06,0,0,0,0,119
2.4758e+06,0,0,0,0,120
2.4782e+06,0,0,0,0,121
2.4806e+06,0,0,0,0,122
2.483e+06,0,0,0,0,123
2.4854e+06,0,0,0,0,124
2.4878e+06,0,0,0,0,125
2.4902e+06,0,0,0,0,126
2.4926e+06,0,0,0,0,127
2.495e+06,0,0,0,0,128
2.4974e+06,0,0,0,0,128
2.4999e+06,0,0,0,0,129
2.5023e+06,0,0,0,0,130
2.5047e+06,0,0,0,0,131
2.5071e+06,0,0,0,0,132
2.5095e+06,0,0,0,0,133
2.5119e+06,0,0,0,0,134
2.5143e+06,0,0,0,0,135
2.5167e+06,0,0,0,0,136
2.5191e+06,0,0,0,0,137
2.5216e+06,0,0,0,0,138
2.524e+06,0,0,0,0,139
2.5264e+06,0,0,0,0,140
2.5288e+06,0,0,0,0,141
2.5312e+06,0,0,0,0,142
2.5336e+06,0,0,0,0,143
2.536e+06,0,0,0,0,144
2.5384e+06,0,0,0,0,145
2.5408e+06,0,0,0,0,146
2.5432e+06,0,0,0,0,146
2.5457e+06,0,0,0,0,147
2.5481e+06,0,0,0,0,148
2.5505e+06,0,0,0,0,149
2.5529e+06,0,0,0,0,150
2.5553e+06,0,0,0,0,151
2.5577e+06,0,0,0,0,152
2.5601e+06,0,0,0,0,153
2.5625e+06,0,0,0,0,154
2.5649e+06,0,0,0,0,155
2.5674e+06,0,0,0,0,156
2.5698e+06,0,0,0,0,157
2.5722e+06,0,0,0,0,158
2.5746e+06,0,0,0,0,159
2.577e+06,0,0,0,0,160
2.5794e+06,0,0,0,0,161
2.5818e+06,0,0,0,0,162
2.5842e+06,0,0,0,0,163
2.5866e+06,0,0,0,0,164
2.589e+06,0,0,0,0,165
2.5915e+06,0,0,0,0,166
2.5939e+06,0,0,0,0,167
2.5963e+06,0,0,0,0,168
2.5987e+06,0,0,0,0,169
2.6011e+06,0,0,0,0,170
2.6035e+06,0,0,0,0,172
2.6059e+06,0,0,0,0,173
2.6083e+06,0,0,0,0,174
2.6107e+06,0,0,0,0,175
2.6132e+06,0,0,0,0,176
2.6156e+06,0,0,0,0,177
2.618e+06,0,0,0,0,179
2.6204e+06,0,0,0,0,180
2.6228e+06,0,0,0,0,181
2.6252e+06,0,0,0,0,182
2.6276e+06,0,0,0,0,183
2.63e+06,0,0,0,0,184
2.6324e+06,0,0,0,0,186
2.6348e+06,0,0,0,0,187
2.6373e+06,0,0,0,0,188
2.6397e+06,0,0,0,0,189
2.6421e+06,0,0,0,0,190
2.6445e+06,0,0,0,0,191
2.6469e+06,0,0,0,0,193
2.6493e+06,0,0,0,0,194
2.6517e+06,0,0,0,0,195
2.6541e+06,0,0,0,0,196
2.6565e+06,0,0,0,0,197
2.659e+06,0,0,0,0,199
2.6614e+06,0,0,0,0,200
2.6638e+06,0,0,0,0,201
2.6662e+06,0,0,0,0,202
2.6686e+06,0,0,0,0,203
2.671e+06,0,0,0,0,204
2.6734e+06,0,0,0,0,206
2.6758e+06,0,0,0,0,207
2.6782e+06,0,0,0,0,208
2.6806e+06,0,0,0,0,209
2.6831e+06,0,0,0,0,210
2.6855e+06,0,0,0,0,211
2.6879e+06,0,0,0,0,213
2.6903e+06,0,0,0,0,214
2.6927e+06,0,0,0,0,215
2.6951e+06,0,0,0,0,216
2.6975e+06,0,0,0,0,217
2.6999e+06,0,0,0,0,218
2.7023e+06,0,0,0,0,220
2.7048e+06,0,0,0,0,221
2.7072e+06,0,0,0,0,222
2.7096e+06,0,0,0,0,223
2.712e+06,0,0,0,0,224
2.7144e+06,0,0,0,0,225
2.7168e+06,0,0,0,0,227
2.7192e+06,0,0,0,0,228
2.7216e+06,0,0,0,0,229
2.724e+06,0,0,0,0,230
2.7265e+06,0,0,0,0,231
2.7289e+06,0,0,0,0,233
2.7313e+06,0,0,0,0,234
2.7337e+06,0,0,0,0,235
2.7361e+06,0,0,0,0,236
2.7385e+06,0,0,0,0,237
2.7409e+06,0,0,0,0,238
2.7433e+06,0,0,0,0,240
2.7457e+06,0,0,0,0,241
2.7481e+06,0,0,0,0,242
2.7506e+06,0,0,0,0,243
2.753e+06,0,0,0,0,244
2.7554e+06,0,0,0,0,250
2.7578e+06,0,0,0,0,269
2.7602e+06,0,0,0,0,287
2.7626e+06,0,0,0,0,306
2.765e+06,0,0,0,0,324
2.7674e+06,0,0,0,0,343
2.7698e+06,0,0,0,0,361
2.7723e+06,0,0,0,0,379
2.7747e+06,0,0,0,0,398
2.7771e+06,0,0,0,0,416
2.7795e+06,0,0,0,0,435
2.7819e+06,0,0,0,0,453
2.7843e+06,0,0,0,0,472
2.7867e+06,0,0,0,0,490
2.7891e+06,0,0,0,0,508
2.7915e+06,0,0,0,0,527
2.7939e+06,0,0,0,0,545
2.7964e+06,0,0,0,0,564
2.7988e+06,0,0,0,0,582
2.8012e+06,0,0,0,0,601
2.8036e+06,0,0,0,0,619
2.806e+06,0,0,0,0,637
2.8084e+06,0,0,0,0,656
2.8108e+06,0,0,0,0,674
2.8132e+06,0,0,0,0,693
2.8156e+06,0,0,0,0,711
2.8181e+06,0,0,0,0,730
2.8205e+06,0,0,0,0,748
2.8229e+06,0,0,0,0,766
2.8253e+06,0,0,0,0,785
2.8277e+06,0,0,0,0,803
2.8301e+06,0,0,0,0,822
2.8325e+06,0,0,0,0,840
2.8349e+06,0,0,0,0,859
2.8373e+06,0,0,0,0,877
2.8397e+06,0,0,0,0,895
2.8422e+06,0,0,0,0,914
2.8446e+06,0,0,0,0,932
2.847e+06,0,0,0,0,951
2.8494e+06,0,0,0,0,969
2.8518e+06,0,0,0,0,988
2.8542e+06,0,0,0,0,1006
2.8566e+06,0,0,0,0,1025
2.859e+06,0,0,0,0,1043
2.8614e+06,0,0,0,0,1061
2.8639e+06,0,0,0,0,1080
2.8663e+06,0,0,0,0,1098
2.8687e+06,0,0,0,0,1117
2.8711e+06,0,0,0,0,1135
2.8735e+06,0,0,0,0,1154
2.8759e+06,0,0,0,0,1172
2.8783e+06,0,0,0,0,1190
2.8807e+06,0,0,0,0,1209
2.8831e+06,0,0,0,0,1227
2.8855e+06,0,0,0,0,1246
2.888e+06,0,0,0,0,1264
2.8904e+06,0,0,0,0,1283
2.8928e+06,0,0,0,0,1301
2.8952e+06,0,0,0,0,1319
2.8976e+06,0,0,0,0,1338
2.9e+06,0,0,0,0,1356
2.9024e+06,0,0,0,0,1375
2.9048e+06,0,0,0,0,1393
2.9072e+06,0,0,0,0,1412
2.9097e+06,0,0,0,0,1430
2.9121e+06,0,0,0,0,1448
2.9145e+06,0,0,0,0,1467
2.9169e+06,0,0,0,0,1485
2.9193e+06,0,0,0,0,1504
2.9217e+06,0,0,0,0,1522
2.9241e+06,0,0,0,0,1541
2.9265e+06,0,0,0,0,1559
2.9289e+06,0,0,0,0,1577
2.9314e+06,0,0,0,0,1596
2.9338e+06,0,0,0,0,1614
2.9362e+06,0,0,0,0,1633
2.9386e+06,0,0,0,0,1651
2.941e+06,0,0,0,0,1666
2.9434e+06,0,0,0,0,1681
2.9458e+06,0,0,0,0,1696
2.9482e+06,0,0,0,0,1710
2.9506e+06,0,0,0,0,1725
2.953e+06,0,0,0,0,1740
2.9555e+06,0,0,0,0,1755
2.9579e+06,0,0,0,0,1770
2.9603e+06,0,0,0,0,1785
2.9627e+06,0,0,0,0,1800
2.9651e+06,0,0,0,0,1815
2.9675e+06,0,0,0,0,1830
2.9699e+06,0,0,0,0,1845
2.9723e+06,0,0,0,0,1860
2.9747e+06,0,0,0,0,1875
2.9772e+06,0,0,0,0,1890
2.9796e+06,0,0,0,0,1904
2.982e+06,0,0,0,0,1919
2.9844e+06,0,0,0,0,1934
2.9868e+06,0,0,0,0,1949
2.9892e+06,0,0,0,0,1964
2.9916e+06,0,0,0,0,1979
2.994e+06,0,0,0,0,1994
2.9964e+06,0,0,0,0,2009
2.9988e+06,0,0,0,0,2024
3.0013e+06,0,0,0,0,2039
3.0037e+06,0,0,0,0,2054
3.0061e+06,0,0,0,0,2069
3.0085e+06,0,0,0,0,2083
3.0109e+06,0,0,0,0,2098
3.0133e+06,0,0,0,0,2113
3.0157e+06,0,0,0,0,2128
3.0181e+06,0,0,0,0,2143
3.0205e+06,0,0,0,0,2158
3.023e+06,0,0,0,0,2173
3.0254e+06,0,0,0,0,2188
3.0278e+06,0,0,0,0,2203
3.0302e+06,0,0,0,0,2218
3.0326e+06,0,0,0,0,2233
3.035e+06,0,0,0,0,2248
3.0374e+06,0,0,0,0,2262
3.0398e+06,0,0,0,0,2277
3.0422e+06,0,0,0,0,2292
3.0446e+06,0,0,0,0,2307
3.0471e+06,0,0,0,0,2322
3.0495e+06,0,0,0,0,2337
3.0519e+06,0,0,0,0,2352
3.0543e+06,0,0,0,0,2367
3.0567e+06,0,0,0,0,2382
3.0591e+06,0,0,0,0,2397
3.0615e+06,0,0,0,0,2412
3.0639e+06,0,0,0,0,2427
3.0663e+06,0,0,0,0,2442
3.0688e+06,0,0,0,0,2456
3.0712e+06,0,0,0,0,2471
3.0736e+06,0,0,0,0,2486
3.076e+06,0,0,0,0,2501
3.0784e+06,0,0,0,0,2516
3.0808e+06,0,0,0,0,2556
3.0832e+06,0,0,0,0,2596
3.0856e+06,0,0,0,0,2636
3.088e+06,0,0,0,0,2676
3.0904e+06,0,0,0,0,2716
3.0929e+06,0,0,0,0,2756
3.0953e+06,0,0,0,0,2796
3.0977e+06,0,0,0,0,2836
3.1001e+06,0,0,0,0,2876
3.1025e+06,0,0,0,0,2916
3.1049e+06,0,0,0,0,2956
3.1073e+06,0,0,0,0,2996
3.1097e+06,0,0,0,0,3037
3.1121e+06,0,0,0,0,3077
3.1146e+06,0,0,0,0,3117
3.117e+06,0,0,0,0,3157
3.1194e+06,0,0,0,0,3197
3.1218e+06,0,0,0,0,3237
3.1242e+06,0,0,0,0,3277
3.1266e+06,0,0,0,0,3317
3.129e+06,0,0,0,0,3357
3.1314e+06,0,0,0,0,3397
3.1338e+06,0,0,0,0,3437
3.1362e+06,0,0,0,0,3477
3.1387e+06,0,0,0,0,3517
3.1411e+06,0,0,0,0,3558
3.1435e+06,0,0,0,0,3598
3.1459e+06,0,0,0,0,3638
3.1483e+06,0,0,0,0,3678
3.1507e+06,0,0,0,0,3718
3.1531e+06,0,0,0,0,3756
3.1555e+06,0,0,0,0,3774
3.1579e+06,0,0,0,0,3793
3.1604e+06,0,0,0,0,3811
3.1628e+06,0,0,0,0,3830
3.1652e+06,0,0,0,0,3848
3.1676e+06,0,0,0,0,3867
3.17e+06,0,0,0,0,3886
3.1724e+06,0,0,0,0,3904
3.1748e+06,0,0,0,0,3923
3.1772e+06,0,0,0,0,3941
3.1796e+06,0,0,0,0,3960
3.182e+06,0,0,0,0,3978
3.1845e+06,0,0,0,0,3997
3.1869e+06,0,0,0,0,4016
3.1893e+06,0,0,0,0,4034
3.1917e+06,0,0,0,0,4053
3.1941e+06,0,0,0,0,4071
3.1965e+06,0,0,0,0,4090
3.1989e+06,0,0,0,0,4109
3.2013e+06,0,0,0,0,4127
3.2037e+06,0,0,0,0,4146
3.2062e+06,0,0,0,0,4164
3.2086e+06,0,0,0,0,4183
3.211e+06,0,0,0,0,4201
3.2134e+06,0,0,0,0,4220
3.2158e+06,0,0,0,0,4239
3.2182e+06,0,0,0,0,4257
3.2206e+06,0,0,0,0,4276
3.223e+06,0,0,0,0,4294
3.2254e+06,0,0,0,0,4313
3.2278e+06,0,0,0,0,4331
3.2303e+06,0,0,0,0,4350
3.2327e+06,0,0,0,0,4369
3.2351e+06,0,0,0,0,4387
3.2375e+06,0,0,0,0,4406
3.2399e+06,0,0,0,0,4424
3.2423e+06,0,0,0,0,4443
3.2447e+06,0,0,0,0,4461
3.2471e+06,0,0,0,0,4480
3.2495e+06,0,0,0,0,4499
3.252e+06,0,0,0,0,4517
3.2544e+06,0,0,0,0,4536
3.2568e+06,0,0,0,0,4554
3.2592e+06,0,0,0,0,4573
3.2616e+06,0,0,0,0,4592
3.264e+06,0,0,0,0,4610
3.2664e+06,0,0,0,0,4629
3.2688e+06,0,0,0,0,4647
3.2712e+06,0,0,0,0,4666
3.2737e+06,0,0,0,0,4684
3.2761e+06,0,0,0,0,4703
3.2785e+06,0,0,0,0,4722
3.2809e+06,0,0,0,0,4740
3.2833e+06,0,0,0,0,4759
3.2857e+06,0,0,0,0,4777
3.2881e+06,0,0,0,0,4796
3.2905e+06,0,0,0,0,4814
3.2929e+06,0,0,0,0,4833
3.2953e+06,0,0,0,0,4852
3.2978e+06,0,0,0,0,4870
3.3002e+06,0,0,0,0,4889
3.3026e+06,0,0,0,0,4907
3.305e+06,0,0,0,0,4926
3.3074e+06,0,0,0,0,4944
3.3098e+06,0,0,0,0,4963
3.3122e+06,0,0,0,0,4982
3.3146e+06,0,0,0,0,5000
3.317e+06,0,0,0,0,5019
3.3195e+06,0,0,0,0,5037
3.3219e+06,0,0,0,0,5056
3.3243e+06,0,0,0,0,5075
3.3267e+06,0,0,0,0,5093
3.3291e+06,0,0,0,0,5112
3.3315e+06,0,0,0,0,5130
3.3339e+06,0,0,0,0,5149
3.3363e+06,0,0,0,0,5167
3.3387e+06,0,0,0,0,5186
3.3411e+06,0,0,0,0,5205
3.3436e+06,0,0,0,0,5223
3.346e+06,0,0,0,0,5242
3.3484e+06,0,0,0,0,5260
3.3508e+06,0,0,0,0,5279
3.3532e+06,0,0,0,0,5297
3.3556e+06,0,0,0,0,5316
3.358e+06,0,0,0,0,5335
3.3604e+06,0,0,0,0,5353
3.3628e+06,0,0,0,0,5372
3.3653e+06,0,0,0,0,5390
3.3677e+06,0,0,0,0,5409
3.3701e+06,0,0,0,0,5428
3.3725e+06,0,0,0,0,5446
3.3749e+06,0,0,0,0,5465
3.3773e+06,0,0,0,0,5483
3.3797e+06,0,0,0,0,5502
3.3821e+06,0,0,0,0,5520
3.3845e+06,0,0,0,0,5539
3.3869e+06,0,0,0,0,5558
3.3894e+06,0,0,0,0,5576
3.3918e+06,0,0,0,0,5595
3.3942e+06,0,0,0,0,5613
3.3966e+06,0,0,0,0,5632
3.399e+06,0,0,0,0,5650
3.4014e+06,0,0,0,0,5669
3.4038e+06,0,0,0,0,5684
3.4062e+06,0,0,0,0,5691
3.4086e+06,0,0,0,0,5697
3.4111e+06,0,0,0,0,5704
3.4135e+06,0,0,0,0,5710
3.4159e+06,0,0,0,0,5716
3.4183e+06,0,0,0,0,5723
3.4207e+06,0,0,0,0,5729
3.4231e+06,0,0,0,0,5735
3.4255e+06,0,0,0,0,5742
3.4279e+06,0,0,0,0,5748
3.4303e+06,0,0,0,0,5755
3.4327e+06,0,0,0,0,5761
3.4352e+06,0,0,0,0,5767
3.4376e+06,0,0,0,0,5774
3.44e+06,0,0,0,0,5780
3.4424e+06,0,0,0,0,5787
3.4448e+06,0,0,0,0,5793
3.4472e+06,0,0,0,0,5799
3.4496e+06,0,0,0,0,5806
3.452e+06,0,0,0,0,5812
3.4544e+06,0,0,0,0,5819
3.4569e+06,0,0,0,0,5825
3.4593e+06,0,0,0,0,5831
3.4617e+06,0,0,0,0,5838
3.4641e+06,0,0,0,0,5844
3.4665e+06,0,0,0,0,5850
3.4689e+06,0,0,0,0,5857
3.4713e+06,0,0,0,0,5863
3.4737e+06,0,0,0,0,5870
3.4761e+06,0,0,0,0,5876
3.4785e+06,0,0,0,0,5882
3.481e+06,0,0,0,0,5889
3.4834e+06,0,0,0,0,5895
3.4858e+06,0,0,0,0,5902
3.4882e+06,0,0,0,0,5908
3.4906e+06,0,0,0,0,5914
3.493e+06,0,0,0,0,5921
3.4954e+06,0,0,0,0,5927
3.4978e+06,0,0,0,0,5934
3.5002e+06,0,0,0,0,5940
3.5027e+06,0,0,0,0,5946
3.5051e+06,0,0,0,0,5953
3.5075e+06,0,0,0,0,5959
3.5099e+06,0,0,0,0,5965
3.5123e+06,0,0,0,0,5972
3.5147e+06,0,0,0,0,5978
3.5171e+06,0,0,0,0,5985
3.5195e+06,0,0,0,0,5991
3.5219e+06,0,0,0,0,5997
3.5244e+06,0,0,0,0,6004
3.5268e+06,0,0,0,0,6010
3.5292e+06,0,0,0,0,6017
3.5316e+06,0,0,0,0,6023
3.534e+06,0,0,0,0,6029
3.5364e+06,0,0,0,0,6036
3.5388e+06,0,0,0,0,6042
3.5412e+06,0,0,0,0,6048
3.5436e+06,0,0,0,0,6055
3.546e+06,0,0,0,0,6061
3.5485e+06,0,0,0,0,6068
3.5509e+06,0,0,0,0,6074
3.5533e+06,0,0,0,0,6080
3.5557e+06,0,0,0,0,6087
3.5581e+06,0,0,0,0,6093
3.5605e+06,0,0,0,0,6100
3.5629e+06,0,0,0,0,6106
3.5653e+06,0,0,0,0,6112
3.5677e+06,0,0,0,0,6119
3.5702e+06,0,0,0,0,6125
3.5726e+06,0,0,0,0,6132
3.575e+06,0,0,0,0,6138
3.5774e+06,0,0,0,0,6144
3.5798e+06,0,0,0,0,6151
3.5822e+06,0,0,0,0,6157
3.5846e+06,0,0,0,0,6163
3.587e+06,0,0,0,0,6170
3.5894e+06,0,0,0,0,6176
3.5918e+06,0,0,0,0,6183
3.5943e+06,0,0,0,0,6189
3.5967e+06,0,0,0,0,6195
3.5991e+06,0,0,0,0,6202
3.6015e+06,0,0,0,0,6208
3.6039e+06,0,0,0,0,6215
3.6063e+06,0,0,0,0,6221
3.6087e+06,0,0,0,0,6227
3.6111e+06,0,0,0,0,6234
3.6135e+06,0,0,0,0,6240
3.616e+06,0,0,0,0,6247
3.6184e+06,0,0,0,0,6253
3.6208e+06,0,0,0,0,6259
3.6232e+06,0,0,0,0,6266
3.6256e+06,0,0,0,0,6272
3.628e+06,0,0,0,0,6278
3.6304e+06,0,0,0,0,6285
