x (m), T (C) kappa = 100 1/m, T (C) kappa = 2000 1/m
7.735470941883768048e-02,3.854942704780553413e+02,2.302771452192346260e+02
7.755511022044088432e-02,3.840470594431586733e+02,2.285597361327778572e+02
7.775551102204408815e-02,3.825903738102804255e+02,2.268394246388893976e+02
7.795591182364729199e-02,3.811240515065725276e+02,2.251162163562560750e+02
7.815631262525049583e-02,3.796479256514742247e+02,2.233901170499436830e+02
7.835671342685371354e-02,3.781618243535743886e+02,2.216611326316849500e+02
7.855711422845691738e-02,3.766655704966989333e+02,2.199292691601358456e+02
7.875751503006012122e-02,3.751589815146097635e+02,2.181945328411063656e+02
7.895791583166332506e-02,3.736418691536790675e+02,2.164569300277632351e+02
7.915831663326652889e-02,3.721140392228608107e+02,2.147164672208036222e+02
7.935871743486973273e-02,3.705752913302738989e+02,2.129731510686000320e+02
7.955911823647295045e-02,3.690254186056557728e+02,2.112269883673162667e+02
7.975951903807615428e-02,3.674642074079438316e+02,2.094779860609940556e+02
7.995991983967935812e-02,3.658914370171872861e+02,2.077261512416096139e+02
8.016032064128256196e-02,3.643068793099855611e+02,2.059714911491003591e+02
8.036072144288576580e-02,3.627102984176088967e+02,2.042140131713607047e+02
8.056112224448898351e-02,3.611014503659355341e+02,2.024537248442074429e+02
8.076152304609218735e-02,3.594800826963135023e+02,2.006906338513145442e+02
8.096192384769539119e-02,3.578459340664329602e+02,1.989247480241160133e+02
8.116232464929859503e-02,3.561987338302726585e+02,1.971560753416769671e+02
8.136272545090179886e-02,3.545382015961646403e+02,1.953846239305338486e+02
8.156312625250501658e-02,3.528640467620080017e+02,1.936104020645018409e+02
8.176352705410822042e-02,3.511759680266436590e+02,1.918334181644503360e+02
8.196392785571142425e-02,3.494736528764009336e+02,1.900536807980460026e+02
8.216432865731462809e-02,3.477567770458132372e+02,1.882711986794622021e+02
8.236472945891783193e-02,3.460250039515080971e+02,1.864859806690565733e+02
8.256513026052103577e-02,3.442779840982725545e+02,1.846980357730156470e+02
8.276553106212425348e-02,3.425153544563182777e+02,1.829073731429642180e+02
8.296593186372745732e-02,3.407367378087758425e+02,1.811140020755444198e+02
8.316633266533066116e-02,3.389417420684832223e+02,1.793179320119580780e+02
8.336673346693386499e-02,3.371299595631631973e+02,1.775191725374776865e+02
8.356713426853706883e-02,3.353009662881256645e+02,1.757177333809220272e+02
8.376753507014028655e-02,3.334543211256897166e+02,1.739136244140989334e+02
8.396793587174349038e-02,3.315895650305757272e+02,1.721068556512131522e+02
8.416833667334669422e-02,3.297062201806058965e+02,1.702974372482405556e+02
8.436873747494989806e-02,3.278037890921239068e+02,1.684853795022681879e+02
8.456913827655310190e-02,3.258817536996662056e+02,1.666706928508000942e+02
8.476953907815630573e-02,3.239395743995179373e+02,1.648533878710284171e+02
8.496993987975952345e-02,3.219766890569351290e+02,1.630334752790710127e+02
8.517034068136272729e-02,3.199925119769537787e+02,1.612109659291738808e+02
8.537074148296593112e-02,3.179864328388880494e+02,1.593858708128800004e+02
8.557114228456913496e-02,3.159578155948008771e+02,1.575582010581638883e+02
8.577154308617233880e-02,3.139059973324475550e+02,1.557279679285313136e+02
8.597194388777555651e-02,3.118302871034192094e+02,1.538951828220860989e+02
8.617234468937876035e-02,3.097299647174776283e+02,1.520598572705609399e+02
8.637274549098196419e-02,3.076042795043458682e+02,1.502220029383160522e+02
8.657314629258516803e-02,3.054524490445329548e+02,1.483816316213031428e+02
8.677354709418837186e-02,3.032736578710953381e+02,1.465387552459948211e+02
8.697394789579158958e-02,3.010670561446078182e+02,1.446933858682828031e+02
8.717434869739479342e-02,2.988317583039976171e+02,1.428455356723389968e+02
8.737474949899799725e-02,2.965668416963205800e+02,1.409952169694470285e+02
8.757515030060120109e-02,2.942713451889997032e+02,1.391424421967975036e+02
8.777555110220440493e-02,2.919442677685267427e+02,1.372872239162521169e+02
8.797595190380760877e-02,2.895845671301365201e+02,1.354295748130746802e+02
8.817635270541082648e-02,2.871911582635034392e+02,1.335695076946289532e+02
8.837675350701403032e-02,2.847629120400637248e+02,1.317070354890446993e+02
8.857715430861723416e-02,2.822986538081843264e+02,1.298421712438519080e+02
8.877755511022043799e-02,2.797971620029990163e+02,1.279749281245829593e+02
8.897795591182364183e-02,2.772571667783983003e+02,1.261053194133428974e+02
8.917835671342685955e-02,2.746773486693176665e+02,1.242333585073491804e+02
8.937875751503006339e-02,2.720563372931743515e+02,1.223590589174402226e+02
8.957915831663326722e-02,2.693927100999916320e+02,1.204824342665532981e+02
8.977955911823647106e-02,2.666849911814928191e+02,1.186034982881727160e+02
8.997995991983967490e-02,2.639316501501575658e+02,1.167222648247475831e+02
9.018036072144287874e-02,2.611311010999725113e+02,1.148387478260799526e+02
9.038076152304609645e-02,2.582817016613305441e+02,1.129529613476847203e+02
9.058116232464930029e-02,2.553817521632462331e+02,1.110649195491195087e+02
9.078156312625250413e-02,2.524294949167468758e+02,1.091746366922871516e+02
9.098196392785570796e-02,2.494231136339536761e+02,1.072821271397098712e+02
9.118236472945891180e-02,2.463607329979960241e+02,1.053874053527752039e+02
9.138276553106212952e-02,2.432404183994515279e+02,1.034904858899553801e+02
9.158316633266533335e-02,2.400601758555160359e+02,1.015913834049982256e+02
9.178356713426853719e-02,2.368179521285122746e+02,9.969011264509197190e+01
9.198396793587174103e-02,2.335116350606692777e+02,9.778668844900215618e+01
9.218436873747494487e-02,2.301390541423117497e+02,9.588112574518072506e+01
9.238476953907816258e-02,2.266979813306650158e+02,9.397343954984660286e+01
9.258517034068136642e-02,2.231861321364154378e+02,9.206364496503391592e+01
9.278557114228457026e-02,2.196011669949133420e+02,9.015175717660889632e+01
9.298597194388777409e-02,2.159406929384731484e+02,8.823779145224477816e+01
9.318637274549097793e-02,2.122022655855878384e+02,8.632176313935207190e+01
9.338677354709418177e-02,2.083833914619864913e+02,8.440368766294511715e+01
9.358717434869739948e-02,2.044815306673515352e+02,8.248358052343081681e+01
9.378757515030060332e-02,2.004940999000997408e+02,8.056145729428124014e+01
9.398797595190380716e-02,1.964184758509445032e+02,7.863733361954365364e+01
9.418837675350701100e-02,1.922519989739481048e+02,7.671122521110766002e+01
9.438877755511021483e-02,1.879919776414355397e+02,7.478314784560603812e+01
9.458917835671343255e-02,1.836356926864553429e+02,7.285311736075880162e+01
9.478957915831663639e-02,1.791804023334246949e+02,7.092114965085914946e+01
9.498997995991984022e-02,1.746233475141733038e+02,6.898726066093365716e+01
9.519038076152304406e-02,1.699617575627871702e+02,6.705146637884013217e+01
9.539078156312624790e-02,1.651928562784515861e+02,6.511378282414966634e+01
9.559118236472946561e-02,1.603138683408874385e+02,6.317422603200020603e+01
9.579158316633266945e-02,1.553220260579648766e+02,6.123281202906025555e+01
9.599198396793587329e-02,1.502145764196642972e+02,5.928955679708684556e+01
9.619238476953907713e-02,1.449887884267292293e+02,5.734447621692362418e+01
9.639278557114228096e-02,1.396419606561136106e+02,5.539758598156976177e+01
9.659318637274548480e-02,1.341714290186552034e+02,5.344890146020560451e+01
9.679358717434870252e-02,1.285745746572850408e+02,5.149843748418152245e+01
9.699398797595190636e-02,1.228488319264658912e+02,4.954620800840706352e+01
9.719438877755511019e-02,1.169916963853644916e+02,4.759222557296544664e+01
9.739478957915831403e-02,1.110007327283674954e+02,4.563650044297560271e+01
9.759519038076151787e-02,1.048735825667689596e+02,4.367903922752435619e+01
9.779559118236473558e-02,9.860797196439887102e+01,4.171984265013577442e+01
9.799599198396793942e-02,9.220171861714322858e+01,3.975890192763955611e+01
9.819639278557114326e-02,8.565273855075662368e+01,3.779619284782995692e+01
9.839679358717434710e-02,7.895905219167281075e+01,3.583166600431496818e+01
9.859719438877755093e-02,7.211878963905644468e+01,3.386523053758241986e+01
9.879759519038075477e-02,6.513019492866533255e+01,3.189672673997876018e+01
9.899799599198397249e-02,5.799162902177749856e+01,2.992587920380844935e+01
9.919839679358717632e-02,5.070157115878453169e+01,2.795221513295098248e+01
9.939879759519038016e-02,4.325861805084957723e+01,2.597491816259156394e+01
9.959919839679358400e-02,3.566148005541418797e+01,2.399255686977920732e+01
9.979959919839678784e-02,2.790897273298179471e+01,2.200255046822678651e+01
1.000000000000000056e-01,2.000000000000000000e+01,2.000000000000000000e+01
