 Y,Z,TEMPERATURE
 m,m,C
 0.26000E+01, 0.40000E+00, 0.60200E+02
 0.27000E+01, 0.40000E+00, 0.60669E+02
 0.28000E+01, 0.40000E+00, 0.61792E+02
 0.29000E+01, 0.40000E+00, 0.62158E+02
 0.30000E+01, 0.40000E+00, 0.65110E+02
 0.31000E+01, 0.40000E+00, 0.68963E+02
 0.32000E+01, 0.40000E+00, 0.20000E+02
 0.33000E+01, 0.40000E+00, 0.12444E+03
 0.34000E+01, 0.40000E+00, 0.12415E+03
 0.35000E+01, 0.40000E+00, 0.12241E+03
 0.36000E+01, 0.40000E+00, 0.12047E+03
 0.37000E+01, 0.40000E+00, 0.12028E+03
 0.38000E+01, 0.40000E+00, 0.12083E+03
 0.39000E+01, 0.40000E+00, 0.12113E+03
-0.21000E+01, 0.50000E+00, 0.20000E+02
-0.20000E+01, 0.50000E+00, 0.20001E+02
-0.19000E+01, 0.50000E+00, 0.20004E+02
-0.18000E+01, 0.50000E+00, 0.20005E+02
-0.17000E+01, 0.50000E+00, 0.20007E+02
-0.16000E+01, 0.50000E+00, 0.20009E+02
-0.15000E+01, 0.50000E+00, 0.20008E+02
-0.14000E+01, 0.50000E+00, 0.20005E+02
-0.13000E+01, 0.50000E+00, 0.20002E+02
-0.12000E+01, 0.50000E+00, 0.19999E+02
-0.11000E+01, 0.50000E+00, 0.20000E+02
-0.10000E+01, 0.50000E+00, 0.20002E+02
-0.90000E+00, 0.50000E+00, 0.20001E+02
-0.80000E+00, 0.50000E+00, 0.20001E+02
-0.70000E+00, 0.50000E+00, 0.20001E+02
-0.60000E+00, 0.50000E+00, 0.20001E+02
-0.50000E+00, 0.50000E+00, 0.20001E+02
-0.40000E+00, 0.50000E+00, 0.20001E+02
-0.30000E+00, 0.50000E+00, 0.20000E+02
-0.20000E+00, 0.50000E+00, 0.20000E+02
-0.10000E+00, 0.50000E+00, 0.20000E+02
 0.00000E+00, 0.50000E+00, 0.60724E+02
 0.10000E+00, 0.50000E+00, 0.59481E+02
 0.20000E+00, 0.50000E+00, 0.56730E+02
 0.30000E+00, 0.50000E+00, 0.54590E+02
 0.40000E+00, 0.50000E+00, 0.53850E+02
 0.50000E+00, 0.50000E+00, 0.52767E+02
 0.60000E+00, 0.50000E+00, 0.52056E+02
 0.70000E+00, 0.50000E+00, 0.51679E+02
 0.80000E+00, 0.50000E+00, 0.50804E+02
 0.90000E+00, 0.50000E+00, 0.50038E+02
 0.10000E+01, 0.50000E+00, 0.49699E+02
 0.11000E+01, 0.50000E+00, 0.52084E+02
 0.12000E+01, 0.50000E+00, 0.54334E+02
 0.13000E+01, 0.50000E+00, 0.53833E+02
 0.14000E+01, 0.50000E+00, 0.52779E+02
 0.15000E+01, 0.50000E+00, 0.52166E+02
 0.16000E+01, 0.50000E+00, 0.52144E+02
 0.17000E+01, 0.50000E+00, 0.52383E+02
 0.18000E+01, 0.50000E+00, 0.53139E+02
 0.19000E+01, 0.50000E+00, 0.54299E+02
 0.20000E+01, 0.50000E+00, 0.55306E+02
 0.21000E+01, 0.50000E+00, 0.56273E+02
 0.22000E+01, 0.50000E+00, 0.57264E+02
 0.23000E+01, 0.50000E+00, 0.58464E+02
 0.24000E+01, 0.50000E+00, 0.59828E+02
 0.25000E+01, 0.50000E+00, 0.61133E+02
 0.26000E+01, 0.50000E+00, 0.62127E+02
 0.27000E+01, 0.50000E+00, 0.62540E+02
 0.28000E+01, 0.50000E+00, 0.63373E+02
 0.29000E+01, 0.50000E+00, 0.63199E+02
 0.30000E+01, 0.50000E+00, 0.66269E+02
 0.31000E+01, 0.50000E+00, 0.70275E+02
 0.32000E+01, 0.50000E+00, 0.20000E+02
 0.33000E+01, 0.50000E+00, 0.12664E+03
 0.34000E+01, 0.50000E+00, 0.12673E+03
 0.35000E+01, 0.50000E+00, 0.12642E+03
 0.36000E+01, 0.50000E+00, 0.12542E+03
 0.37000E+01, 0.50000E+00, 0.12486E+03
 0.38000E+01, 0.50000E+00, 0.12491E+03
 0.39000E+01, 0.50000E+00, 0.12478E+03
-0.21000E+01, 0.60000E+00, 0.20001E+02
-0.20000E+01, 0.60000E+00, 0.20003E+02
-0.19000E+01, 0.60000E+00, 0.20006E+02
-0.18000E+01, 0.60000E+00, 0.20009E+02
-0.17000E+01, 0.60000E+00, 0.20010E+02
-0.16000E+01, 0.60000E+00, 0.20009E+02
-0.15000E+01, 0.60000E+00, 0.20006E+02
-0.14000E+01, 0.60000E+00, 0.20004E+02
