s,kW,kg/s,Pa,kg/s,kg/s,C,C,C,C,C,%,%,%,%,%,%,%,%
Time,"HRR","MLR","P_L1","Minlet","Moutlet","TG_L1","TG_L1_SE_105","TG_L1_SE_205","TG_L1_SE_390","TP_L1_WC_350","O2","O2_L1_BAS","O2_L1_MILIEU","O2_L1_HAUT","CO2","CO2_L1_BAS","CO2_L1_MILIEU","CO2_L1_HAUT"
 4.5000140E+002, 5.9391041E+002, 4.7604478E-002, 1.2910635E+002, 1.1143584E+000, 1.2183184E+000, 1.7806662E+002, 1.0665942E+002, 1.6862287E+002, 2.9368992E+002, 1.1556241E+002, 1.6208674E+001, 1.7994817E+001, 1.5308838E+001, 1.5074110E+001, 2.6395361E+000, 1.6616273E+000, 3.1341516E+000, 3.2628354E+000
 4.6000571E+002, 5.9715816E+002, 4.7907899E-002, 1.2855432E+002, 1.1145639E+000, 1.2173293E+000, 1.8024770E+002, 1.0686374E+002, 1.7287916E+002, 2.9770526E+002, 1.1914942E+002, 1.6146297E+001, 1.7935501E+001, 1.5346520E+001, 1.5005021E+001, 2.6736629E+000, 1.6941461E+000, 3.1134931E+000, 3.3007118E+000
 4.7001002E+002, 6.0695819E+002, 4.8600000E-002, 1.3312394E+002, 1.1121295E+000, 1.2185983E+000, 1.8240429E+002, 1.0601170E+002, 1.7122704E+002, 2.9621574E+002, 1.2120565E+002, 1.6079128E+001, 1.7911982E+001, 1.5422999E+001, 1.4790026E+001, 2.7103858E+000, 1.7070396E+000, 3.0715655E+000, 3.4185776E+000
 4.8001432E+002, 6.2064170E+002, 4.9572505E-002, 1.4256560E+002, 1.1070305E+000, 1.2173990E+000, 1.8456591E+002, 1.1088730E+002, 1.7503694E+002, 2.9488946E+002, 1.2552572E+002, 1.6022437E+001, 1.7887582E+001, 1.5288863E+001, 1.4820845E+001, 2.7415070E+000, 1.7204167E+000, 3.1451023E+000, 3.4016819E+000
 4.9000851E+002, 6.3325777E+002, 5.0707954E-002, 1.5054734E+002, 1.1028559E+000, 1.2198478E+000, 1.8701146E+002, 1.1126259E+002, 1.8173119E+002, 3.0659971E+002, 1.2928132E+002, 1.5953146E+001, 1.7822901E+001, 1.4976043E+001, 1.4701050E+001, 2.7794196E+000, 1.7558763E+000, 3.3165986E+000, 3.4673567E+000
 5.0001264E+002, 6.4209192E+002, 5.1400000E-002, 1.4757462E+002, 1.1043764E+000, 1.2147486E+000, 1.8960683E+002, 1.1839739E+002, 1.8399174E+002, 3.1018489E+002, 1.3499131E+002, 1.5878507E+001, 1.7794358E+001, 1.5095151E+001, 1.4724995E+001, 2.8202551E+000, 1.7715247E+000, 3.2513001E+000, 3.4542293E+000
 5.1001397E+002, 6.4606392E+002, 5.1767342E-002, 1.4117407E+002, 1.1077133E+000, 1.2069171E+000, 1.9201125E+002, 1.1430442E+002, 1.8784882E+002, 3.1492157E+002, 1.3988592E+002, 1.5810661E+001, 1.7810386E+001, 1.4749742E+001, 1.4555471E+001, 2.8573794E+000, 1.7627377E+000, 3.4406628E+000, 3.5471671E+000
 5.2001178E+002, 6.6596112E+002, 5.3402436E-002, 1.7637690E+002, 1.0887997E+000, 1.2231236E+000, 1.9505049E+002, 1.2225985E+002, 1.8483247E+002, 3.1842912E+002, 1.4274187E+002, 1.5731796E+001, 1.7723900E+001, 1.4982985E+001, 1.4437090E+001, 2.9006209E+000, 1.8101511E+000, 3.3127927E+000, 3.6120668E+000
 5.3000755E+002, 6.7854277E+002, 5.4200000E-002, 1.8017335E+002, 1.0867835E+000, 1.2189570E+000, 1.9821872E+002, 1.2187874E+002, 1.9201629E+002, 3.2220888E+002, 1.4407007E+002, 1.5654900E+001, 1.7592481E+001, 1.4748796E+001, 1.4416065E+001, 2.9427003E+000, 1.8821987E+000, 3.4411813E+000, 3.6235929E+000
 5.4001160E+002, 6.7896689E+002, 5.4567468E-002, 1.5570549E+002, 1.0996811E+000, 1.2073682E+000, 2.0044230E+002, 1.1806453E+002, 1.9918921E+002, 3.2115727E+002, 1.4997769E+002, 1.5591714E+001, 1.7573670E+001, 1.4544888E+001, 1.4463746E+001, 2.9772958E+000, 1.8925111E+000, 3.5529691E+000, 3.5974531E+000
