s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kW,kW,kW,kW,kg
 2.3000090E+002, 1.8374698E-001, 1.9670368E-001, 5.8126323E-005, 1.4295974E-002, 1.7028948E+002, 9.6027257E+001, 1.7745799E+002, 1.2075579E+003, 1.2842626E-001, 1.2842626E-001, 1.2842626E-001, 1.2842626E-001, 1.2842626E-001, 4.5208259E-002
 2.3100284E+002, 1.8228565E-001, 1.9685193E-001, 6.1693075E-005, 1.5150169E-002, 1.7980524E+002, 9.7076084E+001, 1.7299956E+002, 1.2008619E+003, 1.1369094E-001, 1.1369094E-001, 1.1369094E-001, 1.1369094E-001, 1.1369094E-001, 4.5499101E-002
 2.3200884E+002, 1.8283241E-001, 1.9640131E-001, 6.0359027E-005, 1.4830577E-002, 1.7074328E+002, 9.8910799E+001, 1.6531469E+002, 1.1504632E+003, 9.4731196E-002, 9.4731196E-002, 9.4731196E-002, 9.4731196E-002, 9.4731196E-002, 4.5793857E-002
 2.3300318E+002, 1.8263177E-001, 1.9503536E-001, 6.0848635E-005, 1.4947791E-002, 1.7181857E+002, 9.9413671E+001, 1.6501786E+002, 1.2068367E+003, 1.1710832E-001, 1.1710832E-001, 1.1710832E-001, 1.1710832E-001, 1.1710832E-001, 4.6092575E-002
 2.3400067E+002, 1.8324289E-001, 1.9262774E-001, 5.9357284E-005, 1.4590670E-002, 1.6498010E+002, 9.9894358E+001, 1.7506524E+002, 1.1763016E+003, 1.7276213E-001, 1.7276213E-001, 1.7276213E-001, 1.7276213E-001, 1.7276213E-001, 4.6389146E-002
 2.3500852E+002, 1.8317948E-001, 1.9115767E-001, 5.9511617E-005, 1.4627587E-002, 1.6022956E+002, 1.0011592E+002, 1.6038023E+002, 1.1885122E+003, 1.3871258E-001, 1.3871258E-001, 1.3871258E-001, 1.3871258E-001, 1.3871258E-001, 4.6672910E-002
 2.3600409E+002, 1.8278089E-001, 1.9316049E-001, 6.0484796E-005, 1.4860523E-002, 1.5883199E+002, 9.9065303E+001, 1.6496072E+002, 1.2043804E+003, 1.0493002E-001, 1.0493002E-001, 1.0493002E-001, 1.0493002E-001, 1.0493002E-001, 4.6971626E-002
 2.3700727E+002, 1.8279335E-001, 1.9466160E-001, 6.0454449E-005, 1.4853380E-002, 1.7016045E+002, 1.0062062E+002, 1.6956234E+002, 1.2393682E+003, 1.0456045E-001, 1.0456045E-001, 1.0456045E-001, 1.0456045E-001, 1.0456045E-001, 4.7274704E-002
 2.3800285E+002, 1.8176226E-001, 1.9385954E-001, 6.2970303E-005, 1.5455956E-002, 1.8284597E+002, 1.0129581E+002, 1.5405922E+002, 1.1581696E+003, 1.1541636E-001, 1.1541636E-001, 1.1541636E-001, 1.1541636E-001, 1.1541636E-001, 4.7562134E-002
 2.3900746E+002, 1.8141740E-001, 1.9310094E-001, 6.3812202E-005, 1.5657559E-002, 1.8319529E+002, 1.0418170E+002, 1.6056396E+002, 1.2379024E+003, 1.3407611E-001, 1.3407611E-001, 1.3407611E-001, 1.3407611E-001, 1.3407611E-001, 4.7862166E-002
 2.4001010E+002, 1.8116786E-001, 1.9239421E-001, 6.4421455E-005, 1.5803279E-002, 1.8108829E+002, 1.0205386E+002, 1.6329057E+002, 1.1872781E+003, 1.2316232E-001, 1.2316232E-001, 1.2316232E-001, 1.2316232E-001, 1.2316232E-001, 4.8160851E-002
 2.4101011E+002, 1.8130083E-001, 1.9135763E-001, 6.4097158E-005, 1.5725651E-002, 1.7764468E+002, 1.0032556E+002, 1.4819613E+002, 1.1555572E+003, 9.5326632E-002, 9.5326632E-002, 9.5326632E-002, 9.5326632E-002, 9.5326632E-002, 4.8451177E-002
 2.4200753E+002, 1.8169862E-001, 1.9072486E-001, 6.3126458E-005, 1.5493127E-002, 1.7254049E+002, 1.0203308E+002, 1.3767098E+002, 1.1588095E+003, 1.1795667E-001, 1.1795667E-001, 1.1795667E-001, 1.1795667E-001, 1.1795667E-001, 4.8742487E-002
 2.4300704E+002, 1.8202124E-001, 1.9119531E-001, 6.2338784E-005, 1.5304521E-002, 1.6815126E+002, 1.0222781E+002, 1.4152274E+002, 1.2917674E+003, 1.4970920E-001, 1.4970920E-001, 1.4970920E-001, 1.4970920E-001, 1.4970920E-001, 4.9041099E-002
 2.4400709E+002, 1.8188852E-001, 1.9210336E-001, 6.2662762E-005, 1.5382165E-002, 1.6863955E+002, 1.0101145E+002, 1.5818908E+002, 1.1520531E+003, 1.4585836E-001, 1.4585836E-001, 1.4585836E-001, 1.4585836E-001, 1.4585836E-001, 4.9346601E-002
 2.4501071E+002, 1.8158623E-001, 1.9197017E-001, 6.3400576E-005, 1.5558835E-002, 1.7002517E+002, 1.0221263E+002, 1.2802527E+002, 1.1514080E+003, 9.2295803E-002, 9.2295803E-002, 9.2295803E-002, 9.2295803E-002, 9.2295803E-002, 4.9625626E-002
 2.4601176E+002, 1.7933253E-001, 1.9155184E-001, 6.8900993E-005, 1.6876019E-002, 1.8658364E+002, 1.0289547E+002, 1.3301607E+002, 1.1714397E+003, 9.2839488E-002, 9.2839488E-002, 9.2839488E-002, 9.2839488E-002, 9.2839488E-002, 4.9928908E-002
 2.4700900E+002, 1.7977268E-001, 1.9176366E-001, 6.7826878E-005, 1.6618782E-002, 1.8106896E+002, 1.0311136E+002, 1.4347694E+002, 1.2405501E+003, 1.3767051E-001, 1.3767051E-001, 1.3767051E-001, 1.3767051E-001, 1.3767051E-001, 5.0232957E-002
 2.4800496E+002, 1.8037153E-001, 1.9180756E-001, 6.6365942E-005, 1.6268920E-002, 1.7472938E+002, 1.0448315E+002, 1.4863123E+002, 1.1986159E+003, 1.4343259E-001, 1.4343259E-001, 1.4343259E-001, 1.4343259E-001, 1.4343259E-001, 5.0531411E-002
 2.4900940E+002, 1.7998486E-001, 1.9133376E-001, 6.7309359E-005, 1.6494854E-002, 1.7980489E+002, 1.0400937E+002, 1.2471565E+002, 1.1865510E+003, 1.2964572E-001, 1.2964572E-001, 1.2964572E-001, 1.2964572E-001, 1.2964572E-001, 5.0812359E-002
 2.5000187E+002, 1.8012953E-001, 1.9074277E-001, 6.6956339E-005, 1.6410321E-002, 1.7995080E+002, 1.0278725E+002, 1.4355880E+002, 1.2262598E+003, 1.8097922E-001, 1.8097922E-001, 1.8097922E-001, 1.8097922E-001, 1.8097922E-001, 5.1121392E-002
 2.5100684E+002, 1.8057810E-001, 1.9021495E-001, 6.5861335E-005, 1.6148157E-002, 1.7854745E+002, 1.0248399E+002, 1.3026205E+002, 1.1392058E+003, 1.2650698E-001, 1.2650698E-001, 1.2650698E-001, 1.2650698E-001, 1.2650698E-001, 5.1406568E-002
 2.5200123E+002, 1.8074392E-001, 1.9006930E-001, 6.5456274E-005, 1.6051179E-002, 1.8086758E+002, 1.0517235E+002, 1.2067957E+002, 1.2038692E+003, 1.1472375E-001, 1.1472375E-001, 1.1472375E-001, 1.1472375E-001, 1.1472375E-001, 5.1699881E-002
 2.5300364E+002, 1.8084779E-001, 1.9037254E-001, 6.5202617E-005, 1.5990479E-002, 1.8158806E+002, 1.0628674E+002, 1.3002591E+002, 1.2114359E+003, 1.4257233E-001, 1.4257233E-001, 1.4257233E-001, 1.4257233E-001, 1.4257233E-001, 5.2004225E-002
 2.5400013E+002, 1.8050832E-001, 1.9009796E-001, 6.6030963E-005, 1.6188916E-002, 1.8236264E+002, 1.0685553E+002, 1.3246124E+002, 1.2139546E+003, 1.3930218E-001, 1.3930218E-001, 1.3930218E-001, 1.3930218E-001, 1.3930218E-001, 5.2303388E-002
 2.5500499E+002, 1.8021818E-001, 1.8938661E-001, 6.6739228E-005, 1.6358555E-002, 1.8273623E+002, 1.0765425E+002, 1.1493023E+002, 1.1697687E+003, 1.4001331E-001, 1.4001331E-001, 1.4001331E-001, 1.4001331E-001, 1.4001331E-001, 5.2588180E-002
 2.5600519E+002, 1.7973620E-001, 1.8877347E-001, 6.7915528E-005, 1.6640247E-002, 1.8101093E+002, 1.0748287E+002, 1.2546327E+002, 1.2333790E+003, 1.5902389E-001, 1.5902389E-001, 1.5902389E-001, 1.5902389E-001, 1.5902389E-001, 5.2891873E-002
 2.5700906E+002, 1.7943303E-001, 1.8914958E-001, 6.8655680E-005, 1.6817481E-002, 1.7966376E+002, 1.0888169E+002, 1.2438384E+002, 1.1535070E+003, 1.2746956E-001, 1.2746956E-001, 1.2746956E-001, 1.2746956E-001, 1.2746956E-001, 5.3189503E-002
 2.5800182E+002, 1.7912470E-001, 1.8987506E-001, 6.9408410E-005, 1.6997708E-002, 1.8243443E+002, 1.1063155E+002, 1.0686455E+002, 1.1977912E+003, 1.2089444E-001, 1.2089444E-001, 1.2089444E-001, 1.2089444E-001, 1.2089444E-001, 5.3479005E-002
 2.5900464E+002, 1.7862970E-001, 1.8997850E-001, 7.0616199E-005, 1.7287036E-002, 1.8631356E+002, 1.0856192E+002, 1.1041596E+002, 1.2156834E+003, 1.5565184E-001, 1.5565184E-001, 1.5565184E-001, 1.5565184E-001, 1.5565184E-001, 5.3779634E-002
 2.6000449E+002, 1.7830566E-001, 1.8998101E-001, 7.1406996E-005, 1.7476447E-002, 1.8530934E+002, 1.0919985E+002, 1.1311314E+002, 1.2058478E+003, 1.3927472E-001, 1.3927472E-001, 1.3927472E-001, 1.3927472E-001, 1.3927472E-001, 5.4077337E-002
 2.6100369E+002, 1.7857987E-001, 1.8952217E-001, 7.0737899E-005, 1.7316177E-002, 1.8395151E+002, 1.1037117E+002, 1.0293654E+002, 1.1557109E+003, 1.4020885E-001, 1.4020885E-001, 1.4020885E-001, 1.4020885E-001, 1.4020885E-001, 5.4367982E-002
 2.6200073E+002, 1.7878568E-001, 1.8836357E-001, 7.0235367E-005, 1.7195847E-002, 1.8013270E+002, 1.1242440E+002, 1.0803989E+002, 1.2207237E+003, 1.9756466E-001, 1.9756466E-001, 1.9756466E-001, 1.9756466E-001, 1.9756466E-001, 5.4667121E-002
 2.6301016E+002, 1.7891596E-001, 1.8729645E-001, 6.9917251E-005, 1.7119664E-002, 1.7837646E+002, 1.1347041E+002, 1.0139311E+002, 1.1705658E+003, 1.6820063E-001, 1.6820063E-001, 1.6820063E-001, 1.6820063E-001, 1.6820063E-001, 5.4955963E-002
 2.6400445E+002, 1.7868781E-001, 1.8718488E-001, 7.0474401E-005, 1.7253079E-002, 1.8013856E+002, 1.1306505E+002, 9.6053506E+001, 1.1842357E+003, 1.2974292E-001, 1.2974292E-001, 1.2974292E-001, 1.2974292E-001, 1.2972983E-001, 5.5252748E-002
 2.6500434E+002, 1.7851557E-001, 1.8741964E-001, 7.0894829E-005, 1.7353781E-002, 1.7864907E+002, 1.1247851E+002, 1.0888244E+002, 1.2196465E+003, 1.8443497E-001, 1.8443497E-001, 1.8443497E-001, 1.8443497E-001, 1.8443497E-001, 5.5558016E-002
 2.6600684E+002, 1.7841092E-001, 1.8679721E-001, 7.1150420E-005, 1.7414954E-002, 1.8048397E+002, 1.1186203E+002, 1.0461092E+002, 1.1804270E+003, 1.6198358E-001, 1.6198358E-001, 1.6198358E-001, 1.6198358E-001, 1.6198358E-001, 5.5848964E-002
 2.6700464E+002, 1.7797853E-001, 1.8578680E-001, 7.2205704E-005, 1.7667707E-002, 1.8308208E+002, 1.1289377E+002, 8.7051452E+001, 1.1873636E+003, 1.3156838E-001, 1.3156838E-001, 1.3156838E-001, 1.3156838E-001, 1.3156838E-001, 5.6134438E-002
 2.6800413E+002, 1.7752992E-001, 1.8513826E-001, 7.3300341E-005, 1.7929943E-002, 1.8557439E+002, 1.1513644E+002, 1.0202461E+002, 1.2241972E+003, 1.6806625E-001, 1.6806625E-001, 1.6806625E-001, 1.6806625E-001, 1.6806625E-001, 5.6445494E-002
 2.6900026E+002, 1.7720712E-001, 1.8486838E-001, 7.4088327E-005, 1.8118644E-002, 1.8593372E+002, 1.1726214E+002, 1.0082102E+002, 1.1732520E+003, 1.8300682E-001, 1.8300682E-001, 1.8300682E-001, 1.8300682E-001, 1.8300682E-001, 5.6737117E-002
 2.7000184E+002, 1.7658383E-001, 1.8499826E-001, 7.5609387E-005, 1.8483056E-002, 1.8939279E+002, 1.1540528E+002, 9.5995125E+001, 1.1973773E+003, 1.6189619E-001, 1.6189619E-001, 1.6189619E-001, 1.6189619E-001, 1.6189619E-001, 5.7031611E-002
 2.7100225E+002, 1.7686233E-001, 1.8547630E-001, 7.4929862E-005, 1.8320274E-002, 1.8652665E+002, 1.1459605E+002, 9.1844874E+001, 1.2142345E+003, 1.6830764E-001, 1.6830764E-001, 1.6830764E-001, 1.6830764E-001, 1.6830764E-001, 5.7326880E-002
 2.7200569E+002, 1.7716345E-001, 1.8509027E-001, 7.4194906E-005, 1.8144232E-002, 1.8443778E+002, 1.1783906E+002, 1.0295710E+002, 1.2005419E+003, 2.0926389E-001, 2.0926389E-001, 2.0926389E-001, 2.0926389E-001, 2.0926389E-001, 5.7627815E-002
 2.7300844E+002, 1.7689566E-001, 1.8407648E-001, 7.4848298E-005, 1.8300744E-002, 1.8767882E+002, 1.1583311E+002, 8.6070956E+001, 1.1729131E+003, 1.8413377E-001, 1.8413377E-001, 1.8413377E-001, 1.8413377E-001, 1.8413377E-001, 5.7913667E-002
 2.7400832E+002, 1.7701584E-001, 1.8321847E-001, 7.4554757E-005, 1.8230430E-002, 1.8494020E+002, 1.1632971E+002, 8.2512938E+001, 1.1949578E+003, 1.3884042E-001, 1.3884042E-001, 1.3884042E-001, 1.3884042E-001, 1.3884042E-001, 5.8211791E-002
 2.7500248E+002, 1.7708447E-001, 1.8279483E-001, 7.4387354E-005, 1.8190311E-002, 1.7902744E+002, 1.1763711E+002, 9.0467845E+001, 1.2182222E+003, 1.7262589E-001, 1.7262589E-001, 1.7262589E-001, 1.7262589E-001, 1.7262589E-001, 5.8519224E-002
 2.7600906E+002, 1.7664348E-001, 1.8264324E-001, 7.5464211E-005, 1.8448254E-002, 1.8296506E+002, 1.1906127E+002, 7.5524649E+001, 1.1803611E+003, 1.3203655E-001, 1.3203655E-001, 1.3203655E-001, 1.3203655E-001, 1.3203655E-001, 5.8809916E-002
 2.7700527E+002, 1.7550554E-001, 1.8287974E-001, 7.8240474E-005, 1.9113338E-002, 1.9181426E+002, 1.1800777E+002, 6.8839813E+001, 1.1606005E+003, 1.4113378E-001, 1.4113378E-001, 1.4113378E-001, 1.4113378E-001, 1.4113378E-001, 5.9107894E-002
 2.7800405E+002, 1.7555772E-001, 1.8271818E-001, 7.8113345E-005, 1.9082854E-002, 1.8893971E+002, 1.1891590E+002, 8.2392693E+001, 1.2164087E+003, 2.0883826E-001, 2.0883826E-001, 2.0883826E-001, 2.0883826E-001, 2.0883826E-001, 5.9413716E-002
 2.7900442E+002, 1.7570248E-001, 1.8216277E-001, 7.7760112E-005, 1.8998216E-002, 1.8424053E+002, 1.1900465E+002, 8.8843699E+001, 1.1767336E+003, 1.7499257E-001, 1.7499257E-001, 1.7499257E-001, 1.7499257E-001, 1.7499257E-001, 5.9710148E-002
 2.8000882E+002, 1.7567276E-001, 1.8179013E-001, 7.7832621E-005, 1.9015547E-002, 1.8099707E+002, 1.2195514E+002, 8.3880971E+001, 1.2359838E+003, 1.8564849E-001, 1.8564849E-001, 1.8564849E-001, 1.8564849E-001, 1.8564849E-001, 6.0009537E-002
 2.8100129E+002, 1.7528681E-001, 1.8167003E-001, 7.8774552E-005, 1.9241208E-002, 1.8402110E+002, 1.2162489E+002, 7.9664940E+001, 1.1680736E+003, 1.6519826E-001, 1.6519826E-001, 1.6519826E-001, 1.6519826E-001, 1.6519826E-001, 6.0304831E-002
 2.8200786E+002, 1.7464635E-001, 1.8180023E-001, 8.0337256E-005, 1.9615613E-002, 1.8719944E+002, 1.2531257E+002, 6.8727892E+001, 1.1862072E+003, 1.5681037E-001, 1.5681037E-001, 1.5681037E-001, 1.5681037E-001, 1.5681037E-001, 6.0598791E-002
 2.8300219E+002, 1.7454737E-001, 1.8265452E-001, 8.0578906E-005, 1.9673481E-002, 1.8436660E+002, 1.2446691E+002, 6.8747151E+001, 1.1373473E+003, 1.3900225E-001, 1.3900225E-001, 1.3900225E-001, 1.3900225E-001, 1.3900225E-001, 6.0900496E-002
 2.8401020E+002, 1.7476308E-001, 1.8324150E-001, 8.0052226E-005, 1.9547375E-002, 1.8142541E+002, 1.2405961E+002, 6.2713026E+001, 1.2449186E+003, 1.5391420E-001, 1.5391420E-001, 1.5391420E-001, 1.5391420E-001, 1.5391420E-001, 6.1199065E-002
 2.8500528E+002, 1.7495593E-001, 1.8241888E-001, 7.9581417E-005, 1.9434621E-002, 1.8149100E+002, 1.2515421E+002, 7.3086792E+001, 1.1993061E+003, 1.8202859E-001, 1.8202859E-001, 1.8202859E-001, 1.8202859E-001, 1.8202859E-001, 6.1504519E-002
 2.8600228E+002, 1.7434614E-001, 1.8060475E-001, 8.1069545E-005, 1.9791075E-002, 1.8444845E+002, 1.2733866E+002, 8.1066665E+001, 1.2126392E+003, 2.0698254E-001, 2.0698254E-001, 2.0698254E-001, 2.0698254E-001, 2.0698254E-001, 6.1809556E-002
 2.8700641E+002, 1.7327792E-001, 1.7908109E-001, 8.3677095E-005, 2.0415660E-002, 1.9272567E+002, 1.2130547E+002, 6.1442298E+001, 1.1866800E+003, 2.0441602E-001, 2.0441602E-001, 2.0441602E-001, 2.0441602E-001, 2.0441602E-001, 6.2092255E-002
 2.8800661E+002, 1.7331608E-001, 1.7891082E-001, 8.3583662E-005, 2.0393313E-002, 1.9017511E+002, 1.2165946E+002, 7.4959820E+001, 1.2084244E+003, 1.5706449E-001, 1.5706449E-001, 1.5706449E-001, 1.5706449E-001, 1.5706449E-001, 6.2402070E-002
 2.8900012E+002, 1.7338896E-001, 1.7986411E-001, 8.3405761E-005, 2.0350704E-002, 1.8803682E+002, 1.2278207E+002, 6.0907620E+001, 1.1126680E+003, 1.5706216E-001, 1.5706216E-001, 1.5706216E-001, 1.5706216E-001, 1.5706216E-001, 6.2694570E-002
 2.9000362E+002, 1.7341167E-001, 1.8124350E-001, 8.3350377E-005, 2.0337444E-002, 1.8833808E+002, 1.2270073E+002, 5.8749910E+001, 1.2054177E+003, 1.6021942E-001, 1.6021942E-001, 1.6021942E-001, 1.6021942E-001, 1.6021942E-001, 6.2993991E-002
 2.9100166E+002, 1.7335647E-001, 1.8148911E-001, 8.3484569E-005, 2.0369733E-002, 1.8573300E+002, 1.2364568E+002, 6.6810041E+001, 1.1680061E+003, 1.8467919E-001, 1.8467919E-001, 1.8467919E-001, 1.8467919E-001, 1.8467919E-001, 6.3300088E-002
 2.9200345E+002, 1.7314649E-001, 1.8013561E-001, 8.3997396E-005, 2.0492565E-002, 1.8737309E+002, 1.2404209E+002, 6.1855611E+001, 1.2239366E+003, 2.1027928E-001, 2.1027928E-001, 2.1027928E-001, 2.1027928E-001, 2.1027928E-001, 6.3593710E-002
 2.9300980E+002, 1.7281937E-001, 1.7886230E-001, 8.4795915E-005, 2.0683822E-002, 1.9227276E+002, 1.2371999E+002, 6.4606938E+001, 1.1741156E+003, 1.9359149E-001, 1.9359149E-001, 1.9359149E-001, 1.9359149E-001, 1.9359149E-001, 6.3893861E-002
 2.9400818E+002, 1.7258692E-001, 1.7879954E-001, 8.5363345E-005, 2.0819697E-002, 1.9498247E+002, 1.2368780E+002, 6.7997954E+001, 1.2221766E+003, 2.1468108E-001, 2.1468108E-001, 2.1468108E-001, 2.1468108E-001, 2.1468108E-001, 6.4198213E-002
 2.9501216E+002, 1.7243336E-001, 1.7893135E-001, 8.5738201E-005, 2.0909442E-002, 1.9613501E+002, 1.2756456E+002, 6.6682784E+001, 1.2054250E+003, 1.9893667E-001, 1.9893667E-001, 1.9893667E-001, 1.9893667E-001, 1.9893667E-001, 6.4498402E-002
 2.9600408E+002, 1.7251157E-001, 1.7879718E-001, 8.5547313E-005, 2.0863741E-002, 1.9531266E+002, 1.2839927E+002, 5.7566491E+001, 1.2082163E+003, 1.8029335E-001, 1.8029335E-001, 1.8029335E-001, 1.8029335E-001, 1.8029335E-001, 6.4793701E-002
 2.9700957E+002, 1.7215065E-001, 1.7865813E-001, 8.6428102E-005, 2.1074727E-002, 1.9556803E+002, 1.2951040E+002, 6.1119649E+001, 1.1989500E+003, 2.0206908E-001, 2.0206908E-001, 2.0206908E-001, 2.0206908E-001, 2.0206908E-001, 6.5099710E-002
 2.9800259E+002, 1.7188314E-001, 1.7847288E-001, 8.7080866E-005, 2.1231088E-002, 1.9441656E+002, 1.2830546E+002, 5.6908663E+001, 1.2003802E+003, 2.0753576E-001, 2.0753576E-001, 2.0753576E-001, 2.0753576E-001, 2.0753576E-001, 6.5396253E-002
 2.9900359E+002, 1.7173267E-001, 1.7794658E-001, 8.7448332E-005, 2.1319152E-002, 1.9463576E+002, 1.2882869E+002, 5.1884001E+001, 1.1888062E+003, 2.1282825E-001, 2.1282825E-001, 2.1282825E-001, 2.1282825E-001, 2.1282825E-001, 6.5693150E-002
 3.0000550E+002, 1.7199223E-001, 1.7711676E-001, 8.6814725E-005, 2.1167346E-002, 1.9172025E+002, 1.2817391E+002, 4.1189562E+001, 1.1941829E+003, 1.9625391E-001, 1.9625391E-001, 1.9625391E-001, 1.9625391E-001, 1.9625391E-001, 6.5987502E-002
 3.0100126E+002, 1.7223919E-001, 1.7710261E-001, 8.6211966E-005, 2.1023016E-002, 1.8927512E+002, 1.3075883E+002, 5.4010991E+001, 1.2087872E+003, 2.0059334E-001, 2.0059334E-001, 2.0059334E-001, 2.0059334E-001, 2.0059334E-001, 6.6296530E-002
 3.0200094E+002, 1.7207535E-001, 1.7774042E-001, 8.6611742E-005, 2.1118825E-002, 1.9035642E+002, 1.3118254E+002, 4.4099302E+001, 1.1417867E+003, 2.0619714E-001, 2.0619714E-001, 2.0619714E-001, 2.0619714E-001, 2.0619714E-001, 6.6588421E-002
 3.0300771E+002, 1.7192381E-001, 1.7867694E-001, 8.6981337E-005, 2.1207471E-002, 1.9027424E+002, 1.3049873E+002, 5.8459342E+001, 1.2403511E+003, 2.2387680E-001, 2.2387680E-001, 2.2387680E-001, 2.2387680E-001, 2.2387680E-001, 6.6901674E-002
 3.0400081E+002, 1.7114609E-001, 1.7887531E-001, 8.8879188E-005, 2.1662171E-002, 1.9592123E+002, 1.3001775E+002, 5.0363400E+001, 1.1579907E+003, 1.7175031E-001, 1.7175031E-001, 1.7175031E-001, 1.7175031E-001, 1.7175031E-001, 6.7197862E-002
 3.0501026E+002, 1.7016662E-001, 1.7836366E-001, 9.1269328E-005, 2.2234838E-002, 2.0433408E+002, 1.3066581E+002, 5.2512387E+001, 1.2395855E+003, 1.8639907E-001, 1.8639907E-001, 1.8639907E-001, 1.8639907E-001, 1.8639907E-001, 6.7507394E-002
 3.0600971E+002, 1.7032436E-001, 1.7784086E-001, 9.0883915E-005, 2.2142597E-002, 2.0537818E+002, 1.2998300E+002, 4.9347377E+001, 1.1580673E+003, 2.1530492E-001, 2.1530492E-001, 2.1530492E-001, 2.1530492E-001, 2.1530492E-001, 6.7806273E-002
 3.0700031E+002, 1.7030276E-001, 1.7730193E-001, 9.0936666E-005, 2.2155077E-002, 1.9812374E+002, 1.3253958E+002, 3.4772034E+001, 1.1643858E+003, 1.8677184E-001, 1.8677184E-001, 1.8677184E-001, 1.8677184E-001, 1.8677184E-001, 6.8096318E-002
 3.0800105E+002, 1.7053240E-001, 1.7700492E-001, 9.0376449E-005, 2.2020822E-002, 1.9574753E+002, 1.3171967E+002, 4.7377124E+001, 1.2534429E+003, 2.1842538E-001, 2.1842538E-001, 2.1842538E-001, 2.1842538E-001, 2.1842538E-001, 6.8405856E-002
 3.0900178E+002, 1.7171511E-001, 1.7718836E-001, 8.7490303E-005, 2.1329472E-002, 1.9379792E+002, 1.3264405E+002, 5.2266170E+001, 1.2204854E+003, 1.9816249E-001, 1.9816249E-001, 1.9816249E-001, 1.9816249E-001, 1.9816249E-001, 6.8709229E-002
 3.1000430E+002, 1.7205375E-001, 1.7714700E-001, 8.6664256E-005, 2.1131651E-002, 1.9500836E+002, 1.3371489E+002, 5.6141961E+001, 1.1866758E+003, 2.7240077E-001, 2.7240077E-001, 2.7240077E-001, 2.7240077E-001, 2.7240077E-001, 6.9012665E-002
 3.1100363E+002, 1.7164340E-001, 1.7676176E-001, 8.7665004E-005, 2.1371350E-002, 1.9226241E+002, 1.3920728E+002, 4.4712030E+001, 1.1928582E+003, 2.1549414E-001, 2.1549414E-001, 2.1549414E-001, 2.1549414E-001, 2.1549414E-001, 6.9306578E-002
 3.1200684E+002, 1.7119785E-001, 1.7614628E-001, 8.8752318E-005, 2.1631794E-002, 1.9103195E+002, 1.4034157E+002, 3.1304303E+001, 1.1623635E+003, 1.8397562E-001, 1.8397562E-001, 1.8397562E-001, 1.8397562E-001, 1.8397562E-001, 6.9601004E-002
 3.1300078E+002, 1.7090497E-001, 1.7607332E-001, 8.9467070E-005, 2.1803045E-002, 1.9135238E+002, 1.3915724E+002, 4.0166812E+001, 1.1701522E+003, 2.2594905E-001, 2.2594905E-001, 2.2594905E-001, 2.2594905E-001, 2.2594905E-001, 6.9910049E-002
 3.1400891E+002, 1.7078150E-001, 1.7636613E-001, 8.9767963E-005, 2.1875237E-002, 1.9187820E+002, 1.3782372E+002, 4.7249749E+001, 1.1950966E+003, 2.5541441E-001, 2.5541441E-001, 2.5541441E-001, 2.5541441E-001, 2.5541441E-001, 7.0211988E-002
 3.1500402E+002, 1.7067494E-001, 1.7632176E-001, 9.0028238E-005, 2.1937645E-002, 1.9290291E+002, 1.3828723E+002, 3.0051235E+001, 1.1568093E+003, 2.0712390E-001, 2.0712390E-001, 2.0712390E-001, 2.0712390E-001, 2.0712390E-001, 7.0498506E-002
 3.1600731E+002, 1.7014333E-001, 1.7607399E-001, 9.1325635E-005, 2.2248471E-002, 1.9273264E+002, 1.3987761E+002, 3.7052817E+001, 1.2079936E+003, 2.1237025E-001, 2.1237025E-001, 2.1237025E-001, 2.1237025E-001, 2.1237025E-001, 7.0807086E-002
 3.1700503E+002, 1.6983106E-001, 1.7568583E-001, 9.2087174E-005, 2.2431057E-002, 2.0230220E+002, 1.3845761E+002, 3.4118889E+001, 1.1731833E+003, 2.1467974E-001, 2.1467974E-001, 2.1467974E-001, 2.1467974E-001, 2.1467974E-001, 7.1106953E-002
 3.1800205E+002, 1.7116134E-001, 1.7540751E-001, 8.8840554E-005, 2.1653229E-002, 1.9968381E+002, 1.3875677E+002, 4.0308108E+001, 1.2878132E+003, 2.0011283E-001, 2.0011283E-001, 2.0011283E-001, 2.0011283E-001, 2.0011283E-001, 7.1413914E-002
 3.1900553E+002, 1.7233388E-001, 1.7547796E-001, 8.5978935E-005, 2.0967749E-002, 2.0433356E+002, 1.3714615E+002, 5.3995270E+001, 1.1688809E+003, 1.8053928E-001, 1.8053928E-001, 1.8053928E-001, 1.8053928E-001, 1.8053928E-001, 7.1730439E-002
 3.2000481E+002, 1.7089126E-001, 1.7555485E-001, 8.9499320E-005, 2.1811083E-002, 2.1219043E+002, 1.3834196E+002, 4.1979472E+001, 1.2022130E+003, 1.6690567E-001, 1.6690567E-001, 1.6690567E-001, 1.6690567E-001, 1.6690567E-001, 7.2035343E-002
 3.2100617E+002, 1.7129893E-001, 1.7572745E-001, 8.8504488E-005, 2.1572745E-002, 2.0652792E+002, 1.4107281E+002, 3.4336362E+001, 1.1811019E+003, 2.3227993E-001, 2.3227993E-001, 2.3227993E-001, 2.3227993E-001, 2.3227993E-001, 7.2336664E-002
