s,C,C,C,kW/m2,kW/m2,kW/m2,null,null,null,null
 1.8750021E+003, 3.5002196E+002, 4.6242175E+002, 4.0717964E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 5.1426568E+001, 5.9216272E+001, 3.1681935E-001, 3.6645314E-001
 1.8900070E+003, 3.4047354E+002, 4.5169020E+002, 4.0105117E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 5.0587576E+001, 5.7951133E+001, 3.0084954E-001, 3.5707052E-001
 1.9050185E+003, 3.3065332E+002, 4.4080579E+002, 3.9544813E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 4.9749436E+001, 5.6729381E+001, 2.9289851E-001, 3.5705106E-001
 1.9200017E+003, 3.2103583E+002, 4.2968716E+002, 3.9023212E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 4.8928686E+001, 5.5569305E+001, 2.9140200E-001, 3.5389997E-001
 1.9350203E+003, 3.1295194E+002, 4.1942811E+002, 3.8540405E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 4.8161582E+001, 5.4449500E+001, 2.8728258E-001, 3.4133771E-001
 1.9500215E+003, 3.0707603E+002, 4.0953720E+002, 3.8035802E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 4.7421406E+001, 5.3360281E+001, 2.8039875E-001, 3.3420805E-001
 1.9650240E+003, 3.0159252E+002, 4.0030618E+002, 3.7555588E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 4.6704767E+001, 5.2333083E+001, 2.7318341E-001, 3.3183197E-001
 1.9800216E+003, 2.9645954E+002, 3.9171976E+002, 3.7064045E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 4.6022215E+001, 5.1361514E+001, 2.7646246E-001, 3.2383600E-001
 1.9950252E+003, 2.9163605E+002, 3.8359522E+002, 3.6594988E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 4.5384390E+001, 5.0428613E+001, 2.7976415E-001, 3.1116800E-001
 2.0100192E+003, 2.8687225E+002, 3.7527221E+002, 3.6126896E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 4.4783125E+001, 4.9531393E+001, 2.8426440E-001, 3.0472006E-001
 2.0250071E+003, 2.8222249E+002, 3.6782296E+002, 3.5654417E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 4.4214728E+001, 4.8682901E+001, 2.7976876E-001, 3.0324077E-001
 2.0400217E+003, 2.7749301E+002, 3.6098094E+002, 3.5205250E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 4.3663771E+001, 4.7884504E+001, 2.6793986E-001, 3.0251441E-001
 2.0550026E+003, 2.7268833E+002, 3.5448002E+002, 3.4799830E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 4.3125912E+001, 4.7126805E+001, 2.6430667E-001, 2.9670622E-001
 2.0700213E+003, 2.6797120E+002, 3.4793418E+002, 3.4349926E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 4.2616077E+001, 4.6397404E+001, 2.6502996E-001, 2.9095725E-001
 2.0850197E+003, 2.6329926E+002, 3.4194508E+002, 3.3915009E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 4.2129292E+001, 4.5723682E+001, 2.6574470E-001, 2.8848565E-001
 2.1000141E+003, 2.5889538E+002, 3.3639308E+002, 3.3478259E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 4.1654203E+001, 4.5082809E+001, 2.5882630E-001, 2.8223452E-001
 2.1150143E+003, 2.5451022E+002, 3.3071392E+002, 3.3044392E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 4.1201765E+001, 4.4472626E+001, 2.6311552E-001, 2.7665140E-001
 2.1300099E+003, 2.5013628E+002, 3.2463279E+002, 3.2621621E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 4.0770704E+001, 4.3885055E+001, 2.6571038E-001, 2.7306766E-001
 2.1450001E+003, 2.4591397E+002, 3.1908559E+002, 3.2228861E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 4.0369058E+001, 4.3330522E+001, 2.7036332E-001, 2.7276504E-001
 2.1600080E+003, 2.4171381E+002, 3.1397337E+002, 3.1848973E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.9980572E+001, 4.2789118E+001, 2.6212284E-001, 2.6385353E-001
 2.1750249E+003, 2.3759012E+002, 3.0904318E+002, 3.1479982E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.9601861E+001, 4.2273012E+001, 2.6127986E-001, 2.6598864E-001
 2.1900071E+003, 2.3361229E+002, 3.0392425E+002, 3.1106152E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.9233473E+001, 4.1783123E+001, 2.6157370E-001, 2.5585015E-001
 2.2050134E+003, 2.2988756E+002, 2.9880540E+002, 3.0707454E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.8876405E+001, 4.1306930E+001, 2.5699741E-001, 2.5147380E-001
 2.2200087E+003, 2.2632893E+002, 2.9394062E+002, 3.0327187E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.8533010E+001, 4.0842647E+001, 2.5269068E-001, 2.3973967E-001
 2.2350007E+003, 2.2286980E+002, 2.8922351E+002, 2.9987589E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.8203086E+001, 4.0385704E+001, 2.5118551E-001, 2.4233726E-001
 2.2500053E+003, 2.1955686E+002, 2.8441304E+002, 2.9657465E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.7886955E+001, 3.9960262E+001, 2.5133304E-001, 2.4329316E-001
 2.2650176E+003, 2.1627958E+002, 2.7986025E+002, 2.9294812E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.7583687E+001, 3.9549153E+001, 2.4946831E-001, 2.3995139E-001
 2.2800023E+003, 2.1308825E+002, 2.7566282E+002, 2.8923553E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.7358863E+001, 3.9153070E+001, 2.5023835E-001, 2.3409250E-001
 2.2950138E+003, 2.0997511E+002, 2.7147021E+002, 2.8574636E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.7186038E+001, 3.8773822E+001, 2.4813085E-001, 2.3614541E-001
 2.3100138E+003, 2.0693888E+002, 2.6707264E+002, 2.8217665E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.7023873E+001, 3.8416414E+001, 2.5525673E-001, 2.3917103E-001
 2.3250272E+003, 2.0397965E+002, 2.6294515E+002, 2.7878310E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.6872667E+001, 3.8078360E+001, 2.5379728E-001, 2.4466644E-001
 2.3400217E+003, 2.0104197E+002, 2.5892675E+002, 2.7550823E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.6725489E+001, 3.7757198E+001, 2.5381031E-001, 2.3827594E-001
 2.3550197E+003, 1.9827279E+002, 2.5519583E+002, 2.7214296E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.6587343E+001, 3.7495717E+001, 2.5693978E-001, 2.3748531E-001
 2.3700209E+003, 1.9568063E+002, 2.5158592E+002, 2.6887480E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.6461959E+001, 3.7305086E+001, 2.6202826E-001, 2.4023446E-001
 2.3850011E+003, 1.9295504E+002, 2.4803413E+002, 2.6554225E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.6350758E+001, 3.7120332E+001, 2.6476481E-001, 2.4385358E-001
 2.4000166E+003, 1.9025369E+002, 2.4459183E+002, 2.6218996E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.6255352E+001, 3.6946389E+001, 2.6147014E-001, 2.4602209E-001
 2.4150125E+003, 1.8766343E+002, 2.4127142E+002, 2.5892423E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.6162055E+001, 3.6786856E+001, 2.6169298E-001, 2.4609819E-001
 2.4300220E+003, 1.8513405E+002, 2.3796887E+002, 2.5572804E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.6079149E+001, 3.6638866E+001, 2.6271906E-001, 2.4692639E-001
 2.4450027E+003, 1.8264855E+002, 2.3480056E+002, 2.5284292E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.6004135E+001, 3.6500845E+001, 2.6694460E-001, 2.5106272E-001
 2.4600215E+003, 1.8021013E+002, 2.3169245E+002, 2.5016941E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5929494E+001, 3.6368172E+001, 2.6386249E-001, 2.4936209E-001
 2.4750330E+003, 1.7780289E+002, 2.2871599E+002, 2.4719302E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5853481E+001, 3.6240560E+001, 2.5957538E-001, 2.5428597E-001
 2.4900111E+003, 1.7542057E+002, 2.2582943E+002, 2.4449719E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5773862E+001, 3.6117753E+001, 2.6095539E-001, 2.4723201E-001
 2.5050226E+003, 1.7305748E+002, 2.2299715E+002, 2.4209687E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5699086E+001, 3.5998500E+001, 2.6292421E-001, 2.4778916E-001
 2.5200007E+003, 1.7075780E+002, 2.2020771E+002, 2.3989423E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5638834E+001, 3.5880717E+001, 2.6125646E-001, 2.4856859E-001
 2.5350052E+003, 1.6862861E+002, 2.1743735E+002, 2.3760882E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5581738E+001, 3.5777015E+001, 2.6255500E-001, 2.5334762E-001
 2.5500187E+003, 1.6654300E+002, 2.1459558E+002, 2.3507006E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5524359E+001, 3.5687720E+001, 2.6001293E-001, 2.5536072E-001
 2.5650321E+003, 1.6448248E+002, 2.1194712E+002, 2.3253058E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5468386E+001, 3.5602998E+001, 2.5964976E-001, 2.5766234E-001
 2.5800096E+003, 1.6251717E+002, 2.0960336E+002, 2.3017991E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5413746E+001, 3.5526258E+001, 2.5879242E-001, 2.5991253E-001
 2.5950077E+003, 1.6061617E+002, 2.0728982E+002, 2.2793398E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5364202E+001, 3.5468719E+001, 2.6134759E-001, 2.6144757E-001
 2.6100108E+003, 1.5871941E+002, 2.0498485E+002, 2.2590664E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5325834E+001, 3.5421071E+001, 2.6718985E-001, 2.6422202E-001
 2.6250213E+003, 1.5686396E+002, 2.0276947E+002, 2.2380102E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5284159E+001, 3.5387387E+001, 2.6521635E-001, 2.6675202E-001
 2.6400217E+003, 1.5497609E+002, 2.0073791E+002, 2.2139855E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5241236E+001, 3.5358180E+001, 2.6524099E-001, 2.6918650E-001
 2.6550221E+003, 1.5324860E+002, 1.9878062E+002, 2.1930384E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5208026E+001, 3.5329153E+001, 2.6111794E-001, 2.6949991E-001
 2.6700224E+003, 1.5167215E+002, 1.9672812E+002, 2.1749977E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5177500E+001, 3.5297783E+001, 2.6603294E-001, 2.7084890E-001
 2.6850228E+003, 1.5007091E+002, 1.9461566E+002, 2.1570831E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5147010E+001, 3.5271427E+001, 2.6539024E-001, 2.7272180E-001
 2.7000232E+003, 1.4847364E+002, 1.9271310E+002, 2.1393388E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5116814E+001, 3.5257516E+001, 2.6580380E-001, 2.7012012E-001
 2.7150038E+003, 1.4696677E+002, 1.9079947E+002, 2.1212731E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5097406E+001, 3.5229966E+001, 2.6731349E-001, 2.6011114E-001
 2.7300291E+003, 1.4546786E+002, 1.8886573E+002, 2.1018941E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5088924E+001, 3.5186360E+001, 2.6974458E-001, 2.5774452E-001
 2.7450203E+003, 1.4386075E+002, 1.8687911E+002, 2.0830200E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5080695E+001, 3.5158159E+001, 2.6982806E-001, 2.6359929E-001
 2.7600115E+003, 1.4222749E+002, 1.8484092E+002, 2.0665789E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5073363E+001, 3.5119912E+001, 2.6823735E-001, 2.5513485E-001
 2.7750027E+003, 1.4068944E+002, 1.8283026E+002, 2.0495323E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5065698E+001, 3.5075974E+001, 2.6904853E-001, 2.5671220E-001
 2.7900014E+003, 1.3917734E+002, 1.8097794E+002, 2.0326228E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5058790E+001, 3.5037737E+001, 2.6973358E-001, 2.5525437E-001
 2.8050232E+003, 1.3776040E+002, 1.7904019E+002, 2.0170775E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5054596E+001, 3.4997356E+001, 2.6707855E-001, 2.5690698E-001
 2.8200248E+003, 1.3648642E+002, 1.7726081E+002, 2.0009248E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5040869E+001, 3.4961170E+001, 2.6565382E-001, 2.5537792E-001
 2.8350103E+003, 1.3521233E+002, 1.7579471E+002, 1.9852527E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5029524E+001, 3.4920218E+001, 2.6710974E-001, 2.5128910E-001
 2.8500117E+003, 1.3394321E+002, 1.7436851E+002, 1.9688201E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5022806E+001, 3.4874179E+001, 2.6709234E-001, 2.5091041E-001
 2.8650205E+003, 1.3264775E+002, 1.7301948E+002, 1.9520755E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5019154E+001, 3.4827010E+001, 2.7222772E-001, 2.4868047E-001
 2.8800112E+003, 1.3134510E+002, 1.7189398E+002, 1.9352837E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5026544E+001, 3.4777898E+001, 2.7563427E-001, 2.5060940E-001
 2.8950200E+003, 1.3008980E+002, 1.7069537E+002, 1.9179660E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5035277E+001, 3.4728706E+001, 2.7471329E-001, 2.5320834E-001
 2.9100230E+003, 1.2887786E+002, 1.6949098E+002, 1.9011892E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5032190E+001, 3.4687374E+001, 2.6764006E-001, 2.5481075E-001
 2.9250286E+003, 1.2769204E+002, 1.6824194E+002, 1.8853245E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5020832E+001, 3.4647059E+001, 2.6886511E-001, 2.5443972E-001
 2.9400058E+003, 1.2653772E+002, 1.6688380E+002, 1.8699972E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.5003724E+001, 3.4604828E+001, 2.5853965E-001, 2.5408911E-001
 2.9550028E+003, 1.2535911E+002, 1.6551694E+002, 1.8560496E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4971043E+001, 3.4568085E+001, 2.6018062E-001, 2.5301457E-001
 2.9700097E+003, 1.2417574E+002, 1.6416512E+002, 1.8417919E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4950625E+001, 3.4532049E+001, 2.6568403E-001, 2.5048724E-001
 2.9850097E+003, 1.2302324E+002, 1.6275757E+002, 1.8264519E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4938289E+001, 3.4498765E+001, 2.6733714E-001, 2.4922650E-001
 3.0000097E+003, 1.2190667E+002, 1.6134231E+002, 1.8120843E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4930128E+001, 3.4467992E+001, 2.6348486E-001, 2.5061138E-001
 3.0150097E+003, 1.2081125E+002, 1.6002549E+002, 1.7997028E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4908644E+001, 3.4437208E+001, 2.5944777E-001, 2.4976088E-001
 3.0300097E+003, 1.1976823E+002, 1.5881328E+002, 1.7867977E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4884585E+001, 3.4412222E+001, 2.6031166E-001, 2.5155760E-001
 3.0450098E+003, 1.1875914E+002, 1.5750845E+002, 1.7738815E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4865741E+001, 3.4393833E+001, 2.6370572E-001, 2.5573298E-001
 3.0600098E+003, 1.1774871E+002, 1.5625363E+002, 1.7608239E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4856248E+001, 3.4381881E+001, 2.6402044E-001, 2.5693495E-001
 3.0750192E+003, 1.1674419E+002, 1.5507630E+002, 1.7486974E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4850665E+001, 3.4370880E+001, 2.7318173E-001, 2.5552792E-001
 3.0900314E+003, 1.1575227E+002, 1.5398468E+002, 1.7360032E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4855997E+001, 3.4358194E+001, 2.6924098E-001, 2.5778513E-001
 3.1050321E+003, 1.1475298E+002, 1.5290266E+002, 1.7240885E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4845559E+001, 3.4351937E+001, 2.6353219E-001, 2.5565862E-001
 3.1200095E+003, 1.1377200E+002, 1.5176762E+002, 1.7130482E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4831534E+001, 3.4335923E+001, 2.6250579E-001, 2.5488901E-001
 3.1350164E+003, 1.1282863E+002, 1.5065633E+002, 1.7022039E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4820902E+001, 3.4320483E+001, 2.6645595E-001, 2.5284706E-001
 3.1500254E+003, 1.1190871E+002, 1.4949541E+002, 1.6910765E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4820327E+001, 3.4298736E+001, 2.7167960E-001, 2.5120178E-001
 3.1650133E+003, 1.1103318E+002, 1.4839533E+002, 1.6802763E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4825641E+001, 3.4273728E+001, 2.7210571E-001, 2.5008137E-001
 3.1800230E+003, 1.1016905E+002, 1.4744903E+002, 1.6701636E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4824181E+001, 3.4252832E+001, 2.6720602E-001, 2.5296070E-001
 3.1950090E+003, 1.0928745E+002, 1.4642906E+002, 1.6612503E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4816712E+001, 3.4236508E+001, 2.6740473E-001, 2.5197334E-001
 3.2100296E+003, 1.0843309E+002, 1.4538443E+002, 1.6512727E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4811226E+001, 3.4220972E+001, 2.6542270E-001, 2.5496111E-001
 3.2250156E+003, 1.0763026E+002, 1.4426683E+002, 1.6397244E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4805973E+001, 3.4213819E+001, 2.7122678E-001, 2.5771330E-001
 3.2400230E+003, 1.0687336E+002, 1.4311596E+002, 1.6290277E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4814291E+001, 3.4209426E+001, 2.7813677E-001, 2.5678413E-001
 3.2550207E+003, 1.0614747E+002, 1.4213023E+002, 1.6180324E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4827243E+001, 3.4202071E+001, 2.7377718E-001, 2.5401277E-001
 3.2700152E+003, 1.0541128E+002, 1.4126255E+002, 1.6072810E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4839075E+001, 3.4195894E+001, 2.7295548E-001, 2.6004454E-001
 3.2850049E+003, 1.0470782E+002, 1.4041042E+002, 1.5979728E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4838061E+001, 3.4201933E+001, 2.7086964E-001, 2.6064986E-001
 3.3000092E+003, 1.0401821E+002, 1.3955004E+002, 1.5887524E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4835194E+001, 3.4207551E+001, 2.6867680E-001, 2.6253045E-001
 3.3150231E+003, 1.0331869E+002, 1.3865932E+002, 1.5792202E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4831794E+001, 3.4214448E+001, 2.7195554E-001, 2.6254128E-001
 3.3300328E+003, 1.0258956E+002, 1.3776515E+002, 1.5695431E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4832960E+001, 3.4221862E+001, 2.6900136E-001, 2.6197467E-001
 3.3450075E+003, 1.0188099E+002, 1.3697271E+002, 1.5597125E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4826672E+001, 3.4231246E+001, 2.6846494E-001, 2.6511874E-001
 3.3600125E+003, 1.0109467E+002, 1.3622739E+002, 1.5507720E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4818180E+001, 3.4244534E+001, 2.6596348E-001, 2.6604503E-001
 3.3750192E+003, 1.0032332E+002, 1.3544493E+002, 1.5424020E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4797563E+001, 3.4257142E+001, 2.5939965E-001, 2.6407460E-001
 3.3900076E+003, 9.9630289E+001, 1.3465078E+002, 1.5340715E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4771092E+001, 3.4264545E+001, 2.5785107E-001, 2.6264127E-001
 3.4050112E+003, 9.9010665E+001, 1.3376474E+002, 1.5253430E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4751048E+001, 3.4260714E+001, 2.6698190E-001, 2.6062733E-001
 3.4200012E+003, 9.8400535E+001, 1.3280735E+002, 1.5162747E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4748058E+001, 3.4250603E+001, 2.6940847E-001, 2.5640951E-001
 3.4350321E+003, 9.7772212E+001, 1.3188796E+002, 1.5070668E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4761920E+001, 3.4232797E+001, 2.8021471E-001, 2.5427633E-001
 3.4500345E+003, 9.7142758E+001, 1.3108507E+002, 1.4985083E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4778374E+001, 3.4213665E+001, 2.7346762E-001, 2.5319900E-001
 3.4650116E+003, 9.6514638E+001, 1.3031574E+002, 1.4897126E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4779394E+001, 3.4191394E+001, 2.6758886E-001, 2.5082407E-001
 3.4800261E+003, 9.5867025E+001, 1.2947096E+002, 1.4806367E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4774640E+001, 3.4173751E+001, 2.6809702E-001, 2.5380680E-001
 3.4950055E+003, 9.5217021E+001, 1.2861231E+002, 1.4713720E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4779508E+001, 3.4159860E+001, 2.7623513E-001, 2.5487649E-001
 3.5100333E+003, 9.4610197E+001, 1.2792936E+002, 1.4628516E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4795281E+001, 3.4154337E+001, 2.7405723E-001, 2.5914757E-001
 3.5250060E+003, 9.4065661E+001, 1.2725738E+002, 1.4539724E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4795260E+001, 3.4155663E+001, 2.6728264E-001, 2.6089709E-001
 3.5400268E+003, 9.3524580E+001, 1.2654836E+002, 1.4447651E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4779939E+001, 3.4163059E+001, 2.6228171E-001, 2.6245597E-001
 3.5550013E+003, 9.2977172E+001, 1.2586494E+002, 1.4363534E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4765496E+001, 3.4168048E+001, 2.6572888E-001, 2.5997020E-001
 3.5700025E+003, 9.2399302E+001, 1.2529258E+002, 1.4288852E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4759953E+001, 3.4165331E+001, 2.6920772E-001, 2.5652634E-001
 3.5850036E+003, 9.1850866E+001, 1.2471914E+002, 1.4214427E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4758232E+001, 3.4161247E+001, 2.6860977E-001, 2.6137532E-001
 3.6000047E+003, 9.1328826E+001, 1.2410359E+002, 1.4131593E+002,-4.1876582E-001,-4.1876582E-001,-4.1876582E-001, 3.4749076E+001, 3.4160559E+001, 2.6264481E-001, 2.5550008E-001
