s,null,C,null,null,m,null,%/m,%/m,%/m,%/m,null,null,null,null,null
 1.2750134E+003, 8.0946041E+001, 6.2984579E+001, 4.7261374E+001, 2.6912089E+000, 1.9553323E+000, 1.6567021E+000, 9.7693128E+001, 9.7385612E+001, 9.6761020E+001, 9.6199389E+001, 9.5788655E+001, 9.7882793E+001, 9.7596130E+001, 9.4258109E+001, 9.5032444E+001
 1.2900084E+003, 7.8706542E+001, 6.1992667E+001, 4.7139116E+001, 2.7281721E+000, 2.0215261E+000, 1.5769013E+000, 9.7693464E+001, 9.7322660E+001, 9.6656524E+001, 9.6009486E+001, 9.5693398E+001, 9.7877689E+001, 9.7568466E+001, 9.4447538E+001, 9.4705264E+001
 1.3050151E+003, 7.4547219E+001, 6.1577636E+001, 4.5796644E+001, 2.7469060E+000, 2.1955280E+000, 1.5077373E+000, 9.7664598E+001, 9.7286335E+001, 9.6479961E+001, 9.5830906E+001, 9.5798619E+001, 9.7867804E+001, 9.7520146E+001, 9.4494659E+001, 9.4424407E+001
 1.3200027E+003, 6.8590225E+001, 5.8734528E+001, 4.5254363E+001, 2.5152289E+000, 2.0503102E+000, 1.5186890E+000, 9.7582283E+001, 9.7334611E+001, 9.6436425E+001, 9.5719453E+001, 9.5431196E+001, 9.7838660E+001, 9.7502086E+001, 9.4697668E+001, 9.4078977E+001
 1.3350232E+003, 6.6334598E+001, 5.7461999E+001, 4.4916303E+001, 2.5713628E+000, 2.0304961E+000, 1.4612483E+000, 9.7611518E+001, 9.7054070E+001, 9.6325394E+001, 9.5509911E+001, 9.5348100E+001, 9.7809868E+001, 9.7439740E+001, 9.4667280E+001, 9.3584449E+001
 1.3500280E+003, 6.2626110E+001, 5.6248720E+001, 4.4221472E+001, 2.4025082E+000, 1.9999617E+000, 1.5139222E+000, 9.7666025E+001, 9.7041065E+001, 9.6294204E+001, 9.5391653E+001, 9.5037361E+001, 9.7791112E+001, 9.7324634E+001, 9.4432838E+001, 9.2737603E+001
 1.3650198E+003, 6.0128828E+001, 5.4676428E+001, 4.3277643E+001, 2.3108721E+000, 2.0559987E+000, 1.4362642E+000, 9.7623736E+001, 9.7121844E+001, 9.6218971E+001, 9.4999261E+001, 9.4863489E+001, 9.7749579E+001, 9.7294538E+001, 9.4622300E+001, 9.1883804E+001
 1.3800447E+003, 5.7308117E+001, 5.3387376E+001, 4.3009012E+001, 2.2591223E+000, 2.0855009E+000, 1.4407279E+000, 9.7635133E+001, 9.7068792E+001, 9.6020673E+001, 9.5072854E+001, 9.4417992E+001, 9.7737471E+001, 9.7188938E+001, 9.4567512E+001, 9.1120020E+001
 1.3950525E+003, 5.3319356E+001, 5.1570914E+001, 4.1481557E+001, 2.1479393E+000, 2.0716095E+000, 1.4828236E+000, 9.7614510E+001, 9.7018293E+001, 9.6074372E+001, 9.4682259E+001, 9.3752099E+001, 9.7731503E+001, 9.7136360E+001, 9.4521828E+001, 9.0288921E+001
 1.4100193E+003, 5.1912821E+001, 5.0006426E+001, 4.1206769E+001, 2.4171423E+000, 2.0950736E+000, 1.4459092E+000, 9.7601577E+001, 9.6965919E+001, 9.6088141E+001, 9.4574911E+001, 9.2700219E+001, 9.7693460E+001, 9.7127877E+001, 9.4499997E+001, 8.9434369E+001
 1.4250569E+003, 5.0693155E+001, 4.8312055E+001, 4.0444468E+001, 2.3844342E+000, 2.1210941E+000, 1.6320014E+000, 9.7609018E+001, 9.6973505E+001, 9.6096355E+001, 9.4811275E+001, 9.2205988E+001, 9.7679656E+001, 9.6936459E+001, 9.4435643E+001, 8.9084186E+001
 1.4400297E+003, 4.9858369E+001, 4.6175863E+001, 3.9367467E+001, 2.4143974E+000, 2.0495134E+000, 1.4148321E+000, 9.7622707E+001, 9.7023279E+001, 9.6314881E+001, 9.5178559E+001, 9.2706281E+001, 9.7641417E+001, 9.6803147E+001, 9.4308654E+001, 8.8205076E+001
 1.4550025E+003, 4.8865271E+001, 4.5128727E+001, 3.8984646E+001, 2.3713104E+000, 2.0598705E+000, 1.5254264E+000, 9.7595641E+001, 9.7054851E+001, 9.6532586E+001, 9.4832169E+001, 9.2362608E+001, 9.7624640E+001, 9.6842116E+001, 9.4036469E+001, 8.7551124E+001
 1.4700135E+003, 4.8426629E+001, 4.3943923E+001, 3.7977133E+001, 2.4308748E+000, 2.1465911E+000, 1.4383399E+000, 9.7609776E+001, 9.7094030E+001, 9.6594842E+001, 9.4237834E+001, 9.1790719E+001, 9.7625042E+001, 9.6830438E+001, 9.4051662E+001, 8.6768526E+001
 1.4850604E+003, 4.7539584E+001, 4.3168222E+001, 3.6822605E+001, 2.4774232E+000, 2.1292054E+000, 1.4821823E+000, 9.7603089E+001, 9.7181214E+001, 9.6582266E+001, 9.4465050E+001, 9.0709982E+001, 9.7631969E+001, 9.6933318E+001, 9.4050414E+001, 8.6335106E+001
 1.5000654E+003, 4.6692033E+001, 4.2218061E+001, 3.6253224E+001, 2.4269643E+000, 2.0827579E+000, 1.4085875E+000, 9.7600359E+001, 9.7231846E+001, 9.6606355E+001, 9.4208450E+001, 9.0308684E+001, 9.7646922E+001, 9.6871359E+001, 9.3934351E+001, 8.6378502E+001
 1.5150637E+003, 4.5977218E+001, 4.1778790E+001, 3.5582649E+001, 2.4247295E+000, 2.1141295E+000, 1.4670147E+000, 9.7610123E+001, 9.7242123E+001, 9.6536222E+001, 9.3760503E+001, 8.9698323E+001, 9.7660049E+001, 9.6872006E+001, 9.3879341E+001, 8.6951570E+001
 1.5300596E+003, 4.5168785E+001, 4.1185397E+001, 3.4773288E+001, 2.4646342E+000, 2.0712835E+000, 1.3307285E+000, 9.7593749E+001, 9.7206924E+001, 9.6201718E+001, 9.3552105E+001, 8.9279786E+001, 9.7669945E+001, 9.6822685E+001, 9.3722619E+001, 8.6063858E+001
 1.5450006E+003, 4.4576947E+001, 4.0352130E+001, 3.4655407E+001, 2.6029284E+000, 2.0639652E+000, 1.4146809E+000, 9.7590132E+001, 9.7195539E+001, 9.5810881E+001, 9.3352205E+001, 8.9181162E+001, 9.7655260E+001, 9.6750866E+001, 9.3740499E+001, 8.6113555E+001
 1.5600046E+003, 4.3793150E+001, 3.9646083E+001, 3.4035032E+001, 2.6024941E+000, 2.0645290E+000, 1.5398514E+000, 9.7566028E+001, 9.7188388E+001, 9.5667638E+001, 9.3083460E+001, 8.8843929E+001, 9.7667391E+001, 9.6555107E+001, 9.3489340E+001, 8.6033322E+001
 1.5750581E+003, 4.3060109E+001, 3.9146882E+001, 3.3786250E+001, 2.6352912E+000, 2.0848393E+000, 1.5410745E+000, 9.7512348E+001, 9.7113910E+001, 9.5267329E+001, 9.2473160E+001, 8.8881616E+001, 9.7638345E+001, 9.6379214E+001, 9.3573608E+001, 8.6620698E+001
 1.5900585E+003, 4.2673772E+001, 3.8944702E+001, 3.3355631E+001, 2.6348328E+000, 2.1063590E+000, 1.4383273E+000, 9.7487243E+001, 9.7092803E+001, 9.5122045E+001, 9.1692672E+001, 8.8276439E+001, 9.7643748E+001, 9.6421708E+001, 9.3433009E+001, 8.6526451E+001
 1.6050452E+003, 4.2227191E+001, 3.8400814E+001, 3.2673896E+001, 2.7820554E+000, 2.1355147E+000, 1.5046974E+000, 9.7455184E+001, 9.7074506E+001, 9.5194824E+001, 9.1102409E+001, 8.7674970E+001, 9.7594778E+001, 9.6294227E+001, 9.3645650E+001, 8.6462113E+001
 1.6200409E+003, 4.1928341E+001, 3.8075976E+001, 3.2669046E+001, 2.7404878E+000, 2.1965880E+000, 1.5778197E+000, 9.7397557E+001, 9.7004905E+001, 9.4908995E+001, 9.0911853E+001, 8.7831812E+001, 9.7552613E+001, 9.6082737E+001, 9.3668598E+001, 8.5501523E+001
 1.6350065E+003, 4.1424868E+001, 3.7621892E+001, 3.2213449E+001, 2.8339489E+000, 2.1784658E+000, 1.6287654E+000, 9.7378692E+001, 9.6938844E+001, 9.4697267E+001, 9.0591787E+001, 8.7716719E+001, 9.7522373E+001, 9.5964901E+001, 9.3703789E+001, 8.4719657E+001
 1.6500106E+003, 4.0853941E+001, 3.7221714E+001, 3.2087267E+001, 2.8684777E+000, 2.1879170E+000, 1.7059249E+000, 9.7343595E+001, 9.6884035E+001, 9.4294278E+001, 8.9919220E+001, 8.7130361E+001, 9.7485120E+001, 9.5835747E+001, 9.3605673E+001, 8.3827079E+001
 1.6650483E+003, 4.0903505E+001, 3.6857022E+001, 3.1732446E+001, 2.9746144E+000, 2.2476520E+000, 1.6275899E+000, 9.7295758E+001, 9.6870421E+001, 9.4097193E+001, 8.9692898E+001, 8.6538164E+001, 9.7353466E+001, 9.5789376E+001, 9.3467808E+001, 8.3228843E+001
 1.6800370E+003, 4.0426321E+001, 3.6501684E+001, 3.1486309E+001, 2.9270356E+000, 2.2086756E+000, 1.7179256E+000, 9.7232607E+001, 9.6801731E+001, 9.4074037E+001, 8.9380050E+001, 8.5697400E+001, 9.7363760E+001, 9.5639272E+001, 9.3284182E+001, 8.2659698E+001
 1.6950605E+003, 3.9747047E+001, 3.6221203E+001, 3.1156249E+001, 2.8814592E+000, 2.2996114E+000, 1.6381826E+000, 9.7200119E+001, 9.6690142E+001, 9.3815157E+001, 8.9042439E+001, 8.5008973E+001, 9.7314783E+001, 9.5627487E+001, 9.3414399E+001, 8.2031777E+001
 1.7100196E+003, 3.9876230E+001, 3.5941768E+001, 3.1025599E+001, 2.9777893E+000, 2.3352190E+000, 1.6484243E+000, 9.7178925E+001, 9.6583897E+001, 9.3647918E+001, 8.8846250E+001, 8.4489495E+001, 9.7278944E+001, 9.5443533E+001, 9.3359964E+001, 8.1955187E+001
 1.7250503E+003, 3.9558042E+001, 3.5640995E+001, 3.0545065E+001, 2.9908325E+000, 2.2228955E+000, 1.5961421E+000, 9.7148123E+001, 9.6559354E+001, 9.3457829E+001, 8.8275794E+001, 8.3884660E+001, 9.7277769E+001, 9.5161924E+001, 9.3346167E+001, 8.1309621E+001
 1.7400159E+003, 3.8879843E+001, 3.5293804E+001, 3.0269763E+001, 2.9375163E+000, 2.2552555E+000, 1.5388525E+000, 9.7090586E+001, 9.6518456E+001, 9.2993630E+001, 8.7439203E+001, 8.3522049E+001, 9.7171087E+001, 9.4906987E+001, 9.3259352E+001, 8.0957565E+001
 1.7550397E+003, 3.8827331E+001, 3.5283195E+001, 3.0043810E+001, 3.0189451E+000, 2.3826261E+000, 1.5948249E+000, 9.7014229E+001, 9.6395499E+001, 9.2874470E+001, 8.7030006E+001, 8.3179388E+001, 9.7087044E+001, 9.4639409E+001, 9.3280393E+001, 7.9981797E+001
 1.7700648E+003, 3.8648703E+001, 3.4906719E+001, 3.0133994E+001, 3.1314591E+000, 2.3521342E+000, 1.6468409E+000, 9.6953816E+001, 9.6234741E+001, 9.2620271E+001, 8.6178076E+001, 8.3067352E+001, 9.6956398E+001, 9.4484607E+001, 9.3323540E+001, 7.9585815E+001
 1.7850231E+003, 3.8074495E+001, 3.4737467E+001, 2.9849055E+001, 3.0442602E+000, 2.3737162E+000, 1.6310626E+000, 9.6899058E+001, 9.6174005E+001, 9.1882245E+001, 8.5562699E+001, 8.2736216E+001, 9.6852045E+001, 9.4352588E+001, 9.3453140E+001, 8.0289592E+001
 1.8000317E+003, 3.7906907E+001, 3.4444087E+001, 2.9617197E+001, 3.0852119E+000, 2.3650960E+000, 1.7358120E+000, 9.6837215E+001, 9.6109071E+001, 9.1703348E+001, 8.5113881E+001, 8.2684300E+001, 9.6852142E+001, 9.4191317E+001, 9.3232582E+001, 8.0208398E+001
 1.8150760E+003, 3.8027995E+001, 3.4237721E+001, 2.9207675E+001, 3.1756779E+000, 2.3416167E+000, 1.6273205E+000, 9.6802763E+001, 9.5956843E+001, 9.1073728E+001, 8.5051513E+001, 8.2471304E+001, 9.6845465E+001, 9.4120081E+001, 9.3319278E+001, 8.0422310E+001
 1.8300693E+003, 3.7709547E+001, 3.4131910E+001, 2.8936533E+001, 3.1483253E+000, 2.3894595E+000, 1.5793872E+000, 9.6739443E+001, 9.5676033E+001, 9.0911942E+001, 8.4407365E+001, 8.2254995E+001, 9.6912673E+001, 9.4008482E+001, 9.3250031E+001, 8.1145046E+001
 1.8450626E+003, 3.6903152E+001, 3.3897907E+001, 2.8936218E+001, 3.0414408E+000, 2.4005478E+000, 1.6417068E+000, 9.6643035E+001, 9.5564176E+001, 9.0692514E+001, 8.3918938E+001, 8.2658838E+001, 9.6796670E+001, 9.3552340E+001, 9.3005723E+001, 8.0728717E+001
 1.8600559E+003, 3.7391490E+001, 3.3769219E+001, 2.8798875E+001, 3.2606623E+000, 2.4330873E+000, 1.6988455E+000, 9.6535933E+001, 9.5387811E+001, 9.0530696E+001, 8.3595336E+001, 8.2447588E+001, 9.6667697E+001, 9.3173505E+001, 9.3037889E+001, 8.0186223E+001
 1.8750492E+003, 3.6892971E+001, 3.3553529E+001, 2.8590806E+001, 3.1787597E+000, 2.4106600E+000, 1.7158353E+000, 9.6482202E+001, 9.5117120E+001, 9.0434719E+001, 8.3353596E+001, 8.2367630E+001, 9.6496928E+001, 9.2900234E+001, 9.3011738E+001, 8.0241980E+001
 1.8900707E+003, 3.6657553E+001, 3.3533339E+001, 2.8395571E+001, 3.1808078E+000, 2.5142374E+000, 1.7260688E+000, 9.6384500E+001, 9.4869213E+001, 9.0499566E+001, 8.2751787E+001, 8.2021209E+001, 9.6350337E+001, 9.2831829E+001, 9.2690579E+001, 7.9538253E+001
 1.9050184E+003, 3.6286305E+001, 3.3301723E+001, 2.8585134E+001, 3.2055871E+000, 2.4972161E+000, 1.6502033E+000, 9.6306766E+001, 9.4761579E+001, 9.0296387E+001, 8.2754206E+001, 8.1810164E+001, 9.6298308E+001, 9.2666078E+001, 9.2889757E+001, 7.9529902E+001
 1.9200203E+003, 3.6595223E+001, 3.3266100E+001, 2.8487937E+001, 3.2092966E+000, 2.5392882E+000, 1.7072057E+000, 9.6202444E+001, 9.4654947E+001, 8.9316650E+001, 8.2857216E+001, 8.1667977E+001, 9.6222197E+001, 9.2419235E+001, 9.2920786E+001, 7.9588838E+001
 1.9350222E+003, 3.6626247E+001, 3.3037484E+001, 2.8303373E+001, 3.3406391E+000, 2.5480093E+000, 1.7535365E+000, 9.6109434E+001, 9.4494832E+001, 8.8394051E+001, 8.2707786E+001, 8.1736529E+001, 9.6107605E+001, 9.2259308E+001, 9.2937366E+001, 7.8958816E+001
 1.9500241E+003, 3.5630358E+001, 3.2746928E+001, 2.7964595E+001, 3.0852677E+000, 2.5408526E+000, 1.7018999E+000, 9.5937996E+001, 9.4405661E+001, 8.8070390E+001, 8.2371318E+001, 8.1968128E+001, 9.6089215E+001, 9.2151878E+001, 9.2827008E+001, 7.9219035E+001
 1.9650261E+003, 3.6181400E+001, 3.2654329E+001, 2.8039547E+001, 3.2816892E+000, 2.4923561E+000, 1.7609541E+000, 9.5810661E+001, 9.4172311E+001, 8.8185417E+001, 8.2167523E+001, 8.1546457E+001, 9.5949676E+001, 9.1732297E+001, 9.2944413E+001, 7.9203877E+001
 1.9800268E+003, 3.6123569E+001, 3.2548002E+001, 2.7887143E+001, 3.3004330E+000, 2.5117725E+000, 1.7753861E+000, 9.5737531E+001, 9.3804293E+001, 8.8172429E+001, 8.2292564E+001, 8.1066098E+001, 9.5606218E+001, 9.1311422E+001, 9.2971353E+001, 7.9871807E+001
 1.9950771E+003, 3.5509454E+001, 3.2363799E+001, 2.7592268E+001, 3.2524435E+000, 2.5487278E+000, 1.7847971E+000, 9.5633322E+001, 9.3533836E+001, 8.8287171E+001, 8.1886877E+001, 8.1135220E+001, 9.5465460E+001, 9.0845314E+001, 9.2836678E+001, 7.9720244E+001
 2.0100748E+003, 3.5622080E+001, 3.2171035E+001, 2.6680851E+001, 3.3226788E+000, 2.5506079E+000, 2.6236506E+000, 9.5486919E+001, 9.3512698E+001, 8.8094454E+001, 8.1842820E+001, 8.1124261E+001, 9.5326839E+001, 9.0607317E+001, 9.2766287E+001, 7.9819541E+001
 2.0250432E+003, 3.5092341E+001, 3.2205064E+001, 2.6239610E+001, 3.3438145E+000, 2.6542057E+000, 3.0523415E+000, 9.5377750E+001, 9.3431933E+001, 8.7586654E+001, 8.1724881E+001, 8.1323349E+001, 9.5320817E+001, 9.0288374E+001, 9.2710410E+001, 7.9823031E+001
 2.0400575E+003, 3.5184874E+001, 3.2003563E+001, 2.7813094E+001, 3.3263785E+000, 2.5802003E+000, 1.8913272E+000, 9.5245025E+001, 9.3458033E+001, 8.7769080E+001, 8.1597948E+001, 8.1225355E+001, 9.5156654E+001, 9.0078804E+001, 9.2443485E+001, 7.8920423E+001
 2.0550518E+003, 3.5312741E+001, 3.1953800E+001, 2.3334432E+001, 3.3602032E+000, 2.5831060E+000, 5.3121192E+000, 9.5063249E+001, 9.3275494E+001, 8.7878707E+001, 8.1681318E+001, 8.1067006E+001, 9.4832637E+001, 8.9891357E+001, 9.2299994E+001, 7.8880366E+001
 2.0700386E+003, 3.4741501E+001, 3.1792831E+001, 2.5033223E+001, 3.2776669E+000, 2.6070137E+000, 3.9735024E+000, 9.4861950E+001, 9.3044538E+001, 8.7641066E+001, 8.1500732E+001, 8.0871717E+001, 9.4902835E+001, 8.9595427E+001, 9.2268581E+001, 7.8324495E+001
 2.0850427E+003, 3.4853244E+001, 3.1730497E+001, 2.6512144E+001, 3.3008606E+000, 2.6623935E+000, 2.7081518E+000, 9.4679654E+001, 9.2869987E+001, 8.7359682E+001, 8.1474922E+001, 8.0638255E+001, 9.4674195E+001, 8.9472793E+001, 9.2289668E+001, 7.6880841E+001
 2.1000780E+003, 3.4458844E+001, 3.1613720E+001, 2.6979688E+001, 3.3959684E+000, 2.6755114E+000, 2.3811013E+000, 9.4536263E+001, 9.2647674E+001, 8.6971997E+001, 8.1032556E+001, 8.0563420E+001, 9.4398725E+001, 8.9149795E+001, 9.2237351E+001, 7.6741268E+001
 2.1150456E+003, 3.4667230E+001, 3.1493243E+001, 2.5135972E+001, 3.4303677E+000, 2.6258733E+000, 3.6492137E+000, 9.4408640E+001, 9.2394002E+001, 8.6939010E+001, 8.0875005E+001, 7.9670761E+001, 9.4225159E+001, 8.9059067E+001, 9.2052020E+001, 7.7549119E+001
 2.1300338E+003, 3.4188599E+001, 3.1436842E+001, 2.2957113E+001, 3.3982283E+000, 2.6796735E+000, 5.4611342E+000, 9.4254852E+001, 9.2085102E+001, 8.6746099E+001, 8.1049914E+001, 7.9938958E+001, 9.4184923E+001, 8.8877104E+001, 9.1952292E+001, 7.7630285E+001
 2.1450371E+003, 3.4155611E+001, 3.1182673E+001, 2.2224231E+001, 3.3857873E+000, 2.5820463E+000, 6.0999999E+000, 9.4104010E+001, 9.1630219E+001, 8.6856910E+001, 8.0762885E+001, 7.9964496E+001, 9.4081122E+001, 8.8263905E+001, 9.1886848E+001, 7.7224862E+001
 2.1600862E+003, 3.3852760E+001, 3.1261101E+001, 2.2225156E+001, 3.4112941E+000, 2.7299137E+000, 6.0999999E+000, 9.3885825E+001, 9.1378364E+001, 8.6592762E+001, 7.9976219E+001, 7.9601734E+001, 9.3850346E+001, 8.8183238E+001, 9.2121319E+001, 7.7413655E+001
 2.1750185E+003, 3.3560635E+001, 3.1047957E+001, 2.2162882E+001, 3.4135733E+000, 2.6568152E+000, 6.0999999E+000, 9.3640321E+001, 9.1133635E+001, 8.6608504E+001, 7.9759363E+001, 7.9729240E+001, 9.3371685E+001, 8.7991247E+001, 9.1984855E+001, 7.7615952E+001
 2.1900182E+003, 3.3861209E+001, 3.1052995E+001, 2.2073822E+001, 3.3067992E+000, 2.6732591E+000, 6.0999999E+000, 9.3443888E+001, 9.0970296E+001, 8.5954293E+001, 7.9763077E+001, 7.9600423E+001, 9.3391584E+001, 8.7840584E+001, 9.1753116E+001, 7.7240214E+001
 2.2050063E+003, 3.3556434E+001, 3.0853146E+001, 2.2072719E+001, 3.4344733E+000, 2.6674711E+000, 6.0999999E+000, 9.3284633E+001, 9.0846545E+001, 8.5860861E+001, 7.9026136E+001, 7.9130601E+001, 9.3098969E+001, 8.7618350E+001, 9.1703267E+001, 7.6432842E+001
 2.2200653E+003, 3.3743176E+001, 3.0804368E+001, 2.2009457E+001, 3.3980994E+000, 2.7012061E+000, 6.0999999E+000, 9.3099723E+001, 9.0815326E+001, 8.5441785E+001, 7.9206212E+001, 7.9296904E+001, 9.2866931E+001, 8.7517039E+001, 9.1646360E+001, 7.6260710E+001
 2.2350520E+003, 3.3144053E+001, 3.0722377E+001, 2.2095425E+001, 3.4658201E+000, 2.6940463E+000, 6.0999999E+000, 9.2985884E+001, 9.0745910E+001, 8.5178342E+001, 7.9104533E+001, 7.8832197E+001, 9.2896359E+001, 8.7363307E+001, 9.1733016E+001, 7.6808253E+001
 2.2500651E+003, 3.3377201E+001, 3.0518278E+001, 2.1936083E+001, 3.4505550E+000, 2.6632740E+000, 6.0999999E+000, 9.2726654E+001, 9.0607609E+001, 8.5083986E+001, 7.8929129E+001, 7.8911801E+001, 9.2867956E+001, 8.6932911E+001, 9.1722227E+001, 7.6772136E+001
 2.2650899E+003, 3.3042925E+001, 3.0406790E+001, 2.1901146E+001, 3.5035371E+000, 2.6575155E+000, 6.0999999E+000, 9.2471147E+001, 9.0333303E+001, 8.5002197E+001, 7.8392968E+001, 7.9021351E+001, 9.2862095E+001, 8.6734603E+001, 9.1665957E+001, 7.5517165E+001
 2.2800213E+003, 3.3256855E+001, 3.0480789E+001, 2.1866675E+001, 3.4538949E+000, 2.6953540E+000, 6.0999999E+000, 9.2350081E+001, 8.9991191E+001, 8.5097283E+001, 7.8357341E+001, 7.9112239E+001, 9.2544495E+001, 8.6766489E+001, 9.1561599E+001, 7.4930805E+001
 2.2950629E+003, 3.3117377E+001, 3.0443676E+001, 2.1859704E+001, 3.5170770E+000, 2.6820193E+000, 6.0999999E+000, 9.2156996E+001, 8.9560749E+001, 8.4218421E+001, 7.8333205E+001, 7.8353186E+001, 9.2346318E+001, 8.6640500E+001, 9.1658190E+001, 7.4324519E+001
 2.3100940E+003, 3.3275828E+001, 3.0334417E+001, 2.1794374E+001, 3.5100298E+000, 2.7677627E+000, 6.0999999E+000, 9.1861002E+001, 8.9478459E+001, 8.4114410E+001, 7.8154384E+001, 7.8424255E+001, 9.1887848E+001, 8.6422110E+001, 9.1598024E+001, 7.4395436E+001
 2.3250134E+003, 3.3214393E+001, 3.0197634E+001, 2.1848300E+001, 3.3877103E+000, 2.7434599E+000, 6.0999999E+000, 9.1604944E+001, 8.9480313E+001, 8.4014905E+001, 7.8382095E+001, 7.7506649E+001, 9.1795448E+001, 8.6029613E+001, 9.1285956E+001, 7.3721235E+001
 2.3400893E+003, 3.2895176E+001, 3.0093308E+001, 2.1780985E+001, 3.5466192E+000, 2.6663428E+000, 6.0999999E+000, 9.1465440E+001, 8.9265583E+001, 8.4144849E+001, 7.8763455E+001, 7.7716338E+001, 9.1814712E+001, 8.5880469E+001, 9.0766143E+001, 7.3247371E+001
 2.3550370E+003, 3.2801046E+001, 3.0069009E+001, 2.1816456E+001, 3.5248250E+000, 2.7254126E+000, 6.0999999E+000, 9.1324375E+001, 8.9216426E+001, 8.3674750E+001, 7.7664489E+001, 7.7582848E+001, 9.1415658E+001, 8.5648938E+001, 9.0663526E+001, 7.3626115E+001
 2.3700331E+003, 3.2545812E+001, 2.9944616E+001, 2.1748532E+001, 3.6005970E+000, 2.6927540E+000, 6.0999999E+000, 9.1185615E+001, 8.9145719E+001, 8.3143790E+001, 7.6600722E+001, 7.6962105E+001, 9.1151381E+001, 8.5347588E+001, 9.0826989E+001, 7.3239998E+001
 2.3850445E+003, 3.2617662E+001, 2.9809258E+001, 2.1765206E+001, 3.6255822E+000, 2.6579227E+000, 6.0999999E+000, 9.0956628E+001, 8.8877314E+001, 8.3337976E+001, 7.6034741E+001, 7.6928077E+001, 9.0956449E+001, 8.5178258E+001, 9.0709365E+001, 7.3281918E+001
 2.4000560E+003, 3.2148238E+001, 2.9895427E+001, 2.1817169E+001, 3.5273185E+000, 2.7672971E+000, 6.0999999E+000, 9.0745823E+001, 8.8290978E+001, 8.3431990E+001, 7.5659126E+001, 7.6414098E+001, 9.0784336E+001, 8.4751881E+001, 9.0333058E+001, 7.3040812E+001
 2.4150871E+003, 3.1915779E+001, 2.9745745E+001, 2.1802114E+001, 3.4755809E+000, 2.8070665E+000, 6.0999999E+000, 9.0453009E+001, 8.7953335E+001, 8.2832354E+001, 7.5308344E+001, 7.6525449E+001, 9.0426947E+001, 8.4505425E+001, 9.0401647E+001, 7.1878216E+001
 2.4300448E+003, 3.2358720E+001, 2.9729584E+001, 2.1747637E+001, 3.6193651E+000, 2.7593434E+000, 6.0999999E+000, 9.0056893E+001, 8.7877737E+001, 8.2795492E+001, 7.4853891E+001, 7.5655478E+001, 9.0259816E+001, 8.4363788E+001, 9.0027449E+001, 7.1970477E+001
 2.4450160E+003, 3.2416901E+001, 2.9590049E+001, 2.1688369E+001, 3.6054947E+000, 2.7859144E+000, 6.0999999E+000, 8.9804153E+001, 8.7767766E+001, 8.2728225E+001, 7.5481053E+001, 7.4944107E+001, 9.0133665E+001, 8.4180895E+001, 9.0255485E+001, 7.1840715E+001
 2.4600463E+003, 3.2307634E+001, 2.9584166E+001, 2.1614590E+001, 3.4862413E+000, 2.7599428E+000, 6.0999999E+000, 8.9575027E+001, 8.7738573E+001, 8.1948953E+001, 7.4633012E+001, 7.4477408E+001, 8.9836792E+001, 8.4109551E+001, 9.0553463E+001, 7.1795543E+001
 2.4750335E+003, 3.2151086E+001, 2.9477259E+001, 2.1729201E+001, 3.5688091E+000, 2.7662180E+000, 6.0999999E+000, 8.9497784E+001, 8.7565707E+001, 8.1966848E+001, 7.3996560E+001, 7.4613070E+001, 8.9614633E+001, 8.3628557E+001, 9.0652217E+001, 7.0779841E+001
 2.4900371E+003, 3.2032820E+001, 2.9414627E+001, 2.1710659E+001, 3.5168923E+000, 2.7432213E+000, 6.0999999E+000, 8.9251689E+001, 8.7293491E+001, 8.1770614E+001, 7.3704867E+001, 7.4524085E+001, 8.9524826E+001, 8.3534545E+001, 8.9984113E+001, 7.0019975E+001
 2.5050123E+003, 3.2210522E+001, 2.9358928E+001, 2.1591636E+001, 3.6341794E+000, 2.7940232E+000, 6.0999999E+000, 8.8977878E+001, 8.6898257E+001, 8.1429218E+001, 7.3670754E+001, 7.3971508E+001, 8.9304242E+001, 8.3543494E+001, 9.0475635E+001, 6.9834315E+001
 2.5200548E+003, 3.1788159E+001, 2.9270132E+001, 2.1611037E+001, 3.5320059E+000, 2.7825186E+000, 6.0999999E+000, 8.8938134E+001, 8.6286630E+001, 8.0558193E+001, 7.3477728E+001, 7.4233248E+001, 8.9147083E+001, 8.3130417E+001, 9.0240258E+001, 7.0122033E+001
 2.5350562E+003, 3.1514444E+001, 2.9222547E+001, 2.1601037E+001, 3.5806910E+000, 2.7340452E+000, 6.0999999E+000, 8.8767891E+001, 8.6146501E+001, 8.0365057E+001, 7.3264343E+001, 7.3497222E+001, 8.9045644E+001, 8.2441961E+001, 8.9556609E+001, 6.9803233E+001
 2.5500875E+003, 3.1914257E+001, 2.9102111E+001, 2.1570567E+001, 3.6015265E+000, 2.7267837E+000, 6.0999999E+000, 8.8537489E+001, 8.6077332E+001, 8.0621298E+001, 7.2524501E+001, 7.3030113E+001, 8.8665086E+001, 8.2205329E+001, 8.8950795E+001, 6.9851564E+001
 2.5650622E+003, 3.1598754E+001, 2.9086747E+001, 2.1645675E+001, 3.6174942E+000, 2.8047196E+000, 6.0999999E+000, 8.8185912E+001, 8.5952776E+001, 8.0194465E+001, 7.1660925E+001, 7.2526196E+001, 8.8356667E+001, 8.1859318E+001, 8.9249038E+001, 7.0248830E+001
