s,C,g/g,g/g,g/g,g/g,g/g,1/s,1/s,1/s,1/s,1/s,W/g,W/g,W/g
 7.3200000E+002, 8.1000000E+001, 9.4362283E-001, 8.9999998E-001, 8.3544448E-017, 4.3622840E-002, 0.0000000E+000, 1.1252389E-004, 5.2713586E-018,-2.1085434E-018, 1.1252389E-004, 0.0000000E+000, 4.7405436E-014, 3.7647223E-001, 3.9896473E-001
 7.4400000E+002, 8.2000000E+001, 9.4227415E-001, 8.9999998E-001, 1.1231501E-016, 4.2274129E-002, 0.0000000E+000, 1.1224118E-004, 6.7766623E-018,-2.7106649E-018, 1.1224118E-004, 0.0000000E+000, 6.0942665E-014, 3.7502435E-001, 3.9799920E-001
 7.5600000E+002, 8.3000000E+001, 9.4092953E-001, 8.9999998E-001, 1.4927414E-016, 4.0929534E-002, 0.0000000E+000, 1.1183834E-004, 8.6995445E-018,-3.4798177E-018, 1.1183834E-004, 0.0000000E+000, 7.8235189E-014, 3.7327412E-001, 3.9670783E-001
 7.6800000E+002, 8.4000000E+001, 9.3959051E-001, 8.9999998E-001, 1.9668584E-016, 3.9590500E-002, 0.0000000E+000, 1.1131440E-004, 1.1152436E-017,-4.4609747E-018, 1.1131440E-004, 0.0000000E+000, 1.0029409E-013, 3.7122053E-001, 3.9508757E-001
 7.8000000E+002, 8.5000000E+001, 9.3825847E-001, 8.9999998E-001, 2.5742160E-016, 3.8258482E-002, 0.0000000E+000, 1.1066882E-004, 1.4277119E-017,-5.7108479E-018, 1.1066882E-004, 0.0000000E+000, 1.2839443E-013, 3.6886352E-001, 3.9313635E-001
 7.9200000E+002, 8.6000000E+001, 9.3693495E-001, 8.9999998E-001, 3.3511850E-016, 3.6934942E-002, 0.0000000E+000, 1.0990147E-004, 1.8252152E-017,-7.3008607E-018, 1.0990147E-004, 0.0000000E+000, 1.6414199E-013, 3.6620408E-001, 3.9085326E-001
 8.0400000E+002, 8.7000000E+001, 9.3562132E-001, 8.9999998E-001, 4.3437716E-016, 3.5621341E-002, 0.0000000E+000, 1.0901261E-004, 2.3302108E-017,-9.3208432E-018, 1.0901261E-004, 0.0000000E+000, 2.0955634E-013, 3.6324415E-001, 3.8823843E-001
 8.1600000E+002, 8.8000000E+001, 9.3431914E-001, 8.9999998E-001, 5.6100909E-016, 3.4319133E-002, 0.0000000E+000, 1.0800295E-004, 2.9709059E-017,-1.1883624E-017, 1.0800295E-004, 0.0000000E+000, 2.6717420E-013, 3.5998702E-001, 3.8529342E-001
 8.2800000E+002, 8.9000000E+001, 9.3302977E-001, 8.9999998E-001, 7.2234573E-016, 3.3029757E-002, 0.0000000E+000, 1.0687363E-004, 3.7826834E-017,-1.5130733E-017, 1.0687363E-004, 0.0000000E+000, 3.4017751E-013, 3.5643688E-001, 3.8202089E-001
 8.4000000E+002, 9.0000000E+001, 9.3175465E-001, 8.9999998E-001, 9.2762411E-016, 3.1754650E-002, 0.0000000E+000, 1.0562626E-004, 4.8098700E-017,-1.9239480E-017, 1.0562626E-004, 0.0000000E+000, 4.3255259E-013, 3.5259899E-001, 3.7842473E-001
 8.5200000E+002, 9.1000000E+001, 9.3049520E-001, 8.9999998E-001, 1.1884663E-015, 3.0495206E-002, 0.0000000E+000, 1.0426287E-004, 6.1079241E-017,-2.4431698E-017, 1.0426287E-004, 0.0000000E+000, 5.4928691E-013, 3.4847987E-001, 3.7451014E-001
 8.6400000E+002, 9.2000000E+001, 9.2925280E-001, 8.9999998E-001, 1.5194772E-015, 2.9252809E-002, 0.0000000E+000, 1.0278597E-004, 7.7461454E-017,-3.0984584E-017, 1.0278597E-004, 0.0000000E+000, 6.9661247E-013, 3.4408718E-001, 3.7028372E-001
 8.7600000E+002, 9.3000000E+001, 9.2802882E-001, 8.9999998E-001, 1.9389855E-015, 2.8028799E-002, 0.0000000E+000, 1.0119852E-004, 9.8110172E-017,-3.9244069E-017, 1.0119852E-004, 0.0000000E+000, 8.8230681E-013, 3.3942944E-001, 3.6575314E-001
 8.8800000E+002, 9.4000000E+001, 9.2682451E-001, 8.9999998E-001, 2.4699650E-015, 2.6824489E-002, 0.0000000E+000, 9.9503915E-005, 1.2410331E-016,-4.9641322E-017, 9.9503915E-005, 0.0000000E+000, 1.1160636E-012, 3.3451658E-001, 3.6092767E-001
 9.0000000E+002, 9.5000000E+001, 9.2564112E-001, 8.9999998E-001, 3.1411753E-015, 2.5641136E-002, 0.0000000E+000, 9.7706012E-005, 1.5678271E-016,-6.2713089E-017, 9.7706012E-005, 0.0000000E+000, 1.4099502E-012, 3.2935938E-001, 3.5581756E-001
 9.1200000E+002, 9.6000000E+001, 9.2447996E-001, 8.9999998E-001, 3.9885727E-015, 2.4479959E-002, 0.0000000E+000, 9.5809104E-005, 1.9781674E-016,-7.9126694E-017, 9.5809104E-005, 0.0000000E+000, 1.7789700E-012, 3.2396972E-001, 3.5043454E-001
 9.2400000E+002, 9.7000000E+001, 9.2334211E-001, 8.9999998E-001, 5.0570565E-015, 2.3342116E-002, 0.0000000E+000, 9.3817885E-005, 2.4927708E-016,-9.9710833E-017, 9.3817885E-005, 0.0000000E+000, 2.2417539E-012, 3.1836051E-001, 3.4479147E-001
 9.3600000E+002, 9.8000000E+001, 9.2222869E-001, 8.9999998E-001, 6.4026251E-015, 2.2228707E-002, 0.0000000E+000, 9.1737464E-005, 3.1373325E-016,-1.2549330E-016, 9.1737464E-005, 0.0000000E+000, 2.8214098E-012, 3.1254560E-001, 3.3890247E-001
 9.4800000E+002, 9.9000000E+001, 9.2114079E-001, 8.9999998E-001, 8.0950320E-015, 2.1140773E-002, 0.0000000E+000, 8.9573339E-005, 3.9436830E-016,-1.5774733E-016, 8.9573339E-005, 0.0000000E+000, 3.5465623E-012, 3.0653962E-001, 3.3278263E-001
 9.6000000E+002, 1.0000000E+002, 9.2007929E-001, 8.9999998E-001, 1.0221062E-014, 2.0079279E-002, 0.0000000E+000, 8.7331362E-005, 4.9512062E-016,-1.9804824E-016, 8.7331362E-005, 0.0000000E+000, 4.4526301E-012, 3.0035821E-001, 3.2644817E-001
 9.7200000E+002, 1.0100000E+002, 9.1904515E-001, 8.9999998E-001, 1.2888558E-014, 1.9045129E-002, 0.0000000E+000, 8.5017724E-005, 6.2085736E-016,-2.4834294E-016, 8.5017724E-005, 0.0000000E+000, 5.5833831E-012, 2.9401761E-001, 3.1991640E-001
 9.8400000E+002, 1.0200000E+002, 9.1803914E-001, 8.9999998E-001, 1.6231370E-014, 1.8039139E-002, 0.0000000E+000, 8.2638900E-005, 7.7758652E-016,-3.1103460E-016, 8.2638900E-005, 0.0000000E+000, 6.9928520E-012, 2.8753480E-001, 3.1320539E-001
 9.9600000E+002, 1.0300000E+002, 9.1706204E-001, 8.9999998E-001, 2.0415441E-014, 1.7062053E-002, 0.0000000E+000, 8.0201680E-005, 9.7271548E-016,-3.8908620E-016, 8.0201680E-005, 0.0000000E+000, 8.7476510E-012, 2.8092745E-001, 3.0633417E-001
 1.0080000E+003, 1.0400000E+002, 9.1611451E-001, 8.9999998E-001, 2.5646240E-014, 1.6114529E-002, 0.0000000E+000, 7.7713041E-005, 1.2153666E-015,-4.8614667E-016, 7.7713041E-005, 0.0000000E+000, 1.0929818E-011, 2.7421349E-001, 2.9932231E-001
 1.0200000E+003, 1.0500000E+002, 9.1519713E-001, 8.9999998E-001, 3.2177901E-014, 1.5197142E-002, 0.0000000E+000, 7.5180207E-005, 1.5167613E-015,-6.0670450E-016, 7.5180207E-005, 0.0000000E+000, 1.3640266E-011, 2.6741156E-001, 2.9219013E-001
 1.0320000E+003, 1.0600000E+002, 9.1431040E-001, 8.9999998E-001, 4.0324382E-014, 1.4310377E-002, 0.0000000E+000, 7.2610535E-005, 1.8906870E-015,-7.5627480E-016, 7.2610535E-005, 0.0000000E+000, 1.7002988E-011, 2.6054031E-001, 2.8495827E-001
 1.0440000E+003, 1.0700000E+002, 9.1345465E-001, 8.9999998E-001, 5.0473094E-014, 1.3454632E-002, 0.0000000E+000, 7.0011512E-005, 2.3540657E-015,-9.4162630E-016, 7.0011512E-005, 0.0000000E+000, 2.1170161E-011, 2.5361881E-001, 2.7764794E-001
 1.0560000E+003, 1.0800000E+002, 9.1263020E-001, 8.9999998E-001, 6.3101556E-014, 1.2630214E-002, 0.0000000E+000, 6.7390698E-005, 2.9276419E-015,-1.1710567E-015, 6.7390698E-005, 0.0000000E+000, 2.6328344E-011, 2.4666603E-001, 2.7028036E-001
 1.0680000E+003, 1.0900000E+002, 9.1183734E-001, 8.9999998E-001, 7.8797679E-014, 1.1837338E-002, 0.0000000E+000, 6.4755695E-005, 3.6368194E-015,-1.4547277E-015, 6.4755695E-005, 0.0000000E+000, 3.2705991E-011, 2.3970117E-001, 2.6287711E-001
 1.0800000E+003, 1.1000000E+002, 9.1107613E-001, 8.9999998E-001, 9.8284506E-014, 1.1076130E-002, 0.0000000E+000, 6.2114079E-005, 4.5126718E-015,-1.8050687E-015, 6.2114079E-005, 0.0000000E+000, 4.0582551E-011, 2.3274301E-001, 2.5545946E-001
 1.0920000E+003, 1.1100000E+002, 9.1034663E-001, 8.9999998E-001, 1.2245023E-013, 1.0346623E-002, 0.0000000E+000, 5.9473379E-005, 5.5931682E-015,-2.2372673E-015, 5.9473379E-005, 0.0000000E+000, 5.0299480E-011, 2.2581030E-001, 2.4804871E-001
