m,m/s,m,m/s,m,kg/m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,kg/m/s
 3.6562500E-001,-1.2131863E-001,NaN,NaN, 3.6562500E-001, 8.2217555E-005, 3.6562500E-001, 3.3243449E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.7187500E-001,-9.6020911E-002,NaN,NaN, 3.7187500E-001, 8.2562504E-005, 3.7187500E-001, 3.3294301E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.7812500E-001,-6.8774316E-002,NaN,NaN, 3.7812500E-001, 8.2576298E-005, 3.7812500E-001, 3.2935246E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.8437500E-001,-4.5382881E-002,NaN,NaN, 3.8437500E-001, 8.1216814E-005, 3.8437500E-001, 3.2691095E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.9062500E-001,-2.4456731E-002,NaN,NaN, 3.9062500E-001, 8.0359563E-005, 3.9062500E-001, 3.2642190E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.9687500E-001,-4.2975931E-003,NaN,NaN, 3.9687500E-001, 8.0282476E-005, 3.9687500E-001, 3.3128639E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.0312500E-001, 1.7330720E-002,NaN,NaN, 4.0312500E-001, 8.1293793E-005, 4.0312500E-001, 3.3190944E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.0937500E-001, 1.7330720E-002,NaN,NaN, 4.0937500E-001, 8.1654540E-005, 4.0937500E-001, 3.3190944E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.1562500E-001, 5.2340651E-002,NaN,NaN, 4.1562500E-001, 8.0976221E-005, 4.1562500E-001, 3.3659093E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.2187500E-001, 7.0422216E-002,NaN,NaN, 4.2187500E-001, 8.0906151E-005, 4.2187500E-001, 3.3806874E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.2812500E-001, 8.7924631E-002,NaN,NaN, 4.2812500E-001, 8.1116310E-005, 4.2812500E-001, 3.4076416E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.3437500E-001, 1.0225655E-001,NaN,NaN, 4.3437500E-001, 8.1490658E-005, 4.3437500E-001, 3.4452549E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.4062500E-001, 1.0225655E-001,NaN,NaN, 4.4062500E-001, 7.8717423E-005, 4.4062500E-001, 3.4452549E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.4687500E-001, 1.4156026E-001,NaN,NaN, 4.4687500E-001, 7.8584665E-005, 4.4687500E-001, 3.4994546E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.5312500E-001, 1.6008770E-001,NaN,NaN, 4.5312500E-001, 7.8585935E-005, 4.5312500E-001, 3.5256383E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.5937500E-001, 1.8025345E-001,NaN,NaN, 4.5937500E-001, 7.7492212E-005, 4.5937500E-001, 3.5171050E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.6562500E-001, 1.9558106E-001,NaN,NaN, 4.6562500E-001, 7.7070256E-005, 4.6562500E-001, 3.5105452E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.7187500E-001, 1.9558106E-001,NaN,NaN, 4.7187500E-001, 7.7396879E-005, 4.7187500E-001, 3.5105452E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.7812500E-001, 2.3206810E-001,NaN,NaN, 4.7812500E-001, 7.7182349E-005, 4.7812500E-001, 3.4276045E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.8437500E-001, 2.4991958E-001,NaN,NaN, 4.8437500E-001, 7.7230620E-005, 4.8437500E-001, 3.3990910E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.9062500E-001, 2.6909378E-001,NaN,NaN, 4.9062500E-001, 7.6209374E-005, 4.9062500E-001, 3.3620387E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.9687500E-001, 2.8326980E-001,NaN,NaN, 4.9687500E-001, 7.5553272E-005, 4.9687500E-001, 3.4030065E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.0312500E-001, 2.8326980E-001,NaN,NaN, 5.0312500E-001, 7.6102872E-005, 5.0312500E-001, 3.4030065E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.0937500E-001, 3.1433637E-001,NaN,NaN, 5.0937500E-001, 7.5466824E-005, 5.0937500E-001, 3.4091610E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.1562500E-001, 3.2932236E-001,NaN,NaN, 5.1562500E-001, 7.4464807E-005, 5.1562500E-001, 3.4034085E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.2187500E-001, 3.4189427E-001,NaN,NaN, 5.2187500E-001, 7.5124834E-005, 5.2187500E-001, 3.4197201E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.2812500E-001, 3.5844562E-001,NaN,NaN, 5.2812500E-001, 7.5791417E-005, 5.2812500E-001, 3.3936706E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.3437500E-001, 3.5844562E-001,NaN,NaN, 5.3437500E-001, 7.4857462E-005, 5.3437500E-001, 3.3936706E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.4062500E-001, 3.8685961E-001,NaN,NaN, 5.4062500E-001, 7.4147500E-005, 5.4062500E-001, 3.3105425E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.4687500E-001, 3.9861348E-001,NaN,NaN, 5.4687500E-001, 7.3554349E-005, 5.4687500E-001, 3.2992425E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.5312500E-001, 4.1116171E-001,NaN,NaN, 5.5312500E-001, 7.3613466E-005, 5.5312500E-001, 3.2851899E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.5937500E-001, 4.2618881E-001,NaN,NaN, 5.5937500E-001, 7.4000475E-005, 5.5937500E-001, 3.2603098E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.6562500E-001, 4.2618881E-001,NaN,NaN, 5.6562500E-001, 7.3258722E-005, 5.6562500E-001, 3.2603098E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.7187500E-001, 4.5115043E-001,NaN,NaN, 5.7187500E-001, 7.2676977E-005, 5.7187500E-001, 3.2725169E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.7812500E-001, 4.6577469E-001,NaN,NaN, 5.7812500E-001, 7.3466178E-005, 5.7812500E-001, 3.2750483E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.8437500E-001, 4.7676573E-001,NaN,NaN, 5.8437500E-001, 7.3403443E-005, 5.8437500E-001, 3.2807750E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.9062500E-001, 4.8454615E-001,NaN,NaN, 5.9062500E-001, 7.3432561E-005, 5.9062500E-001, 3.3300005E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.9687500E-001, 4.8454615E-001,NaN,NaN, 5.9687500E-001, 7.3102627E-005, 5.9687500E-001, 3.3300005E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
