s,m/s
Time,"Ub"
 3.1300711E+001, 1.0205098E+000
 3.1400108E+001, 1.0265067E+000
 3.1501220E+001, 1.0304914E+000
 3.1600275E+001, 1.0360663E+000
 3.1700358E+001, 1.0398101E+000
 3.1801264E+001, 1.0394037E+000
 3.1900940E+001, 1.0348216E+000
 3.2001041E+001, 1.0273621E+000
 3.2100212E+001, 1.0181067E+000
 3.2200092E+001, 1.0136429E+000
 3.2301532E+001, 1.0104350E+000
 3.2401405E+001, 9.9926134E-001
 3.2500433E+001, 9.9173564E-001
 3.2600051E+001, 9.9207644E-001
 3.2700372E+001, 9.9868382E-001
 3.2801507E+001, 9.9947269E-001
 3.2901150E+001, 9.9395178E-001
 3.3000917E+001, 9.9050625E-001
 3.3101020E+001, 9.9155953E-001
 3.3201391E+001, 9.9310029E-001
 3.3300499E+001, 9.9653768E-001
 3.3401709E+001, 1.0002846E+000
 3.3500576E+001, 1.0086238E+000
 3.3600681E+001, 1.0166097E+000
 3.3700787E+001, 1.0256008E+000
 3.3800711E+001, 1.0334948E+000
 3.3901181E+001, 1.0459553E+000
 3.4001136E+001, 1.0556828E+000
 3.4100392E+001, 1.0642032E+000
 3.4201119E+001, 1.0705294E+000
 3.4300701E+001, 1.0703080E+000
 3.4401301E+001, 1.0579736E+000
 3.4500246E+001, 1.0513958E+000
 3.4600392E+001, 1.0595948E+000
 3.4700537E+001, 1.0722634E+000
 3.4800727E+001, 1.0737598E+000
 3.4901108E+001, 1.0743976E+000
 3.5001628E+001, 1.0773285E+000
 3.5100582E+001, 1.0818567E+000
 3.5201242E+001, 1.0852524E+000
 3.5300196E+001, 1.0795340E+000
 3.5400076E+001, 1.0737702E+000
 3.5500110E+001, 1.0771900E+000
 3.5601275E+001, 1.0853556E+000
 3.5700933E+001, 1.0962747E+000
 3.5801447E+001, 1.1008135E+000
 3.5900460E+001, 1.0877792E+000
 3.6001107E+001, 1.0707068E+000
 3.6100013E+001, 1.0550901E+000
 3.6200428E+001, 1.0469583E+000
 3.6301501E+001, 1.0379483E+000
 3.6400078E+001, 1.0226630E+000
 3.6500261E+001, 9.9801045E-001
 3.6600673E+001, 9.7734209E-001
 3.6700801E+001, 9.6746971E-001
 3.6800519E+001, 9.6491458E-001
 3.6900385E+001, 9.6341221E-001
 3.7001505E+001, 9.6224071E-001
 3.7100944E+001, 9.5752477E-001
 3.7201119E+001, 9.5059573E-001
 3.7301295E+001, 9.5039965E-001
 3.7401157E+001, 9.5975744E-001
 3.7501536E+001, 9.7193848E-001
 3.7600022E+001, 9.8310144E-001
 3.7700401E+001, 9.9205364E-001
 3.7800780E+001, 1.0044490E+000
 3.7901159E+001, 1.0223615E+000
 3.8001538E+001, 1.0411202E+000
 3.8100023E+001, 1.0590285E+000
 3.8201520E+001, 1.0685652E+000
 3.8300391E+001, 1.0721362E+000
 3.8401505E+001, 1.0714796E+000
 3.8501313E+001, 1.0672243E+000
 3.8601350E+001, 1.0650385E+000
 3.8701067E+001, 1.0640043E+000
 3.8800121E+001, 1.0653528E+000
 3.8900883E+001, 1.0716163E+000
 3.9001645E+001, 1.0737975E+000
 3.9101068E+001, 1.0670024E+000
 3.9201161E+001, 1.0528347E+000
 3.9300712E+001, 1.0283729E+000
 3.9400113E+001, 1.0087125E+000
 3.9501481E+001, 1.0015243E+000
 3.9600427E+001, 1.0019632E+000
 3.9700346E+001, 1.0197530E+000
 3.9800067E+001, 1.0252512E+000
 3.9901316E+001, 1.0243414E+000
 4.0001054E+001, 1.0270332E+000
 4.0101661E+001, 1.0377785E+000
 4.0201373E+001, 1.0441011E+000
 4.0301158E+001, 1.0439080E+000
 4.0401426E+001, 1.0456028E+000
 4.0500568E+001, 1.0467342E+000
 4.0601480E+001, 1.0543730E+000
 4.0700621E+001, 1.0618034E+000
