s,C,null,m,null,C,C,null,kW/m2,kW/m2,null,C,kW/m2
 1.5750003E+003, 1.1393913E+002, 5.7636445E+001, 2.2200877E+000, 9.1991118E-001, 7.2449229E+002, 2.5649299E+002, 6.3906540E+001, 8.5873598E+001, 7.7622624E+000, 2.3102939E+000, 1.6745218E+002, 5.0675176E+000
 1.5900028E+003, 1.1131327E+002, 5.7640717E+001, 2.1964056E+000, 1.0028538E+000, 7.2803697E+002, 2.5592134E+002, 6.4076049E+001, 8.6872839E+001, 7.7150426E+000, 2.4476133E+000, 1.6639092E+002, 5.0453636E+000
 1.6050167E+003, 1.1220806E+002, 5.7329596E+001, 2.2175663E+000, 9.5092911E-001, 7.3059932E+002, 2.5487312E+002, 6.4275019E+001, 8.4499247E+001, 8.0584955E+000, 2.2559074E+000, 1.6437411E+002, 4.6667236E+000
 1.6200149E+003, 1.1305452E+002, 5.7417062E+001, 2.2256688E+000, 9.2153219E-001, 7.3219759E+002, 2.5421461E+002, 6.4386570E+001, 8.6926832E+001, 7.4508907E+000, 2.2466967E+000, 1.6289004E+002, 4.6528732E+000
 1.6350163E+003, 1.0893981E+002, 5.6717660E+001, 2.1933350E+000, 9.0104352E-001, 7.3427271E+002, 2.5309604E+002, 6.4462999E+001, 8.8196587E+001, 7.4023280E+000, 2.2879285E+000, 1.6049053E+002, 4.4360376E+000
 1.6500204E+003, 1.1029142E+002, 5.6922331E+001, 2.1982607E+000, 9.2872236E-001, 7.3606911E+002, 2.5189459E+002, 6.4544711E+001, 8.8230758E+001, 6.7854545E+000, 2.2835991E+000, 1.5789388E+002, 3.9895412E+000
 1.6650196E+003, 1.0578094E+002, 5.6197837E+001, 2.1864020E+000, 9.3829151E-001, 7.3797134E+002, 2.5034751E+002, 6.4656069E+001, 8.8268119E+001, 7.7796043E+000, 2.2656155E+000, 1.5561197E+002, 4.2277112E+000
 1.6800002E+003, 1.1151555E+002, 5.6220705E+001, 2.2341990E+000, 9.0624327E-001, 7.4080505E+002, 2.4901103E+002, 6.4742070E+001, 9.0065700E+001, 6.8078050E+000, 2.2275209E+000, 1.5390604E+002, 4.0754364E+000
 1.6950076E+003, 1.0320372E+002, 5.5819699E+001, 2.1769460E+000, 9.3741379E-001, 7.4360580E+002, 2.4778304E+002, 6.4804741E+001, 8.8744938E+001, 6.5509341E+000, 2.1182951E+000, 1.5154324E+002, 4.1195624E+000
 1.7100180E+003, 1.0449833E+002, 5.5744939E+001, 2.1926095E+000, 9.6167068E-001, 7.4475433E+002, 2.4664007E+002, 6.4837166E+001, 8.8934949E+001, 6.2473054E+000, 2.1668831E+000, 1.5044024E+002, 4.2805833E+000
 1.7250198E+003, 1.0794949E+002, 5.5615801E+001, 2.2170741E+000, 9.7296871E-001, 7.4563974E+002, 2.4521495E+002, 6.4843631E+001, 8.7860636E+001, 6.3447700E+000, 2.2493487E+000, 1.4874122E+002, 3.7557258E+000
 1.7400005E+003, 1.0316011E+002, 5.5511558E+001, 2.2046375E+000, 9.7297239E-001, 7.4598700E+002, 2.4381265E+002, 6.4867926E+001, 8.8863398E+001, 6.2575225E+000, 2.0994654E+000, 1.4697617E+002, 3.8613164E+000
 1.7550187E+003, 1.0234141E+002, 5.4900197E+001, 2.1923789E+000, 9.6943015E-001, 7.4724143E+002, 2.4248569E+002, 6.4879213E+001, 9.1646287E+001, 6.1734418E+000, 2.1166310E+000, 1.4557907E+002, 3.9656254E+000
 1.7700158E+003, 9.9907853E+001, 5.4991536E+001, 2.1951886E+000, 9.9006014E-001, 7.4958886E+002, 2.4135476E+002, 6.4876581E+001, 9.0219041E+001, 6.1729026E+000, 2.0466740E+000, 1.4369028E+002, 3.3909528E+000
 1.7850196E+003, 9.7981570E+001, 5.4668226E+001, 2.1704334E+000, 9.7748424E-001, 7.5131234E+002, 2.3983420E+002, 6.4818684E+001, 9.1654051E+001, 5.8130731E+000, 2.0825813E+000, 1.4192237E+002, 3.7771447E+000
 1.8000042E+003, 9.6274830E+001, 5.4538432E+001, 2.1722887E+000, 9.5329375E-001, 7.5382855E+002, 2.3811031E+002, 6.4789061E+001, 9.2250904E+001, 6.2109717E+000, 2.0596545E+000, 1.4042726E+002, 3.5021398E+000
 1.8150067E+003, 1.0239955E+002, 5.4323504E+001, 2.2402365E+000, 9.8345981E-001, 7.5666326E+002, 2.3657120E+002, 6.4777125E+001, 9.1362509E+001, 5.7818848E+000, 2.0351488E+000, 1.3912492E+002, 3.8216480E+000
 1.8300137E+003, 9.7723350E+001, 5.4077068E+001, 2.2394587E+000, 9.9367710E-001, 7.5894445E+002, 2.3500700E+002, 6.4732265E+001, 9.1005937E+001, 5.7080747E+000, 2.1059725E+000, 1.3854614E+002, 3.7380467E+000
 1.8450188E+003, 9.6618708E+001, 5.3829542E+001, 2.1943035E+000, 1.0336126E+000, 7.6134013E+002, 2.3326335E+002, 6.4715245E+001, 9.3224756E+001, 5.5628188E+000, 2.0796729E+000, 1.3721699E+002, 3.4578417E+000
 1.8600074E+003, 9.6340163E+001, 5.3528913E+001, 2.2147933E+000, 9.9791925E-001, 7.6362283E+002, 2.3156938E+002, 6.4698707E+001, 9.3756171E+001, 5.7695412E+000, 2.0186163E+000, 1.3613450E+002, 3.5958024E+000
 1.8750059E+003, 9.3433124E+001, 5.3237867E+001, 2.1994660E+000, 9.9348748E-001, 7.6586671E+002, 2.2984659E+002, 6.4661664E+001, 9.5230190E+001, 5.2910147E+000, 1.9985356E+000, 1.3530335E+002, 3.6116405E+000
 1.8900015E+003, 9.2211431E+001, 5.3167482E+001, 2.1883627E+000, 9.7748024E-001, 7.6762240E+002, 2.2812504E+002, 6.4607442E+001, 9.0649356E+001, 5.7715217E+000, 1.8816809E+000, 1.3486267E+002, 3.8859108E+000
 1.9050088E+003, 9.3559192E+001, 5.2781288E+001, 2.2227697E+000, 1.0392015E+000, 7.6649636E+002, 2.2656013E+002, 6.4496479E+001, 9.0093208E+001, 5.5036052E+000, 1.7925628E+000, 1.3422084E+002, 3.4666647E+000
 1.9200004E+003, 9.3417864E+001, 5.2356312E+001, 2.2282402E+000, 9.8570249E-001, 7.6606243E+002, 2.2483065E+002, 6.4340702E+001, 9.1002750E+001, 5.5508431E+000, 1.8364869E+000, 1.3377488E+002, 3.7557671E+000
 1.9350064E+003, 9.1803714E+001, 5.2092450E+001, 2.2173248E+000, 9.9042145E-001, 7.6597825E+002, 2.2306542E+002, 6.4182929E+001, 9.2087536E+001, 5.5968253E+000, 1.7742344E+000, 1.3274737E+002, 3.2530442E+000
 1.9500170E+003, 9.2542728E+001, 5.1625066E+001, 2.2396224E+000, 1.0148346E+000, 7.6617471E+002, 2.2130525E+002, 6.4033589E+001, 9.5056453E+001, 5.0171460E+000, 1.7638629E+000, 1.3116476E+002, 3.0394245E+000
 1.9650023E+003, 9.0348287E+001, 5.1448213E+001, 2.2297348E+000, 1.0023468E+000, 7.6533123E+002, 2.1948999E+002, 6.3876904E+001, 9.2673844E+001, 5.2402526E+000, 1.6991409E+000, 1.2964433E+002, 3.1079760E+000
 1.9800008E+003, 9.0332550E+001, 5.1358028E+001, 2.2537458E+000, 1.0536897E+000, 7.6181775E+002, 2.1771111E+002, 6.3691913E+001, 9.3292045E+001, 5.2074239E+000, 1.7290850E+000, 1.2823132E+002, 3.0499727E+000
 1.9950023E+003, 8.6419483E+001, 5.1174802E+001, 2.2219830E+000, 1.0332400E+000, 7.6083451E+002, 2.1588127E+002, 6.3510146E+001, 9.5400601E+001, 4.6719426E+000, 1.7333011E+000, 1.2708307E+002, 2.9759400E+000
 2.0100143E+003, 8.7100053E+001, 5.0672219E+001, 2.2573043E+000, 1.0287003E+000, 7.6003894E+002, 2.1414963E+002, 6.3350138E+001, 9.8898105E+001, 4.6571957E+000, 1.7305332E+000, 1.2527026E+002, 2.5926423E+000
 2.0250114E+003, 8.5822221E+001, 5.0287609E+001, 2.2304820E+000, 1.0033020E+000, 7.5541864E+002, 2.1226595E+002, 6.3195410E+001, 9.8159389E+001, 5.1040546E+000, 1.6913964E+000, 1.2330775E+002, 2.7823789E+000
 2.0400129E+003, 8.3777318E+001, 4.9714852E+001, 2.2240012E+000, 1.0205006E+000, 7.4909932E+002, 2.1049185E+002, 6.3029087E+001, 1.0174428E+002, 4.7414958E+000, 1.6559424E+000, 1.2161547E+002, 2.3322689E+000
 2.0550007E+003, 8.6465883E+001, 4.9645372E+001, 2.2737843E+000, 1.0718586E+000, 7.4390482E+002, 2.0866769E+002, 6.2849180E+001, 1.0387772E+002, 4.3698150E+000, 1.5551415E+000, 1.1925545E+002, 2.1527464E+000
 2.0700070E+003, 8.4427912E+001, 4.9256948E+001, 2.2764506E+000, 1.0793479E+000, 7.3563654E+002, 2.0686995E+002, 6.2642885E+001, 1.1353644E+002, 4.2100030E+000, 1.5594527E+000, 1.1641389E+002, 1.9288141E+000
 2.0850076E+003, 8.0842635E+001, 4.9028973E+001, 2.2443338E+000, 1.0922274E+000, 7.3531259E+002, 2.0516369E+002, 6.2440155E+001, 1.0839392E+002, 4.2418892E+000, 1.5542031E+000, 1.1403394E+002, 2.0686990E+000
 2.1000195E+003, 8.2498375E+001, 4.8525505E+001, 2.2910922E+000, 1.0646539E+000, 7.4126808E+002, 2.0351755E+002, 6.2236911E+001, 1.0282165E+002, 4.3400183E+000, 1.5264073E+000, 1.1205716E+002, 2.1396149E+000
 2.1150128E+003, 7.7883185E+001, 4.8315484E+001, 2.2434619E+000, 1.0751523E+000, 7.4326872E+002, 2.0168306E+002, 6.2010012E+001, 1.0668007E+002, 4.2157751E+000, 1.4191062E+000, 1.1016057E+002, 1.9377971E+000
 2.1300089E+003, 7.9346508E+001, 4.7781903E+001, 2.2674665E+000, 1.0536458E+000, 7.4677163E+002, 1.9978841E+002, 6.1758508E+001, 1.0718270E+002, 4.1817250E+000, 1.3832015E+000, 1.0812721E+002, 1.9039644E+000
 2.1450205E+003, 8.2296750E+001, 4.7162255E+001, 2.3337465E+000, 1.0682716E+000, 7.5070534E+002, 1.9798667E+002, 6.1487397E+001, 1.1237452E+002, 3.6686940E+000, 1.4344671E+000, 1.0612912E+002, 1.7087184E+000
 2.1600036E+003, 7.7887346E+001, 4.6694308E+001, 2.3000092E+000, 1.0240863E+000, 7.5723333E+002, 1.9616565E+002, 6.1222954E+001, 1.0809051E+002, 3.7036492E+000, 1.4231027E+000, 1.0392042E+002, 1.6121826E+000
 2.1750218E+003, 7.6615122E+001, 4.6469040E+001, 2.2942726E+000, 1.0251876E+000, 7.6208221E+002, 1.9439856E+002, 6.0951090E+001, 1.1297282E+002, 3.5709492E+000, 1.3659253E+000, 1.0180742E+002, 1.6237499E+000
 2.1900127E+003, 7.1235742E+001, 4.6354702E+001, 2.2109220E+000, 1.0850972E+000, 7.6645787E+002, 1.9268752E+002, 6.0683374E+001, 1.0473584E+002, 3.3922254E+000, 1.3131395E+000, 9.9861848E+001, 1.5588228E+000
 2.2050172E+003, 7.1742977E+001, 4.6060863E+001, 2.2443609E+000, 1.0758140E+000, 7.6783205E+002, 1.9101502E+002, 6.0419436E+001, 9.9822069E+001, 3.5279398E+000, 1.2806774E+000, 9.7916129E+001, 1.5030069E+000
 2.2200047E+003, 7.1788450E+001, 4.5536001E+001, 2.3097717E+000, 1.1180009E+000, 7.6574892E+002, 1.8932565E+002, 6.0150728E+001, 9.3848074E+001, 3.4657630E+000, 1.3001908E+000, 9.6070986E+001, 1.4320199E+000
 2.2350100E+003, 6.7667771E+001, 4.5158512E+001, 2.2717740E+000, 1.0884806E+000, 7.6122425E+002, 1.8759177E+002, 5.9878575E+001, 8.3786860E+001, 3.0685721E+000, 1.2848601E+000, 9.4128720E+001, 1.3458444E+000
 2.2500067E+003, 6.5065924E+001, 4.4864798E+001, 2.1823530E+000, 1.0950848E+000, 7.5291113E+002, 1.8577135E+002, 5.9607626E+001, 7.7850645E+001, 2.8908307E+000, 1.2164101E+000, 9.2267063E+001, 1.3032396E+000
 2.2650028E+003, 6.2562022E+001, 4.4245937E+001, 2.1734007E+000, 1.0840858E+000, 7.4308884E+002, 1.8394113E+002, 5.9311043E+001, 6.8387598E+001, 2.8885100E+000, 1.1364150E+000, 9.0462810E+001, 1.2592331E+000
 2.2800022E+003, 6.2808369E+001, 4.3632410E+001, 2.1931507E+000, 1.0930996E+000, 7.3229782E+002, 1.8222393E+002, 5.9002422E+001, 5.7419725E+001, 2.8438060E+000, 1.1082788E+000, 8.8682423E+001, 1.1917665E+000
 2.2950102E+003, 5.9665963E+001, 4.3319534E+001, 2.1988392E+000, 1.1113788E+000, 7.1769321E+002, 1.8050214E+002, 5.8699014E+001, 4.7245500E+001, 2.9062393E+000, 1.1117772E+000, 8.6936871E+001, 1.1435671E+000
 2.3100008E+003, 5.2649115E+001, 4.3101287E+001, 2.0558178E+000, 1.2173734E+000, 7.0035820E+002, 1.7873839E+002, 5.8391751E+001, 3.5148961E+001, 2.6489980E+000, 1.0696579E+000, 8.5284679E+001, 1.1649304E+000
 2.3250129E+003, 5.1925619E+001, 4.2528920E+001, 2.0384837E+000, 1.1450085E+000, 6.7756447E+002, 1.7696351E+002, 5.8083472E+001, 2.2288816E+001, 2.4079623E+000, 1.0150732E+000, 8.3766032E+001, 1.1183441E+000
 2.3400157E+003, 4.9463758E+001, 4.1934716E+001, 1.9433109E+000, 1.1856614E+000, 6.5052357E+002, 1.7511767E+002, 5.7770040E+001, 1.2247629E+001, 2.2157737E+000, 9.2652655E-001, 8.2260675E+001, 1.0794359E+000
 2.3550039E+003, 5.7090808E+001, 4.1769425E+001, 2.2679179E+000, 1.1783407E+000, 6.2128804E+002, 1.7333186E+002, 5.7442032E+001, 9.2943044E+000, 2.1106396E+000, 9.6042575E-001, 8.0811956E+001, 1.0676023E+000
 2.3700038E+003, 5.5607883E+001, 4.1037294E+001, 2.3038505E+000, 1.1716373E+000, 5.9363224E+002, 1.7155973E+002, 5.7113801E+001, 9.0195779E+000, 2.0557572E+000, 8.2398985E-001, 7.9494623E+001, 1.0711544E+000
 2.3850004E+003, 5.3816386E+001, 4.0589647E+001, 2.2748209E+000, 1.1986314E+000, 5.6968919E+002, 1.6969320E+002, 5.6771827E+001, 8.7888502E+000, 1.9796515E+000, 8.8033690E-001, 7.8206422E+001, 1.0208807E+000
 2.4000187E+003, 5.5870468E+001, 4.0367668E+001, 2.3155986E+000, 1.3721592E+000, 5.4878629E+002, 1.6782912E+002, 5.6430995E+001, 8.5235132E+000, 2.0013814E+000, 8.6433876E-001, 7.6923404E+001, 9.7503147E-001
 2.4150113E+003, 5.4092202E+001, 3.9921739E+001, 2.3200776E+000, 1.3230970E+000, 5.2977230E+002, 1.6607442E+002, 5.6091202E+001, 8.2599901E+000, 1.9403065E+000, 8.6637638E-001, 7.5721034E+001, 1.0225964E+000
 2.4300043E+003, 5.1618345E+001, 3.9606644E+001, 2.2688878E+000, 1.3645172E+000, 5.1190065E+002, 1.6439373E+002, 5.5754719E+001, 7.7748324E+000, 1.9464179E+000, 8.1240846E-001, 7.4652654E+001, 9.8315893E-001
 2.4450210E+003, 4.9446459E+001, 3.9253247E+001, 2.2091578E+000, 1.4171727E+000, 4.9561083E+002, 1.6266540E+002, 5.5446505E+001, 7.8008433E+000, 1.8586988E+000, 8.1142759E-001, 7.3588321E+001, 9.7556781E-001
 2.4600012E+003, 4.9786653E+001, 3.8759043E+001, 2.2779210E+000, 1.2808810E+000, 4.8058606E+002, 1.6099964E+002, 5.5214800E+001, 7.3103802E+000, 1.9160190E+000, 8.0769197E-001, 7.2623455E+001, 9.7228162E-001
 2.4750215E+003, 4.9992655E+001, 3.8528706E+001, 2.2997947E+000, 1.2832497E+000, 4.6656255E+002, 1.5936768E+002, 5.4969877E+001, 7.4258092E+000, 1.9006016E+000, 7.3020024E-001, 7.1701572E+001, 9.7652465E-001
 2.4900093E+003, 4.9947650E+001, 3.8096817E+001, 2.3085582E+000, 1.2670668E+000, 4.5372716E+002, 1.5783029E+002, 5.4747849E+001, 7.5233558E+000, 1.8423051E+000, 7.5585830E-001, 7.0918525E+001, 1.0051957E+000
 2.5050136E+003, 4.8322689E+001, 3.8024027E+001, 2.2366030E+000, 1.4221223E+000, 4.4202988E+002, 1.5628652E+002, 5.4528498E+001, 7.2286167E+000, 1.6645012E+000, 7.2058623E-001, 7.0175166E+001, 9.7193915E-001
 2.5200156E+003, 4.8681089E+001, 3.7744845E+001, 2.2484682E+000, 1.4246733E+000, 4.3081579E+002, 1.5461738E+002, 5.4293173E+001, 7.1233564E+000, 1.9117999E+000, 7.3136395E-001, 6.9443392E+001, 9.6789596E-001
 2.5350233E+003, 4.6866827E+001, 3.7324393E+001, 2.2134553E+000, 1.4467499E+000, 4.2015112E+002, 1.5310981E+002, 5.4060133E+001, 6.9243804E+000, 1.8055932E+000, 7.0133585E-001, 6.8777145E+001, 9.7428167E-001
 2.5500181E+003, 4.5583940E+001, 3.6920753E+001, 2.1324436E+000, 1.3135769E+000, 4.0997658E+002, 1.5151274E+002, 5.3831460E+001, 6.8128925E+000, 1.6394388E+000, 7.1016073E-001, 6.8142608E+001, 9.5641148E-001
 2.5650067E+003, 4.7248175E+001, 3.6787780E+001, 2.2314949E+000, 1.3800772E+000, 4.0007439E+002, 1.4987545E+002, 5.3612605E+001, 6.7748347E+000, 1.7063534E+000, 7.1372266E-001, 6.7549260E+001, 9.6420320E-001
 2.5800114E+003, 4.7249769E+001, 3.6622467E+001, 2.2871895E+000, 1.3754223E+000, 3.9037236E+002, 1.4839907E+002, 5.3379527E+001, 6.4284380E+000, 1.6181119E+000, 7.2494318E-001, 6.7008195E+001, 9.6451090E-001
 2.5950100E+003, 4.5290369E+001, 3.6333879E+001, 2.1839073E+000, 1.3533448E+000, 3.8114139E+002, 1.4698525E+002, 5.3120757E+001, 6.5357599E+000, 1.6585770E+000, 6.9456617E-001, 6.6484511E+001, 9.4965582E-001
 2.6100128E+003, 4.6290820E+001, 3.6120319E+001, 2.2414100E+000, 1.2954153E+000, 3.7242210E+002, 1.4564505E+002, 5.2872848E+001, 6.5079364E+000, 1.5128964E+000, 6.9118153E-001, 6.5987563E+001, 9.4841256E-001
 2.6250122E+003, 4.4752778E+001, 3.5915828E+001, 2.3029411E+000, 1.3496280E+000, 3.6412278E+002, 1.4436314E+002, 5.2646823E+001, 6.1186975E+000, 1.5171400E+000, 6.6918666E-001, 6.5500202E+001, 9.3061670E-001
 2.6400034E+003, 4.5323140E+001, 3.5760145E+001, 2.3368327E+000, 1.3380658E+000, 3.5605331E+002, 1.4303459E+002, 5.2425250E+001, 6.0796474E+000, 1.4810898E+000, 6.2604564E-001, 6.5010369E+001, 9.0874212E-001
 2.6550091E+003, 4.5045419E+001, 3.5511060E+001, 2.2816970E+000, 1.3507863E+000, 3.4813202E+002, 1.4170892E+002, 5.2216511E+001, 6.0759572E+000, 1.4903588E+000, 6.5582126E-001, 6.4478430E+001, 8.7017680E-001
 2.6700100E+003, 4.5700057E+001, 3.5321966E+001, 2.2958858E+000, 1.3467176E+000, 3.4072134E+002, 1.4049279E+002, 5.1989850E+001, 5.7625524E+000, 1.6609628E+000, 6.5234075E-001, 6.3944555E+001, 8.7888879E-001
 2.6850108E+003, 4.2272474E+001, 3.5151813E+001, 2.1835262E+000, 1.3176548E+000, 3.3363606E+002, 1.3922715E+002, 5.1746107E+001, 5.7335904E+000, 1.4690384E+000, 6.2008507E-001, 6.3487436E+001, 8.9240507E-001
 2.7000117E+003, 4.4178766E+001, 3.4925003E+001, 2.2765193E+000, 1.3336916E+000, 3.2647158E+002, 1.3791498E+002, 5.1521342E+001, 5.8852895E+000, 1.4482966E+000, 6.0879812E-001, 6.3067832E+001, 8.7894266E-001
 2.7150125E+003, 4.1846657E+001, 3.4756163E+001, 2.1745378E+000, 1.3445101E+000, 3.1966125E+002, 1.3652875E+002, 5.1351158E+001, 5.5018903E+000, 1.4940886E+000, 6.6961911E-001, 6.2621523E+001, 8.5433942E-001
 2.7300134E+003, 4.1198588E+001, 3.4704790E+001, 2.2033529E+000, 1.4184892E+000, 3.1332334E+002, 1.3509713E+002, 5.1124279E+001, 5.4211243E+000, 1.5203589E+000, 6.5028606E-001, 6.2158581E+001, 8.4656112E-001
 2.7450142E+003, 4.1508555E+001, 3.4486424E+001, 2.2340033E+000, 1.4188566E+000, 3.0717940E+002, 1.3383030E+002, 5.0875535E+001, 5.4550011E+000, 1.4467258E+000, 6.0580038E-001, 6.1761717E+001, 8.6338565E-001
 2.7600151E+003, 4.0942148E+001, 3.4273563E+001, 2.1844019E+000, 1.4754454E+000, 3.0100387E+002, 1.3268254E+002, 5.0631531E+001, 5.2064104E+000, 1.4872069E+000, 5.7486782E-001, 6.1385999E+001, 8.5552399E-001
 2.7750160E+003, 3.8518313E+001, 3.4211068E+001, 2.0684951E+000, 1.4196552E+000, 2.9508329E+002, 1.3152812E+002, 5.0406818E+001, 5.2057969E+000, 1.4230240E+000, 6.2747157E-001, 6.1059934E+001, 8.6782308E-001
 2.7900168E+003, 4.0859057E+001, 3.4136209E+001, 2.2491433E+000, 1.5513529E+000, 2.8925957E+002, 1.3026388E+002, 5.0164249E+001, 5.1681495E+000, 1.4356966E+000, 6.1780005E-001, 6.0733856E+001, 8.3857531E-001
 2.8050177E+003, 4.2445215E+001, 3.4053290E+001, 2.2888827E+000, 1.5519782E+000, 2.8364149E+002, 1.2912319E+002, 4.9908443E+001, 5.1224378E+000, 1.3459290E+000, 5.8348503E-001, 6.0362240E+001, 8.1956258E-001
 2.8200178E+003, 4.1688328E+001, 3.3855925E+001, 2.3468619E+000, 1.4846607E+000, 2.7834272E+002, 1.2784150E+002, 4.9674877E+001, 4.7597653E+000, 1.3269571E+000, 5.8573641E-001, 5.9992214E+001, 8.1516506E-001
 2.8350028E+003, 4.0443212E+001, 3.3739282E+001, 2.2712451E+000, 1.5028378E+000, 2.7361662E+002, 1.2657628E+002, 4.9447568E+001, 4.8482944E+000, 1.4002516E+000, 5.7351687E-001, 5.9634177E+001, 8.0962566E-001
 2.8500168E+003, 3.9143243E+001, 3.3528204E+001, 2.1835304E+000, 1.4608928E+000, 2.6909556E+002, 1.2543475E+002, 4.9208042E+001, 4.8292613E+000, 1.3092217E+000, 5.6480348E-001, 5.9305303E+001, 8.1089005E-001
 2.8650081E+003, 4.0106969E+001, 3.3401728E+001, 2.2212821E+000, 1.4705089E+000, 2.6536670E+002, 1.2424658E+002, 4.8995525E+001, 4.7478702E+000, 1.3247782E+000, 5.5749571E-001, 5.8983054E+001, 8.0306965E-001
 2.8800221E+003, 3.9126595E+001, 3.3210166E+001, 2.2354846E+000, 1.4255112E+000, 2.6179781E+002, 1.2315213E+002, 4.8804863E+001, 4.3830362E+000, 1.4545354E+000, 5.3359914E-001, 5.8691697E+001, 8.1893152E-001
 2.8950133E+003, 3.6993248E+001, 3.3065516E+001, 2.1741824E+000, 1.3616825E+000, 2.5830040E+002, 1.2212051E+002, 4.8622598E+001, 4.6452520E+000, 1.2544456E+000, 5.0744163E-001, 5.8466086E+001, 8.3479460E-001
 2.9100045E+003, 3.9939840E+001, 3.2948934E+001, 2.2633856E+000, 1.4554967E+000, 2.5507176E+002, 1.2114434E+002, 4.8427874E+001, 4.6925929E+000, 1.3171777E+000, 5.3618509E-001, 5.8280482E+001, 8.4317131E-001
 2.9250128E+003, 3.8214501E+001, 3.2814726E+001, 2.2456164E+000, 1.4688671E+000, 2.5197506E+002, 1.2026589E+002, 4.8225633E+001, 4.5267610E+000, 1.2122673E+000, 5.2531788E-001, 5.8115108E+001, 8.3971920E-001
 2.9400092E+003, 3.8108247E+001, 3.2692900E+001, 2.2068377E+000, 1.4467282E+000, 2.4900351E+002, 1.1944374E+002, 4.8043823E+001, 4.5772777E+000, 1.2691487E+000, 5.1333503E-001, 5.7933773E+001, 8.1865208E-001
 2.9550056E+003, 3.8746000E+001, 3.2557557E+001, 2.2491161E+000, 1.4823226E+000, 2.4611370E+002, 1.1843807E+002, 4.7894718E+001, 4.4955727E+000, 1.2166183E+000, 5.0865337E-001, 5.7734584E+001, 8.1531770E-001
 2.9700020E+003, 3.8623812E+001, 3.2362399E+001, 2.2819235E+000, 1.4476670E+000, 2.4332265E+002, 1.1744752E+002, 4.7702853E+001, 4.2705763E+000, 1.2711342E+000, 4.7304897E-001, 5.7532176E+001, 8.0695306E-001
 2.9850209E+003, 3.9698932E+001, 3.2374370E+001, 2.3377371E+000, 1.5554880E+000, 2.4049569E+002, 1.1645854E+002, 4.7514702E+001, 4.2417767E+000, 1.1767883E+000, 5.1111545E-001, 5.7338053E+001, 8.0910331E-001
 3.0000173E+003, 3.7637701E+001, 3.2344824E+001, 2.2279389E+000, 1.5867607E+000, 2.3766777E+002, 1.1539146E+002, 4.7316228E+001, 4.3702680E+000, 1.2366419E+000, 5.1815036E-001, 5.7152540E+001, 8.0439524E-001
 3.0150137E+003, 3.9242397E+001, 3.2191568E+001, 2.3397351E+000, 1.5379985E+000, 2.3496852E+002, 1.1435023E+002, 4.7096008E+001, 4.3262985E+000, 1.1952148E+000, 4.8169725E-001, 5.6956613E+001, 7.8498243E-001
 3.0300101E+003, 3.6887170E+001, 3.2081654E+001, 2.2187222E+000, 1.5397014E+000, 2.3231359E+002, 1.1336075E+002, 4.6889767E+001, 4.1429259E+000, 1.1645356E+000, 4.9496918E-001, 5.6727067E+001, 7.7659631E-001
 3.0450065E+003, 3.6907220E+001, 3.1993247E+001, 2.1680504E+000, 1.5283330E+000, 2.2972575E+002, 1.1242657E+002, 4.6685834E+001, 3.9681975E+000, 1.1398934E+000, 4.8234198E-001, 5.6533632E+001, 7.9296615E-001
 3.0600029E+003, 3.7817600E+001, 3.1806695E+001, 2.2939150E+000, 1.5289639E+000, 2.2733565E+002, 1.1157235E+002, 4.6489701E+001, 4.1137732E+000, 1.1282978E+000, 4.8318272E-001, 5.6373688E+001, 7.9293460E-001
 3.0750219E+003, 3.6499191E+001, 3.1684653E+001, 2.2118048E+000, 1.5056975E+000, 2.2495965E+002, 1.1075581E+002, 4.6312718E+001, 4.0235535E+000, 1.1045577E+000, 4.7699332E-001, 5.6217102E+001, 7.9276492E-001
 3.0900183E+003, 3.7024152E+001, 3.1527344E+001, 2.3000645E+000, 1.5180863E+000, 2.2257467E+002, 1.0989233E+002, 4.6133866E+001, 3.9885737E+000, 1.1569398E+000, 4.6603331E-001, 5.6076618E+001, 7.9498409E-001
 3.1050147E+003, 3.7928332E+001, 3.1537180E+001, 2.2570046E+000, 1.5748729E+000, 2.2024597E+002, 1.0909395E+002, 4.5944953E+001, 3.7925372E+000, 1.1054664E+000, 4.8344874E-001, 5.5957616E+001, 7.9991155E-001
 3.1200111E+003, 3.6633642E+001, 3.1496647E+001, 2.2154877E+000, 1.6100672E+000, 2.1797463E+002, 1.0822441E+002, 4.5744571E+001, 3.7910470E+000, 1.1221148E+000, 4.8840591E-001, 5.5843232E+001, 7.9582207E-001
 3.1350075E+003, 3.6733804E+001, 3.1382743E+001, 2.2873015E+000, 1.6228130E+000, 2.1583617E+002, 1.0732892E+002, 4.5525235E+001, 3.7630201E+000, 1.0871099E+000, 4.5330247E-001, 5.5727947E+001, 7.9205316E-001
 3.1500039E+003, 3.6945763E+001, 3.1202338E+001, 2.3070485E+000, 1.5770582E+000, 2.1372901E+002, 1.0653100E+002, 4.5336009E+001, 3.7342612E+000, 1.1330538E+000, 4.7794446E-001, 5.5608036E+001, 7.8465601E-001
 3.1650003E+003, 3.7055924E+001, 3.1141209E+001, 2.3387006E+000, 1.6196619E+000, 2.1162079E+002, 1.0584574E+002, 4.5159152E+001, 3.5295253E+000, 1.0791911E+000, 4.4456102E-001, 5.5477285E+001, 7.7512910E-001
