s,C,C,C,C,C,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,kW/m2,kW/m2,kW/m2
 7.8001105E+002, 4.6254155E+001, 4.5531802E+001, 3.4971358E+001, 3.8074076E+001, 4.8177300E+001, 6.8309643E+001, 6.7257798E+001, 6.8989730E+001, 7.0898076E+001, 7.2305817E+001, 6.7562687E+001, 6.3283820E+001, 5.9709160E+001, 5.8055384E+001, 5.7321333E+001, 5.1472201E+001, 5.3640659E+001, 5.4955286E+001, 5.5964913E+001, 5.7195246E+001, 3.3690512E+001, 1.7417153E+000, 8.9237403E-001, 3.4257929E-001, 1.0307801E+000
 7.9501258E+002, 4.7046496E+001, 4.5576450E+001, 3.5375944E+001, 3.8639172E+001, 4.8965916E+001, 6.9569349E+001, 6.8548827E+001, 7.0221879E+001, 7.1175628E+001, 7.3325045E+001, 6.5431214E+001, 6.3102786E+001, 6.0541127E+001, 5.7766735E+001, 5.8229772E+001, 5.2088496E+001, 5.4522987E+001, 5.6086620E+001, 5.6062730E+001, 5.7612786E+001, 3.3849591E+001, 1.7592422E+000, 9.3371812E-001, 3.2532514E-001, 1.1189112E+000
 8.1004598E+002, 4.7848588E+001, 4.5626850E+001, 3.5739572E+001, 3.9135182E+001, 4.9701373E+001, 7.0877155E+001, 6.9425762E+001, 7.0376409E+001, 7.2145251E+001, 7.3764777E+001, 6.6155186E+001, 6.2693230E+001, 6.1264511E+001, 5.8110147E+001, 5.8821779E+001, 5.3141317E+001, 5.5575317E+001, 5.6170373E+001, 5.6502709E+001, 5.7823151E+001, 3.3891740E+001, 1.7513050E+000, 7.6830808E-001, 2.6655632E-001, 6.0804081E-001
 8.2506679E+002, 4.8275065E+001, 4.5435665E+001, 3.5910013E+001, 3.9305724E+001, 4.9905550E+001, 7.0808823E+001, 7.0012658E+001, 7.1517676E+001, 7.1514999E+001, 7.1312574E+001, 6.6132355E+001, 6.4103260E+001, 6.1903097E+001, 5.8342635E+001, 5.8357603E+001, 5.3847138E+001, 5.5805008E+001, 5.6287297E+001, 5.6998910E+001, 5.7688827E+001, 3.2426868E+001, 1.7994675E+000, 5.8824947E-001, 1.3800209E-001, 2.6252039E-001
 8.4000856E+002, 4.8274655E+001, 4.4904115E+001, 3.5750454E+001, 3.9030142E+001, 4.9526233E+001, 6.9682892E+001, 7.0403741E+001, 7.0244148E+001, 6.7882018E+001, 6.6015754E+001, 6.4285428E+001, 6.5266879E+001, 6.2307852E+001, 5.7356563E+001, 5.7228829E+001, 5.4710305E+001, 5.6068825E+001, 5.6937066E+001, 5.6425323E+001, 5.8786303E+001, 3.0617618E+001, 1.7775832E+000, 5.9218548E-001, 1.3209293E-001, 2.3565726E-001
 8.5502937E+002, 4.8224358E+001, 4.4330976E+001, 3.5524322E+001, 3.8673973E+001, 4.9041177E+001, 6.8505143E+001, 6.9758920E+001, 6.8646915E+001, 6.4729904E+001, 6.1348798E+001, 5.8893278E+001, 6.5961541E+001, 6.2985086E+001, 5.6242020E+001, 5.5065075E+001, 5.5354631E+001, 5.6398240E+001, 5.6425110E+001, 5.6408256E+001, 5.9554589E+001, 2.9002202E+001, 1.7161992E+000, 5.9946576E-001, 1.2234001E-001, 2.2750786E-001
 8.7005019E+002, 4.8214031E+001, 4.3814432E+001, 3.5310886E+001, 3.8364663E+001, 4.8558290E+001, 6.7426440E+001, 6.9240461E+001, 6.6967689E+001, 6.2029741E+001, 5.6140580E+001, 5.5630263E+001, 6.4946857E+001, 6.3621957E+001, 5.5181439E+001, 5.4236255E+001, 5.5679626E+001, 5.6164515E+001, 5.6127298E+001, 5.6338662E+001, 5.9344192E+001, 2.7730059E+001, 1.6002673E+000, 5.8043440E-001, 1.2222747E-001, 2.1765631E-001
 8.8507101E+002, 4.8221551E+001, 4.3381689E+001, 3.5143878E+001, 3.8113621E+001, 4.8174944E+001, 6.6453639E+001, 6.8964956E+001, 6.5945780E+001, 6.0094933E+001, 5.1686153E+001, 5.3664738E+001, 6.4207805E+001, 6.4433170E+001, 5.4589186E+001, 5.2473855E+001, 5.5878555E+001, 5.5860943E+001, 5.5737810E+001, 5.6332870E+001, 5.9057689E+001, 2.6928892E+001, 1.4890617E+000, 5.8416990E-001, 1.2585764E-001, 2.1575717E-001
 9.0001277E+002, 4.8266757E+001, 4.3039400E+001, 3.5024125E+001, 3.7903866E+001, 4.7854716E+001, 6.5494738E+001, 6.8692856E+001, 6.5599516E+001, 5.7994173E+001, 5.0100410E+001, 5.0849820E+001, 6.3327118E+001, 6.3338587E+001, 5.2294962E+001, 4.7468509E+001, 5.7370602E+001, 5.5796247E+001, 5.5384226E+001, 5.5726004E+001, 5.6260969E+001, 2.6152666E+001, 1.3671187E+000, 5.8806772E-001, 1.3638303E-001, 2.0751662E-001
 9.1503359E+002, 4.8327396E+001, 4.2742669E+001, 3.4942269E+001, 3.7758679E+001, 4.7574873E+001, 6.4587960E+001, 6.7772576E+001, 6.5553910E+001, 5.6461654E+001, 4.9445577E+001, 4.8947910E+001, 6.2442523E+001, 6.2248367E+001, 5.0414717E+001, 4.5510744E+001, 5.7508349E+001, 5.5749662E+001, 5.4574757E+001, 5.4850194E+001, 5.1955115E+001, 2.1208402E+001, 3.8029441E+000, 5.5698720E-001, 1.3307633E-001, 2.0184183E-001
 9.3005441E+002, 4.8350246E+001, 4.2484222E+001, 3.4868501E+001, 3.7666355E+001, 4.7302841E+001, 6.3768518E+001, 6.6147018E+001, 6.5103203E+001, 5.5977060E+001, 4.9323952E+001, 4.7099303E+001, 6.1856713E+001, 6.1696603E+001, 4.9041244E+001, 4.4362745E+001, 5.7475666E+001, 5.5768733E+001, 5.4074730E+001, 5.4382720E+001, 5.0268297E+001, 2.0913856E+001, 4.0000000E+000, 5.3750520E-001, 1.2801631E-001, 1.9031902E-001
 9.4507523E+002, 4.8354189E+001, 4.2246184E+001, 3.4789338E+001, 3.7589210E+001, 4.7028128E+001, 6.3033867E+001, 6.4140114E+001, 6.4709420E+001, 5.5495884E+001, 4.9063214E+001, 4.2399565E+001, 6.1899061E+001, 6.1465069E+001, 4.8208415E+001, 4.3058177E+001, 5.8335110E+001, 5.5631436E+001, 5.3005102E+001, 5.3761574E+001, 4.9160539E+001, 2.0986904E+001, 4.0000000E+000, 5.4273994E-001, 1.1835745E-001, 1.8256957E-001
 9.6001699E+002, 4.8371273E+001, 4.2030762E+001, 3.4714253E+001, 3.7491377E+001, 4.6771115E+001, 6.2392332E+001, 6.3487801E+001, 6.4568466E+001, 5.4966596E+001, 4.8014927E+001, 3.6136749E+001, 6.1586564E+001, 6.1310538E+001, 4.7786212E+001, 4.2344600E+001, 5.8771384E+001, 5.5643891E+001, 5.1732764E+001, 5.2613300E+001, 4.7823140E+001, 2.1056906E+001, 4.0000000E+000, 5.3407637E-001, 1.2079726E-001, 1.7485893E-001
 9.7503781E+002, 4.8394561E+001, 4.1829029E+001, 3.4661233E+001, 3.7380561E+001, 4.6550988E+001, 6.1796891E+001, 6.2794228E+001, 6.4529325E+001, 5.4504154E+001, 4.3589251E+001, 3.3399759E+001, 6.0968827E+001, 6.1001441E+001, 4.7760715E+001, 4.1493827E+001, 5.8860244E+001, 5.5657647E+001, 5.1259546E+001, 5.0821289E+001, 4.5173786E+001, 2.1169315E+001, 4.0000000E+000, 5.3545140E-001, 1.1426190E-001, 1.6821851E-001
 9.9005863E+002, 4.8425676E+001, 4.1616183E+001, 3.4589086E+001, 3.7281297E+001, 4.6332642E+001, 6.1233123E+001, 6.2400007E+001, 6.4095401E+001, 5.3392224E+001, 3.9649861E+001, 3.3244199E+001, 6.0061755E+001, 6.0750252E+001, 4.7717901E+001, 4.0226550E+001, 5.8730692E+001, 5.5569124E+001, 5.0588688E+001, 4.9013846E+001, 4.3142252E+001, 2.1115326E+001, 4.0000000E+000, 5.3737711E-001, 1.1283290E-001, 1.6265000E-001
 1.0050004E+003, 4.8473204E+001, 4.1407793E+001, 3.4518292E+001, 3.7180605E+001, 4.6107475E+001, 6.0684595E+001, 6.1603441E+001, 6.2700067E+001, 5.1225818E+001, 3.8604047E+001, 3.3384793E+001, 6.0558812E+001, 6.0395958E+001, 4.7259081E+001, 3.8058744E+001, 5.8561021E+001, 5.5541757E+001, 4.9454529E+001, 4.7541338E+001, 4.0928841E+001, 2.1105233E+001, 4.0000000E+000, 5.4839317E-001, 1.1791084E-001, 1.5859360E-001
 1.0200212E+003, 4.8554282E+001, 4.1192563E+001, 3.4465997E+001, 3.7091816E+001, 4.5911555E+001, 6.0129005E+001, 6.0300672E+001, 6.0735377E+001, 4.7444713E+001, 3.7318711E+001, 3.2334899E+001, 6.0901468E+001, 6.0096346E+001, 4.6506021E+001, 3.6676539E+001, 5.8013665E+001, 5.4760601E+001, 4.8786122E+001, 4.6560804E+001, 4.1654958E+001, 2.1215268E+001, 4.0000000E+000, 5.4649566E-001, 1.1601998E-001, 1.5377437E-001
 1.0350420E+003, 4.8658086E+001, 4.0978106E+001, 3.4421472E+001, 3.7017312E+001, 4.5744216E+001, 5.9589419E+001, 5.9482125E+001, 5.7648036E+001, 4.3147188E+001, 3.4936152E+001, 3.0555885E+001, 6.0360800E+001, 5.9839421E+001, 4.5691132E+001, 3.6259790E+001, 5.7549429E+001, 5.3580948E+001, 4.8238006E+001, 4.5528015E+001, 4.2658580E+001, 2.1074223E+001, 4.0000000E+000, 5.5016396E-001, 1.1192279E-001, 1.4560700E-001
 1.0500628E+003, 4.8761796E+001, 4.0785019E+001, 3.4359276E+001, 3.6957242E+001, 4.5562889E+001, 5.9097788E+001, 5.8747208E+001, 5.4689672E+001, 4.1787701E+001, 3.3670077E+001, 2.8275769E+001, 5.9036132E+001, 5.9570084E+001, 4.4641982E+001, 3.6213365E+001, 5.7266348E+001, 5.2901004E+001, 4.7712589E+001, 4.3272957E+001, 4.2565465E+001, 2.1047958E+001, 4.0000000E+000, 5.2416521E-001, 1.0365790E-001, 1.4254591E-001
 1.0650046E+003, 4.8829175E+001, 4.0627323E+001, 3.4283848E+001, 3.6895568E+001, 4.5384160E+001, 5.8626014E+001, 5.9340049E+001, 5.0625734E+001, 4.0951801E+001, 3.2035157E+001, 2.7201104E+001, 5.7996078E+001, 5.9143013E+001, 4.3294013E+001, 3.6128797E+001, 5.6831909E+001, 5.2123730E+001, 4.6917019E+001, 4.1163847E+001, 4.2205734E+001, 2.1044273E+001, 4.0000000E+000, 5.0610402E-001, 1.0659036E-001, 1.3833285E-001
 1.0800254E+003, 4.8838486E+001, 4.0476314E+001, 3.4219175E+001, 3.6810778E+001, 4.5213820E+001, 5.8139522E+001, 5.9713717E+001, 4.6567474E+001, 3.8832264E+001, 3.1538550E+001, 2.8101777E+001, 5.7493329E+001, 5.8890456E+001, 4.2213061E+001, 3.6056526E+001, 5.6596003E+001, 5.0725824E+001, 4.5811464E+001, 4.0704509E+001, 4.1637774E+001, 2.0907238E+001, 4.0000000E+000, 4.8364406E-001, 1.0468329E-001, 1.3564233E-001
 1.0950462E+003, 4.8804753E+001, 4.0324202E+001, 3.4163868E+001, 3.6704516E+001, 4.5051159E+001, 5.7644887E+001, 5.7312655E+001, 4.5058503E+001, 3.6182434E+001, 3.1113906E+001, 2.9193790E+001, 5.7030503E+001, 5.8745378E+001, 4.1423024E+001, 3.5819365E+001, 5.6382598E+001, 4.9367172E+001, 4.4143675E+001, 4.0916846E+001, 4.0305252E+001, 2.0881272E+001, 4.0000000E+000, 4.8434663E-001, 1.0611525E-001, 1.3214192E-001
 1.1100671E+003, 4.8778035E+001, 4.0162960E+001, 3.4118448E+001, 3.6589984E+001, 4.4887162E+001, 5.7160649E+001, 5.3746635E+001, 4.2998262E+001, 3.4550592E+001, 3.1134165E+001, 2.9611788E+001, 5.6848587E+001, 5.8613198E+001, 4.0361168E+001, 3.5407765E+001, 5.5885175E+001, 4.8657445E+001, 4.2990028E+001, 4.0780604E+001, 3.9172755E+001, 2.0833696E+001, 4.0000000E+000, 5.0208675E-001, 1.0309472E-001, 1.2920298E-001
 1.1250088E+003, 4.8779986E+001, 3.9998745E+001, 3.4069693E+001, 3.6482920E+001, 4.4753422E+001, 5.6674761E+001, 5.0497507E+001, 4.1656088E+001, 3.4039572E+001, 3.1057373E+001, 3.0008222E+001, 5.6436028E+001, 5.8478692E+001, 3.9547750E+001, 3.4654328E+001, 5.5525534E+001, 4.7731783E+001, 4.2589430E+001, 4.0387744E+001, 3.8392779E+001, 2.0901466E+001, 4.0000000E+000, 4.7642631E-001, 9.7244682E-002, 1.2554748E-001
 1.1400296E+003, 4.8756934E+001, 3.9840174E+001, 3.3996527E+001, 3.6359584E+001, 4.4611532E+001, 5.6219698E+001, 4.8923355E+001, 4.0414063E+001, 3.3425357E+001, 3.1583788E+001, 3.0011596E+001, 5.5931959E+001, 5.8293300E+001, 3.8735581E+001, 3.4014873E+001, 5.5210166E+001, 4.6720676E+001, 4.2004389E+001, 4.0249436E+001, 3.7517721E+001, 2.0856865E+001, 4.0000000E+000, 4.8391707E-001, 9.3401598E-002, 1.2264834E-001
 1.1550505E+003, 4.8740490E+001, 3.9649631E+001, 3.3907691E+001, 3.6220001E+001, 4.4409627E+001, 5.5785993E+001, 4.6389915E+001, 3.9168696E+001, 3.3185325E+001, 3.2591588E+001, 3.1383840E+001, 5.5411542E+001, 5.8003051E+001, 3.7934034E+001, 3.3422919E+001, 5.4325638E+001, 4.5687216E+001, 4.1235285E+001, 3.9550464E+001, 3.6284798E+001, 2.0879003E+001, 4.0000000E+000, 4.9347751E-001, 9.2247982E-002, 1.1939466E-001
 1.1700713E+003, 4.8760051E+001, 3.9434894E+001, 3.3797338E+001, 3.6099665E+001, 4.4210128E+001, 5.5364158E+001, 4.5113157E+001, 3.8467988E+001, 3.2972752E+001, 3.2927460E+001, 3.0463720E+001, 5.5101029E+001, 5.7666236E+001, 3.7140900E+001, 3.2897894E+001, 5.3879343E+001, 4.4711169E+001, 4.0524694E+001, 3.9256480E+001, 3.4142924E+001, 2.0753134E+001, 4.0000000E+000, 5.0586194E-001, 9.0962419E-002, 1.1633331E-001
 1.1850130E+003, 4.8803571E+001, 3.9224556E+001, 3.3685845E+001, 3.6002084E+001, 4.4020738E+001, 5.4908849E+001, 4.4836685E+001, 3.7086142E+001, 3.3490561E+001, 3.3120181E+001, 2.7861618E+001, 5.4716376E+001, 5.7236658E+001, 3.6479957E+001, 3.2428123E+001, 5.3720783E+001, 4.3567382E+001, 3.9905054E+001, 3.9187781E+001, 3.3146413E+001, 2.0682490E+001, 4.0000000E+000, 4.5797848E-001, 9.0216488E-002, 1.1361768E-001
 1.2000339E+003, 4.8790023E+001, 3.9034884E+001, 3.3582647E+001, 3.5923084E+001, 4.3831317E+001, 5.4421920E+001, 4.3685796E+001, 3.6278640E+001, 3.3890074E+001, 3.4427740E+001, 2.7177086E+001, 5.4262092E+001, 5.6666369E+001, 3.5555920E+001, 3.2042422E+001, 5.3308219E+001, 4.2517838E+001, 3.9283200E+001, 3.9286238E+001, 3.2524384E+001, 2.0657077E+001, 4.0000000E+000, 4.6465457E-001, 8.9256733E-002, 1.1110994E-001
 1.2150547E+003, 4.8754781E+001, 3.8856491E+001, 3.3494399E+001, 3.5841933E+001, 4.3673579E+001, 5.3971383E+001, 4.2799751E+001, 3.5776379E+001, 3.4144144E+001, 3.4918386E+001, 2.6339962E+001, 5.4042669E+001, 5.6199627E+001, 3.4462694E+001, 3.1770580E+001, 5.2079811E+001, 4.1982007E+001, 3.8939544E+001, 3.9033012E+001, 3.2502300E+001, 2.0639691E+001, 4.0000000E+000, 4.5666278E-001, 8.8322282E-002, 1.0885602E-001
 1.2300755E+003, 4.8708370E+001, 3.8679503E+001, 3.3423036E+001, 3.5747991E+001, 4.3532934E+001, 5.3596570E+001, 4.1591616E+001, 3.5731184E+001, 3.5110066E+001, 3.4803212E+001, 2.5550660E+001, 5.3994477E+001, 5.5852263E+001, 3.3727837E+001, 3.1564270E+001, 5.1290773E+001, 4.1227083E+001, 3.9048640E+001, 3.8523598E+001, 3.2765199E+001, 2.0630197E+001, 4.0000000E+000, 4.5317622E-001, 8.7267654E-002, 1.0577310E-001
 1.2450173E+003, 4.8662602E+001, 3.8514203E+001, 3.3347032E+001, 3.5661406E+001, 4.3375490E+001, 5.3201594E+001, 4.0612384E+001, 3.5677993E+001, 3.5879907E+001, 3.3538134E+001, 2.5487484E+001, 5.3927263E+001, 5.5468706E+001, 3.3015970E+001, 3.1466454E+001, 5.0532531E+001, 4.0737036E+001, 3.9249393E+001, 3.7321929E+001, 3.2842652E+001, 2.0632267E+001, 4.0000000E+000, 4.5373977E-001, 8.6046780E-002, 1.0437177E-001
 1.2600381E+003, 4.8616549E+001, 3.8349355E+001, 3.3273299E+001, 3.5559357E+001, 4.3203399E+001, 5.2784311E+001, 3.9806626E+001, 3.5937506E+001, 3.5867112E+001, 3.2791400E+001, 2.5490281E+001, 5.3740441E+001, 5.5030004E+001, 3.2487824E+001, 3.1314037E+001, 5.0174446E+001, 4.0137528E+001, 3.9141792E+001, 3.6237362E+001, 3.3077116E+001, 2.0630815E+001, 4.0000000E+000, 4.4953729E-001, 8.5546321E-002, 1.0212388E-001
 1.2750589E+003, 4.8570038E+001, 3.8183303E+001, 3.3201537E+001, 3.5449671E+001, 4.3019992E+001, 5.2352546E+001, 3.9682106E+001, 3.6334675E+001, 3.5597462E+001, 3.2474410E+001, 2.6330598E+001, 5.3371134E+001, 5.4744862E+001, 3.2213604E+001, 3.0958789E+001, 4.8666764E+001, 3.9954765E+001, 3.8549653E+001, 3.5665303E+001, 3.2985521E+001, 2.0652221E+001, 4.0000000E+000, 4.4877056E-001, 8.3957798E-002, 1.0018406E-001
 1.2900007E+003, 4.8533468E+001, 3.8026937E+001, 3.3140436E+001, 3.5336467E+001, 4.2853242E+001, 5.1933265E+001, 3.9404066E+001, 3.6792213E+001, 3.5135780E+001, 3.4064705E+001, 2.6849418E+001, 5.2936114E+001, 5.4578573E+001, 3.2024731E+001, 3.0353077E+001, 4.7432980E+001, 3.9882141E+001, 3.7880907E+001, 3.5395458E+001, 3.2647206E+001, 2.0649198E+001, 4.0000000E+000, 4.4187936E-001, 8.2577299E-002, 9.8170658E-002
 1.3050215E+003, 4.8487058E+001, 3.7869698E+001, 3.3087952E+001, 3.5211581E+001, 4.2700020E+001, 5.1524667E+001, 3.9208133E+001, 3.6899388E+001, 3.4455834E+001, 3.3807608E+001, 2.6569860E+001, 5.2997959E+001, 5.4104177E+001, 3.1845882E+001, 2.9738062E+001, 4.6603897E+001, 3.9548014E+001, 3.6976923E+001, 3.5150640E+001, 3.2792852E+001, 2.0649290E+001, 4.0000000E+000, 4.3894226E-001, 8.1609409E-002, 9.6263243E-002
 1.3200423E+003, 4.8439098E+001, 3.7713112E+001, 3.3031854E+001, 3.5075514E+001, 4.2541425E+001, 5.1119823E+001, 3.9383916E+001, 3.6834722E+001, 3.4376087E+001, 3.4167756E+001, 2.6837017E+001, 5.2990883E+001, 5.3671900E+001, 3.1544874E+001, 2.8855792E+001, 4.5769565E+001, 3.8938694E+001, 3.6526000E+001, 3.4851408E+001, 3.2688849E+001, 2.0669084E+001, 4.0000000E+000, 4.4665200E-001, 8.1787183E-002, 9.4416863E-002
 1.3350631E+003, 4.8407782E+001, 3.7580937E+001, 3.2963265E+001, 3.4945615E+001, 4.2373421E+001, 5.0731921E+001, 3.9519328E+001, 3.6538901E+001, 3.4910239E+001, 3.5000834E+001, 2.8217918E+001, 5.2720344E+001, 5.3474094E+001, 3.1435810E+001, 2.8177639E+001, 4.5642354E+001, 3.8287755E+001, 3.6109963E+001, 3.4676446E+001, 3.2478699E+001, 2.0662761E+001, 4.0000000E+000, 4.3163473E-001, 8.0819554E-002, 9.2452621E-002
 1.3500049E+003, 4.8376884E+001, 3.7452927E+001, 3.2888400E+001, 3.4824211E+001, 4.2209272E+001, 5.0362251E+001, 3.9465592E+001, 3.6101506E+001, 3.4831307E+001, 3.4868179E+001, 3.0076828E+001, 5.2249411E+001, 5.3259912E+001, 3.1077128E+001, 2.7631224E+001, 4.4638620E+001, 3.7590462E+001, 3.5753982E+001, 3.4316957E+001, 3.2429646E+001, 2.0686503E+001, 4.0000000E+000, 4.3517274E-001, 8.0069480E-002, 9.0849421E-002
 1.3650257E+003, 4.8347522E+001, 3.7307903E+001, 3.2816322E+001, 3.4724551E+001, 4.2024879E+001, 4.9990413E+001, 3.9542847E+001, 3.6069472E+001, 3.5566212E+001, 3.5246436E+001, 3.0602216E+001, 5.1612581E+001, 5.2511344E+001, 3.0812640E+001, 2.7206991E+001, 4.3702885E+001, 3.6854004E+001, 3.5257937E+001, 3.4047841E+001, 3.1824142E+001, 2.0667759E+001, 4.0000000E+000, 4.3288559E-001, 7.9774775E-002, 8.9022366E-002
 1.3800465E+003, 4.8317866E+001, 3.7164445E+001, 3.2741558E+001, 3.4619782E+001, 4.1841506E+001, 4.9617553E+001, 3.9004993E+001, 3.6263766E+001, 3.5627951E+001, 3.5518682E+001, 3.0041009E+001, 5.0825021E+001, 5.1293684E+001, 3.0999541E+001, 2.6970555E+001, 4.3264764E+001, 3.6590184E+001, 3.4945107E+001, 3.3685467E+001, 3.1100296E+001, 2.0680908E+001, 4.0000000E+000, 4.3036677E-001, 7.8724321E-002, 8.7547356E-002
 1.3950673E+003, 4.8284612E+001, 3.7034243E+001, 3.2660128E+001, 3.4519866E+001, 4.1652703E+001, 4.9232773E+001, 3.8497898E+001, 3.6749533E+001, 3.5765907E+001, 3.5319731E+001, 2.9635919E+001, 5.0449697E+001, 5.0704337E+001, 3.1412388E+001, 2.6926377E+001, 4.3179794E+001, 3.6323896E+001, 3.4741363E+001, 3.3360261E+001, 3.0613033E+001, 2.0679809E+001, 4.0000000E+000, 4.1505820E-001, 7.6783403E-002, 8.5554156E-002
 1.4100091E+003, 4.8221281E+001, 3.6915042E+001, 3.2599029E+001, 3.4416280E+001, 4.1467032E+001, 4.8839429E+001, 3.8610244E+001, 3.7407188E+001, 3.6018868E+001, 3.6687376E+001, 3.1377607E+001, 5.0143360E+001, 5.0218793E+001, 3.1051184E+001, 2.6947242E+001, 4.2899799E+001, 3.6036829E+001, 3.4364301E+001, 3.2849674E+001, 2.9882454E+001, 2.0673404E+001, 4.0000000E+000, 4.0905429E-001, 7.7289361E-002, 8.3641429E-002
 1.4250299E+003, 4.8133206E+001, 3.6790068E+001, 3.2544003E+001, 3.4304668E+001, 4.1306964E+001, 4.8450868E+001, 3.8624368E+001, 3.7519167E+001, 3.6089651E+001, 3.8419563E+001, 3.5568557E+001, 4.9407884E+001, 4.9862777E+001, 3.0942720E+001, 2.7020623E+001, 4.1823967E+001, 3.5718877E+001, 3.3903492E+001, 3.2344390E+001, 2.9816729E+001, 2.0611782E+001, 4.0000000E+000, 4.0722910E-001, 7.6308349E-002, 8.2082203E-002
 1.4400507E+003, 4.8048275E+001, 3.6678319E+001, 3.2474627E+001, 3.4180361E+001, 4.1177703E+001, 4.8078091E+001, 3.8889341E+001, 3.7703897E+001, 3.6345431E+001, 4.1119500E+001, 3.8802500E+001, 4.8795665E+001, 4.9579498E+001, 3.0617660E+001, 2.7171917E+001, 4.0788813E+001, 3.5377032E+001, 3.3430097E+001, 3.2043294E+001, 3.0014789E+001, 2.0624593E+001, 4.0000000E+000, 4.1213570E-001, 7.5611120E-002, 8.0835162E-002
 1.4550716E+003, 4.7985295E+001, 3.6560416E+001, 3.2402229E+001, 3.4062726E+001, 4.1037749E+001, 4.7745462E+001, 3.9325214E+001, 3.7740139E+001, 3.7363433E+001, 4.3545857E+001, 4.0446499E+001, 4.8339647E+001, 4.9203824E+001, 3.0284525E+001, 2.7296942E+001, 4.0442777E+001, 3.5291762E+001, 3.3031641E+001, 3.1732058E+001, 3.0561066E+001, 2.0641720E+001, 4.0000000E+000, 4.0907404E-001, 7.5009788E-002, 7.9499477E-002
 1.4700133E+003, 4.7928883E+001, 3.6444337E+001, 3.2325833E+001, 3.3949673E+001, 4.0892246E+001, 4.7416322E+001, 3.9343730E+001, 3.8025591E+001, 3.8450154E+001, 4.4873021E+001, 4.0539985E+001, 4.7831683E+001, 4.8902783E+001, 3.0349091E+001, 2.7518624E+001, 4.0277281E+001, 3.5021058E+001, 3.2544323E+001, 3.1322674E+001, 3.0983074E+001, 2.0642735E+001, 4.0000000E+000, 4.0081435E-001, 7.4439468E-002, 7.8245771E-002
 1.4850341E+003, 4.7862260E+001, 3.6325129E+001, 3.2258600E+001, 3.3837469E+001, 4.0718191E+001, 4.7082671E+001, 3.9469613E+001, 3.8033439E+001, 4.0647371E+001, 4.4756382E+001, 3.9029411E+001, 4.7291440E+001, 4.8691630E+001, 3.0561059E+001, 2.7927929E+001, 3.9742729E+001, 3.4843832E+001, 3.2192365E+001, 3.0897251E+001, 3.1225354E+001, 2.0659783E+001, 4.0000000E+000, 3.8909161E-001, 7.3458789E-002, 7.6545039E-002
 1.5000550E+003, 4.7792210E+001, 3.6195396E+001, 3.2189186E+001, 3.3731212E+001, 4.0543646E+001, 4.6792531E+001, 3.9520949E+001, 3.8547876E+001, 4.2900280E+001, 4.3993870E+001, 3.8643880E+001, 4.6923714E+001, 4.8471560E+001, 3.0868942E+001, 2.8702019E+001, 3.9444520E+001, 3.4367493E+001, 3.1967418E+001, 3.0720675E+001, 3.1759124E+001, 2.0619227E+001, 4.0000000E+000, 3.8453898E-001, 7.2865225E-002, 7.5918692E-002
 1.5150758E+003, 4.7714164E+001, 3.6079753E+001, 3.2114991E+001, 3.3623510E+001, 4.0373954E+001, 4.6485227E+001, 3.9634772E+001, 3.9364625E+001, 4.4163886E+001, 4.3006031E+001, 3.8357854E+001, 4.6611853E+001, 4.8161210E+001, 3.1264327E+001, 2.9836369E+001, 3.9248793E+001, 3.3723330E+001, 3.1711798E+001, 3.0902096E+001, 3.2057010E+001, 2.0605385E+001, 4.0000000E+000, 3.8511559E-001, 7.2413153E-002, 7.4803111E-002
 1.5300175E+003, 4.7631168E+001, 3.5965663E+001, 3.2043580E+001, 3.3511029E+001, 4.0207667E+001, 4.6157834E+001, 3.9640664E+001, 4.0929051E+001, 4.4254632E+001, 4.1567031E+001, 3.7990952E+001, 4.6283645E+001, 4.7973325E+001, 3.1887082E+001, 3.0710543E+001, 3.8885648E+001, 3.3302524E+001, 3.1294439E+001, 3.1035604E+001, 3.2425704E+001, 2.0573735E+001, 4.0000000E+000, 3.7700422E-001, 7.0909416E-002, 7.2239809E-002
 1.5450384E+003, 4.7537461E+001, 3.5852392E+001, 3.1965627E+001, 3.3408868E+001, 4.0063739E+001, 4.5835301E+001, 4.0133129E+001, 4.2554923E+001, 4.3575014E+001, 4.0441022E+001, 3.9302891E+001, 4.6045082E+001, 4.7760123E+001, 3.2601352E+001, 3.1574119E+001, 3.8582684E+001, 3.2785604E+001, 3.0951223E+001, 3.0944964E+001, 3.2966415E+001, 2.0557129E+001, 4.0000000E+000, 3.7080048E-001, 6.9819912E-002, 6.9003141E-002
 1.5600592E+003, 4.7444858E+001, 3.5737961E+001, 3.1882903E+001, 3.3310600E+001, 3.9916089E+001, 4.5520242E+001, 4.0895222E+001, 4.3786442E+001, 4.2475190E+001, 4.0343720E+001, 4.0840674E+001, 4.5700660E+001, 4.7474187E+001, 3.2672222E+001, 3.2168182E+001, 3.8185307E+001, 3.2465525E+001, 3.0903940E+001, 3.1049132E+001, 3.3501356E+001, 2.0565215E+001, 4.0000000E+000, 3.7260364E-001, 6.9580117E-002, 6.9242857E-002
