s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kW,kW,kW,kW,kg,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2,1","R2,2","R2,3","R2,4","R2,5","GAS SOOT","WALL SOOT"
 5.9008839E+001, 2.0545346E-001, 2.0755367E-001, 5.1285312E-006, 1.6133282E-003, 3.6884184E+001, 1.5233161E+001,-2.9013615E-001, 3.8293710E+002, 5.4576393E-004, 5.4576393E-004, 5.4576393E-004, 5.4576393E-004, 5.4576393E-004, 3.6787991E-003, 2.3674122E-005
 6.0000972E+001, 2.0526519E-001, 2.0755367E-001, 5.5882721E-006, 1.7233153E-003, 3.8337639E+001, 1.5248136E+001,-1.3062142E-001, 3.8995189E+002, 5.6256602E-004, 5.6256602E-004, 5.6256602E-004, 5.6256602E-004, 5.6256602E-004, 3.8030375E-003, 2.4768947E-005
 6.1010107E+001, 2.0518589E-001, 2.0755367E-001, 5.7819055E-006, 1.7696400E-003, 3.9021154E+001, 1.5951133E+001,-3.5070654E-001, 3.9543040E+002, 6.6724357E-004, 6.6724357E-004, 6.6724357E-004, 6.6724357E-004, 6.6724357E-004, 3.9318215E-003, 2.5908852E-005
 6.2003045E+001, 2.0513964E-001, 2.0755368E-001, 5.8948309E-006, 1.7966557E-003, 3.9515814E+001, 1.7203248E+001,-3.3727089E-001, 4.0208476E+002, 7.5595751E-004, 7.5595751E-004, 7.5595751E-004, 7.5595751E-004, 7.5595751E-004, 4.0619693E-003, 2.7125837E-005
 6.3002794E+001, 2.0486644E-001, 2.0755368E-001, 6.5619693E-006, 1.9562604E-003, 4.1908842E+001, 1.8578848E+001,-2.7102621E-001, 4.0843923E+002, 7.2956920E-004, 7.2956920E-004, 7.2956920E-004, 7.2956920E-004, 7.2956920E-004, 4.1922255E-003, 2.8442471E-005
 6.4007752E+001, 2.0475975E-001, 2.0755368E-001, 6.8224851E-006, 2.0185858E-003, 4.2396530E+001, 1.9330899E+001,-4.2447275E-001, 4.1300326E+002, 7.8788023E-004, 7.8788023E-004, 7.8788023E-004, 7.8788023E-004, 7.8788023E-004, 4.3268582E-003, 2.9878409E-005
 6.5005131E+001, 2.0468398E-001, 2.0755368E-001, 7.0075336E-006, 2.0628567E-003, 4.2456836E+001, 1.9118958E+001,-3.3035884E-001, 4.1856047E+002, 7.9738439E-004, 7.9738439E-004, 7.9738439E-004, 7.9738439E-004, 7.9738439E-004, 4.4623009E-003, 3.1399075E-005
 6.6014025E+001, 2.0460612E-001, 2.0755368E-001, 7.1976379E-006, 2.1083372E-003, 4.3103933E+001, 1.9508246E+001,-3.0474375E-001, 4.2864378E+002, 9.4123811E-004, 9.4123811E-004, 9.4123811E-004, 9.4123811E-004, 9.4123811E-004, 4.5995764E-003, 3.2911525E-005
 6.7007353E+001, 2.0447493E-001, 2.0755368E-001, 7.5179848E-006, 2.1849768E-003, 4.4460746E+001, 2.0049407E+001,-3.6366755E-001, 4.3465963E+002, 1.2212113E-003, 1.2212113E-003, 1.2212113E-003, 1.2212113E-003, 1.2212113E-003, 4.7397902E-003, 3.4461794E-005
 6.8001889E+001, 2.0419510E-001, 2.0755368E-001, 8.2012936E-006, 2.3484514E-003, 4.7372868E+001, 2.0135606E+001,-1.8256063E-001, 4.4065654E+002, 1.0580980E-003, 1.0580980E-003, 1.0580980E-003, 1.0580980E-003, 1.0580980E-003, 4.8776557E-003, 3.6037630E-005
 6.9001060E+001, 2.0407654E-001, 2.0755368E-001, 8.4907911E-006, 2.4177106E-003, 4.8611278E+001, 1.9971071E+001,-2.1719200E-001, 4.5385294E+002, 1.0028867E-003, 1.0028867E-003, 1.0028867E-003, 1.0028867E-003, 1.0028867E-003, 5.0182583E-003, 3.7676291E-005
 7.0004875E+001, 2.0415507E-001, 2.0755368E-001, 8.2990432E-006, 2.3718373E-003, 4.8021219E+001, 2.0253249E+001,-1.8704192E-001, 4.5564736E+002, 1.0861622E-003, 1.0861622E-003, 1.0861622E-003, 1.0861622E-003, 1.0861622E-003, 5.1623922E-003, 3.9439719E-005
 7.1006668E+001, 2.0423010E-001, 2.0755368E-001, 8.1158245E-006, 2.3280044E-003, 4.7315266E+001, 2.1439893E+001,-1.3188566E-001, 4.5855683E+002, 1.2413512E-003, 1.2413512E-003, 1.2413512E-003, 1.2413512E-003, 1.2413512E-003, 5.3080664E-003, 4.1259401E-005
 7.2007677E+001, 2.0422559E-001, 2.0755368E-001, 8.1268374E-006, 2.3306396E-003, 4.6865525E+001, 2.1740286E+001,-1.4301709E-001, 4.6702703E+002, 1.1171211E-003, 1.1171211E-003, 1.1171211E-003, 1.1171211E-003, 1.1171211E-003, 5.4553596E-003, 4.3190345E-005
 7.3009191E+001, 2.0421483E-001, 2.0755367E-001, 8.1531166E-006, 2.3369265E-003, 4.6736069E+001, 2.2760250E+001,-1.2414973E-001, 4.7339996E+002, 1.2450511E-003, 1.2450511E-003, 1.2450511E-003, 1.2450511E-003, 1.2450511E-003, 5.6046901E-003, 4.5199508E-005
 7.4006960E+001, 2.0416146E-001, 2.0755367E-001, 8.2834519E-006, 2.3681079E-003, 4.7313528E+001, 2.3834687E+001,-6.1103547E-002, 4.8181639E+002, 1.2943465E-003, 1.2943465E-003, 1.2943465E-003, 1.2943465E-003, 1.2943465E-003, 5.7561957E-003, 4.7240502E-005
 7.5010581E+001, 2.0413907E-001, 2.0755367E-001, 8.3381164E-006, 2.3811857E-003, 4.7370074E+001, 2.3738998E+001,-1.2151817E-001, 4.9101791E+002, 1.5407868E-003, 1.5407868E-003, 1.5407868E-003, 1.5407868E-003, 1.5407868E-003, 5.9090617E-003, 4.9214819E-005
 7.6001033E+001, 2.0414257E-001, 2.0755367E-001, 8.3295765E-006, 2.3791427E-003, 4.7147610E+001, 2.3929636E+001,-7.5173898E-002, 4.9003045E+002, 1.3512099E-003, 1.3512099E-003, 1.3512099E-003, 1.3512099E-003, 1.3512099E-003, 6.0637256E-003, 5.1215046E-005
 7.7012987E+001, 2.0414129E-001, 2.0755365E-001, 8.3326861E-006, 2.3798870E-003, 4.7142048E+001, 2.3539175E+001,-9.6916440E-002, 4.9852972E+002, 1.5111314E-003, 1.5111314E-003, 1.5111314E-003, 1.5111314E-003, 1.5111314E-003, 6.2207789E-003, 5.3275351E-005
 7.8006405E+001, 2.0408133E-001, 2.0755270E-001, 8.4791071E-006, 2.4149171E-003, 4.7619187E+001, 2.4003180E+001,-1.6198249E-001, 5.0820183E+002, 1.8460662E-003, 1.8460662E-003, 1.8460662E-003, 1.8460662E-003, 1.8460662E-003, 6.3807093E-003, 5.5347414E-005
 7.9004271E+001, 2.0395958E-001, 2.0754044E-001, 8.7764004E-006, 2.4860414E-003, 4.8512794E+001, 2.8973235E+001,-1.4341685E-001, 5.1470341E+002, 1.6206753E-003, 1.6206753E-003, 1.6206753E-003, 1.6206753E-003, 1.6206753E-003, 6.5400740E-003, 5.7471839E-005
 8.0010926E+001, 2.0387427E-001, 2.0753131E-001, 8.9847271E-006, 2.5358813E-003, 4.9086686E+001, 3.0466120E+001,-1.3181595E-002, 5.1522108E+002, 1.4076155E-003, 1.4076155E-003, 1.4076155E-003, 1.4076155E-003, 1.4076155E-003, 6.7042692E-003, 5.9652838E-005
 8.1004671E+001, 2.0386528E-001, 2.0754086E-001, 9.0066833E-006, 2.5411339E-003, 4.8827129E+001, 2.9503305E+001,-1.9083238E-001, 5.3298332E+002, 1.8620824E-003, 1.8620824E-003, 1.8620824E-003, 1.8620824E-003, 1.8620824E-003, 6.8707256E-003, 6.1769122E-005
 8.2010470E+001, 2.0367237E-001, 2.0754598E-001, 9.4777315E-006, 2.6538286E-003, 5.0850826E+001, 2.8907775E+001,-1.9691838E-001, 5.3193054E+002, 2.0907866E-003, 2.0907866E-003, 2.0907866E-003, 2.0907866E-003, 2.0907866E-003, 7.0365103E-003, 6.3941945E-005
