s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2","GAS SOOT"
 5.3008383E+001, 2.0553382E-001, 2.0755368E-001, 4.9322103E-006, 1.5663599E-003, 4.3872322E+001, 1.4733586E+001, 5.7805144E+001, 1.2583406E-004, 1.2583406E-004, 2.9282059E-003
 5.4000659E+001, 2.0544365E-001, 2.0755368E-001, 5.1524057E-006, 1.6190383E-003, 4.4618300E+001, 1.3613513E+001, 6.0905782E+001, 1.2798698E-004, 1.2798698E-004, 3.0383458E-003
 5.5002556E+001, 2.0552826E-001, 2.0755363E-001, 4.9457855E-006, 1.5696075E-003, 4.3943478E+001, 1.3379577E+001, 6.4735406E+001, 1.2890911E-004, 1.2890911E-004, 3.1504695E-003
 5.6004956E+001, 2.0561776E-001, 2.0755349E-001, 4.7272377E-006, 1.5173232E-003, 4.3312432E+001, 1.3353923E+001, 6.5949798E+001, 1.3192308E-004, 1.3192308E-004, 3.2647574E-003
 5.7001446E+001, 2.0549013E-001, 2.0755347E-001, 5.0388861E-006, 1.5918804E-003, 4.4350339E+001, 1.3755657E+001, 6.5542768E+001, 1.3496843E-004, 1.3496843E-004, 3.3808540E-003
 5.8002913E+001, 2.0552823E-001, 2.0755354E-001, 4.9458744E-006, 1.5696288E-003, 4.3898380E+001, 1.5797306E+001, 6.8125567E+001, 1.3665657E-004, 1.3665657E-004, 3.4987857E-003
 5.9013121E+001, 2.0558996E-001, 2.0755342E-001, 4.7951230E-006, 1.5335638E-003, 4.3177849E+001, 1.5785311E+001, 7.1246455E+001, 1.3990401E-004, 1.3990401E-004, 3.6199016E-003
 6.0013333E+001, 2.0549442E-001, 2.0755328E-001, 5.0284411E-006, 1.5893816E-003, 4.3728619E+001, 1.6196530E+001, 7.3132915E+001, 1.4176808E-004, 1.4176808E-004, 3.7427114E-003
 6.1007053E+001, 2.0534980E-001, 2.0755329E-001, 5.3815751E-006, 1.6738637E-003, 4.4572634E+001, 1.6595558E+001, 7.5383638E+001, 1.4198578E-004, 1.4198578E-004, 3.8657876E-003
 6.2002897E+001, 2.0517561E-001, 2.0755328E-001, 5.8069293E-006, 1.7756233E-003, 4.6043427E+001, 1.7486961E+001, 7.5240656E+001, 1.4715742E-004, 1.4715742E-004, 3.9905802E-003
 6.3008864E+001, 2.0510844E-001, 2.0755334E-001, 5.9709423E-006, 1.8148609E-003, 4.6657311E+001, 1.6671985E+001, 7.5461491E+001, 1.4845603E-004, 1.4845603E-004, 4.1189321E-003
 6.4011080E+001, 2.0501400E-001, 2.0755347E-001, 6.2015675E-006, 1.8700346E-003, 4.7187994E+001, 1.8255720E+001, 7.4371727E+001, 1.5072890E-004, 1.5072890E-004, 4.2487066E-003
 6.5008813E+001, 2.0456792E-001, 2.0755357E-001, 7.2908336E-006, 2.1306252E-003, 5.0876617E+001, 2.0352662E+001, 7.5050233E+001, 1.5365048E-004, 1.5365048E-004, 4.3807240E-003
 6.6005566E+001, 2.0433437E-001, 2.0755362E-001, 7.8611400E-006, 2.2670624E-003, 5.3008770E+001, 2.1396333E+001, 7.6997577E+001, 1.5668596E-004, 1.5668596E-004, 4.5141611E-003
 6.7002429E+001, 2.0429664E-001, 2.0755364E-001, 7.9532426E-006, 2.2890966E-003, 5.3530595E+001, 2.2097592E+001, 7.8974022E+001, 1.5796744E-004, 1.5796744E-004, 4.6490353E-003
 6.8012354E+001, 2.0417862E-001, 2.0755365E-001, 8.2414338E-006, 2.3580420E-003, 5.4938974E+001, 2.2393970E+001, 7.9503207E+001, 1.6054732E-004, 1.6054732E-004, 4.7870340E-003
 6.9000973E+001, 2.0419561E-001, 2.0755366E-001, 8.1999405E-006, 2.3481154E-003, 5.4550515E+001, 2.1476385E+001, 8.0266921E+001, 1.6293887E-004, 1.6293887E-004, 4.9257278E-003
