s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,,,,,,,,
 1.7700601E+002, 1.9083633E-001, 2.0361727E-001, 4.0820039E-005, 1.0153685E-002, 1.3250730E+002, 7.5395127E+001, 3.0671430E+002, 1.1580032E+003, 7.7057471E-002, 7.7057471E-002, 7.7057471E-002, 7.7057471E-002, 7.7057471E-002, 2.8423680E-002, 7.7753257E-004
 1.7800176E+002, 1.9098490E-001, 2.0331774E-001, 4.0457457E-005, 1.0066907E-002, 1.3044783E+002, 7.3859522E+001, 3.2075850E+002, 1.2060184E+003, 7.3293319E-002, 7.3293319E-002, 7.3293319E-002, 7.3293319E-002, 7.3293319E-002, 2.8709837E-002, 7.9284991E-004
 1.7900163E+002, 1.9073777E-001, 2.0353996E-001, 4.1060742E-005, 1.0211355E-002, 1.3194049E+002, 7.3898934E+001, 3.2557213E+002, 1.1458158E+003, 6.8505275E-002, 6.8505275E-002, 6.8505275E-002, 6.8505275E-002, 6.8505275E-002, 2.8992979E-002, 8.0761743E-004
 1.8000037E+002, 1.9077544E-001, 2.0437406E-001, 4.0968930E-005, 1.0189360E-002, 1.3080447E+002, 7.5012870E+001, 3.4128697E+002, 1.2151295E+003, 8.9794591E-002, 8.9794591E-002, 8.9794591E-002, 8.9794591E-002, 8.9794591E-002, 2.9286821E-002, 8.2266693E-004
 1.8100245E+002, 1.9053973E-001, 2.0480083E-001, 4.1544351E-005, 1.0327113E-002, 1.3372565E+002, 7.6815362E+001, 3.4232009E+002, 1.2045376E+003, 6.0403243E-002, 6.0403243E-002, 6.0403243E-002, 6.0403243E-002, 6.0403243E-002, 2.9572145E-002, 8.3806485E-004
 1.8200243E+002, 1.9054422E-001, 2.0446518E-001, 4.1533196E-005, 1.0324491E-002, 1.3476944E+002, 7.6805248E+001, 3.3446606E+002, 1.1531905E+003, 6.6565083E-002, 6.6565083E-002, 6.6565083E-002, 6.6565083E-002, 6.6565083E-002, 2.9853827E-002, 8.5387580E-004
 1.8300214E+002, 1.9059042E-001, 2.0393130E-001, 4.1420459E-005, 1.0297506E-002, 1.3357531E+002, 7.8306553E+001, 3.2062367E+002, 1.1556596E+003, 4.8578017E-002, 4.8578017E-002, 4.8578017E-002, 4.8578017E-002, 4.8578017E-002, 3.0130784E-002, 8.6997725E-004
 1.8400813E+002, 1.9010646E-001, 2.0354809E-001, 4.2601974E-005, 1.0580406E-002, 1.3743215E+002, 8.0536979E+001, 3.2373966E+002, 1.1999734E+003, 7.6094847E-002, 7.6094847E-002, 7.6094847E-002, 7.6094847E-002, 7.6094847E-002, 3.0420158E-002, 8.8558626E-004
 1.8500443E+002, 1.8995202E-001, 2.0329900E-001, 4.2979154E-005, 1.0670736E-002, 1.3643989E+002, 8.1047637E+001, 3.2164217E+002, 1.2139660E+003, 7.3307350E-002, 7.3307350E-002, 7.3307350E-002, 7.3307350E-002, 7.3307350E-002, 3.0702947E-002, 9.0209361E-004
 1.8600391E+002, 1.8991731E-001, 2.0286200E-001, 4.3064053E-005, 1.0691046E-002, 1.3515148E+002, 7.9817878E+001, 3.3079240E+002, 1.2233131E+003, 7.2250201E-002, 7.2250201E-002, 7.2250201E-002, 7.2250201E-002, 7.2250201E-002, 3.0994400E-002, 9.1851561E-004
 1.8700777E+002, 1.8992169E-001, 2.0227617E-001, 4.3053408E-005, 1.0688441E-002, 1.3314747E+002, 7.9764653E+001, 3.1974629E+002, 1.1557633E+003, 6.7566127E-002, 6.7566127E-002, 6.7566127E-002, 6.7566127E-002, 6.7566127E-002, 3.1274728E-002, 9.3544706E-004
 1.8800571E+002, 1.8973106E-001, 2.0201452E-001, 4.3518817E-005, 1.0799842E-002, 1.3432140E+002, 7.9323942E+001, 3.1444374E+002, 1.1999179E+003, 7.3015937E-002, 7.3015937E-002, 7.3012890E-002, 7.2998533E-002, 7.2998956E-002, 3.1557180E-002, 9.5238980E-004
 1.8900480E+002, 1.8901909E-001, 2.0194990E-001, 4.5256445E-005, 1.1215882E-002, 1.4172440E+002, 8.0531061E+001, 3.1255631E+002, 1.1701448E+003, 7.5659414E-002, 7.5659414E-002, 7.5659414E-002, 7.5659414E-002, 7.5659414E-002, 3.1839493E-002, 9.6883735E-004
 1.9000246E+002, 1.8794718E-001, 2.0186758E-001, 4.7873071E-005, 1.1842305E-002, 1.5202110E+002, 8.0292215E+001, 3.1012049E+002, 1.1949857E+003, 7.2873492E-002, 7.2873492E-002, 7.2873492E-002, 7.2873492E-002, 7.2873492E-002, 3.2120462E-002, 9.8496642E-004
 1.9100563E+002, 1.8803342E-001, 2.0205350E-001, 4.7662718E-005, 1.1791932E-002, 1.5012558E+002, 7.9622108E+001, 3.0970897E+002, 1.2017001E+003, 8.2278703E-002, 8.2278703E-002, 8.2278703E-002, 8.2278703E-002, 8.2278703E-002, 3.2405045E-002, 1.0013612E-003
 1.9200931E+002, 1.8763784E-001, 2.0316654E-001, 4.8628312E-005, 1.2023148E-002, 1.5330151E+002, 8.2252435E+001, 3.1574182E+002, 1.2530370E+003, 9.4222948E-002, 9.4222948E-002, 9.4222948E-002, 9.4222948E-002, 9.4222948E-002, 3.2695315E-002, 1.0183253E-003
 1.9300121E+002, 1.8850294E-001, 2.0388644E-001, 4.6516970E-005, 1.1517529E-002, 1.4392325E+002, 8.1598826E+001, 2.9260082E+002, 1.1022903E+003, 8.3955513E-002, 8.3955513E-002, 8.3955513E-002, 8.3955513E-002, 8.3955513E-002, 3.2958652E-002, 1.0356725E-003
 1.9400458E+002, 1.8875353E-001, 2.0387474E-001, 4.5905440E-005, 1.1371057E-002, 1.3616881E+002, 8.3172443E+001, 2.8438750E+002, 1.1753534E+003, 7.5208494E-002, 7.5208494E-002, 7.5208494E-002, 7.5208494E-002, 7.5208494E-002, 3.3235083E-002, 1.0533665E-003
 1.9500613E+002, 1.8871738E-001, 2.0342970E-001, 4.5993771E-005, 1.1392213E-002, 1.3595415E+002, 8.1910854E+001, 2.8547633E+002, 1.2479686E+003, 1.0633481E-001, 1.0633481E-001, 1.0633481E-001, 1.0633481E-001, 1.0633481E-001, 3.3519483E-002, 1.0714949E-003
 1.9600277E+002, 1.8852864E-001, 2.0289788E-001, 4.6454401E-005, 1.1502521E-002, 1.3850695E+002, 8.2636782E+001, 2.8509667E+002, 1.1829829E+003, 1.1865234E-001, 1.1865234E-001, 1.1865234E-001, 1.1865234E-001, 1.1865234E-001, 3.3797341E-002, 1.0904936E-003
 1.9700202E+002, 1.8843274E-001, 2.0251538E-001, 4.6688517E-005, 1.1558595E-002, 1.3893432E+002, 8.1395188E+001, 2.8038324E+002, 1.1890110E+003, 9.5788903E-002, 9.5788903E-002, 9.5788903E-002, 9.5788903E-002, 9.5788903E-002, 3.4071444E-002, 1.1095290E-003
 1.9800700E+002, 1.8824066E-001, 2.0211394E-001, 4.7157422E-005, 1.1670858E-002, 1.4330684E+002, 8.0082859E+001, 2.8373277E+002, 1.1959735E+003, 1.0033572E-001, 1.0033572E-001, 1.0033572E-001, 1.0033572E-001, 1.0033572E-001, 3.4355944E-002, 1.1282739E-003
 1.9900104E+002, 1.8798693E-001, 2.0169919E-001, 4.7776591E-005, 1.1819167E-002, 1.4202301E+002, 8.0101460E+001, 2.6798387E+002, 1.1947963E+003, 7.3329873E-002, 7.3329873E-002, 7.3329873E-002, 7.3329873E-002, 7.3329873E-002, 3.4624418E-002, 1.1467128E-003
 2.0000581E+002, 1.8781641E-001, 2.0118386E-001, 4.8192983E-005, 1.1918871E-002, 1.4292995E+002, 7.9760849E+001, 2.7049892E+002, 1.1342892E+003, 8.7553029E-002, 8.7553029E-002, 8.7553029E-002, 8.7553029E-002, 8.7553029E-002, 3.4907739E-002, 1.1646421E-003
 2.0100308E+002, 1.8707867E-001, 2.0080119E-001, 4.9993024E-005, 1.2350004E-002, 1.5550900E+002, 8.2146484E+001, 2.5130463E+002, 1.1853641E+003, 9.6276292E-002, 9.6276292E-002, 9.6276292E-002, 9.6276292E-002, 9.6276292E-002, 3.5174722E-002, 1.1829393E-003
 2.0200100E+002, 1.8689738E-001, 2.0086702E-001, 5.0435632E-005, 1.2455968E-002, 1.5581984E+002, 8.3680846E+001, 2.6559050E+002, 1.2468326E+003, 1.2969752E-001, 1.2969752E-001, 1.2969752E-001, 1.2969752E-001, 1.2969752E-001, 3.5459709E-002, 1.2017430E-003
 2.0300262E+002, 1.8662134E-001, 2.0103385E-001, 5.1109655E-005, 1.2617341E-002, 1.5914718E+002, 8.4051779E+001, 2.6404574E+002, 1.1661431E+003, 8.4907352E-002, 8.4907352E-002, 8.4907352E-002, 8.4907352E-002, 8.4907352E-002, 3.5736039E-002, 1.2208689E-003
 2.0400238E+002, 1.8645366E-001, 2.0202501E-001, 5.1518886E-005, 1.2715328E-002, 1.6144654E+002, 8.6508203E+001, 2.5485739E+002, 1.1962596E+003, 9.6800643E-002, 9.6800643E-002, 9.6800643E-002, 9.6800643E-002, 9.6800643E-002, 3.6011539E-002, 1.2400029E-003
 2.0500518E+002, 1.8674745E-001, 2.0254337E-001, 5.0801890E-005, 1.2543629E-002, 1.5781671E+002, 8.6338148E+001, 2.5493058E+002, 1.2134260E+003, 1.2521198E-001, 1.2521198E-001, 1.2521198E-001, 1.2521198E-001, 1.2521198E-001, 3.6289870E-002, 1.2593326E-003
 2.0600535E+002, 1.8701049E-001, 2.0150187E-001, 5.0160051E-005, 1.2389901E-002, 1.5292356E+002, 8.4950661E+001, 2.5690260E+002, 1.1789608E+003, 1.1154525E-001, 1.1154525E-001, 1.1154525E-001, 1.1154525E-001, 1.1154525E-001, 3.6568937E-002, 1.2790445E-003
 2.0700597E+002, 1.8690436E-001, 2.0019535E-001, 5.0419036E-005, 1.2451909E-002, 1.5381685E+002, 8.4267587E+001, 2.5312090E+002, 1.1821477E+003, 1.1653694E-001, 1.1653694E-001, 1.1653694E-001, 1.1653694E-001, 1.1653694E-001, 3.6846139E-002, 1.2989771E-003
 2.0800608E+002, 1.8584909E-001, 2.0026392E-001, 5.2994795E-005, 1.3068695E-002, 1.6126293E+002, 8.5425768E+001, 2.3094072E+002, 1.1499827E+003, 1.0290340E-001, 1.0290340E-001, 1.0290340E-001, 1.0290340E-001, 1.0290340E-001, 3.7107522E-002, 1.3194276E-003
 2.0900002E+002, 1.8597613E-001, 2.0031887E-001, 5.2684617E-005, 1.2994522E-002, 1.6185550E+002, 8.4542650E+001, 2.2888526E+002, 1.2184883E+003, 1.1235060E-001, 1.1235060E-001, 1.1235060E-001, 1.1235060E-001, 1.1235060E-001, 3.7381975E-002, 1.3398815E-003
 2.1000029E+002, 1.8625517E-001, 2.0026140E-001, 5.2003466E-005, 1.2831440E-002, 1.5976560E+002, 8.4833870E+001, 2.2408039E+002, 1.1637249E+003, 9.9657593E-002, 9.9657593E-002, 9.9657593E-002, 9.9657593E-002, 9.9657593E-002, 3.7652957E-002, 1.3603567E-003
 2.1100755E+002, 1.8612500E-001, 2.0059401E-001, 5.2321153E-005, 1.2907498E-002, 1.6003983E+002, 8.5663456E+001, 2.3036367E+002, 1.2098512E+003, 1.0493354E-001, 1.0493354E-001, 1.0493354E-001, 1.0493354E-001, 1.0493354E-001, 3.7934472E-002, 1.3811340E-003
 2.1200174E+002, 1.8615395E-001, 2.0129560E-001, 5.2250632E-005, 1.2890542E-002, 1.5801518E+002, 8.7802293E+001, 2.2689332E+002, 1.2093483E+003, 1.1162660E-001, 1.1162660E-001, 1.1162660E-001, 1.1162660E-001, 1.1162660E-001, 3.8210580E-002, 1.4014977E-003
 2.1300046E+002, 1.8598708E-001, 2.0183509E-001, 5.2658298E-005, 1.2988036E-002, 1.5714372E+002, 8.7365549E+001, 2.3500315E+002, 1.1936378E+003, 1.2178314E-001, 1.2178314E-001, 1.2178314E-001, 1.2178314E-001, 1.2178314E-001, 3.8492508E-002, 1.4217643E-003
 2.1400275E+002, 1.8566238E-001, 2.0097182E-001, 5.3451115E-005, 1.3177837E-002, 1.5855049E+002, 8.8939663E+001, 2.2722343E+002, 1.1917716E+003, 1.0408026E-001, 1.0408026E-001, 1.0408026E-001, 1.0408026E-001, 1.0408026E-001, 3.8761740E-002, 1.4426045E-003
 2.1500777E+002, 1.8468246E-001, 1.9860457E-001, 5.5842909E-005, 1.3750604E-002, 1.6662612E+002, 8.9494009E+001, 2.2789160E+002, 1.1463523E+003, 1.3000202E-001, 1.3000202E-001, 1.3000202E-001, 1.3000202E-001, 1.3000202E-001, 3.9039266E-002, 1.4636484E-003
 2.1600492E+002, 1.8414329E-001, 1.9780209E-001, 5.7158578E-005, 1.4065711E-002, 1.7260079E+002, 9.0226332E+001, 2.0322500E+002, 1.1699106E+003, 9.3892417E-002, 9.3892417E-002, 9.3892417E-002, 9.3892417E-002, 9.3892417E-002, 3.9296401E-002, 1.4850703E-003
 2.1700526E+002, 1.8496963E-001, 1.9864726E-001, 5.5141839E-005, 1.3582723E-002, 1.6403265E+002, 8.8089701E+001, 2.0523147E+002, 1.2220406E+003, 1.2688042E-001, 1.2688042E-001, 1.2688042E-001, 1.2688042E-001, 1.2688042E-001, 3.9573466E-002, 1.5061740E-003
 2.1800531E+002, 1.8523490E-001, 1.9918687E-001, 5.4494770E-005, 1.3427787E-002, 1.5963087E+002, 8.8538360E+001, 2.1796584E+002, 1.1887561E+003, 1.1968370E-001, 1.1968370E-001, 1.1968370E-001, 1.1968370E-001, 1.1968370E-001, 3.9854541E-002, 1.5273157E-003
 2.1900214E+002, 1.8525209E-001, 1.9941053E-001, 5.4452858E-005, 1.3417743E-002, 1.5835888E+002, 8.9021950E+001, 2.1453563E+002, 1.1453565E+003, 1.1841204E-001, 1.1841204E-001, 1.1841204E-001, 1.1841204E-001, 1.1841204E-001, 4.0126954E-002, 1.5483448E-003
 2.2000154E+002, 1.8482607E-001, 1.9952721E-001, 5.5492501E-005, 1.3666732E-002, 1.6343326E+002, 8.9567998E+001, 1.9718350E+002, 1.2194651E+003, 1.4462784E-001, 1.4462784E-001, 1.4462784E-001, 1.4462784E-001, 1.4462784E-001, 4.0386203E-002, 1.5692834E-003
 2.2100886E+002, 1.8471591E-001, 1.9969348E-001, 5.5760798E-005, 1.3731287E-002, 1.6760362E+002, 9.0882115E+001, 2.1075771E+002, 1.2199782E+003, 1.1827212E-001, 1.1827212E-001, 1.1827212E-001, 1.1827212E-001, 1.1827212E-001, 4.0669462E-002, 1.5908230E-003
 2.2200712E+002, 1.8489248E-001, 1.9933863E-001, 5.5329615E-005, 1.3628084E-002, 1.6707679E+002, 9.1234133E+001, 2.0971371E+002, 1.1750855E+003, 1.2420463E-001, 1.2420463E-001, 1.2420463E-001, 1.2420463E-001, 1.2420463E-001, 4.0945458E-002, 1.6129319E-003
 2.2300137E+002, 1.8512530E-001, 1.9865474E-001, 5.4761398E-005, 1.3491998E-002, 1.6526387E+002, 9.1759469E+001, 2.0055053E+002, 1.2182879E+003, 1.4309052E-001, 1.4309052E-001, 1.4309052E-001, 1.4309052E-001, 1.4309052E-001, 4.1212509E-002, 1.6349974E-003
 2.2400023E+002, 1.8525927E-001, 1.9803886E-001, 5.4434509E-005, 1.3413701E-002, 1.6360934E+002, 9.2852253E+001, 1.9936003E+002, 1.1830618E+003, 1.2898093E-001, 1.2898093E-001, 1.2898093E-001, 1.2898093E-001, 1.2898093E-001, 4.1483120E-002, 1.6571848E-003
 2.2500212E+002, 1.8539299E-001, 1.9771969E-001, 5.4108534E-005, 1.3335568E-002, 1.6038882E+002, 9.2043862E+001, 1.9597886E+002, 1.1576096E+003, 1.4582782E-001, 1.4582782E-001, 1.4582782E-001, 1.4582782E-001, 1.4582782E-001, 4.1752600E-002, 1.6797088E-003
 2.2600693E+002, 1.8479241E-001, 1.9695111E-001, 5.5574680E-005, 1.3686592E-002, 1.6236548E+002, 9.1393791E+001, 1.8068013E+002, 1.1989091E+003, 1.2472925E-001, 1.2472925E-001, 1.2472925E-001, 1.2472925E-001, 1.2472925E-001, 4.2014697E-002, 1.7027672E-003
 2.2700133E+002, 1.8368671E-001, 1.9616493E-001, 5.8273786E-005, 1.4333004E-002, 1.6329459E+002, 9.0862067E+001, 1.7894691E+002, 1.1506261E+003, 1.4226672E-001, 1.4226672E-001, 1.4226672E-001, 1.4226672E-001, 1.4226672E-001, 4.2284962E-002, 1.7254109E-003
 2.2800475E+002, 1.8221776E-001, 1.9623775E-001, 6.1859041E-005, 1.5191683E-002, 1.6925408E+002, 9.2839903E+001, 1.7642236E+002, 1.2029959E+003, 1.4266140E-001, 1.4266140E-001, 1.4266140E-001, 1.4266140E-001, 1.4266140E-001, 4.2550740E-002, 1.7481430E-003
 2.2900490E+002, 1.8224777E-001, 1.9771006E-001, 6.1785829E-005, 1.5174167E-002, 1.6771995E+002, 9.4738791E+001, 1.7277870E+002, 1.1531210E+003, 1.2915582E-001, 1.2915582E-001, 1.2915582E-001, 1.2915582E-001, 1.2915582E-001, 4.2817306E-002, 1.7711084E-003
 2.3000025E+002, 1.8196576E-001, 1.9935466E-001, 6.2473996E-005, 1.5339052E-002, 1.7001682E+002, 9.7068260E+001, 1.7905515E+002, 1.2257120E+003, 1.4848638E-001, 1.4848638E-001, 1.4848638E-001, 1.4848638E-001, 1.4848638E-001, 4.3092516E-002, 1.7943124E-003
 2.3100201E+002, 1.8186637E-001, 1.9773433E-001, 6.2716631E-005, 1.5397168E-002, 1.7212733E+002, 9.7739555E+001, 1.8129126E+002, 1.1941732E+003, 1.4785267E-001, 1.4785267E-001, 1.4785267E-001, 1.4785267E-001, 1.4785267E-001, 4.3364225E-002, 1.8177899E-003
 2.3200367E+002, 1.8255578E-001, 1.9458771E-001, 6.1034081E-005, 1.4994138E-002, 1.6947601E+002, 9.8002534E+001, 1.7100491E+002, 1.2103147E+003, 1.7687929E-001, 1.7687929E-001, 1.7687929E-001, 1.7687929E-001, 1.7687929E-001, 4.3628755E-002, 1.8415742E-003
 2.3300042E+002, 1.8257381E-001, 1.9334852E-001, 6.0989912E-005, 1.4983541E-002, 1.7166831E+002, 9.6937052E+001, 1.8088961E+002, 1.1947554E+003, 1.6169501E-001, 1.6169501E-001, 1.6169501E-001, 1.6169501E-001, 1.6169501E-001, 4.3902648E-002, 1.8662162E-003
 2.3400253E+002, 1.8203934E-001, 1.9352677E-001, 6.2295447E-005, 1.5296025E-002, 1.6209161E+002, 9.7105507E+001, 1.6536329E+002, 1.1781113E+003, 1.7762234E-001, 1.7762234E-001, 1.7762234E-001, 1.7762234E-001, 1.7762234E-001, 4.4161552E-002, 1.8906692E-003
 2.3500117E+002, 1.8173934E-001, 1.9394559E-001, 6.3027970E-005, 1.5471365E-002, 1.5980647E+002, 9.8204165E+001, 1.5903934E+002, 1.1933491E+003, 1.4635338E-001, 1.4635338E-001, 1.4635338E-001, 1.4635338E-001, 1.4635338E-001, 4.4425766E-002, 1.9150946E-003
 2.3600778E+002, 1.8176790E-001, 1.9381920E-001, 6.2957960E-005, 1.5454642E-002, 1.6208421E+002, 9.7305195E+001, 1.6563002E+002, 1.2080152E+003, 1.9424799E-001, 1.9460181E-001, 1.9460181E-001, 1.9460181E-001, 1.9460181E-001, 4.4697006E-002, 1.9395830E-003
 2.3700438E+002, 1.8150487E-001, 1.9368771E-001, 6.3599916E-005, 1.5608461E-002, 1.6293401E+002, 9.7119198E+001, 1.6391104E+002, 1.1836709E+003, 1.7266565E-001, 1.7266565E-001, 1.7266565E-001, 1.7266565E-001, 1.7266565E-001, 4.4959740E-002, 1.9644875E-003
 2.3800718E+002, 1.8144673E-001, 1.9432561E-001, 6.3741901E-005, 1.5642469E-002, 1.6259157E+002, 9.7829411E+001, 1.5725912E+002, 1.1812191E+003, 1.4816677E-001, 1.4816677E-001, 1.4816677E-001, 1.4816677E-001, 1.4816677E-001, 4.5224701E-002, 1.9890161E-003
 2.3900281E+002, 1.8147897E-001, 1.9548096E-001, 6.3663182E-005, 1.5623645E-002, 1.6296812E+002, 9.5787200E+001, 1.5710968E+002, 1.1748982E+003, 1.3395515E-001, 1.3395515E-001, 1.3395515E-001, 1.3395515E-001, 1.3395515E-001, 4.5493741E-002, 2.0132267E-003
 2.4000497E+002, 1.8131408E-001, 1.9611603E-001, 6.4065605E-005, 1.5720172E-002, 1.6955795E+002, 9.6571872E+001, 1.5554249E+002, 1.2249713E+003, 1.3114826E-001, 1.3114826E-001, 1.3114826E-001, 1.3114826E-001, 1.3114826E-001, 4.5764140E-002, 2.0374171E-003
 2.4100269E+002, 1.8083068E-001, 1.9580989E-001, 6.5244249E-005, 1.6002875E-002, 1.8088883E+002, 9.8720749E+001, 1.6113936E+002, 1.2057536E+003, 1.5752310E-001, 1.5752310E-001, 1.5752310E-001, 1.5752310E-001, 1.5752310E-001, 4.6038369E-002, 2.0619495E-003
 2.4200383E+002, 1.8098804E-001, 1.9485814E-001, 6.4859405E-005, 1.5910953E-002, 1.8116595E+002, 9.9471301E+001, 1.4917436E+002, 1.1547103E+003, 1.7765946E-001, 1.7765946E-001, 1.7765946E-001, 1.7765946E-001, 1.7765946E-001, 4.6297755E-002, 2.0871003E-003
 2.4300243E+002, 1.8089160E-001, 1.9328533E-001, 6.5094781E-005, 1.5967352E-002, 1.8060550E+002, 1.0043035E+002, 1.4739482E+002, 1.1653166E+003, 1.8721626E-001, 1.8721626E-001, 1.8721626E-001, 1.8721626E-001, 1.8721626E-001, 4.6562849E-002, 2.1124432E-003
 2.4400185E+002, 1.8045582E-001, 1.9181811E-001, 6.6158392E-005, 1.6222052E-002, 1.8597128E+002, 1.0069680E+002, 1.3812757E+002, 1.1777876E+003, 1.7168797E-001, 1.7168797E-001, 1.7168797E-001, 1.7168797E-001, 1.7168797E-001, 4.6820269E-002, 2.1381234E-003
 2.4500248E+002, 1.8021133E-001, 1.9116272E-001, 6.6755095E-005, 1.6364945E-002, 1.8486148E+002, 1.0049125E+002, 1.3799214E+002, 1.1946028E+003, 1.7835494E-001, 1.7835494E-001, 1.7835494E-001, 1.7835494E-001, 1.7835494E-001, 4.7088025E-002, 2.1643347E-003
 2.4600783E+002, 1.8042915E-001, 1.9119665E-001, 6.6224038E-005, 1.6237642E-002, 1.8014310E+002, 1.0118923E+002, 1.3339903E+002, 1.2327922E+003, 1.8233682E-001, 1.8233682E-001, 1.8233682E-001, 1.8233682E-001, 1.8233682E-001, 4.7350194E-002, 2.1904755E-003
 2.4700472E+002, 1.8071711E-001, 1.9254381E-001, 6.5521227E-005, 1.6069248E-002, 1.7571379E+002, 1.0106433E+002, 1.4731482E+002, 1.1565720E+003, 2.0444372E-001, 2.0444372E-001, 2.0444372E-001, 2.0444372E-001, 2.0444372E-001, 4.7621373E-002, 2.2160703E-003
 2.4800077E+002, 1.8075030E-001, 1.9405683E-001, 6.5440317E-005, 1.6049838E-002, 1.7435053E+002, 1.0015770E+002, 1.2772441E+002, 1.1705045E+003, 1.3461813E-001, 1.3461813E-001, 1.3461813E-001, 1.3461813E-001, 1.3461813E-001, 4.7874882E-002, 2.2419741E-003
 2.4900369E+002, 1.8070443E-001, 1.9400379E-001, 6.5552614E-005, 1.6076705E-002, 1.7710676E+002, 9.9895809E+001, 1.3001227E+002, 1.1990572E+003, 1.8151632E-001, 1.8151632E-001, 1.8151632E-001, 1.8151632E-001, 1.8151632E-001, 4.8140203E-002, 2.2679610E-003
 2.5000021E+002, 1.8079024E-001, 1.9316597E-001, 6.5343044E-005, 1.6026503E-002, 1.7464940E+002, 1.0050653E+002, 1.3168095E+002, 1.1819185E+003, 1.6377562E-001, 1.6377562E-001, 1.6377562E-001, 1.6377562E-001, 1.6377562E-001, 4.8407879E-002, 2.2934808E-003
 2.5100471E+002, 1.8010002E-001, 1.9314124E-001, 6.7026972E-005, 1.6430075E-002, 1.8125538E+002, 1.0052741E+002, 1.3908061E+002, 1.2318961E+003, 1.7052057E-001, 1.7052057E-001, 1.7052057E-001, 1.7052057E-001, 1.7052057E-001, 4.8681132E-002, 2.3194931E-003
 2.5200266E+002, 1.7981726E-001, 1.9228336E-001, 6.7716951E-005, 1.6595388E-002, 1.8386304E+002, 1.0239504E+002, 1.3908216E+002, 1.1332056E+003, 1.8753714E-001, 1.8753714E-001, 1.8753714E-001, 1.8753714E-001, 1.8753714E-001, 4.8947953E-002, 2.3463931E-003
 2.5300799E+002, 1.8030754E-001, 1.9029682E-001, 6.6520535E-005, 1.6308683E-002, 1.8085961E+002, 1.0474803E+002, 1.2385668E+002, 1.2132631E+003, 1.6639864E-001, 1.6639864E-001, 1.6639864E-001, 1.6639864E-001, 1.6639864E-001, 4.9206608E-002, 2.3737915E-003
 2.5400779E+002, 1.7970142E-001, 1.8851631E-001, 6.8000217E-005, 1.6663126E-002, 1.8025698E+002, 1.0297036E+002, 1.2201022E+002, 1.1655765E+003, 1.7805899E-001, 1.7805899E-001, 1.7805899E-001, 1.7805899E-001, 1.7805899E-001, 4.9471731E-002, 2.4005283E-003
 2.5500240E+002, 1.7929249E-001, 1.8790070E-001, 6.8998833E-005, 1.6902304E-002, 1.7761575E+002, 1.0276036E+002, 1.1611340E+002, 1.2271649E+003, 1.5595401E-001, 1.5595401E-001, 1.5595401E-001, 1.5595401E-001, 1.5595401E-001, 4.9734379E-002, 2.4274044E-003
 2.5600078E+002, 1.7874054E-001, 1.8889454E-001, 7.0345559E-005, 1.7224946E-002, 1.8353318E+002, 1.0277562E+002, 1.2564399E+002, 1.1502258E+003, 1.8479027E-001, 1.8479027E-001, 1.8479027E-001, 1.8479027E-001, 1.8479027E-001, 5.0007006E-002, 2.4551306E-003
 2.5700456E+002, 1.7904506E-001, 1.8864935E-001, 6.9602433E-005, 1.7046918E-002, 1.8104540E+002, 1.0293538E+002, 1.0875820E+002, 1.2129947E+003, 1.7185910E-001, 1.7185910E-001, 1.7185910E-001, 1.7185910E-001, 1.7185910E-001, 5.0260872E-002, 2.4835861E-003
 2.5800666E+002, 1.7867696E-001, 1.8755969E-001, 7.0500608E-005, 1.7262173E-002, 1.8264843E+002, 1.0260269E+002, 1.2044036E+002, 1.2077601E+003, 1.7684688E-001, 1.7684688E-001, 1.7684688E-001, 1.7684688E-001, 1.7684688E-001, 5.0538551E-002, 2.5120213E-003
 2.5900645E+002, 1.7866303E-001, 1.8855490E-001, 7.0534723E-005, 1.7270342E-002, 1.8202621E+002, 1.0327655E+002, 1.1883357E+002, 1.1695835E+003, 1.9697559E-001, 1.9697559E-001, 1.9697559E-001, 1.9697559E-001, 1.9697559E-001, 5.0805408E-002, 2.5401471E-003
 2.6000610E+002, 1.7864485E-001, 1.9253069E-001, 7.0579156E-005, 1.7280987E-002, 1.8221446E+002, 1.0232660E+002, 1.0398395E+002, 1.1895131E+003, 1.8026652E-001, 1.8026652E-001, 1.8026652E-001, 1.8026652E-001, 1.8026652E-001, 5.1061730E-002, 2.5686636E-003
 2.6100520E+002, 1.7850119E-001, 1.9322657E-001, 7.0929516E-005, 1.7364942E-002, 1.8396481E+002, 1.0271980E+002, 9.4781797E+001, 1.1147248E+003, 1.7656362E-001, 1.7656362E-001, 1.7656362E-001, 1.7656362E-001, 1.7656362E-001, 5.1317680E-002, 2.5967359E-003
 2.6200683E+002, 1.7843053E-001, 1.9004299E-001, 7.1102010E-005, 1.7406214E-002, 1.8405223E+002, 1.0260786E+002, 1.0032213E+002, 1.2210336E+003, 2.1004575E-001, 2.1004575E-001, 2.1004575E-001, 2.1004575E-001, 2.1004575E-001, 5.1584520E-002, 2.6253821E-003
 2.6300337E+002, 1.7722015E-001, 1.8789024E-001, 7.4056415E-005, 1.8114074E-002, 1.8633165E+002, 1.0380677E+002, 1.0668092E+002, 1.2266642E+003, 2.1799640E-001, 2.1799640E-001, 2.1799640E-001, 2.1799640E-001, 2.1799640E-001, 5.1850501E-002, 2.6546440E-003
