s,C,kg/m3,Pa,kg/kg,%,kJ,kJ
 1.7350000E+000, 2.2006020E+001, 1.2257323E+000, 4.2741205E+003, 2.0042864E-002, 1.0125826E+002, 6.0148201E+002, 1.8908402E+001
 1.7450000E+000, 2.2018442E+001, 1.2256472E+000, 4.2726221E+003, 2.0064878E-002, 1.0129798E+002, 6.0150574E+002, 1.8887664E+001
 1.7550000E+000, 2.2034347E+001, 1.2255611E+000, 4.2711328E+003, 2.0068789E-002, 1.0122624E+002, 6.0153385E+002, 1.8867106E+001
 1.7650000E+000, 2.2051156E+001, 1.2254748E+000, 4.2697553E+003, 2.0069487E-002, 1.0113317E+002, 6.0156045E+002, 1.8846723E+001
 1.7750000E+000, 2.2068065E+001, 1.2253867E+000, 4.2682680E+003, 2.0070407E-002, 1.0104074E+002, 6.0158597E+002, 1.8826451E+001
 1.7850000E+000, 2.2085120E+001, 1.2252980E+000, 4.2667919E+003, 2.0071468E-002, 1.0094828E+002, 6.0160977E+002, 1.8806363E+001
 1.7950000E+000, 2.2102356E+001, 1.2252098E+000, 4.2654258E+003, 2.0072646E-002, 1.0085546E+002, 6.0163324E+002, 1.8786443E+001
 1.8049999E+000, 2.2119641E+001, 1.2251211E+000, 4.2640583E+003, 2.0074049E-002, 1.0076359E+002, 6.0165937E+002, 1.8766693E+001
 1.8150001E+000, 2.2136827E+001, 1.2250323E+000, 4.2626904E+003, 2.0076333E-002, 1.0067679E+002, 6.0168448E+002, 1.8747107E+001
 1.8250000E+000, 2.2153765E+001, 1.2249424E+000, 4.2612108E+003, 2.0079706E-002, 1.0059694E+002, 6.0170577E+002, 1.8727646E+001
 1.8350000E+000, 2.2170520E+001, 1.2248526E+000, 4.2597355E+003, 2.0084091E-002, 1.0052328E+002, 6.0172784E+002, 1.8708365E+001
 1.8450000E+000, 2.2187156E+001, 1.2247640E+000, 4.2583750E+003, 2.0089429E-002, 1.0045512E+002, 6.0175334E+002, 1.8689246E+001
 1.8550000E+000, 2.2203569E+001, 1.2246756E+000, 4.2570146E+003, 2.0095669E-002, 1.0039279E+002, 6.0177609E+002, 1.8670284E+001
 1.8650000E+000, 2.2219739E+001, 1.2245876E+000, 4.2556554E+003, 2.0102753E-002, 1.0033609E+002, 6.0179830E+002, 1.8651479E+001
 1.8750000E+000, 2.2235651E+001, 1.2245002E+000, 4.2542986E+003, 2.0110626E-002, 1.0028481E+002, 6.0181912E+002, 1.8632805E+001
 1.8850000E+000, 2.2251096E+001, 1.2244117E+000, 4.2527282E+003, 2.0119208E-002, 1.0023975E+002, 6.0184649E+002, 1.8614241E+001
 1.8950000E+000, 2.2266216E+001, 1.2243229E+000, 4.2510582E+003, 2.0128507E-002, 1.0020012E+002, 6.0186825E+002, 1.8595780E+001
 1.9050000E+000, 2.2281199E+001, 1.2242369E+000, 4.2496215E+003, 2.0138415E-002, 1.0016429E+002, 6.0189008E+002, 1.8577552E+001
 1.9150000E+000, 2.2295960E+001, 1.2241527E+000, 4.2482920E+003, 2.0148901E-002, 1.0013259E+002, 6.0191463E+002, 1.8559444E+001
 1.9250000E+000, 2.2310246E+001, 1.2240677E+000, 4.2467580E+003, 2.0159920E-002, 1.0010623E+002, 6.0193719E+002, 1.8541461E+001
 1.9349999E+000, 2.2324390E+001, 1.2239855E+000, 4.2454411E+003, 2.0171428E-002, 1.0008308E+002, 6.0196033E+002, 1.8523678E+001
 1.9450001E+000, 2.2338193E+001, 1.2239044E+000, 4.2441246E+003, 2.0183367E-002, 1.0006398E+002, 6.0198244E+002, 1.8506051E+001
 1.9550000E+000, 2.2351647E+001, 1.2238244E+000, 4.2428099E+003, 2.0195687E-002, 1.0004872E+002, 6.0200362E+002, 1.8488570E+001
 1.9650000E+000, 2.2364672E+001, 1.2237449E+000, 4.2413968E+003, 2.0208346E-002, 1.0003755E+002, 6.0202492E+002, 1.8471104E+001
 1.9750000E+000, 2.2377356E+001, 1.2236667E+000, 4.2399995E+003, 2.0221307E-002, 1.0002977E+002, 6.0204563E+002, 1.8453829E+001
 1.9850000E+000, 2.2389602E+001, 1.2235890E+000, 4.2384971E+003, 2.0234522E-002, 1.0002570E+002, 6.0206742E+002, 1.8436684E+001
 1.9950000E+000, 2.2401660E+001, 1.2235145E+000, 4.2372189E+003, 2.0247952E-002, 1.0002372E+002, 6.0208852E+002, 1.8419697E+001
 2.0050001E+000, 2.2413209E+001, 1.2234396E+000, 4.2357311E+003, 2.0261565E-002, 1.0002548E+002, 6.0210883E+002, 1.8402796E+001
 2.0150001E+000, 2.2424568E+001, 1.2233680E+000, 4.2344738E+003, 2.0275315E-002, 1.0002896E+002, 6.0212980E+002, 1.8386078E+001
 2.0250001E+000, 2.2435565E+001, 1.2232978E+000, 4.2332101E+003, 2.0289169E-002, 1.0003496E+002, 6.0215119E+002, 1.8369520E+001
 2.0350001E+000, 2.2446201E+001, 1.2232290E+000, 4.2319453E+003, 2.0303094E-002, 1.0004331E+002, 6.0217101E+002, 1.8353117E+001
 2.0450001E+000, 2.2456480E+001, 1.2231616E+000, 4.2306805E+003, 2.0317056E-002, 1.0005383E+002, 6.0219290E+002, 1.8336869E+001
 2.0550001E+000, 2.2466402E+001, 1.2230958E+000, 4.2294167E+003, 2.0331024E-002, 1.0006636E+002, 6.0221282E+002, 1.8320771E+001
 2.0650001E+000, 2.2475973E+001, 1.2230314E+000, 4.2281551E+003, 2.0344969E-002, 1.0008072E+002, 6.0223346E+002, 1.8304817E+001
 2.0750000E+000, 2.2485126E+001, 1.2229678E+000, 4.2268054E+003, 2.0358864E-002, 1.0009716E+002, 6.0225587E+002, 1.8288816E+001
 2.0850000E+000, 2.2493950E+001, 1.2229058E+000, 4.2254728E+003, 2.0372680E-002, 1.0011504E+002, 6.0227945E+002, 1.8273087E+001
 2.0950000E+000, 2.2502513E+001, 1.2228461E+000, 4.2242365E+003, 2.0386391E-002, 1.0013385E+002, 6.0230001E+002, 1.8257517E+001
 2.1050000E+000, 2.2510741E+001, 1.2227879E+000, 4.2230009E+003, 2.0399973E-002, 1.0015388E+002, 6.0232005E+002, 1.8242092E+001
 2.1150000E+000, 2.2518641E+001, 1.2227312E+000, 4.2217672E+003, 2.0413403E-002, 1.0017499E+002, 6.0233839E+002, 1.8226806E+001
 2.1250000E+000, 2.2526219E+001, 1.2226760E+000, 4.2205358E+003, 2.0426659E-002, 1.0019703E+002, 6.0235683E+002, 1.8211661E+001
 2.1350000E+000, 2.2533482E+001, 1.2226222E+000, 4.2193072E+003, 2.0439721E-002, 1.0021988E+002, 6.0237512E+002, 1.8196653E+001
 2.1450000E+000, 2.2540350E+001, 1.2225691E+000, 4.2179781E+003, 2.0452569E-002, 1.0024389E+002, 6.0239227E+002, 1.8181583E+001
 2.1550000E+000, 2.2546795E+001, 1.2225159E+000, 4.2164827E+003, 2.0465196E-002, 1.0026917E+002, 6.0241384E+002, 1.8166749E+001
 2.1650000E+000, 2.2553171E+001, 1.2224665E+000, 4.2152665E+003, 2.0477583E-002, 1.0029366E+002, 6.0243198E+002, 1.8152141E+001
 2.1750000E+000, 2.2559262E+001, 1.2224185E+000, 4.2140610E+003, 2.0489703E-002, 1.0031842E+002, 6.0244836E+002, 1.8137649E+001
 2.1849999E+000, 2.2565071E+001, 1.2223720E+000, 4.2128616E+003, 2.0501545E-002, 1.0034339E+002, 6.0246407E+002, 1.8123278E+001
 2.1949999E+000, 2.2570608E+001, 1.2223269E+000, 4.2116670E+003, 2.0513101E-002, 1.0036848E+002, 6.0248410E+002, 1.8109029E+001
 2.2049999E+000, 2.2575883E+001, 1.2222831E+000, 4.2104769E+003, 2.0524361E-002, 1.0039360E+002, 6.0250175E+002, 1.8094901E+001
 2.2149999E+000, 2.2580904E+001, 1.2222407E+000, 4.2092915E+003, 2.0535319E-002, 1.0041864E+002, 6.0251872E+002, 1.8080896E+001
 2.2249999E+000, 2.2585680E+001, 1.2221996E+000, 4.2081108E+003, 2.0545965E-002, 1.0044355E+002, 6.0253712E+002, 1.8067011E+001
 2.2349999E+000, 2.2590217E+001, 1.2221597E+000, 4.2069350E+003, 2.0556291E-002, 1.0046822E+002, 6.0255463E+002, 1.8053247E+001
 2.2449999E+000, 2.2594521E+001, 1.2221211E+000, 4.2057643E+003, 2.0566290E-002, 1.0049261E+002, 6.0257255E+002, 1.8039602E+001
 2.2550001E+000, 2.2598601E+001, 1.2220837E+000, 4.2045990E+003, 2.0575956E-002, 1.0051663E+002, 6.0259241E+002, 1.8026072E+001
 2.2650001E+000, 2.2602378E+001, 1.2220467E+000, 4.2033349E+003, 2.0585288E-002, 1.0054071E+002, 6.0260938E+002, 1.8012573E+001
 2.2750001E+000, 2.2605959E+001, 1.2220108E+000, 4.2020805E+003, 2.0594285E-002, 1.0056427E+002, 6.0262615E+002, 1.7999245E+001
 2.2850001E+000, 2.2609426E+001, 1.2219770E+000, 4.2009389E+003, 2.0602941E-002, 1.0058681E+002, 6.0264296E+002, 1.7986040E+001
 2.2950001E+000, 2.2612693E+001, 1.2219443E+000, 4.1998016E+003, 2.0611252E-002, 1.0060877E+002, 6.0265927E+002, 1.7972955E+001
 2.3050001E+000, 2.2615685E+001, 1.2219118E+000, 4.1985607E+003, 2.0619212E-002, 1.0063059E+002, 6.0267561E+002, 1.7959935E+001
 2.3150001E+000, 2.2618502E+001, 1.2218804E+000, 4.1973330E+003, 2.0626832E-002, 1.0065173E+002, 6.0269203E+002, 1.7947068E+001
 2.3250000E+000, 2.2621229E+001, 1.2218509E+000, 4.1962165E+003, 2.0634106E-002, 1.0067169E+002, 6.0270685E+002, 1.7934323E+001
 2.3350000E+000, 2.2623793E+001, 1.2218224E+000, 4.1951055E+003, 2.0641044E-002, 1.0069092E+002, 6.0272327E+002, 1.7921690E+001
 2.3450000E+000, 2.2626201E+001, 1.2217949E+000, 4.1940001E+003, 2.0647647E-002, 1.0070941E+002, 6.0273981E+002, 1.7909163E+001
 2.3550000E+000, 2.2628458E+001, 1.2217683E+000, 4.1928989E+003, 2.0653919E-002, 1.0072713E+002, 6.0275482E+002, 1.7896722E+001
 2.3650000E+000, 2.2630401E+001, 1.2217408E+000, 4.1915959E+003, 2.0659859E-002, 1.0074503E+002, 6.0276908E+002, 1.7884349E+001
 2.3750000E+000, 2.2632382E+001, 1.2217161E+000, 4.1905199E+003, 2.0665473E-002, 1.0076111E+002, 6.0278562E+002, 1.7872106E+001
 2.3850000E+000, 2.2634228E+001, 1.2216922E+000, 4.1894483E+003, 2.0670767E-002, 1.0077639E+002, 6.0280257E+002, 1.7859974E+001
 2.3950000E+000, 2.2635946E+001, 1.2216692E+000, 4.1883809E+003, 2.0675747E-002, 1.0079087E+002, 6.0281624E+002, 1.7847950E+001
 2.4050000E+000, 2.2637542E+001, 1.2216469E+000, 4.1873181E+003, 2.0680419E-002, 1.0080454E+002, 6.0283081E+002, 1.7836033E+001
 2.4150000E+000, 2.2639021E+001, 1.2216254E+000, 4.1862603E+003, 2.0684790E-002, 1.0081741E+002, 6.0284708E+002, 1.7824221E+001
 2.4250000E+000, 2.2640389E+001, 1.2216046E+000, 4.1852074E+003, 2.0688866E-002, 1.0082947E+002, 6.0286197E+002, 1.7812515E+001
 2.4349999E+000, 2.2641650E+001, 1.2215845E+000, 4.1841597E+003, 2.0692654E-002, 1.0084073E+002, 6.0287935E+002, 1.7800913E+001
 2.4449999E+000, 2.2642810E+001, 1.2215651E+000, 4.1831177E+003, 2.0696162E-002, 1.0085121E+002, 6.0289373E+002, 1.7789411E+001
 2.4549999E+000, 2.2643873E+001, 1.2215463E+000, 4.1820812E+003, 2.0699396E-002, 1.0086090E+002, 6.0291097E+002, 1.7778008E+001
 2.4649999E+000, 2.2644844E+001, 1.2215282E+000, 4.1810505E+003, 2.0702364E-002, 1.0086982E+002, 6.0292470E+002, 1.7766701E+001
 2.4749999E+000, 2.2645726E+001, 1.2215108E+000, 4.1800254E+003, 2.0705075E-002, 1.0087800E+002, 6.0293740E+002, 1.7755491E+001
 2.4849999E+000, 2.2646525E+001, 1.2214939E+000, 4.1790059E+003, 2.0707537E-002, 1.0088543E+002, 6.0295219E+002, 1.7744374E+001
 2.4949999E+000, 2.2647243E+001, 1.2214776E+000, 4.1779923E+003, 2.0709758E-002, 1.0089215E+002, 6.0296461E+002, 1.7733354E+001
 2.5050001E+000, 2.2647886E+001, 1.2214618E+000, 4.1769842E+003, 2.0711746E-002, 1.0089817E+002, 6.0297787E+002, 1.7722430E+001
 2.5150001E+000, 2.2648455E+001, 1.2214466E+000, 4.1759845E+003, 2.0713511E-002, 1.0090351E+002, 6.0299072E+002, 1.7711521E+001
 2.5250001E+000, 2.2648819E+001, 1.2214303E+000, 4.1748041E+003, 2.0715071E-002, 1.0090904E+002, 6.0300702E+002, 1.7700656E+001
 2.5350001E+000, 2.2649266E+001, 1.2214162E+000, 4.1738313E+003, 2.0716417E-002, 1.0091304E+002, 6.0301946E+002, 1.7689963E+001
 2.5450001E+000, 2.2649646E+001, 1.2214025E+000, 4.1728596E+003, 2.0717570E-002, 1.0091649E+002, 6.0303400E+002, 1.7679372E+001
 2.5550001E+000, 2.2649880E+001, 1.2213884E+000, 4.1717832E+003, 2.0718545E-002, 1.0091990E+002, 6.0304702E+002, 1.7668788E+001
 2.5650001E+000, 2.2649993E+001, 1.2213741E+000, 4.1706357E+003, 2.0719346E-002, 1.0092315E+002, 6.0305988E+002, 1.7658186E+001
 2.5750000E+000, 2.2650141E+001, 1.2213611E+000, 4.1696083E+003, 2.0719975E-002, 1.0092538E+002, 6.0307362E+002, 1.7647753E+001
 2.5850000E+000, 2.2650313E+001, 1.2213494E+000, 4.1686838E+003, 2.0720448E-002, 1.0092670E+002, 6.0308733E+002, 1.7637456E+001
 2.5950000E+000, 2.2650425E+001, 1.2213379E+000, 4.1677564E+003, 2.0720771E-002, 1.0092763E+002, 6.0310181E+002, 1.7627273E+001
 2.6050000E+000, 2.2650480E+001, 1.2213268E+000, 4.1668291E+003, 2.0720954E-002, 1.0092821E+002, 6.0311496E+002, 1.7617194E+001
 2.6150000E+000, 2.2650481E+001, 1.2213161E+000, 4.1659037E+003, 2.0721006E-002, 1.0092845E+002, 6.0312780E+002, 1.7607213E+001
 2.6250000E+000, 2.2650433E+001, 1.2213056E+000, 4.1649813E+003, 2.0720938E-002, 1.0092840E+002, 6.0314108E+002, 1.7597306E+001
 2.6350000E+000, 2.2650336E+001, 1.2212955E+000, 4.1640617E+003, 2.0720755E-002, 1.0092806E+002, 6.0315352E+002, 1.7587483E+001
 2.6450000E+000, 2.2650192E+001, 1.2212857E+000, 4.1631450E+003, 2.0720470E-002, 1.0092749E+002, 6.0316726E+002, 1.7577764E+001
 2.6550000E+000, 2.2650002E+001, 1.2212762E+000, 4.1622322E+003, 2.0720089E-002, 1.0092673E+002, 6.0317790E+002, 1.7568141E+001
 2.6650000E+000, 2.2649765E+001, 1.2212670E+000, 4.1613243E+003, 2.0719622E-002, 1.0092580E+002, 6.0318960E+002, 1.7558608E+001
 2.6750000E+000, 2.2649402E+001, 1.2212573E+000, 4.1603242E+003, 2.0719073E-002, 1.0092520E+002, 6.0320302E+002, 1.7548996E+001
 2.6849999E+000, 2.2649008E+001, 1.2212481E+000, 4.1593459E+003, 2.0718456E-002, 1.0092445E+002, 6.0321644E+002, 1.7539575E+001
 2.6949999E+000, 2.2648557E+001, 1.2212390E+000, 4.1583589E+003, 2.0717774E-002, 1.0092370E+002, 6.0322835E+002, 1.7530203E+001
 2.7049999E+000, 2.2648066E+001, 1.2212302E+000, 4.1573809E+003, 2.0717039E-002, 1.0092292E+002, 6.0324061E+002, 1.7520882E+001
 2.7149999E+000, 2.2647466E+001, 1.2212211E+000, 4.1563310E+003, 2.0716257E-002, 1.0092254E+002, 6.0325568E+002, 1.7511611E+001
 2.7249999E+000, 2.2646991E+001, 1.2212138E+000, 4.1554809E+003, 2.0715442E-002, 1.0092128E+002, 6.0326758E+002, 1.7502507E+001
 2.7349999E+000, 2.2646465E+001, 1.2212068E+000, 4.1546327E+003, 2.0714590E-002, 1.0092013E+002, 6.0327794E+002, 1.7493496E+001
 2.7449999E+000, 2.2645888E+001, 1.2212000E+000, 4.1537867E+003, 2.0713704E-002, 1.0091911E+002, 6.0328864E+002, 1.7484572E+001
 2.7550001E+000, 2.2645199E+001, 1.2211929E+000, 4.1528628E+003, 2.0712792E-002, 1.0091860E+002, 6.0329761E+002, 1.7475477E+001
 2.7650001E+000, 2.2644458E+001, 1.2211859E+000, 4.1519359E+003, 2.0711858E-002, 1.0091829E+002, 6.0330912E+002, 1.7466750E+001
 2.7750001E+000, 2.2643739E+001, 1.2211798E+000, 4.1510981E+003, 2.0710911E-002, 1.0091777E+002, 6.0332171E+002, 1.7458083E+001
 2.7850001E+000, 2.2642904E+001, 1.2211732E+000, 4.1501736E+003, 2.0709954E-002, 1.0091788E+002, 6.0333268E+002, 1.7449282E+001
 2.7950001E+000, 2.2642057E+001, 1.2211671E+000, 4.1492848E+003, 2.0708999E-002, 1.0091807E+002, 6.0334417E+002, 1.7440400E+001
 2.8050001E+000, 2.2641163E+001, 1.2211611E+000, 4.1483857E+003, 2.0708051E-002, 1.0091855E+002, 6.0335669E+002, 1.7431581E+001
 2.8150001E+000, 2.2640313E+001, 1.2211563E+000, 4.1476077E+003, 2.0707094E-002, 1.0091874E+002, 6.0336856E+002, 1.7423114E+001
 2.8250000E+000, 2.2639408E+001, 1.2211516E+000, 4.1468209E+003, 2.0706140E-002, 1.0091926E+002, 6.0338232E+002, 1.7414764E+001
 2.8350000E+000, 2.2638455E+001, 1.2211471E+000, 4.1460307E+003, 2.0705192E-002, 1.0092008E+002, 6.0339275E+002, 1.7406511E+001
 2.8450000E+000, 2.2637459E+001, 1.2211428E+000, 4.1452402E+003, 2.0704257E-002, 1.0092121E+002, 6.0340257E+002, 1.7398345E+001
 2.8550000E+000, 2.2636423E+001, 1.2211386E+000, 4.1444515E+003, 2.0703336E-002, 1.0092264E+002, 6.0341070E+002, 1.7390259E+001
 2.8650000E+000, 2.2635349E+001, 1.2211346E+000, 4.1436658E+003, 2.0702433E-002, 1.0092437E+002, 6.0342075E+002, 1.7382248E+001
 2.8750000E+000, 2.2634238E+001, 1.2211307E+000, 4.1428840E+003, 2.0701548E-002, 1.0092640E+002, 6.0343183E+002, 1.7374308E+001
 2.8850000E+000, 2.2633091E+001, 1.2211271E+000, 4.1421102E+003, 2.0700683E-002, 1.0092873E+002, 6.0344279E+002, 1.7366423E+001
 2.8950000E+000, 2.2631731E+001, 1.2211218E+000, 4.1411100E+003, 2.0699839E-002, 1.0093239E+002, 6.0345081E+002, 1.7358586E+001
 2.9050000E+000, 2.2630526E+001, 1.2211186E+000, 4.1403538E+003, 2.0699019E-002, 1.0093527E+002, 6.0346038E+002, 1.7350839E+001
 2.9150000E+000, 2.2629288E+001, 1.2211155E+000, 4.1395985E+003, 2.0698222E-002, 1.0093845E+002, 6.0346914E+002, 1.7343162E+001
 2.9250000E+000, 2.2628019E+001, 1.2211127E+000, 4.1388478E+003, 2.0697449E-002, 1.0094193E+002, 6.0347755E+002, 1.7335552E+001
 2.9349999E+000, 2.2626720E+001, 1.2211099E+000, 4.1381020E+003, 2.0696700E-002, 1.0094570E+002, 6.0348747E+002, 1.7328008E+001
 2.9449999E+000, 2.2625392E+001, 1.2211074E+000, 4.1373665E+003, 2.0695977E-002, 1.0094976E+002, 6.0349544E+002, 1.7320483E+001
 2.9549999E+000, 2.2623700E+001, 1.2211015E+000, 4.1362017E+003, 2.0695278E-002, 1.0095602E+002, 6.0350688E+002, 1.7312850E+001
 2.9649999E+000, 2.2622364E+001, 1.2210996E+000, 4.1355290E+003, 2.0694606E-002, 1.0096038E+002, 6.0351561E+002, 1.7305347E+001
 2.9749999E+000, 2.2620904E+001, 1.2210969E+000, 4.1347285E+003, 2.0693964E-002, 1.0096558E+002, 6.0352574E+002, 1.7297916E+001
 2.9849999E+000, 2.2619416E+001, 1.2210942E+000, 4.1339259E+003, 2.0693348E-002, 1.0097108E+002, 6.0353517E+002, 1.7290610E+001
 2.9949999E+000, 2.2617989E+001, 1.2210925E+000, 4.1332356E+003, 2.0692755E-002, 1.0097634E+002, 6.0354403E+002, 1.7283372E+001
 3.0050001E+000, 2.2616364E+001, 1.2210890E+000, 4.1323217E+003, 2.0692188E-002, 1.0098286E+002, 6.0355425E+002, 1.7276196E+001
 3.0150001E+000, 2.2614897E+001, 1.2210876E+000, 4.1316386E+003, 2.0691647E-002, 1.0098860E+002, 6.0356370E+002, 1.7269117E+001
 3.0250001E+000, 2.2613408E+001, 1.2210862E+000, 4.1309548E+003, 2.0691128E-002, 1.0099458E+002, 6.0357178E+002, 1.7262107E+001
 3.0350001E+000, 2.2611898E+001, 1.2210849E+000, 4.1302740E+003, 2.0690630E-002, 1.0100078E+002, 6.0358232E+002, 1.7255164E+001
 3.0450001E+000, 2.2610370E+001, 1.2210837E+000, 4.1295968E+003, 2.0690154E-002, 1.0100720E+002, 6.0359102E+002, 1.7248285E+001
 3.0550001E+000, 2.2608718E+001, 1.2210826E+000, 4.1289245E+003, 2.0690309E-002, 1.0101740E+002, 6.0359715E+002, 1.7241419E+001
 3.0650001E+000, 2.2606061E+001, 1.2210799E+000, 4.1280559E+003, 2.0695271E-002, 1.0105682E+002, 6.0360722E+002, 1.7234580E+001
 3.0750000E+000, 2.2603408E+001, 1.2210791E+000, 4.1274026E+003, 2.0701094E-002, 1.0110043E+002, 6.0361573E+002, 1.7227851E+001
 3.0850000E+000, 2.2600769E+001, 1.2210783E+000, 4.1267507E+003, 2.0706798E-002, 1.0114339E+002, 6.0362594E+002, 1.7221188E+001
 3.0950000E+000, 2.2598144E+001, 1.2210776E+000, 4.1261021E+003, 2.0712384E-002, 1.0118571E+002, 6.0363400E+002, 1.7214585E+001
 3.1050000E+000, 2.2595531E+001, 1.2210769E+000, 4.1254573E+003, 2.0717852E-002, 1.0122739E+002, 6.0364241E+002, 1.7208041E+001
 3.1150000E+000, 2.2592931E+001, 1.2210764E+000, 4.1248166E+003, 2.0723200E-002, 1.0126843E+002, 6.0365103E+002, 1.7201555E+001
 3.1250000E+000, 2.2590583E+001, 1.2210754E+000, 4.1241140E+003, 2.0726756E-002, 1.0129927E+002, 6.0365954E+002, 1.7194754E+001
 3.1350000E+000, 2.2589106E+001, 1.2210744E+000, 4.1234088E+003, 2.0725251E-002, 1.0130038E+002, 6.0366998E+002, 1.7188403E+001
 3.1450000E+000, 2.2587676E+001, 1.2210741E+000, 4.1227802E+003, 2.0723774E-002, 1.0130136E+002, 6.0367713E+002, 1.7182082E+001
 3.1550000E+000, 2.2586233E+001, 1.2210739E+000, 4.1221575E+003, 2.0722320E-002, 1.0130253E+002, 6.0368443E+002, 1.7175809E+001
 3.1650000E+000, 2.2584780E+001, 1.2210737E+000, 4.1215392E+003, 2.0720889E-002, 1.0130386E+002, 6.0369339E+002, 1.7169590E+001
 3.1750000E+000, 2.2583318E+001, 1.2210737E+000, 4.1209256E+003, 2.0719479E-002, 1.0130535E+002, 6.0370076E+002, 1.7163424E+001
 3.1849999E+000, 2.2581849E+001, 1.2210737E+000, 4.1203165E+003, 2.0718090E-002, 1.0130699E+002, 6.0370906E+002, 1.7157306E+001
 3.1949999E+000, 2.2580374E+001, 1.2210738E+000, 4.1197117E+003, 2.0716722E-002, 1.0130876E+002, 6.0371778E+002, 1.7151242E+001
 3.2049999E+000, 2.2578894E+001, 1.2210739E+000, 4.1191115E+003, 2.0715375E-002, 1.0131065E+002, 6.0372375E+002, 1.7145228E+001
 3.2149999E+000, 2.2577411E+001, 1.2210741E+000, 4.1185159E+003, 2.0714047E-002, 1.0131267E+002, 6.0373088E+002, 1.7139263E+001
 3.2249999E+000, 2.2575927E+001, 1.2210744E+000, 4.1179249E+003, 2.0712740E-002, 1.0131479E+002, 6.0373971E+002, 1.7133348E+001
 3.2349999E+000, 2.2574440E+001, 1.2210746E+000, 4.1173383E+003, 2.0711453E-002, 1.0131702E+002, 6.0374854E+002, 1.7127483E+001
 3.2449999E+000, 2.2572954E+001, 1.2210750E+000, 4.1167562E+003, 2.0710187E-002, 1.0131935E+002, 6.0375561E+002, 1.7121666E+001
 3.2550001E+000, 2.2571468E+001, 1.2210753E+000, 4.1161786E+003, 2.0708940E-002, 1.0132177E+002, 6.0376227E+002, 1.7115896E+001
 3.2650001E+000, 2.2569924E+001, 1.2210751E+000, 4.1155317E+003, 2.0707715E-002, 1.0132463E+002, 6.0376875E+002, 1.7109840E+001
 3.2750001E+000, 2.2568393E+001, 1.2210750E+000, 4.1149022E+003, 2.0706509E-002, 1.0132751E+002, 6.0377794E+002, 1.7104113E+001
 3.2850001E+000, 2.2566924E+001, 1.2210755E+000, 4.1143506E+003, 2.0705323E-002, 1.0133014E+002, 6.0378446E+002, 1.7098455E+001
 3.2950001E+000, 2.2565455E+001, 1.2210761E+000, 4.1137992E+003, 2.0704156E-002, 1.0133286E+002, 6.0379315E+002, 1.7092855E+001
 3.3050001E+000, 2.2563987E+001, 1.2210766E+000, 4.1132496E+003, 2.0703009E-002, 1.0133566E+002, 6.0380035E+002, 1.7087308E+001
 3.3150001E+000, 2.2562522E+001, 1.2210771E+000, 4.1127028E+003, 2.0701880E-002, 1.0133854E+002, 6.0380810E+002, 1.7081811E+001
 3.3250000E+000, 2.2561060E+001, 1.2210777E+000, 4.1121593E+003, 2.0700771E-002, 1.0134150E+002, 6.0381490E+002, 1.7076360E+001
 3.3350000E+000, 2.2559603E+001, 1.2210782E+000, 4.1116197E+003, 2.0699681E-002, 1.0134452E+002, 6.0382253E+002, 1.7070953E+001
 3.3450000E+000, 2.2558152E+001, 1.2210788E+000, 4.1110840E+003, 2.0698610E-002, 1.0134760E+002, 6.0383023E+002, 1.7065591E+001
 3.3550000E+000, 2.2556705E+001, 1.2210794E+000, 4.1105525E+003, 2.0697557E-002, 1.0135074E+002, 6.0383521E+002, 1.7060272E+001
 3.3650000E+000, 2.2555265E+001, 1.2210800E+000, 4.1100251E+003, 2.0696522E-002, 1.0135394E+002, 6.0384219E+002, 1.7054997E+001
 3.3750000E+000, 2.2553832E+001, 1.2210806E+000, 4.1095021E+003, 2.0695505E-002, 1.0135719E+002, 6.0384902E+002, 1.7049763E+001
 3.3850000E+000, 2.2552405E+001, 1.2210812E+000, 4.1089832E+003, 2.0694506E-002, 1.0136048E+002, 6.0385647E+002, 1.7044571E+001
 3.3950000E+000, 2.2550986E+001, 1.2210818E+000, 4.1084686E+003, 2.0693524E-002, 1.0136381E+002, 6.0386367E+002, 1.7039421E+001
 3.4050000E+000, 2.2549574E+001, 1.2210824E+000, 4.1079584E+003, 2.0692558E-002, 1.0136719E+002, 6.0386886E+002, 1.7034309E+001
 3.4150000E+000, 2.2548170E+001, 1.2210830E+000, 4.1074524E+003, 2.0691610E-002, 1.0137060E+002, 6.0387451E+002, 1.7029237E+001
 3.4250000E+000, 2.2546774E+001, 1.2210837E+000, 4.1069504E+003, 2.0690677E-002, 1.0137404E+002, 6.0388015E+002, 1.7024207E+001
 3.4349999E+000, 2.2545386E+001, 1.2210843E+000, 4.1064525E+003, 2.0689761E-002, 1.0137752E+002, 6.0388576E+002, 1.7019217E+001
 3.4449999E+000, 2.2544007E+001, 1.2210849E+000, 4.1059589E+003, 2.0688860E-002, 1.0138102E+002, 6.0389060E+002, 1.7014268E+001
 3.4549999E+000, 2.2542351E+001, 1.2210826E+000, 4.1051138E+003, 2.0687970E-002, 1.0138617E+002, 6.0389640E+002, 1.7009213E+001
 3.4649999E+000, 2.2540717E+001, 1.2210805E+000, 4.1042894E+003, 2.0687092E-002, 1.0139125E+002, 6.0390302E+002, 1.7004297E+001
