g,Group_Number,Group_Title,Symbol,Color,Filled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,1,MCFRS Flashover,diamond,Red,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,2,MCFRS Ranch,circle,Black,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q,Quantity,Comparison_Quantities,Scatter_Plot_Title,Ind_Title,Dep_Title,Plot_Min,Plot_Max,%error,Title_Position,Key_Position,Plot_Width(cm),Plot_Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,0,MFRI_Tower_max_hrr,1,MFRI/MFRI_Training_Tower/Experimental_Data//MFRI_Training_Tower_max_hrr.csv,2,Time,HRR,3,HRR exp,0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_01_max_hrr.csv,2,FDS_HRR_Time,HRR,3,HRR FDS,0,1000,0,1000,0,max,Training Tower HRR,Time (s),HRR (kW),0,400,1,0,3000,1,no,nt,br,8,MFRI_Training_Tower_max_hrr
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,0,MFRI_Tower_HRR_1tmin,1,MFRI/MFRI_Training_Tower/Experimental_Data//MFRI_Training_Tower_test_01_thcp.csv,2,time,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",3,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_01_min_devc.csv,2,FDS Time,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",3,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_01_temp_min
s,0,MFRI_Tower_HRR_2tmin,1,MFRI/MFRI_Training_Tower/Experimental_Data//MFRI_Training_Tower_test_02_thcp.csv,2,time,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",3,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_02_min_devc.csv,2,FDS Time,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",3,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_02_temp_min
s,0,MFRI_Tower_HRR_3tmin,1,MFRI/MFRI_Training_Tower/Experimental_Data//MFRI_Training_Tower_test_03_thcp.csv,2,time,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",3,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_03_min_devc.csv,2,FDS Time,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",3,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_03_temp_min
s,0,MFRI_Tower_HRR_4tmin,1,MFRI/MFRI_Training_Tower/Experimental_Data//MFRI_Training_Tower_test_04_thcp.csv,2,time,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",3,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_04_min_devc.csv,2,FDS Time,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",3,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_04_temp_min
s,0,MFRI_Tower_HRR_5tmin,1,MFRI/MFRI_Training_Tower/Experimental_Data//MFRI_Training_Tower_test_05_thcp.csv,2,time,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",3,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_05_min_devc.csv,2,FDS Time,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",3,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_05_temp_min
s,0,MFRI_Tower_HRR_6tmin,1,MFRI/MFRI_Training_Tower/Experimental_Data//MFRI_Training_Tower_test_06_thcp.csv,2,time,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",3,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_06_min_devc.csv,2,FDS Time,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",3,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_06_temp_min
s,0,MFRI_Tower_HRR_7tmin,1,MFRI/MFRI_Training_Tower/Experimental_Data//MFRI_Training_Tower_test_07_thcp.csv,2,time,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",3,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_07_min_devc.csv,2,FDS Time,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",3,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_07_temp_min
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,0,MFRI_Tower_HRR_1tdoor_test03,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_01_thcp.csv,2,time,"['N1S3','N1S3','N1S3']",3,"['N1S3','N1S3','N1S3']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_door_time.csv,2,FDS Time,"['TC03S','TC03M','TC03L']",3,"['TC03S','TC03M','TC03L']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_01_temp_avg_door_T03
s,0,MFRI_Tower_HRR_1tdoor_test06,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_01_thcp.csv,2,time,"['N1S6','N1S6','N1S6']",3,"['N1S6','N1S6','N1S6']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_door_time.csv,2,FDS Time,"['TC06S','TC06M','TC06L']",3,"['TC06S','TC06M','TC06L']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_01_temp_avg_door_T06
s,0,MFRI_Tower_HRR_1tdoor_test10,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_01_thcp.csv,2,time,"['N1S10','N1S10','N1S10']",3,"['N1S10','N1S10','N1S10']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_door_time.csv,2,FDS Time,"['TC10S','TC10M','TC10L']",3,"['TC10S','TC10M','TC10L']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_01_temp_avg_door_T10

s,0,MFRI_Tower_HRR_1tavg,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_01_thcp.csv,2,time,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",3,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_01_avg_devc.csv,2,FDS Time,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",3,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_01_temp_avg
s,0,MFRI_Tower_HRR_2tavg,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_02_thcp.csv,2,time,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",3,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_02_avg_devc.csv,2,FDS Time,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",3,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_02_temp_avg
s,0,MFRI_Tower_HRR_3tavg,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_03_thcp.csv,2,time,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",3,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_03_avg_devc.csv,2,FDS Time,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",3,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_03_temp_avg
s,0,MFRI_Tower_HRR_4tavg,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_04_thcp.csv,2,time,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",3,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_04_avg_devc.csv,2,FDS Time,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",3,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_04_temp_avg
s,0,MFRI_Tower_HRR_5tavg,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_05_thcp.csv,2,time,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",3,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_05_avg_devc.csv,2,FDS Time,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",3,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_05_temp_avg
s,0,MFRI_Tower_HRR_6tavg,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_06_thcp.csv,2,time,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",3,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_06_avg_devc.csv,2,FDS Time,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",3,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_06_temp_avg
s,0,MFRI_Tower_HRR_7tavg,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_07_thcp.csv,2,time,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",3,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_07_avg_devc.csv,2,FDS Time,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",3,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_07_temp_avg
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,0,MFRI_Tower_HRR_1tmax,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_01_thcp.csv,2,time,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",3,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_01_max_devc.csv,2,FDS Time,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",3,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_01_temp_max
s,0,MFRI_Tower_HRR_2tmax,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_02_thcp.csv,2,time,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",3,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_02_max_devc.csv,2,FDS Time,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",3,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_02_temp_max
s,0,MFRI_Tower_HRR_3tmax,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_03_thcp.csv,2,time,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",3,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_03_max_devc.csv,2,FDS Time,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",3,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_03_temp_max
s,0,MFRI_Tower_HRR_4tmax,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_04_thcp.csv,2,time,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",3,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_04_max_devc.csv,2,FDS Time,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",3,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_04_temp_max
s,0,MFRI_Tower_HRR_5tmax,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_05_thcp.csv,2,time,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",3,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_05_max_devc.csv,2,FDS Time,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",3,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_05_temp_max
s,0,MFRI_Tower_HRR_6tmax,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_06_thcp.csv,2,time,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",3,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_06_max_devc.csv,2,FDS Time,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",3,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_06_temp_max
s,0,MFRI_Tower_HRR_7tmax,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_07_thcp.csv,2,time,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",3,"['N1S3','N1S4','N1S5','N1S6','N1S7','N1S8','N1S9','N1S10']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_07_max_devc.csv,2,FDS Time,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",3,"['TC03','TC04','TC05','TC06','TC07','TC08','TC09','TC10']",0,1000,0,1000,0,max,Training Tower Temperatures,Time (s),Temp (C),0,400,1,20,820,1,no,nt,nk,8,MFRI_Training_Tower_07_temp_max
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,0,MFRI_Tower_HRR_1tavg_layer_door_test_060,1,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_01_all_door_0060_f2a.csv,1,Z,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",3,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_01_all_door_0060_f2a.csv,1,Z,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",3,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",0,1000,0,1000,0,max,Training Tower Temperatures,elevation (m),Temperature ($^\circ$C),0,2.8,1,20,720,1,yes,nt,nk,8,MFRI_Training_Tower_01_temp_door_test_060
s,0,MFRI_Tower_HRR_1tavg_layer_door_test_120,1,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_01_all_door_0120_f2a.csv,1,Z,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",3,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_01_all_door_0120_f2a.csv,1,Z,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",3,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",0,1000,0,1000,0,max,Training Tower Temperatures,elevation (m),Temperature ($^\circ$C),0,2.8,1,20,720,1,yes,nt,nk,8,MFRI_Training_Tower_01_temp_door_test_120
s,0,MFRI_Tower_HRR_1tavg_layer_door_test_180,1,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_01_all_door_0180_f2a.csv,1,Z,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",3,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_01_all_door_0180_f2a.csv,1,Z,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",3,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",0,1000,0,1000,0,max,Training Tower Temperatures,elevation (m),Temperature ($^\circ$C),0,2.8,1,20,720,1,yes,nt,nk,8,MFRI_Training_Tower_01_temp_door_test_180
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,0,MFRI_Tower_HRR_1tavg_layer_060,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_01_thcp_tran.csv,2,elevation,"['DT_0060','DT_0060','DT_0060']",3,"['DT_0060','DT_0060','DT_0060']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_01_all_0060_f2a.csv,1,Z,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",3,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",0,1000,0,1000,0,max,Training Tower Temperatures,elevation (m),Temperature ($^\circ$C),0,2.8,1,20,720,1,yes,nt,nk,8,MFRI_Training_Tower_01_temp_all_layer_060
s,0,MFRI_Tower_HRR_2tavg_layer_060,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_02_thcp_tran.csv,2,elevation,"['DT_0120','DT_0120','DT_0120']",3,"['DT_0120','DT_0120','DT_0120']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_02_all_0060_f2a.csv,1,Z,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",3,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",0,1000,0,1000,0,max,Training Tower Temperatures,elevation (m),Temperature ($^\circ$C),0,2.8,1,20,720,1,yes,nt,nk,8,MFRI_Training_Tower_02_temp_all_layer_060
s,0,MFRI_Tower_HRR_3tavg_layer_060,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_03_thcp_tran.csv,2,elevation,"['DT_0120','DT_0120','DT_0120']",3,"['DT_0120','DT_0120','DT_0120']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_03_all_0060_f2a.csv,1,Z,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",3,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",0,1000,0,1000,0,max,Training Tower Temperatures,elevation (m),Temperature ($^\circ$C),0,2.8,1,20,720,1,yes,nt,nk,8,MFRI_Training_Tower_03_temp_all_layer_060
s,0,MFRI_Tower_HRR_4tavg_layer_060,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_04_thcp_tran.csv,2,elevation,"['DT_0120','DT_0120','DT_0120']",3,"['DT_0120','DT_0120','DT_0120']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_04_all_0060_f2a.csv,1,Z,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",3,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",0,1000,0,1000,0,max,Training Tower Temperatures,elevation (m),Temperature ($^\circ$C),0,2.8,1,20,720,1,yes,nt,nk,8,MFRI_Training_Tower_04_temp_all_layer_060
s,0,MFRI_Tower_HRR_5tavg_layer_060,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_05_thcp_tran.csv,2,elevation,"['DT_0120','DT_0120','DT_0120']",3,"['DT_0120','DT_0120','DT_0120']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_05_all_0060_f2a.csv,1,Z,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",3,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",0,1000,0,1000,0,max,Training Tower Temperatures,elevation (m),Temperature ($^\circ$C),0,2.8,1,20,720,1,yes,nt,nk,8,MFRI_Training_Tower_05_temp_all_layer_060
s,0,MFRI_Tower_HRR_6tavg_layer_060,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_06_thcp_tran.csv,2,elevation,"['DT_0120','DT_0120','DT_0120']",3,"['DT_0120','DT_0120','DT_0120']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_06_all_0060_f2a.csv,1,Z,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",3,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",0,1000,0,1000,0,max,Training Tower Temperatures,elevation (m),Temperature ($^\circ$C),0,2.8,1,20,720,1,yes,nt,nk,8,MFRI_Training_Tower_06_temp_all_layer_060
s,0,MFRI_Tower_HRR_7tavg_layer_060,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_07_thcp_tran.csv,2,elevation,"['DT_0120','DT_0120','DT_0120']",3,"['DT_0120','DT_0120','DT_0120']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_07_all_0060_f2a.csv,1,Z,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",3,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",0,1000,0,1000,0,max,Training Tower Temperatures,elevation (m),Temperature ($^\circ$C),0,2.8,1,20,720,1,yes,nt,nk,8,MFRI_Training_Tower_07_temp_all_layer_060
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,0,MFRI_Tower_HRR_1tavg_layer_120,1,MFRI/MFRI_Training_Tower/Experimental_Data/MFRI_Training_Tower_test_01_thcp_tran.csv,2,elevation,"['DT_0120','DT_0120','DT_0120']",3,"['DT_0120','DT_0120','DT_0120']",0,1000,0,1000,0,MFRI/MFRI_Training_Tower/FDS_Output_Files/MFRI_Training_Tower_01_all_0120_f2a.csv,1,Z,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",3,"['TEMP_MIN','TEMP_AVG','TEMP_MAX']",0,1000,0,1000,0,max,Training Tower Temperatures,elevation (m),Temperature ($^\circ$C),0,2.8,1,20,720,1,yes,nt,nk,8,MFRI_Training_Tower_01_temp_all_layer_120
