s,Pa,Pa,Pa,s,s,s
FDS Time,"pres_1","pres_2","pres_3","door 1","door 2","door 3"
 2.5719643E+001, 7.2285899E+000, 7.1141535E+000, 6.9564864E+000, 2.5719642E+001, 2.5719642E+001, 2.5719642E+001
 2.5923767E+001, 6.0515984E+000, 5.9470099E+000, 5.8359121E+000, 2.5923766E+001, 2.5923766E+001, 2.5923766E+001
 2.6127892E+001, 5.1035415E+000, 5.0159622E+000, 4.9383045E+000, 2.6127891E+001, 2.6127891E+001, 2.6127891E+001
 2.6332014E+001, 4.3390889E+000, 4.2747983E+000, 4.2175367E+000, 2.6332015E+001, 2.6332015E+001, 2.6332015E+001
 2.6536139E+001, 3.7220984E+000, 3.6859750E+000, 3.6375470E+000, 2.6536139E+001, 2.6536139E+001, 2.6536139E+001
 2.6740263E+001, 3.2236579E+000, 3.2185384E+000, 3.1696382E+000, 2.6740263E+001, 2.6740263E+001, 2.6740263E+001
 2.6944387E+001, 2.8206433E+000, 2.8470969E+000, 2.7911186E+000, 2.6944387E+001, 2.6944387E+001, 2.6944387E+001
 2.7148512E+001, 2.4945395E+000, 2.5509596E+000, 2.4840616E+000, 2.7148511E+001, 2.7148511E+001, 2.7148511E+001
 2.7352636E+001, 2.2305093E+000, 2.3134083E+000, 2.2342943E+000, 2.7352635E+001, 2.7352635E+001, 2.7352635E+001
 2.7556759E+001, 2.0166663E+000, 2.1211363E+000, 2.0306154E+000, 2.7556760E+001, 2.7556760E+001, 2.7556760E+001
 2.7760883E+001, 1.8435117E+000, 1.9637797E+000, 1.8642087E+000, 2.7760884E+001, 2.7760884E+001, 2.7760884E+001
 2.7965008E+001, 1.7034618E+000, 1.8334597E+000, 1.7281486E+000, 2.7965008E+001, 2.7965008E+001, 2.7965008E+001
 2.8169132E+001, 1.5904608E+000, 1.7243654E+000, 1.6169828E+000, 2.8169132E+001, 2.8169132E+001, 2.8169132E+001
 2.8373257E+001, 1.4996685E+000, 1.6323189E+000, 1.5263408E+000, 2.8373256E+001, 2.8373256E+001, 2.8373256E+001
 2.8577381E+001, 1.4272409E+000, 1.5544782E+000, 1.4532942E+000, 2.8577380E+001, 2.8577380E+001, 2.8577380E+001
 2.8781504E+001, 1.3700820E+000, 1.4889037E+000, 1.3949203E+000, 2.8781504E+001, 2.8781504E+001, 2.8781504E+001
 2.8985628E+001, 1.3256980E+000, 1.4342615E+000, 1.3488560E+000, 2.8985629E+001, 2.8985629E+001, 2.8985629E+001
 2.9189753E+001, 1.2921326E+000, 1.3898172E+000, 1.3145078E+000, 2.9189753E+001, 2.9189753E+001, 2.9189753E+001
 2.9393877E+001, 1.2677882E+000, 1.3549299E+000, 1.2885694E+000, 2.9393877E+001, 2.9393877E+001, 2.9393877E+001
 2.9598001E+001, 1.2513131E+000, 1.3288216E+000, 1.2702766E+000, 2.9598001E+001, 2.9598001E+001, 2.9598001E+001
 2.9802126E+001, 1.2416482E+000, 1.3108588E+000, 1.2576979E+000, 2.9802125E+001, 2.9802125E+001, 2.9802125E+001
 3.0006248E+001, 1.2378884E+000, 1.3002528E+000, 1.2503983E+000, 3.0006249E+001, 3.0006249E+001, 3.0006249E+001
 3.0210373E+001, 1.2393341E+000, 1.2963675E+000, 1.2476322E+000, 3.0210373E+001, 3.0210373E+001, 3.0210373E+001
