s,Pa,Pa,Pa,C,C,C,kg/m3,kg/m3,kg/m3
 8.2851677E+001, 4.9968993E+004, 4.9968985E+004, 4.9968990E+004, 5.5317476E+001, 5.4971709E+001, 5.4776994E+001, 1.5954652E+000, 1.5971465E+000, 1.5980948E+000
 8.3405075E+001, 4.9968937E+004, 4.9968930E+004, 4.9968935E+004, 5.5291020E+001, 5.4983457E+001, 5.4807561E+001, 1.5955931E+000, 1.5970887E+000, 1.5979453E+000
 8.4037529E+001, 4.9968885E+004, 4.9968878E+004, 4.9968883E+004, 5.5263866E+001, 5.4997440E+001, 5.4821598E+001, 1.5957245E+000, 1.5970201E+000, 1.5978763E+000
 8.4669983E+001, 4.9968833E+004, 4.9968827E+004, 4.9968832E+004, 5.5234179E+001, 5.5013657E+001, 5.4828031E+001, 1.5958682E+000, 1.5969406E+000, 1.5978445E+000
 8.5223381E+001, 4.9968788E+004, 4.9968783E+004, 4.9968787E+004, 5.5205338E+001, 5.5027309E+001, 5.4837833E+001, 1.5960079E+000, 1.5968737E+000, 1.5977962E+000
 8.5855835E+001, 4.9968747E+004, 4.9968742E+004, 4.9968747E+004, 5.5173795E+001, 5.5036899E+001, 5.4859442E+001, 1.5961608E+000, 1.5968266E+000, 1.5976905E+000
 8.6409241E+001, 4.9968709E+004, 4.9968705E+004, 4.9968709E+004, 5.5136517E+001, 5.5041398E+001, 5.4892576E+001, 1.5963417E+000, 1.5968043E+000, 1.5975288E+000
 8.7041695E+001, 4.9968673E+004, 4.9968670E+004, 4.9968674E+004, 5.5088827E+001, 5.5039764E+001, 5.4932513E+001, 1.5965732E+000, 1.5968119E+000, 1.5973339E+000
 8.7674149E+001, 4.9968639E+004, 4.9968636E+004, 4.9968640E+004, 5.5022760E+001, 5.5033221E+001, 5.4975557E+001, 1.5968943E+000, 1.5968434E+000, 1.5971240E+000
 8.8227547E+001, 4.9968609E+004, 4.9968607E+004, 4.9968610E+004, 5.4946211E+001, 5.5027077E+001, 5.5012220E+001, 1.5972666E+000, 1.5968730E+000, 1.5969453E+000
 8.8860001E+001, 4.9968582E+004, 4.9968580E+004, 4.9968584E+004, 5.4858982E+001, 5.5025053E+001, 5.5043706E+001, 1.5976911E+000, 1.5968826E+000, 1.5967918E+000
 8.9413399E+001, 4.9968557E+004, 4.9968556E+004, 4.9968560E+004, 5.4768442E+001, 5.5027381E+001, 5.5070998E+001, 1.5981319E+000, 1.5968710E+000, 1.5966588E+000
 9.0045853E+001, 4.9968535E+004, 4.9968534E+004, 4.9968538E+004, 5.4683267E+001, 5.5031557E+001, 5.5096197E+001, 1.5985469E+000, 1.5968504E+000, 1.5965360E+000
 9.0678314E+001, 4.9968515E+004, 4.9968514E+004, 4.9968518E+004, 5.4606356E+001, 5.5034361E+001, 5.5123971E+001, 1.5989218E+000, 1.5968366E+000, 1.5964007E+000
 9.1231712E+001, 4.9968498E+004, 4.9968498E+004, 4.9968502E+004, 5.4549353E+001, 5.5033188E+001, 5.5153548E+001, 1.5991998E+000, 1.5968421E+000, 1.5962567E+000
 9.1864166E+001, 4.9968485E+004, 4.9968485E+004, 4.9968488E+004, 5.4500675E+001, 5.5027071E+001, 5.5189215E+001, 1.5994372E+000, 1.5968717E+000, 1.5960831E+000
 9.2417564E+001, 4.9968475E+004, 4.9968475E+004, 4.9968478E+004, 5.4447749E+001, 5.5015953E+001, 5.5232798E+001, 1.5996955E+000, 1.5969257E+000, 1.5958712E+000
 9.3050018E+001, 4.9968467E+004, 4.9968467E+004, 4.9968470E+004, 5.4382130E+001, 5.5000079E+001, 5.5285725E+001, 1.6000159E+000, 1.5970029E+000, 1.5956139E+000
 9.3603416E+001, 4.9968463E+004, 4.9968462E+004, 4.9968465E+004, 5.4311905E+001, 5.4980858E+001, 5.5346319E+001, 1.6003590E+000, 1.5970964E+000, 1.5953196E+000
 9.4235878E+001, 4.9968461E+004, 4.9968461E+004, 4.9968464E+004, 5.4262072E+001, 5.4960192E+001, 5.5410264E+001, 1.6006026E+000, 1.5971970E+000, 1.5950091E+000
 9.4868332E+001, 4.9968463E+004, 4.9968463E+004, 4.9968466E+004, 5.4259976E+001, 5.4939699E+001, 5.5473775E+001, 1.6006128E+000, 1.5972967E+000, 1.5947008E+000
 9.5421730E+001, 4.9968468E+004, 4.9968467E+004, 4.9968471E+004, 5.4313464E+001, 5.4925209E+001, 5.5521023E+001, 1.6003514E+000, 1.5973673E+000, 1.5944716E+000
 9.6054184E+001, 4.9968476E+004, 4.9968475E+004, 4.9968478E+004, 5.4403427E+001, 5.4918543E+001, 5.5551267E+001, 1.5999120E+000, 1.5973999E+000, 1.5943250E+000
 9.6607582E+001, 4.9968486E+004, 4.9968485E+004, 4.9968489E+004, 5.4496939E+001, 5.4921224E+001, 5.5566073E+001, 1.5994555E+000, 1.5973869E+000, 1.5942533E+000
 9.7240036E+001, 4.9968499E+004, 4.9968498E+004, 4.9968502E+004, 5.4565814E+001, 5.4934089E+001, 5.5569193E+001, 1.5991195E+000, 1.5973244E+000, 1.5942383E+000
 9.7872490E+001, 4.9968516E+004, 4.9968515E+004, 4.9968518E+004, 5.4600380E+001, 5.4957360E+001, 5.5564464E+001, 1.5989510E+000, 1.5972113E+000, 1.5942614E+000
 9.8425896E+001, 4.9968535E+004, 4.9968534E+004, 4.9968537E+004, 5.4603399E+001, 5.4985615E+001, 5.5554133E+001, 1.5989364E+000, 1.5970740E+000, 1.5943117E+000
 9.9058350E+001, 4.9968558E+004, 4.9968557E+004, 4.9968560E+004, 5.4596449E+001, 5.5016973E+001, 5.5538240E+001, 1.5989706E+000, 1.5969216E+000, 1.5943891E+000
 9.9611748E+001, 4.9968585E+004, 4.9968585E+004, 4.9968588E+004, 5.4597687E+001, 5.5048242E+001, 5.5518165E+001, 1.5989648E+000, 1.5967698E+000, 1.5944867E+000
 1.0024420E+002, 4.9968617E+004, 4.9968616E+004, 4.9968619E+004, 5.4614636E+001, 5.5076921E+001, 5.5496079E+001, 1.5988825E+000, 1.5966306E+000, 1.5945942E+000
 1.0087666E+002, 4.9968656E+004, 4.9968655E+004, 4.9968658E+004, 5.4641847E+001, 5.5103163E+001, 5.5473546E+001, 1.5987502E+000, 1.5965033E+000, 1.5947040E+000
 1.0143005E+002, 4.9968696E+004, 4.9968695E+004, 4.9968698E+004, 5.4661997E+001, 5.5123311E+001, 5.5455987E+001, 1.5986523E+000, 1.5964058E+000, 1.5947896E+000
 1.0206252E+002, 4.9968739E+004, 4.9968739E+004, 4.9968741E+004, 5.4666446E+001, 5.5139440E+001, 5.5443658E+001, 1.5986311E+000, 1.5963278E+000, 1.5948499E+000
 1.0261591E+002, 4.9968784E+004, 4.9968784E+004, 4.9968786E+004, 5.4655670E+001, 5.5152515E+001, 5.5436796E+001, 1.5986841E+000, 1.5962647E+000, 1.5948837E+000
 1.0324837E+002, 4.9968829E+004, 4.9968830E+004, 4.9968832E+004, 5.4637010E+001, 5.5163251E+001, 5.5435176E+001, 1.5987756E+000, 1.5962130E+000, 1.5948920E+000
 1.0380177E+002, 4.9968876E+004, 4.9968876E+004, 4.9968878E+004, 5.4621016E+001, 5.5172358E+001, 5.5437475E+001, 1.5988541E+000, 1.5961692E+000, 1.5948813E+000
 1.0443422E+002, 4.9968923E+004, 4.9968923E+004, 4.9968925E+004, 5.4615741E+001, 5.5180052E+001, 5.5442426E+001, 1.5988803E+000, 1.5961323E+000, 1.5948578E+000
 1.0506667E+002, 4.9968974E+004, 4.9968975E+004, 4.9968977E+004, 5.4623853E+001, 5.5186689E+001, 5.5448926E+001, 1.5988413E+000, 1.5961006E+000, 1.5948268E+000
 1.0562007E+002, 4.9969023E+004, 4.9969024E+004, 4.9969026E+004, 5.4640850E+001, 5.5191122E+001, 5.5454820E+001, 1.5987589E+000, 1.5960795E+000, 1.5947987E+000
 1.0625253E+002, 4.9969073E+004, 4.9969075E+004, 4.9969076E+004, 5.4660752E+001, 5.5193388E+001, 5.5459291E+001, 1.5986624E+000, 1.5960690E+000, 1.5947775E+000
 1.0680593E+002, 4.9969124E+004, 4.9969126E+004, 4.9969127E+004, 5.4677652E+001, 5.5193459E+001, 5.5461483E+001, 1.5985805E+000, 1.5960692E+000, 1.5947674E+000
 1.0743839E+002, 4.9969175E+004, 4.9969176E+004, 4.9969178E+004, 5.4687604E+001, 5.5191567E+001, 5.5460714E+001, 1.5985325E+000, 1.5960790E+000, 1.5947717E+000
 1.0807084E+002, 4.9969227E+004, 4.9969229E+004, 4.9969231E+004, 5.4690537E+001, 5.5188206E+001, 5.5456687E+001, 1.5985188E+000, 1.5960959E+000, 1.5947918E+000
 1.0862424E+002, 4.9969275E+004, 4.9969277E+004, 4.9969279E+004, 5.4689723E+001, 5.5184305E+001, 5.5450469E+001, 1.5985232E+000, 1.5961153E+000, 1.5948225E+000
 1.0925669E+002, 4.9969321E+004, 4.9969323E+004, 4.9969324E+004, 5.4691305E+001, 5.5179274E+001, 5.5442951E+001, 1.5985160E+000, 1.5961403E+000, 1.5948595E+000
 1.0981009E+002, 4.9969364E+004, 4.9969366E+004, 4.9969367E+004, 5.4700041E+001, 5.5171627E+001, 5.5435406E+001, 1.5984739E+000, 1.5961779E+000, 1.5948965E+000
 1.1044255E+002, 4.9969404E+004, 4.9969406E+004, 4.9969407E+004, 5.4718575E+001, 5.5158780E+001, 5.5428755E+001, 1.5983839E+000, 1.5962408E+000, 1.5949292E+000
 1.1107500E+002, 4.9969444E+004, 4.9969446E+004, 4.9969447E+004, 5.4747925E+001, 5.5137165E+001, 5.5422998E+001, 1.5982413E+000, 1.5963463E+000, 1.5949576E+000
 1.1162840E+002, 4.9969478E+004, 4.9969480E+004, 4.9969481E+004, 5.4781453E+001, 5.5109134E+001, 5.5418761E+001, 1.5980782E+000, 1.5964830E+000, 1.5949785E+000
 1.1226086E+002, 4.9969510E+004, 4.9969512E+004, 4.9969513E+004, 5.4817122E+001, 5.5075743E+001, 5.5415397E+001, 1.5979048E+000, 1.5966457E+000, 1.5949952E+000
 1.1281425E+002, 4.9969539E+004, 4.9969541E+004, 4.9969542E+004, 5.4851626E+001, 5.5041419E+001, 5.5412604E+001, 1.5977370E+000, 1.5968130E+000, 1.5950091E+000
 1.1344671E+002, 4.9969566E+004, 4.9969568E+004, 4.9969569E+004, 5.4882728E+001, 5.5010519E+001, 5.5410210E+001, 1.5975858E+000, 1.5969637E+000, 1.5950210E+000
 1.1400011E+002, 4.9969591E+004, 4.9969592E+004, 4.9969594E+004, 5.4909971E+001, 5.4985279E+001, 5.5408092E+001, 1.5974534E+000, 1.5970868E+000, 1.5950315E+000
 1.1463257E+002, 4.9969613E+004, 4.9969615E+004, 4.9969616E+004, 5.4934057E+001, 5.4965991E+001, 5.5406215E+001, 1.5973363E+000, 1.5971809E+000, 1.5950409E+000
 1.1526502E+002, 4.9969635E+004, 4.9969636E+004, 4.9969638E+004, 5.4958276E+001, 5.4950129E+001, 5.5404486E+001, 1.5972187E+000, 1.5972583E+000, 1.5950495E+000
 1.1581842E+002, 4.9969653E+004, 4.9969654E+004, 4.9969656E+004, 5.4981286E+001, 5.4937896E+001, 5.5403190E+001, 1.5971069E+000, 1.5973181E+000, 1.5950560E+000
 1.1645087E+002, 4.9969670E+004, 4.9969670E+004, 4.9969672E+004, 5.5005677E+001, 5.4926904E+001, 5.5402334E+001, 1.5969883E+000, 1.5973718E+000, 1.5950603E+000
 1.1700427E+002, 4.9969685E+004, 4.9969685E+004, 4.9969687E+004, 5.5031569E+001, 5.4916452E+001, 5.5402031E+001, 1.5968625E+000, 1.5974228E+000, 1.5950619E+000
 1.1763673E+002, 4.9969698E+004, 4.9969698E+004, 4.9969700E+004, 5.5058291E+001, 5.4906633E+001, 5.5402452E+001, 1.5967326E+000, 1.5974708E+000, 1.5950600E+000
 1.1826919E+002, 4.9969711E+004, 4.9969711E+004, 4.9969713E+004, 5.5085739E+001, 5.4897637E+001, 5.5403811E+001, 1.5965992E+000, 1.5975147E+000, 1.5950536E+000
 1.1882259E+002, 4.9969721E+004, 4.9969721E+004, 4.9969723E+004, 5.5107705E+001, 5.4891734E+001, 5.5406012E+001, 1.5964925E+000, 1.5975436E+000, 1.5950430E+000
 1.1945504E+002, 4.9969730E+004, 4.9969730E+004, 4.9969732E+004, 5.5122547E+001, 5.4889696E+001, 5.5409138E+001, 1.5964204E+000, 1.5975536E+000, 1.5950279E+000
 1.2000844E+002, 4.9969737E+004, 4.9969737E+004, 4.9969739E+004, 5.5128208E+001, 5.4892534E+001, 5.5413071E+001, 1.5963929E+000, 1.5975398E+000, 1.5950089E+000
 1.2064089E+002, 4.9969744E+004, 4.9969743E+004, 4.9969746E+004, 5.5123972E+001, 5.4901440E+001, 5.5417678E+001, 1.5964136E+000, 1.5974965E+000, 1.5949866E+000
 1.2127335E+002, 4.9969750E+004, 4.9969749E+004, 4.9969752E+004, 5.5111293E+001, 5.4917843E+001, 5.5423018E+001, 1.5964753E+000, 1.5974167E+000, 1.5949607E+000
 1.2182674E+002, 4.9969754E+004, 4.9969754E+004, 4.9969756E+004, 5.5094887E+001, 5.4939251E+001, 5.5428123E+001, 1.5965552E+000, 1.5973125E+000, 1.5949360E+000
 1.2245921E+002, 4.9969758E+004, 4.9969758E+004, 4.9969760E+004, 5.5075536E+001, 5.4965380E+001, 5.5433033E+001, 1.5966494E+000, 1.5971854E+000, 1.5949122E+000
 1.2301260E+002, 4.9969762E+004, 4.9969761E+004, 4.9969763E+004, 5.5051938E+001, 5.4994332E+001, 5.5437539E+001, 1.5967642E+000, 1.5970445E+000, 1.5948904E+000
 1.2364506E+002, 4.9969764E+004, 4.9969764E+004, 4.9969766E+004, 5.5020755E+001, 5.5024388E+001, 5.5441463E+001, 1.5969159E+000, 1.5968983E+000, 1.5948714E+000
 1.2427751E+002, 4.9969767E+004, 4.9969766E+004, 4.9969768E+004, 5.4977728E+001, 5.5055782E+001, 5.5444916E+001, 1.5971254E+000, 1.5967455E+000, 1.5948546E+000
 1.2483091E+002, 4.9969768E+004, 4.9969768E+004, 4.9969770E+004, 5.4930404E+001, 5.5083251E+001, 5.5447403E+001, 1.5973558E+000, 1.5966119E+000, 1.5948426E+000
 1.2546336E+002, 4.9969769E+004, 4.9969769E+004, 4.9969771E+004, 5.4881401E+001, 5.5107883E+001, 5.5449099E+001, 1.5975944E+000, 1.5964921E+000, 1.5948343E+000
 1.2601676E+002, 4.9969770E+004, 4.9969770E+004, 4.9969772E+004, 5.4836110E+001, 5.5129324E+001, 5.5450035E+001, 1.5978150E+000, 1.5963879E+000, 1.5948298E+000
 1.2664922E+002, 4.9969770E+004, 4.9969770E+004, 4.9969772E+004, 5.4798217E+001, 5.5147044E+001, 5.5450219E+001, 1.5979996E+000, 1.5963017E+000, 1.5948289E+000
 1.2720262E+002, 4.9969770E+004, 4.9969770E+004, 4.9969772E+004, 5.4768884E+001, 5.5160913E+001, 5.5449770E+001, 1.5981426E+000, 1.5962343E+000, 1.5948311E+000
 1.2783508E+002, 4.9969770E+004, 4.9969770E+004, 4.9969771E+004, 5.4749183E+001, 5.5170635E+001, 5.5448772E+001, 1.5982386E+000, 1.5961870E+000, 1.5948359E+000
 1.2846753E+002, 4.9969770E+004, 4.9969770E+004, 4.9969771E+004, 5.4737996E+001, 5.5176660E+001, 5.5447211E+001, 1.5982931E+000, 1.5961577E+000, 1.5948435E+000
 1.2902094E+002, 4.9969769E+004, 4.9969769E+004, 4.9969770E+004, 5.4734118E+001, 5.5178596E+001, 5.5445289E+001, 1.5983120E+000, 1.5961483E+000, 1.5948528E+000
 1.2965338E+002, 4.9969768E+004, 4.9969769E+004, 4.9969769E+004, 5.4731655E+001, 5.5177664E+001, 5.5442810E+001, 1.5983240E+000, 1.5961528E+000, 1.5948649E+000
 1.3020679E+002, 4.9969767E+004, 4.9969768E+004, 4.9969768E+004, 5.4725684E+001, 5.5175285E+001, 5.5439645E+001, 1.5983531E+000, 1.5961644E+000, 1.5948802E+000
 1.3083923E+002, 4.9969766E+004, 4.9969767E+004, 4.9969767E+004, 5.4716280E+001, 5.5173131E+001, 5.5435620E+001, 1.5983989E+000, 1.5961748E+000, 1.5948997E+000
 1.3147169E+002, 4.9969764E+004, 4.9969765E+004, 4.9969765E+004, 5.4711983E+001, 5.5172982E+001, 5.5430423E+001, 1.5984199E+000, 1.5961755E+000, 1.5949249E+000
 1.3202509E+002, 4.9969762E+004, 4.9969763E+004, 4.9969763E+004, 5.4725758E+001, 5.5176158E+001, 5.5424993E+001, 1.5983527E+000, 1.5961601E+000, 1.5949513E+000
 1.3265755E+002, 4.9969759E+004, 4.9969761E+004, 4.9969760E+004, 5.4763874E+001, 5.5183229E+001, 5.5419598E+001, 1.5981669E+000, 1.5961257E+000, 1.5949774E+000
 1.3321095E+002, 4.9969756E+004, 4.9969757E+004, 4.9969757E+004, 5.4819183E+001, 5.5193778E+001, 5.5414923E+001, 1.5978973E+000, 1.5960743E+000, 1.5950001E+000
 1.3384340E+002, 4.9969752E+004, 4.9969754E+004, 4.9969753E+004, 5.4875220E+001, 5.5207037E+001, 5.5411555E+001, 1.5976243E+000, 1.5960099E+000, 1.5950164E+000
 1.3447586E+002, 4.9969747E+004, 4.9969749E+004, 4.9969748E+004, 5.4912078E+001, 5.5222666E+001, 5.5409371E+001, 1.5974448E+000, 1.5959338E+000, 1.5950270E+000
 1.3502925E+002, 4.9969742E+004, 4.9969744E+004, 4.9969743E+004, 5.4907442E+001, 5.5237442E+001, 5.5407782E+001, 1.5974673E+000, 1.5958620E+000, 1.5950346E+000
 1.3566171E+002, 4.9969736E+004, 4.9969739E+004, 4.9969737E+004, 5.4860554E+001, 5.5251349E+001, 5.5404587E+001, 1.5976956E+000, 1.5957943E+000, 1.5950501E+000
 1.3621510E+002, 4.9969730E+004, 4.9969733E+004, 4.9969731E+004, 5.4791308E+001, 5.5263952E+001, 5.5396798E+001, 1.5980329E+000, 1.5957330E+000, 1.5950878E+000
 1.3684756E+002, 4.9969724E+004, 4.9969726E+004, 4.9969724E+004, 5.4732327E+001, 5.5275146E+001, 5.5380114E+001, 1.5983203E+000, 1.5956786E+000, 1.5951688E+000
 1.3740097E+002, 4.9969716E+004, 4.9969719E+004, 4.9969717E+004, 5.4710210E+001, 5.5285174E+001, 5.5350789E+001, 1.5984280E+000, 1.5956298E+000, 1.5953111E+000
 1.3803342E+002, 4.9969709E+004, 4.9969711E+004, 4.9969709E+004, 5.4736569E+001, 5.5294130E+001, 5.5304598E+001, 1.5982994E+000, 1.5955862E+000, 1.5955354E+000
 1.3866588E+002, 4.9969700E+004, 4.9969703E+004, 4.9969701E+004, 5.4805723E+001, 5.5302388E+001, 5.5235027E+001, 1.5979623E+000, 1.5955460E+000, 1.5958733E+000
 1.3921927E+002, 4.9969692E+004, 4.9969694E+004, 4.9969692E+004, 5.4887859E+001, 5.5308366E+001, 5.5150902E+001, 1.5975621E+000, 1.5955169E+000, 1.5962821E+000
 1.3985173E+002, 4.9969684E+004, 4.9969686E+004, 4.9969684E+004, 5.4964916E+001, 5.5311626E+001, 5.5050674E+001, 1.5971869E+000, 1.5955009E+000, 1.5967695E+000
 1.4040512E+002, 4.9969675E+004, 4.9969677E+004, 4.9969675E+004, 5.5022448E+001, 5.5311377E+001, 5.4940140E+001, 1.5969068E+000, 1.5955021E+000, 1.5973074E+000
 1.4103758E+002, 4.9969666E+004, 4.9969668E+004, 4.9969666E+004, 5.5052026E+001, 5.5307070E+001, 5.4826416E+001, 1.5967628E+000, 1.5955229E+000, 1.5978612E+000
 1.4167004E+002, 4.9969656E+004, 4.9969658E+004, 4.9969656E+004, 5.5053208E+001, 5.5298596E+001, 5.4711636E+001, 1.5967569E+000, 1.5955639E+000, 1.5984204E+000
 1.4222343E+002, 4.9969647E+004, 4.9969648E+004, 4.9969647E+004, 5.5029472E+001, 5.5288266E+001, 5.4619504E+001, 1.5968723E+000, 1.5956140E+000, 1.5988696E+000
 1.4285590E+002, 4.9969638E+004, 4.9969639E+004, 4.9969637E+004, 5.4986529E+001, 5.5277416E+001, 5.4551261E+001, 1.5970812E+000, 1.5956666E+000, 1.5992025E+000
 1.4340929E+002, 4.9969628E+004, 4.9969629E+004, 4.9969628E+004, 5.4930869E+001, 5.5267797E+001, 5.4510260E+001, 1.5973520E+000, 1.5957133E+000, 1.5994025E+000
 1.4404175E+002, 4.9969618E+004, 4.9969620E+004, 4.9969619E+004, 5.4870846E+001, 5.5260705E+001, 5.4496259E+001, 1.5976442E+000, 1.5957476E+000, 1.5994707E+000
 1.4467421E+002, 4.9969608E+004, 4.9969609E+004, 4.9969609E+004, 5.4816091E+001, 5.5256250E+001, 5.4501672E+001, 1.5979108E+000, 1.5957692E+000, 1.5994442E+000
 1.4522760E+002, 4.9969599E+004, 4.9969600E+004, 4.9969599E+004, 5.4782498E+001, 5.5254563E+001, 5.4515539E+001, 1.5980744E+000, 1.5957773E+000, 1.5993764E+000
 1.4586006E+002, 4.9969590E+004, 4.9969591E+004, 4.9969590E+004, 5.4764067E+001, 5.5254426E+001, 5.4529618E+001, 1.5981641E+000, 1.5957778E+000, 1.5993076E+000
 1.4641345E+002, 4.9969581E+004, 4.9969582E+004, 4.9969581E+004, 5.4748773E+001, 5.5254801E+001, 5.4539580E+001, 1.5982386E+000, 1.5957759E+000, 1.5992589E+000
 1.4704591E+002, 4.9969572E+004, 4.9969573E+004, 4.9969572E+004, 5.4727530E+001, 5.5254850E+001, 5.4543663E+001, 1.5983420E+000, 1.5957756E+000, 1.5992389E+000
 1.4767836E+002, 4.9969562E+004, 4.9969563E+004, 4.9969562E+004, 5.4702122E+001, 5.5253883E+001, 5.4541942E+001, 1.5984658E+000, 1.5957802E+000, 1.5992472E+000
 1.4823177E+002, 4.9969553E+004, 4.9969553E+004, 4.9969553E+004, 5.4689078E+001, 5.5251647E+001, 5.4535906E+001, 1.5985293E+000, 1.5957909E+000, 1.5992765E+000
 1.4886423E+002, 4.9969543E+004, 4.9969543E+004, 4.9969543E+004, 5.4698542E+001, 5.5247865E+001, 5.4527358E+001, 1.5984831E+000, 1.5958092E+000, 1.5993181E+000
 1.4941762E+002, 4.9969532E+004, 4.9969532E+004, 4.9969532E+004, 5.4727399E+001, 5.5242497E+001, 5.4518221E+001, 1.5983423E+000, 1.5958352E+000, 1.5993626E+000
 1.5005008E+002, 4.9969521E+004, 4.9969521E+004, 4.9969521E+004, 5.4760402E+001, 5.5235420E+001, 5.4509987E+001, 1.5981813E+000, 1.5958695E+000, 1.5994027E+000
 1.5060347E+002, 4.9969509E+004, 4.9969509E+004, 4.9969509E+004, 5.4782955E+001, 5.5226701E+001, 5.4503532E+001, 1.5980712E+000, 1.5959117E+000, 1.5994341E+000
 1.5123593E+002, 4.9969497E+004, 4.9969497E+004, 4.9969497E+004, 5.4794631E+001, 5.5216325E+001, 5.4499241E+001, 1.5980142E+000, 1.5959620E+000, 1.5994549E+000
 1.5186838E+002, 4.9969483E+004, 4.9969484E+004, 4.9969484E+004, 5.4806739E+001, 5.5203653E+001, 5.4496677E+001, 1.5979551E+000, 1.5960235E+000, 1.5994673E+000
 1.5242178E+002, 4.9969470E+004, 4.9969471E+004, 4.9969470E+004, 5.4822873E+001, 5.5190529E+001, 5.4495693E+001, 1.5978763E+000, 1.5960871E+000, 1.5994719E+000
 1.5305424E+002, 4.9969457E+004, 4.9969457E+004, 4.9969457E+004, 5.4837163E+001, 5.5176554E+001, 5.4496166E+001, 1.5978066E+000, 1.5961549E+000, 1.5994695E+000
 1.5360764E+002, 4.9969443E+004, 4.9969443E+004, 4.9969443E+004, 5.4840466E+001, 5.5162237E+001, 5.4499182E+001, 1.5977903E+000, 1.5962244E+000, 1.5994546E+000
 1.5424010E+002, 4.9969429E+004, 4.9969429E+004, 4.9969429E+004, 5.4833246E+001, 5.5148140E+001, 5.4507282E+001, 1.5978254E+000, 1.5962928E+000, 1.5994149E+000
 1.5487254E+002, 4.9969414E+004, 4.9969414E+004, 4.9969414E+004, 5.4829370E+001, 5.5133970E+001, 5.4524419E+001, 1.5978441E+000, 1.5963615E+000, 1.5993311E+000
 1.5542595E+002, 4.9969400E+004, 4.9969400E+004, 4.9969400E+004, 5.4840455E+001, 5.5121897E+001, 5.4550195E+001, 1.5977899E+000, 1.5964201E+000, 1.5992052E+000
 1.5605840E+002, 4.9969386E+004, 4.9969386E+004, 4.9969386E+004, 5.4859855E+001, 5.5111033E+001, 5.4585133E+001, 1.5976953E+000, 1.5964728E+000, 1.5990345E+000
 1.5661180E+002, 4.9969372E+004, 4.9969372E+004, 4.9969372E+004, 5.4870941E+001, 5.5100807E+001, 5.4625807E+001, 1.5976411E+000, 1.5965223E+000, 1.5988360E+000
 1.5724426E+002, 4.9969358E+004, 4.9969358E+004, 4.9969358E+004, 5.4867960E+001, 5.5090200E+001, 5.4667479E+001, 1.5976555E+000, 1.5965738E+000, 1.5986326E+000
 1.5787671E+002, 4.9969343E+004, 4.9969343E+004, 4.9969342E+004, 5.4865470E+001, 5.5076941E+001, 5.4707375E+001, 1.5976675E+000, 1.5966381E+000, 1.5984379E+000
 1.5843011E+002, 4.9969329E+004, 4.9969329E+004, 4.9969328E+004, 5.4879953E+001, 5.5061167E+001, 5.4737095E+001, 1.5975968E+000, 1.5967147E+000, 1.5982928E+000
 1.5906256E+002, 4.9969315E+004, 4.9969315E+004, 4.9969314E+004, 5.4910415E+001, 5.5040642E+001, 5.4758382E+001, 1.5974483E+000, 1.5968144E+000, 1.5981889E+000
 1.5961597E+002, 4.9969300E+004, 4.9969301E+004, 4.9969300E+004, 5.4943167E+001, 5.5014843E+001, 5.4773425E+001, 1.5972887E+000, 1.5969398E+000, 1.5981155E+000
 1.6024841E+002, 4.9969286E+004, 4.9969286E+004, 4.9969285E+004, 5.4969095E+001, 5.4983972E+001, 5.4785558E+001, 1.5971623E+000, 1.5970899E+000, 1.5980562E+000
 1.6080182E+002, 4.9969271E+004, 4.9969272E+004, 4.9969270E+004, 5.4988307E+001, 5.4950298E+001, 5.4798769E+001, 1.5970686E+000, 1.5972536E+000, 1.5979917E+000
 1.6143428E+002, 4.9969257E+004, 4.9969257E+004, 4.9969256E+004, 5.5002275E+001, 5.4917672E+001, 5.4816293E+001, 1.5970005E+000, 1.5974123E+000, 1.5979061E+000
 1.6206673E+002, 4.9969242E+004, 4.9969242E+004, 4.9969240E+004, 5.5010857E+001, 5.4889184E+001, 5.4841151E+001, 1.5969586E+000, 1.5975509E+000, 1.5977849E+000
 1.6262013E+002, 4.9969227E+004, 4.9969228E+004, 4.9969226E+004, 5.5012287E+001, 5.4871797E+001, 5.4869525E+001, 1.5969515E+000, 1.5976354E+000, 1.5976465E+000
 1.6325258E+002, 4.9969213E+004, 4.9969214E+004, 4.9969212E+004, 5.5009494E+001, 5.4864122E+001, 5.4900321E+001, 1.5969649E+000, 1.5976727E+000, 1.5974964E+000
 1.6380598E+002, 4.9969200E+004, 4.9969200E+004, 4.9969198E+004, 5.5006713E+001, 5.4863077E+001, 5.4930115E+001, 1.5969783E+000, 1.5976776E+000, 1.5973511E+000
 1.6443843E+002, 4.9969186E+004, 4.9969187E+004, 4.9969185E+004, 5.5006512E+001, 5.4864432E+001, 5.4955691E+001, 1.5969791E+000, 1.5976709E+000, 1.5972265E+000
 1.6507089E+002, 4.9969172E+004, 4.9969173E+004, 4.9969171E+004, 5.5008389E+001, 5.4863467E+001, 5.4976423E+001, 1.5969698E+000, 1.5976754E+000, 1.5971254E+000
 1.6562430E+002, 4.9969159E+004, 4.9969160E+004, 4.9969158E+004, 5.5009979E+001, 5.4857141E+001, 5.4989589E+001, 1.5969620E+000, 1.5977061E+000, 1.5970612E+000
