s,Pa
FDS Time,"Pressure"
 1.3321339E+002, 1.6515170E+003
 1.3350847E+002, 1.4533947E+003
 1.3381189E+002, 1.2162216E+003
 1.3410222E+002, 9.5571606E+002
 1.3440053E+002, 6.6264523E+002
 1.3471718E+002, 3.7847693E+002
 1.3502008E+002, 7.4429794E+001
 1.3530908E+002,-2.1960135E+002
 1.3560870E+002,-5.1454745E+002
 1.3590434E+002,-7.9160264E+002
 1.3621016E+002,-1.0860245E+003
 1.3652170E+002,-1.4026986E+003
 1.3683479E+002,-1.7542922E+003
 1.3712584E+002,-2.0769139E+003
 1.3741689E+002,-2.3825533E+003
 1.3770792E+002,-2.6840191E+003
 1.3800381E+002,-2.9777306E+003
 1.3832396E+002,-3.2801766E+003
 1.3860300E+002,-3.5636720E+003
 1.3891187E+002,-3.8221113E+003
 1.3922073E+002,-4.0914152E+003
 1.3950287E+002,-4.3430946E+003
 1.3984424E+002,-4.5979488E+003
 1.4014871E+002,-4.8631596E+003
 1.4040244E+002,-5.0806822E+003
 1.4070691E+002,-5.2867524E+003
 1.4101137E+002,-5.4908189E+003
 1.4130841E+002,-5.6663781E+003
 1.4163289E+002,-5.8130701E+003
 1.4191322E+002,-5.9235189E+003
 1.4220190E+002,-5.9899943E+003
 1.4251532E+002,-6.0571383E+003
 1.4283035E+002,-6.0891665E+003
 1.4310786E+002,-6.0411317E+003
 1.4342032E+002,-5.9533523E+003
 1.4370322E+002,-5.8055533E+003
 1.4400345E+002,-5.6161627E+003
 1.4431114E+002,-5.4302497E+003
 1.4461012E+002,-5.3173800E+003
 1.4492224E+002,-5.3545808E+003
 1.4521230E+002,-5.4766939E+003
 1.4550095E+002,-5.6339804E+003
 1.4580215E+002,-5.7981030E+003
 1.4610312E+002,-5.9759735E+003
 1.4643765E+002,-6.1606715E+003
 1.4672440E+002,-6.3202944E+003
 1.4701114E+002,-6.4280057E+003
 1.4733046E+002,-6.5057081E+003
 1.4761179E+002,-6.5677836E+003
 1.4790958E+002,-6.6213628E+003
 1.4821855E+002,-6.6510863E+003
 1.4851341E+002,-6.6342470E+003
 1.4882068E+002,-6.5614880E+003
 1.4910547E+002,-6.4370241E+003
 1.4942159E+002,-6.3009525E+003
 1.4971512E+002,-6.1661196E+003
 1.5000662E+002,-6.0911668E+003
 1.5030714E+002,-6.0690543E+003
 1.5061723E+002,-6.0769615E+003
 1.5091476E+002,-6.0734901E+003
 1.5121890E+002,-6.0630020E+003
 1.5152991E+002,-6.0333277E+003
 1.5182938E+002,-6.0203506E+003
 1.5211826E+002,-5.9879485E+003
 1.5242149E+002,-5.9473442E+003
 1.5272475E+002,-5.9216115E+003
 1.5300070E+002,-5.9629999E+003
 1.5332860E+002,-6.0283520E+003
 1.5363130E+002,-6.0919411E+003
 1.5391989E+002,-6.1333996E+003
 1.5421292E+002,-6.1704493E+003
 1.5450595E+002,-6.1969387E+003
 1.5483560E+002,-6.1535763E+003
 1.5511603E+002,-6.0501744E+003
 1.5542589E+002,-5.9398019E+003
 1.5570477E+002,-5.8529793E+003
 1.5601463E+002,-5.8286061E+003
 1.5632852E+002,-5.8277162E+003
 1.5662848E+002,-5.8148856E+003
 1.5690747E+002,-5.7746627E+003
 1.5720721E+002,-5.6485520E+003
 1.5751407E+002,-5.4076016E+003
 1.5781975E+002,-5.0531986E+003
 1.5811069E+002,-4.6765678E+003
 1.5841014E+002,-4.3318143E+003
 1.5870523E+002,-4.0205651E+003
 1.5900032E+002,-3.8247199E+003
 1.5932001E+002,-3.7283440E+003
 1.5960771E+002,-3.6544347E+003
 1.5990527E+002,-3.5945625E+003
 1.6020282E+002,-3.5614037E+003
 1.6050578E+002,-3.5642382E+003
 1.6080333E+002,-3.6011535E+003
 1.6110088E+002,-3.6446249E+003
 1.6142522E+002,-3.6629658E+003
 1.6171979E+002,-3.6509089E+003
 1.6201614E+002,-3.6091356E+003
 1.6232956E+002,-3.5615238E+003
 1.6261955E+002,-3.5374351E+003
 1.6290216E+002,-3.5434240E+003
 1.6322546E+002,-3.5705061E+003
 1.6352638E+002,-3.6022145E+003
 1.6382730E+002,-3.6315652E+003
 1.6411693E+002,-3.6515531E+003
 1.6440657E+002,-3.6716155E+003
 1.6471263E+002,-3.6952709E+003
 1.6500374E+002,-3.7043238E+003
 1.6533122E+002,-3.7156103E+003
 1.6560777E+002,-3.7245253E+003
 1.6592798E+002,-3.7285796E+003
 1.6620816E+002,-3.7281484E+003
 1.6650035E+002,-3.7139043E+003
 1.6682738E+002,-3.6882760E+003
 1.6712918E+002,-3.6320243E+003
 1.6743100E+002,-3.5355459E+003
 1.6772920E+002,-3.4283659E+003
 1.6802472E+002,-3.3713921E+003
 1.6832024E+002,-3.3219471E+003
 1.6861574E+002,-3.2892316E+003
 1.6891125E+002,-3.2683047E+003
 1.6921681E+002,-3.2512317E+003
 1.6950287E+002,-3.2520629E+003
 1.6982468E+002,-3.2738862E+003
 1.7011073E+002,-3.2697685E+003
 1.7043256E+002,-3.2319086E+003
 1.7071861E+002,-3.1812803E+003
 1.7101921E+002,-3.1185143E+003
 1.7132156E+002,-3.0653126E+003
 1.7162392E+002,-3.0035957E+003
 1.7192627E+002,-2.9060821E+003
 1.7220114E+002,-2.8519736E+003
 1.7250652E+002,-2.8499940E+003
 1.7283244E+002,-2.8668850E+003
 1.7312512E+002,-2.8953572E+003
 1.7341780E+002,-2.9280825E+003
 1.7372876E+002,-2.9537765E+003
 1.7401047E+002,-2.9662484E+003
 1.7433241E+002,-2.9802121E+003
 1.7461411E+002,-2.9744405E+003
 1.7491592E+002,-2.9686567E+003
 1.7520454E+002,-2.9616938E+003
 1.7551616E+002,-2.9620976E+003
 1.7582779E+002,-2.9602450E+003
 1.7610045E+002,-2.9707327E+003
 1.7642377E+002,-2.9677291E+003
 1.7672369E+002,-2.9498838E+003
 1.7702364E+002,-2.9293615E+003
 1.7733334E+002,-2.9185696E+003
 1.7760403E+002,-2.9090985E+003
 1.7790178E+002,-2.8983356E+003
 1.7821939E+002,-2.8983589E+003
 1.7850514E+002,-2.9108451E+003
 1.7883171E+002,-2.9212357E+003
 1.7911748E+002,-2.9469963E+003
 1.7940323E+002,-2.9595405E+003
 1.7972980E+002,-2.9650150E+003
 1.8001555E+002,-2.9773655E+003
 1.8030130E+002,-2.9789991E+003
 1.8062787E+002,-2.9666071E+003
 1.8091362E+002,-2.9744432E+003
 1.8124020E+002,-2.9781192E+003
 1.8152596E+002,-2.9873126E+003
 1.8182803E+002,-2.9842189E+003
 1.8214236E+002,-2.9692740E+003
 1.8242737E+002,-2.9620439E+003
 1.8270793E+002,-2.9493779E+003
 1.8301656E+002,-2.9251938E+003
 1.8332516E+002,-2.9012093E+003
