s,kW,kW,kW,kW,kg/s,atm
 5.9411865E+001, 1.6161784E+002, 7.5823576E+001, 4.6906846E+001, 1.3097613E+002, 3.3840503E-003, 1.2154706E+000
 5.9712803E+001, 1.5934943E+002, 7.5391139E+001, 4.6890801E+001, 1.3042648E+002, 3.3840503E-003, 1.2146841E+000
 6.0013744E+001, 1.6262724E+002, 7.6644541E+001, 4.7006971E+001, 1.3164557E+002, 3.3840503E-003, 1.2140025E+000
 6.0314682E+001, 1.5893727E+002, 7.5786894E+001, 4.6972484E+001, 1.3159451E+002, 3.3840503E-003, 1.2131678E+000
 6.0615620E+001, 1.6181187E+002, 7.6679515E+001, 4.6790243E+001, 1.3194860E+002, 3.3840503E-003, 1.2124365E+000
 6.0900719E+001, 1.6487910E+002, 7.7717185E+001, 4.6740869E+001, 1.3255376E+002, 3.3840503E-003, 1.2118350E+000
 6.1201660E+001, 1.6137141E+002, 7.6568889E+001, 4.6664559E+001, 1.3333011E+002, 3.3840503E-003, 1.2110940E+000
 6.1502598E+001, 1.5547437E+002, 7.5313723E+001, 4.6719314E+001, 1.3232154E+002, 3.3840503E-003, 1.2100654E+000
 6.1803535E+001, 1.5879269E+002, 7.6387124E+001, 4.6654581E+001, 1.3256530E+002, 3.3840503E-003, 1.2091207E+000
 6.2104477E+001, 1.5972743E+002, 7.6520786E+001, 4.6309025E+001, 1.3326143E+002, 3.3840503E-003, 1.2082299E+000
 6.2405415E+001, 1.6122159E+002, 7.7161684E+001, 4.6118425E+001, 1.3370467E+002, 3.3840503E-003, 1.2073809E+000
 6.2705914E+001, 1.6101723E+002, 7.6902325E+001, 4.6202629E+001, 1.3425088E+002, 3.3840503E-003, 1.2065728E+000
 6.3004353E+001, 1.6087923E+002, 7.6833225E+001, 4.6202019E+001, 1.3420145E+002, 3.3840503E-003, 1.2057924E+000
 6.3314156E+001, 1.5778297E+002, 7.6275745E+001, 4.5576157E+001, 1.3312536E+002, 3.3840503E-003, 1.2048281E+000
 6.3611172E+001, 1.6201412E+002, 7.7650147E+001, 4.5229058E+001, 1.3349180E+002, 3.3840503E-003, 1.2040611E+000
 6.3908188E+001, 1.5931222E+002, 7.6546841E+001, 4.4980631E+001, 1.3361988E+002, 3.3840503E-003, 1.2032566E+000
 6.4205200E+001, 1.5580158E+002, 7.5692301E+001, 4.4751218E+001, 1.3224067E+002, 3.3840503E-003, 1.2023147E+000
 6.4502220E+001, 1.6125225E+002, 7.7550408E+001, 4.4692798E+001, 1.3290054E+002, 3.3840503E-003, 1.2015153E+000
 6.4814865E+001, 1.6185488E+002, 7.7677735E+001, 4.4760097E+001, 1.3441427E+002, 3.3840503E-003, 1.2007256E+000
 6.5111877E+001, 1.5955661E+002, 7.6901688E+001, 4.4701622E+001, 1.3388414E+002, 3.3840503E-003, 1.1999031E+000
 6.5408897E+001, 1.6189269E+002, 7.8042644E+001, 4.4694577E+001, 1.3428583E+002, 3.3840503E-003, 1.1991475E+000
 6.5705910E+001, 1.6182138E+002, 7.7728952E+001, 4.4691672E+001, 1.3493544E+002, 3.3840503E-003, 1.1984211E+000
 6.6002922E+001, 1.6011402E+002, 7.7656222E+001, 4.4661958E+001, 1.3385317E+002, 3.3840503E-003, 1.1976046E+000
 6.6315575E+001, 1.6228985E+002, 7.8163201E+001, 4.4742683E+001, 1.3496530E+002, 3.3840503E-003, 1.1968597E+000
 6.6612587E+001, 1.6257902E+002, 7.8581827E+001, 4.4572206E+001, 1.3520767E+002, 3.3840503E-003, 1.1961140E+000
 6.6913284E+001, 1.5643659E+002, 7.6978939E+001, 4.4660267E+001, 1.3515001E+002, 3.3840503E-003, 1.1951019E+000
 6.7202583E+001, 1.6095161E+002, 7.8302544E+001, 4.4505512E+001, 1.3606988E+002, 3.3840503E-003, 1.1942720E+000
 6.7508568E+001, 1.5866934E+002, 7.7751645E+001, 4.4369014E+001, 1.3578656E+002, 3.3840503E-003, 1.1932938E+000
 6.7814552E+001, 1.6024009E+002, 7.8102427E+001, 4.3935974E+001, 1.3620965E+002, 3.3840503E-003, 1.1924041E+000
 6.8105240E+001, 1.6071193E+002, 7.8492606E+001, 4.3681186E+001, 1.3612126E+002, 3.3840503E-003, 1.1915532E+000
 6.8411232E+001, 1.6261729E+002, 7.9027528E+001, 4.3480339E+001, 1.3694045E+002, 3.3840503E-003, 1.1907512E+000
 6.8701920E+001, 1.6080465E+002, 7.8616980E+001, 4.3284768E+001, 1.3665963E+002, 3.3840503E-003, 1.1899158E+000
 6.9007904E+001, 1.6042022E+002, 7.8515085E+001, 4.3355542E+001, 1.3665193E+002, 3.3840503E-003, 1.1890248E+000
 6.9313889E+001, 1.5934646E+002, 7.8148186E+001, 4.3209037E+001, 1.3660973E+002, 3.3840503E-003, 1.1881039E+000
 6.9604576E+001, 1.5869524E+002, 7.8047954E+001, 4.2983105E+001, 1.3616525E+002, 3.3840503E-003, 1.1871931E+000
 6.9910568E+001, 1.6111553E+002, 7.8937749E+001, 4.3057148E+001, 1.3685516E+002, 3.3840503E-003, 1.1863132E+000
 7.0201256E+001, 1.5676954E+002, 7.7473717E+001, 4.2870197E+001, 1.3648747E+002, 3.3840503E-003, 1.1853375E+000
 7.0507240E+001, 1.6145710E+002, 7.9003070E+001, 4.2758092E+001, 1.3695291E+002, 3.3840503E-003, 1.1844546E+000
 7.0813225E+001, 1.6455483E+002, 8.0015606E+001, 4.3044264E+001, 1.3800604E+002, 3.3840503E-003, 1.1836921E+000
 7.1103912E+001, 1.6298672E+002, 7.9081711E+001, 4.2910325E+001, 1.3904415E+002, 3.3840503E-003, 1.1830173E+000
 7.1409897E+001, 1.5408941E+002, 7.7135779E+001, 4.2720029E+001, 1.3644328E+002, 3.3840503E-003, 1.1818903E+000
 7.1700584E+001, 1.5882587E+002, 7.8726193E+001, 4.2536408E+001, 1.3585299E+002, 3.3840503E-003, 1.1809653E+000
 7.2006577E+001, 1.6398025E+002, 7.9956880E+001, 4.2280044E+001, 1.3786232E+002, 3.3840503E-003, 1.1802415E+000
 7.2312561E+001, 1.6027750E+002, 7.8992488E+001, 4.2146518E+001, 1.3800543E+002, 3.3840503E-003, 1.1793758E+000
 7.2603249E+001, 1.6120746E+002, 7.9473041E+001, 4.2234559E+001, 1.3777500E+002, 3.3840503E-003, 1.1785902E+000
 7.2909233E+001, 1.5969523E+002, 7.8967753E+001, 4.2029437E+001, 1.3745044E+002, 3.3840503E-003, 1.1777293E+000
 7.3215225E+001, 1.5628927E+002, 7.8272481E+001, 4.1680821E+001, 1.3661196E+002, 3.3840503E-003, 1.1767004E+000
 7.3505913E+001, 1.6293853E+002, 8.0059196E+001, 4.1540193E+001, 1.3784314E+002, 3.3840503E-003, 1.1759569E+000
 7.3811897E+001, 1.5751654E+002, 7.8531614E+001, 4.1340854E+001, 1.3812277E+002, 3.3840503E-003, 1.1749738E+000
 7.4102585E+001, 1.6185951E+002, 8.0147367E+001, 4.1285876E+001, 1.3841113E+002, 3.3840503E-003, 1.1741357E+000
 7.4408569E+001, 1.5864307E+002, 7.8945572E+001, 4.1145855E+001, 1.3904602E+002, 3.3840503E-003, 1.1731862E+000
 7.4714554E+001, 1.5971495E+002, 7.9362897E+001, 4.1040737E+001, 1.3827706E+002, 3.3840503E-003, 1.1722296E+000
 7.5005241E+001, 1.6708810E+002, 8.1518553E+001, 4.0938868E+001, 1.4025666E+002, 3.3840503E-003, 1.1715997E+000
 7.5311234E+001, 1.5815919E+002, 7.9102112E+001, 4.0783222E+001, 1.4008198E+002, 3.3840503E-003, 1.1706137E+000
 7.5601921E+001, 1.6149605E+002, 8.0351793E+001, 4.0784530E+001, 1.3956494E+002, 3.3840503E-003, 1.1697520E+000
 7.5907906E+001, 1.5699836E+002, 7.8590393E+001, 4.0379257E+001, 1.3977158E+002, 3.3840503E-003, 1.1687661E+000
 7.6213890E+001, 1.6496352E+002, 8.1608854E+001, 4.0378340E+001, 1.3956472E+002, 3.3840503E-003, 1.1679908E+000
 7.6504578E+001, 1.5799130E+002, 7.8722741E+001, 4.0199342E+001, 1.3989004E+002, 3.3840503E-003, 1.1671127E+000
 7.6810570E+001, 1.6022950E+002, 7.9949970E+001, 4.0191100E+001, 1.3876611E+002, 3.3840503E-003, 1.1662115E+000
 7.7113495E+001, 1.6233938E+002, 8.0626896E+001, 3.9985844E+001, 1.3959313E+002, 3.3840503E-003, 1.1654036E+000
 7.7409256E+001, 1.5775544E+002, 7.9215275E+001, 3.9813048E+001, 1.3954445E+002, 3.3840503E-003, 1.1644637E+000
 7.7702217E+001, 1.6038581E+002, 8.0491754E+001, 3.9438631E+001, 1.4009413E+002, 3.3840503E-003, 1.1635785E+000
 7.8009834E+001, 1.5958964E+002, 8.0248860E+001, 3.9392605E+001, 1.4025098E+002, 3.3840503E-003, 1.1626180E+000
 7.8313049E+001, 1.6563104E+002, 8.1912200E+001, 3.9516368E+001, 1.4133325E+002, 3.3840503E-003, 1.1619060E+000
 7.8603081E+001, 1.6162796E+002, 8.0749673E+001, 3.9325175E+001, 1.4143771E+002, 3.3840503E-003, 1.1611005E+000
 7.8909225E+001, 1.5538378E+002, 7.8988852E+001, 3.8854655E+001, 1.4031744E+002, 3.3840503E-003, 1.1600118E+000
 7.9203590E+001, 1.6127877E+002, 8.0990395E+001, 3.8988472E+001, 1.4003889E+002, 3.3840503E-003, 1.1591402E+000
 7.9506622E+001, 1.6388397E+002, 8.1417445E+001, 3.9107390E+001, 1.4156264E+002, 3.3840503E-003, 1.1584239E+000
 7.9806763E+001, 1.5285173E+002, 7.8359726E+001, 3.8888319E+001, 1.4011843E+002, 3.3840503E-003, 1.1573018E+000
 8.0104996E+001, 1.6260845E+002, 8.1520396E+001, 3.8954582E+001, 1.3984231E+002, 3.3840503E-003, 1.1565009E+000
 8.0401779E+001, 1.6037964E+002, 8.0564029E+001, 3.8652768E+001, 1.4065418E+002, 3.3840503E-003, 1.1556904E+000
 8.0714188E+001, 1.5867508E+002, 8.0234781E+001, 3.8455139E+001, 1.4042253E+002, 3.3840503E-003, 1.1547320E+000
 8.1010979E+001, 1.6117067E+002, 8.1073506E+001, 3.8326590E+001, 1.4044894E+002, 3.3840503E-003, 1.1538984E+000
 8.1307762E+001, 1.6136679E+002, 8.0836078E+001, 3.8107871E+001, 1.4142842E+002, 3.3840503E-003, 1.1531300E+000
 8.1604553E+001, 1.5858128E+002, 8.0437336E+001, 3.7899946E+001, 1.4068698E+002, 3.3840503E-003, 1.1522074E+000
 8.1901337E+001, 1.6062566E+002, 8.1074095E+001, 3.7789765E+001, 1.4127909E+002, 3.3840503E-003, 1.1513658E+000
 8.2208961E+001, 1.5631903E+002, 7.9750120E+001, 3.7631848E+001, 1.4097137E+002, 3.3840503E-003, 1.1503326E+000
 8.2502609E+001, 1.6276883E+002, 8.1812267E+001, 3.7682739E+001, 1.4163592E+002, 3.3840503E-003, 1.1495208E+000
 8.2804642E+001, 1.6402880E+002, 8.1719965E+001, 3.7703454E+001, 1.4276651E+002, 3.3840503E-003, 1.1487823E+000
 8.3112267E+001, 1.6505773E+002, 8.2443493E+001, 3.7658538E+001, 1.4311021E+002, 3.3840503E-003, 1.1480700E+000
 8.3404510E+001, 1.5628405E+002, 7.9847247E+001, 3.7387496E+001, 1.4217022E+002, 3.3840503E-003, 1.1471060E+000
 8.3712135E+001, 1.5754639E+002, 8.0581306E+001, 3.7303289E+001, 1.4148145E+002, 3.3840503E-003, 1.1460910E+000
 8.4004379E+001, 1.6170223E+002, 8.1913223E+001, 3.7075274E+001, 1.4192128E+002, 3.3840503E-003, 1.1452619E+000
 8.4312004E+001, 1.5961297E+002, 8.0854030E+001, 3.6848422E+001, 1.4261914E+002, 3.3840503E-003, 1.1443753E+000
 8.4604248E+001, 1.6133639E+002, 8.1939411E+001, 3.6881836E+001, 1.4264884E+002, 3.3840503E-003, 1.1435194E+000
 8.4911873E+001, 1.6171493E+002, 8.1853650E+001, 3.6719486E+001, 1.4353930E+002, 3.3840503E-003, 1.1426808E+000
 8.5204117E+001, 1.6016475E+002, 8.1343367E+001, 3.6538817E+001, 1.4322450E+002, 3.3840503E-003, 1.1418250E+000
 8.5511749E+001, 1.5991211E+002, 8.1440540E+001, 3.6462424E+001, 1.4265168E+002, 3.3840503E-003, 1.1408961E+000
 8.5803993E+001, 1.6275363E+002, 8.2122238E+001, 3.6340591E+001, 1.4300539E+002, 3.3840503E-003, 1.1401397E+000
 8.6111618E+001, 1.6005329E+002, 8.1582673E+001, 3.6071883E+001, 1.4316324E+002, 3.3840503E-003, 1.1392239E+000
 8.6403862E+001, 1.6150114E+002, 8.2231134E+001, 3.6019864E+001, 1.4390832E+002, 3.3840503E-003, 1.1383800E+000
 8.6706833E+001, 1.6294542E+002, 8.2933792E+001, 3.5936608E+001, 1.4469103E+002, 3.3840503E-003, 1.1375593E+000
 8.7011086E+001, 1.5667154E+002, 8.1081685E+001, 3.5609047E+001, 1.4437607E+002, 3.3840503E-003, 1.1365114E+000
 8.7301506E+001, 1.5708863E+002, 8.1361485E+001, 3.5344230E+001, 1.4321251E+002, 3.3840503E-003, 1.1354952E+000
 8.7605759E+001, 1.6184484E+002, 8.2458108E+001, 3.5065073E+001, 1.4409554E+002, 3.3840503E-003, 1.1346649E+000
 8.7914162E+001, 1.6108570E+002, 8.2220937E+001, 3.5202774E+001, 1.4365717E+002, 3.3840503E-003, 1.1338118E+000
 8.8203201E+001, 1.6082003E+002, 8.1861836E+001, 3.5311186E+001, 1.4352597E+002, 3.3840503E-003, 1.1330502E+000
 8.8507454E+001, 1.5884519E+002, 8.1335924E+001, 3.5176175E+001, 1.4294285E+002, 3.3840503E-003, 1.1321846E+000
 8.8809769E+001, 1.5806602E+002, 8.1456965E+001, 3.4973260E+001, 1.4291446E+002, 3.3840503E-003, 1.1312454E+000
 8.9110146E+001, 1.5825892E+002, 8.1437437E+001, 3.4680530E+001, 1.4353155E+002, 3.3840503E-003, 1.1303191E+000
 8.9413261E+001, 1.6277820E+002, 8.3014800E+001, 3.4605157E+001, 1.4405761E+002, 3.3840503E-003, 1.1295062E+000
 8.9713638E+001, 1.6199279E+002, 8.2363254E+001, 3.4367633E+001, 1.4500353E+002, 3.3840503E-003, 1.1287436E+000
 9.0014015E+001, 1.5932312E+002, 8.2038636E+001, 3.4296737E+001, 1.4430688E+002, 3.3840503E-003, 1.1278506E+000
 9.0314400E+001, 1.6303582E+002, 8.2850733E+001, 3.4110560E+001, 1.4491926E+002, 3.3840503E-003, 1.1271194E+000
 9.0614777E+001, 1.5717302E+002, 8.1278813E+001, 3.3761839E+001, 1.4443493E+002, 3.3840503E-003, 1.1261592E+000
 9.0900139E+001, 1.5866905E+002, 8.1762060E+001, 3.3729848E+001, 1.4403235E+002, 3.3840503E-003, 1.1252879E+000
 9.1200516E+001, 1.6304857E+002, 8.2892704E+001, 3.3787931E+001, 1.4427735E+002, 3.3840503E-003, 1.1245473E+000
 9.1500893E+001, 1.6037376E+002, 8.1944303E+001, 3.3568422E+001, 1.4487337E+002, 3.3840503E-003, 1.1237653E+000
 9.1801277E+001, 1.6192688E+002, 8.2994267E+001, 3.3684590E+001, 1.4401717E+002, 3.3840503E-003, 1.1229555E+000
 9.2101654E+001, 1.5966961E+002, 8.2029322E+001, 3.3514535E+001, 1.4543584E+002, 3.3840503E-003, 1.1221574E+000
 9.2402031E+001, 1.5910799E+002, 8.2784449E+001, 3.3395036E+001, 1.4478624E+002, 3.3840503E-003, 1.1212026E+000
 9.2702415E+001, 1.6269384E+002, 8.3182273E+001, 3.3339862E+001, 1.4602943E+002, 3.3840503E-003, 1.1204495E+000
 9.3002792E+001, 1.6019163E+002, 8.2543654E+001, 3.3055256E+001, 1.4551326E+002, 3.3840503E-003, 1.1196314E+000
 9.3303169E+001, 1.5837372E+002, 8.2236495E+001, 3.2964283E+001, 1.4445867E+002, 3.3840503E-003, 1.1187394E+000
 9.3603554E+001, 1.6522272E+002, 8.4102398E+001, 3.2929344E+001, 1.4548107E+002, 3.3840503E-003, 1.1180880E+000
 9.3903931E+001, 1.5825134E+002, 8.1891140E+001, 3.2719668E+001, 1.4578829E+002, 3.3840503E-003, 1.1172440E+000
 9.4204308E+001, 1.5614393E+002, 8.1685114E+001, 3.2360749E+001, 1.4443937E+002, 3.3840503E-003, 1.1162543E+000
 9.4504692E+001, 1.6029766E+002, 8.2836911E+001, 3.2214301E+001, 1.4498044E+002, 3.3840503E-003, 1.1154138E+000
 9.4805069E+001, 1.6445383E+002, 8.3891363E+001, 3.2301850E+001, 1.4617402E+002, 3.3840503E-003, 1.1147486E+000
 9.5105446E+001, 1.6045944E+002, 8.2887510E+001, 3.1996203E+001, 1.4618482E+002, 3.3840503E-003, 1.1139297E+000
 9.5405830E+001, 1.5993341E+002, 8.2897663E+001, 3.1733566E+001, 1.4618819E+002, 3.3840503E-003, 1.1130739E+000
 9.5706207E+001, 1.5938679E+002, 8.2854480E+001, 3.1732174E+001, 1.4603642E+002, 3.3840503E-003, 1.1121892E+000
 9.6006584E+001, 1.6091443E+002, 8.3256596E+001, 3.1664807E+001, 1.4621302E+002, 3.3840503E-003, 1.1113776E+000
 9.6306969E+001, 1.6243593E+002, 8.3516200E+001, 3.1557286E+001, 1.4652056E+002, 3.3840503E-003, 1.1106509E+000
 9.6607346E+001, 1.6159208E+002, 8.3578152E+001, 3.1533457E+001, 1.4673848E+002, 3.3840503E-003, 1.1098840E+000
 9.6907722E+001, 1.6082671E+002, 8.3453525E+001, 3.1340378E+001, 1.4694896E+002, 3.3840503E-003, 1.1090865E+000
 9.7208107E+001, 1.6206579E+002, 8.3783379E+001, 3.1221089E+001, 1.4726265E+002, 3.3840503E-003, 1.1083416E+000
 9.7508484E+001, 1.6039943E+002, 8.3524309E+001, 3.0944700E+001, 1.4715502E+002, 3.3840503E-003, 1.1075323E+000
 9.7802856E+001, 1.5986198E+002, 8.3355415E+001, 3.0648710E+001, 1.4691189E+002, 3.3840503E-003, 1.1067493E+000
 9.8100227E+001, 1.5976977E+002, 8.3730076E+001, 3.0616346E+001, 1.4624971E+002, 3.3840503E-003, 1.1059276E+000
 9.8402481E+001, 1.6212935E+002, 8.4145820E+001, 3.0522470E+001, 1.4662489E+002, 3.3840503E-003, 1.1052320E+000
 9.8704071E+001, 1.5593173E+002, 8.2477893E+001, 3.0090405E+001, 1.4620848E+002, 3.3840503E-003, 1.1042881E+000
 9.9011002E+001, 1.6098193E+002, 8.4309473E+001, 3.0178346E+001, 1.4632305E+002, 3.3840503E-003, 1.1034664E+000
 9.9315155E+001, 1.5966359E+002, 8.3434665E+001, 3.0005246E+001, 1.4727637E+002, 3.3840503E-003, 1.1026720E+000
 9.9611305E+001, 1.6790749E+002, 8.6149083E+001, 3.0276510E+001, 1.4685531E+002, 3.3840503E-003, 1.1021696E+000
 9.9901848E+001, 1.6617943E+002, 8.4834889E+001, 3.0183770E+001, 1.4764938E+002, 3.3840503E-003, 1.1017673E+000
 1.0020561E+002, 1.5840485E+002, 8.2794158E+001, 3.0012447E+001, 1.4558294E+002, 3.3840503E-003, 1.1010939E+000
 1.0050005E+002, 1.5316079E+002, 8.1570712E+001, 2.9380428E+001, 1.4344214E+002, 3.3840503E-003, 1.1002863E+000
 1.0081182E+002, 1.5880154E+002, 8.4290036E+001, 2.9101841E+001, 1.4215338E+002, 3.3840503E-003, 1.0995072E+000
 1.0110626E+002, 1.6662042E+002, 8.5653834E+001, 2.9078907E+001, 1.4476664E+002, 3.3840503E-003, 1.0991782E+000
 1.0140936E+002, 1.5924746E+002, 8.3270066E+001, 2.9197562E+001, 1.4534688E+002, 3.3840503E-003, 1.0985439E+000
 1.0171449E+002, 1.5559424E+002, 8.2554175E+001, 2.8938604E+001, 1.4485258E+002, 3.3840503E-003, 1.0977711E+000
 1.0200296E+002, 1.6021058E+002, 8.4664782E+001, 2.8899046E+001, 1.4377030E+002, 3.3840503E-003, 1.0970856E+000
 1.0230839E+002, 1.6794454E+002, 8.6625312E+001, 2.8903136E+001, 1.4715882E+002, 3.3840503E-003, 1.0966928E+000
 1.0261382E+002, 1.5931745E+002, 8.4004934E+001, 2.9144256E+001, 1.4691253E+002, 3.3840503E-003, 1.0959716E+000
 1.0290228E+002, 1.5708612E+002, 8.3387483E+001, 2.8986229E+001, 1.4678899E+002, 3.3840503E-003, 1.0952108E+000
 1.0320940E+002, 1.6055014E+002, 8.4730772E+001, 2.8818663E+001, 1.4656313E+002, 3.3840503E-003, 1.0944773E+000
 1.0350804E+002, 1.5705071E+002, 8.3361940E+001, 2.8695601E+001, 1.4654434E+002, 3.3840503E-003, 1.0936749E+000
 1.0381221E+002, 1.6092460E+002, 8.5103227E+001, 2.8343042E+001, 1.4559034E+002, 3.3840503E-003, 1.0929598E+000
 1.0411012E+002, 1.6086612E+002, 8.4445603E+001, 2.8017776E+001, 1.4716087E+002, 3.3840503E-003, 1.0923329E+000
 1.0440746E+002, 1.5406243E+002, 8.2818949E+001, 2.7738447E+001, 1.4652626E+002, 3.3840503E-003, 1.0914074E+000
 1.0471467E+002, 1.6552986E+002, 8.6351747E+001, 2.7585328E+001, 1.4745546E+002, 3.3840503E-003, 1.0908696E+000
 1.0500832E+002, 1.6262389E+002, 8.4683040E+001, 2.7390489E+001, 1.4721659E+002, 3.3840503E-003, 1.0902827E+000
 1.0531487E+002, 1.5644957E+002, 8.2828080E+001, 2.7025522E+001, 1.4695600E+002, 3.3840503E-003, 1.0895043E+000
 1.0561497E+002, 1.6188816E+002, 8.5508442E+001, 2.7277079E+001, 1.4700463E+002, 3.3840503E-003, 1.0888008E+000
 1.0591669E+002, 1.6282553E+002, 8.5356510E+001, 2.7638700E+001, 1.4877158E+002, 3.3840503E-003, 1.0881750E+000
 1.0620067E+002, 1.6135435E+002, 8.4389082E+001, 2.7653213E+001, 1.4834336E+002, 3.3840503E-003, 1.0875805E+000
 1.0651338E+002, 1.5804341E+002, 8.3904751E+001, 2.7195131E+001, 1.4642831E+002, 3.3840503E-003, 1.0867844E+000
 1.0680258E+002, 1.6449936E+002, 8.5840556E+001, 2.6928523E+001, 1.4768958E+002, 3.3840503E-003, 1.0862689E+000
 1.0710033E+002, 1.5353124E+002, 8.2189693E+001, 2.6865460E+001, 1.4832986E+002, 3.3840503E-003, 1.0853469E+000
 1.0741375E+002, 1.5873996E+002, 8.4768730E+001, 2.7011197E+001, 1.4735890E+002, 3.3840503E-003, 1.0844558E+000
 1.0770829E+002, 1.6474332E+002, 8.6303005E+001, 2.6816663E+001, 1.4918575E+002, 3.3840503E-003, 1.0838363E+000
 1.0800102E+002, 1.6400209E+002, 8.5550375E+001, 2.6752325E+001, 1.5036086E+002, 3.3840503E-003, 1.0832870E+000
 1.0830769E+002, 1.5925851E+002, 8.4557971E+001, 2.6537794E+001, 1.4955037E+002, 3.3840503E-003, 1.0824965E+000
 1.0861169E+002, 1.5844867E+002, 8.4422723E+001, 2.6374587E+001, 1.4853963E+002, 3.3840503E-003, 1.0816797E+000
 1.0890919E+002, 1.5922963E+002, 8.4573994E+001, 2.6161243E+001, 1.4873421E+002, 3.3840503E-003, 1.0809109E+000
 1.0920670E+002, 1.6059204E+002, 8.5381412E+001, 2.5951681E+001, 1.4947268E+002, 3.3840503E-003, 1.0801623E+000
 1.0950421E+002, 1.5849345E+002, 8.4818991E+001, 2.5941951E+001, 1.5050336E+002, 3.3840503E-003, 1.0793134E+000
 1.0980172E+002, 1.6267721E+002, 8.6003040E+001, 2.5958684E+001, 1.5042424E+002, 3.3840503E-003, 1.0786110E+000
 1.1011411E+002, 1.5904448E+002, 8.4765039E+001, 2.5553683E+001, 1.5019618E+002, 3.3840503E-003, 1.0778020E+000
 1.1040120E+002, 1.6132035E+002, 8.5099611E+001, 2.5384050E+001, 1.4937600E+002, 3.3840503E-003, 1.0771712E+000
 1.1070293E+002, 1.6039005E+002, 8.4835097E+001, 2.5301161E+001, 1.4863252E+002, 3.3840503E-003, 1.0765076E+000
 1.1100810E+002, 1.6092898E+002, 8.5352948E+001, 2.5177215E+001, 1.4895946E+002, 3.3840503E-003, 1.0758410E+000
 1.1131326E+002, 1.5993978E+002, 8.5298239E+001, 2.4817055E+001, 1.4933287E+002, 3.3840503E-003, 1.0750917E+000
 1.1160390E+002, 1.6310304E+002, 8.6268044E+001, 2.4751835E+001, 1.5060183E+002, 3.3840503E-003, 1.0744922E+000
 1.1190906E+002, 1.6211705E+002, 8.6133206E+001, 2.4702063E+001, 1.5126628E+002, 3.3840503E-003, 1.0738073E+000
 1.1221422E+002, 1.6286982E+002, 8.6462056E+001, 2.4543060E+001, 1.5205622E+002, 3.3840503E-003, 1.0731766E+000
 1.1250195E+002, 1.6084990E+002, 8.5876827E+001, 2.4438006E+001, 1.5088628E+002, 3.3840503E-003, 1.0724882E+000
 1.1280566E+002, 1.6359100E+002, 8.6582750E+001, 2.4355097E+001, 1.5042804E+002, 3.3840503E-003, 1.0719442E+000
 1.1310937E+002, 1.5461628E+002, 8.4345367E+001, 2.3631337E+001, 1.4984633E+002, 3.3840503E-003, 1.0710612E+000
 1.1341308E+002, 1.6108847E+002, 8.7141575E+001, 2.3978321E+001, 1.5125121E+002, 3.3840503E-003, 1.0703142E+000
 1.1370080E+002, 1.7160905E+002, 9.0085826E+001, 2.4130541E+001, 1.5248777E+002, 3.3840503E-003, 1.0700623E+000
 1.1400691E+002, 1.4695889E+002, 8.1485216E+001, 2.4076401E+001, 1.4981847E+002, 3.3840503E-003, 1.0690185E+000
 1.1430340E+002, 1.6005840E+002, 8.5933571E+001, 2.3880603E+001, 1.4659377E+002, 3.3840503E-003, 1.0684395E+000
 1.1460910E+002, 1.6328221E+002, 8.6661379E+001, 2.3382164E+001, 1.4663214E+002, 3.3840503E-003, 1.0679917E+000
 1.1490191E+002, 1.6777100E+002, 8.7903889E+001, 2.3507142E+001, 1.4882285E+002, 3.3840503E-003, 1.0677809E+000
 1.1521103E+002, 1.5447097E+002, 8.4525104E+001, 2.3040797E+001, 1.4952916E+002, 3.3840503E-003, 1.0670400E+000
 1.1550815E+002, 1.5612174E+002, 8.6201314E+001, 2.2907366E+001, 1.4812656E+002, 3.3840503E-003, 1.0662090E+000
 1.1580199E+002, 1.6831775E+002, 8.9009341E+001, 2.3306122E+001, 1.4978482E+002, 3.3840503E-003, 1.0659124E+000
 1.1610886E+002, 1.5983286E+002, 8.6061758E+001, 2.2831717E+001, 1.4918856E+002, 3.3840503E-003, 1.0653759E+000
 1.1640491E+002, 1.6045446E+002, 8.6138691E+001, 2.2359842E+001, 1.4920252E+002, 3.3840503E-003, 1.0649064E+000
 1.1670073E+002, 1.5974591E+002, 8.6354600E+001, 2.2582532E+001, 1.4918801E+002, 3.3840503E-003, 1.0643025E+000
 1.1701658E+002, 1.6016327E+002, 8.6779746E+001, 2.2517797E+001, 1.5019971E+002, 3.3840503E-003, 1.0637056E+000
 1.1730195E+002, 1.5321787E+002, 8.5224294E+001, 2.2092552E+001, 1.4957516E+002, 3.3840503E-003, 1.0628905E+000
 1.1760339E+002, 1.6268215E+002, 8.7949815E+001, 2.2288978E+001, 1.4950392E+002, 3.3840503E-003, 1.0624022E+000
 1.1791487E+002, 1.6117806E+002, 8.6336761E+001, 2.1885313E+001, 1.4886068E+002, 3.3840503E-003, 1.0619803E+000
 1.1820961E+002, 1.5903223E+002, 8.6386993E+001, 2.1756091E+001, 1.4802288E+002, 3.3840503E-003, 1.0614466E+000
 1.1851909E+002, 1.6179308E+002, 8.6763071E+001, 2.1501583E+001, 1.4933258E+002, 3.3840503E-003, 1.0609865E+000
 1.1881482E+002, 1.6133164E+002, 8.6288975E+001, 2.1594808E+001, 1.4887765E+002, 3.3840503E-003, 1.0605955E+000
