s,kg,kg
 1.3955908E+002, 1.4954836E+002, 2.3179392E+000
 1.3980252E+002, 1.4955292E+002, 2.3224903E+000
 1.4010683E+002, 1.4955747E+002, 2.3270455E+000
 1.4041113E+002, 1.4956254E+002, 2.3321344E+000
 1.4071544E+002, 1.4956760E+002, 2.3372084E+000
 1.4101973E+002, 1.4957266E+002, 2.3422774E+000
 1.4132404E+002, 1.4957773E+002, 2.3473582E+000
 1.4162834E+002, 1.4958279E+002, 2.3524256E+000
 1.4193265E+002, 1.4958784E+002, 2.3574639E+000
 1.4223694E+002, 1.4959290E+002, 2.3625339E+000
 1.4254124E+002, 1.4959798E+002, 2.3676542E+000
 1.4284555E+002, 1.4960305E+002, 2.3727416E+000
 1.4314986E+002, 1.4960811E+002, 2.3778083E+000
 1.4345416E+002, 1.4961317E+002, 2.3828797E+000
 1.4375845E+002, 1.4961822E+002, 2.3879460E+000
 1.4400191E+002, 1.4962278E+002, 2.3924979E+000
 1.4430620E+002, 1.4962733E+002, 2.3970612E+000
 1.4461050E+002, 1.4963241E+002, 2.4021578E+000
 1.4491481E+002, 1.4963747E+002, 2.4072216E+000
 1.4521912E+002, 1.4964252E+002, 2.4122809E+000
 1.4552342E+002, 1.4964759E+002, 2.4173645E+000
 1.4582771E+002, 1.4965265E+002, 2.4224392E+000
 1.4613202E+002, 1.4965771E+002, 2.4274820E+000
 1.4643633E+002, 1.4966276E+002, 2.4325461E+000
 1.4674063E+002, 1.4966784E+002, 2.4376584E+000
 1.4704492E+002, 1.4967291E+002, 2.4427484E+000
 1.4734923E+002, 1.4967797E+002, 2.4478195E+000
 1.4765353E+002, 1.4968303E+002, 2.4528926E+000
 1.4795784E+002, 1.4968809E+002, 2.4579597E+000
 1.4820128E+002, 1.4969264E+002, 2.4625108E+000
 1.4850558E+002, 1.4969720E+002, 2.4670658E+000
 1.4880989E+002, 1.4970227E+002, 2.4721581E+000
 1.4911418E+002, 1.4970733E+002, 2.4772279E+000
 1.4941849E+002, 1.4971238E+002, 2.4822895E+000
 1.4972279E+002, 1.4971745E+002, 2.4873732E+000
 1.5002710E+002, 1.4972251E+002, 2.4924495E+000
 1.5033139E+002, 1.4972757E+002, 2.4974904E+000
 1.5063570E+002, 1.4973263E+002, 2.5025495E+000
 1.5094000E+002, 1.4973770E+002, 2.5076659E+000
 1.5124431E+002, 1.4974277E+002, 2.5127575E+000
 1.5154861E+002, 1.4974783E+002, 2.5178243E+000
 1.5185291E+002, 1.4975289E+002, 2.5228962E+000
 1.5215721E+002, 1.4975795E+002, 2.5279665E+000
 1.5240065E+002, 1.4976251E+002, 2.5325214E+000
 1.5270496E+002, 1.4976706E+002, 2.5370760E+000
 1.5300926E+002, 1.4977213E+002, 2.5421616E+000
 1.5331357E+002, 1.4977719E+002, 2.5472340E+000
 1.5361787E+002, 1.4978225E+002, 2.5522966E+000
 1.5392216E+002, 1.4978731E+002, 2.5573790E+000
 1.5422647E+002, 1.4979238E+002, 2.5624554E+000
 1.5453078E+002, 1.4979743E+002, 2.5674997E+000
 1.5483508E+002, 1.4980249E+002, 2.5725559E+000
 1.5513937E+002, 1.4980756E+002, 2.5776653E+000
 1.5544368E+002, 1.4981264E+002, 2.5827639E+000
 1.5574799E+002, 1.4981770E+002, 2.5878376E+000
 1.5605229E+002, 1.4982276E+002, 2.5929049E+000
 1.5635660E+002, 1.4982782E+002, 2.5979656E+000
 1.5660004E+002, 1.4983237E+002, 2.6025128E+000
 1.5690434E+002, 1.4983692E+002, 2.6070691E+000
 1.5720863E+002, 1.4984199E+002, 2.6121698E+000
 1.5751294E+002, 1.4984706E+002, 2.6172532E+000
 1.5781725E+002, 1.4985212E+002, 2.6223079E+000
 1.5812155E+002, 1.4985718E+002, 2.6273781E+000
 1.5842584E+002, 1.4986224E+002, 2.6324523E+000
 1.5873015E+002, 1.4986730E+002, 2.6375042E+000
 1.5903445E+002, 1.4987236E+002, 2.6425697E+000
 1.5933876E+002, 1.4987743E+002, 2.6476776E+000
 1.5964307E+002, 1.4988250E+002, 2.6527734E+000
 1.5994736E+002, 1.4988756E+002, 2.6578409E+000
 1.6025166E+002, 1.4989262E+002, 2.6629042E+000
 1.6055597E+002, 1.4989768E+002, 2.6679677E+000
 1.6086028E+002, 1.4990274E+002, 2.6730284E+000
 1.6110371E+002, 1.4990730E+002, 2.6775910E+000
 1.6140802E+002, 1.4991186E+002, 2.6821721E+000
 1.6171233E+002, 1.4991693E+002, 2.6872505E+000
 1.6201662E+002, 1.4992199E+002, 2.6923140E+000
 1.6232092E+002, 1.4992705E+002, 2.6973861E+000
 1.6262523E+002, 1.4993211E+002, 2.7024556E+000
 1.6292953E+002, 1.4993717E+002, 2.7075023E+000
 1.6323383E+002, 1.4994223E+002, 2.7125648E+000
 1.6353813E+002, 1.4994730E+002, 2.7176830E+000
 1.6384244E+002, 1.4995238E+002, 2.7227917E+000
 1.6414674E+002, 1.4995744E+002, 2.7278576E+000
 1.6445105E+002, 1.4996249E+002, 2.7329073E+000
 1.6475534E+002, 1.4996755E+002, 2.7379622E+000
 1.6505965E+002, 1.4997261E+002, 2.7430315E+000
 1.6530309E+002, 1.4997717E+002, 2.7476112E+000
 1.6560739E+002, 1.4998174E+002, 2.7521968E+000
 1.6591170E+002, 1.4998680E+002, 2.7572631E+000
 1.6621600E+002, 1.4999186E+002, 2.7623143E+000
 1.6652029E+002, 1.4999692E+002, 2.7673858E+000
 1.6682460E+002, 1.5000198E+002, 2.7724586E+000
 1.6712891E+002, 1.5000704E+002, 2.7775092E+000
 1.6743321E+002, 1.5001210E+002, 2.7825787E+000
 1.6773752E+002, 1.5001718E+002, 2.7876919E+000
 1.6804181E+002, 1.5002225E+002, 2.7927962E+000
 1.6834612E+002, 1.5002731E+002, 2.7978665E+000
 1.6865042E+002, 1.5003237E+002, 2.8029172E+000
 1.6895473E+002, 1.5003742E+002, 2.8079656E+000
 1.6925902E+002, 1.5004248E+002, 2.8130256E+000
 1.6950247E+002, 1.5004704E+002, 2.8176008E+000
 1.6980678E+002, 1.5005161E+002, 2.8221967E+000
 1.7011107E+002, 1.5005668E+002, 2.8272772E+000
 1.7041537E+002, 1.5006173E+002, 2.8323252E+000
 1.7071968E+002, 1.5006679E+002, 2.8373878E+000
 1.7102399E+002, 1.5007185E+002, 2.8424593E+000
 1.7132828E+002, 1.5007691E+002, 2.8475179E+000
 1.7163258E+002, 1.5008198E+002, 2.8525930E+000
 1.7193689E+002, 1.5008705E+002, 2.8577052E+000
 1.7224120E+002, 1.5009213E+002, 2.8628063E+000
 1.7254550E+002, 1.5009719E+002, 2.8678728E+000
 1.7284979E+002, 1.5010224E+002, 2.8729173E+000
 1.7315410E+002, 1.5010729E+002, 2.8779613E+000
 1.7345840E+002, 1.5011235E+002, 2.8830217E+000
 1.7370184E+002, 1.5011692E+002, 2.8876068E+000
 1.7400615E+002, 1.5012149E+002, 2.8922093E+000
 1.7431046E+002, 1.5012655E+002, 2.8972812E+000
 1.7461475E+002, 1.5013161E+002, 2.9023285E+000
 1.7491905E+002, 1.5013667E+002, 2.9073945E+000
 1.7522336E+002, 1.5014173E+002, 2.9124598E+000
 1.7552766E+002, 1.5014679E+002, 2.9175107E+000
 1.7583197E+002, 1.5015185E+002, 2.9225991E+000
 1.7613626E+002, 1.5015693E+002, 2.9277165E+000
 1.7644057E+002, 1.5016200E+002, 2.9328116E+000
 1.7674487E+002, 1.5016706E+002, 2.9378719E+000
 1.7704918E+002, 1.5017212E+002, 2.9429196E+000
 1.7735347E+002, 1.5017717E+002, 2.9479673E+000
 1.7765778E+002, 1.5018223E+002, 2.9530271E+000
 1.7790123E+002, 1.5018679E+002, 2.9576095E+000
 1.7820552E+002, 1.5019136E+002, 2.9622122E+000
 1.7850983E+002, 1.5019643E+002, 2.9672903E+000
 1.7881413E+002, 1.5020149E+002, 2.9723445E+000
 1.7911844E+002, 1.5020655E+002, 2.9774067E+000
 1.7942273E+002, 1.5021161E+002, 2.9824633E+000
 1.7972704E+002, 1.5021666E+002, 2.9875108E+000
 1.8003134E+002, 1.5022173E+002, 2.9926009E+000
 1.8033565E+002, 1.5022656E+002, 2.9973902E+000
 1.8063995E+002, 1.5023011E+002, 3.0007961E+000
 1.8094424E+002, 1.5023213E+002, 3.0026413E+000
 1.8124855E+002, 1.5023269E+002, 3.0030756E+000
 1.8155286E+002, 1.5023270E+002, 3.0030758E+000
 1.8181456E+002, 1.5023270E+002, 3.0030758E+000
 1.8212386E+002, 1.5023270E+002, 3.0030758E+000
 1.8240007E+002, 1.5023270E+002, 3.0030758E+000
 1.8275696E+002, 1.5023270E+002, 3.0030758E+000
 1.8303091E+002, 1.5023270E+002, 3.0030758E+000
 1.8336243E+002, 1.5023270E+002, 3.0030758E+000
 1.8372757E+002, 1.5023270E+002, 3.0030758E+000
 1.8391014E+002, 1.5023270E+002, 3.0030758E+000
 1.8427528E+002, 1.5023270E+002, 3.0030758E+000
 1.8464044E+002, 1.5023270E+002, 3.0030758E+000
 1.8482301E+002, 1.5023270E+002, 3.0030758E+000
 1.8518816E+002, 1.5023270E+002, 3.0030758E+000
 1.8555331E+002, 1.5023270E+002, 3.0030758E+000
 1.8573589E+002, 1.5023270E+002, 3.0030758E+000
 1.8610103E+002, 1.5023270E+002, 3.0030758E+000
 1.8646619E+002, 1.5023270E+002, 3.0030758E+000
 1.8664876E+002, 1.5023270E+002, 3.0030758E+000
 1.8701390E+002, 1.5023270E+002, 3.0030758E+000
 1.8737906E+002, 1.5023270E+002, 3.0030758E+000
 1.8756163E+002, 1.5023270E+002, 3.0030758E+000
 1.8792677E+002, 1.5023270E+002, 3.0030758E+000
 1.8810934E+002, 1.5023270E+002, 3.0030758E+000
 1.8847450E+002, 1.5023270E+002, 3.0030758E+000
 1.8883965E+002, 1.5023270E+002, 3.0030758E+000
 1.8902222E+002, 1.5023270E+002, 3.0030758E+000
 1.8938737E+002, 1.5023270E+002, 3.0030758E+000
 1.8975252E+002, 1.5023270E+002, 3.0030758E+000
 1.8993509E+002, 1.5023270E+002, 3.0030758E+000
 1.9030023E+002, 1.5023270E+002, 3.0030758E+000
 1.9066539E+002, 1.5023270E+002, 3.0030758E+000
 1.9084796E+002, 1.5023270E+002, 3.0030758E+000
 1.9121310E+002, 1.5023270E+002, 3.0030758E+000
 1.9157826E+002, 1.5023270E+002, 3.0030758E+000
 1.9176083E+002, 1.5023270E+002, 3.0030758E+000
 1.9212598E+002, 1.5023270E+002, 3.0030758E+000
 1.9230855E+002, 1.5023270E+002, 3.0030758E+000
 1.9267371E+002, 1.5023270E+002, 3.0030758E+000
 1.9303885E+002, 1.5023270E+002, 3.0030758E+000
 1.9322142E+002, 1.5023270E+002, 3.0030758E+000
 1.9358658E+002, 1.5023270E+002, 3.0030758E+000
 1.9395172E+002, 1.5023270E+002, 3.0030758E+000
 1.9413429E+002, 1.5023270E+002, 3.0030758E+000
 1.9449945E+002, 1.5023270E+002, 3.0030758E+000
 1.9486459E+002, 1.5023270E+002, 3.0030758E+000
 1.9504716E+002, 1.5023270E+002, 3.0030758E+000
 1.9541232E+002, 1.5023270E+002, 3.0030758E+000
 1.9577747E+002, 1.5023270E+002, 3.0030758E+000
 1.9596004E+002, 1.5023270E+002, 3.0030758E+000
 1.9632518E+002, 1.5023270E+002, 3.0030758E+000
 1.9650777E+002, 1.5023270E+002, 3.0030758E+000
 1.9687291E+002, 1.5023270E+002, 3.0030758E+000
 1.9723805E+002, 1.5023270E+002, 3.0030758E+000
 1.9742064E+002, 1.5023270E+002, 3.0030758E+000
 1.9778578E+002, 1.5023270E+002, 3.0030758E+000
 1.9815092E+002, 1.5023270E+002, 3.0030758E+000
 1.9833350E+002, 1.5023270E+002, 3.0030758E+000
 1.9869865E+002, 1.5023270E+002, 3.0030758E+000
 1.9906380E+002, 1.5023270E+002, 3.0030758E+000
 1.9924637E+002, 1.5023270E+002, 3.0030758E+000
 1.9961153E+002, 1.5023270E+002, 3.0030758E+000
 1.9997667E+002, 1.5023270E+002, 3.0030758E+000
 2.0015924E+002, 1.5023270E+002, 3.0030758E+000
 2.0052440E+002, 1.5023270E+002, 3.0030758E+000
 2.0070697E+002, 1.5023270E+002, 3.0030758E+000
 2.0107211E+002, 1.5023270E+002, 3.0030758E+000
 2.0143727E+002, 1.5023270E+002, 3.0030758E+000
 2.0161984E+002, 1.5023270E+002, 3.0030758E+000
 2.0198499E+002, 1.5023270E+002, 3.0030758E+000
 2.0235013E+002, 1.5023270E+002, 3.0030758E+000
 2.0253271E+002, 1.5023270E+002, 3.0030758E+000
 2.0289786E+002, 1.5023270E+002, 3.0030758E+000
 2.0326300E+002, 1.5023270E+002, 3.0030758E+000
 2.0344559E+002, 1.5023270E+002, 3.0030758E+000
 2.0381073E+002, 1.5023270E+002, 3.0030758E+000
 2.0417587E+002, 1.5023270E+002, 3.0030758E+000
 2.0435844E+002, 1.5023270E+002, 3.0030758E+000
 2.0472360E+002, 1.5023270E+002, 3.0030758E+000
 2.0490617E+002, 1.5023270E+002, 3.0030758E+000
 2.0527132E+002, 1.5023270E+002, 3.0030758E+000
 2.0563647E+002, 1.5023270E+002, 3.0030758E+000
 2.0581905E+002, 1.5023270E+002, 3.0030758E+000
 2.0618419E+002, 1.5023270E+002, 3.0030758E+000
 2.0654935E+002, 1.5023270E+002, 3.0030758E+000
 2.0673192E+002, 1.5023270E+002, 3.0030758E+000
 2.0709706E+002, 1.5023270E+002, 3.0030758E+000
 2.0746222E+002, 1.5023270E+002, 3.0030758E+000
 2.0764479E+002, 1.5023270E+002, 3.0030758E+000
 2.0800993E+002, 1.5023270E+002, 3.0030758E+000
 2.0837508E+002, 1.5023270E+002, 3.0030758E+000
 2.0855766E+002, 1.5023270E+002, 3.0030758E+000
 2.0892281E+002, 1.5023270E+002, 3.0030758E+000
 2.0910538E+002, 1.5023270E+002, 3.0030758E+000
 2.0947054E+002, 1.5023270E+002, 3.0030758E+000
 2.0983568E+002, 1.5023270E+002, 3.0030758E+000
 2.1001825E+002, 1.5023270E+002, 3.0030758E+000
 2.1038339E+002, 1.5023270E+002, 3.0030758E+000
 2.1074855E+002, 1.5023270E+002, 3.0030758E+000
 2.1093112E+002, 1.5023270E+002, 3.0030758E+000
 2.1129626E+002, 1.5023270E+002, 3.0030758E+000
 2.1166142E+002, 1.5023270E+002, 3.0030758E+000
 2.1184399E+002, 1.5023270E+002, 3.0030758E+000
 2.1220914E+002, 1.5023270E+002, 3.0030758E+000
 2.1257430E+002, 1.5023270E+002, 3.0030758E+000
 2.1275687E+002, 1.5023270E+002, 3.0030758E+000
 2.1312201E+002, 1.5023270E+002, 3.0030758E+000
 2.1330458E+002, 1.5023270E+002, 3.0030758E+000
 2.1366974E+002, 1.5023270E+002, 3.0030758E+000
 2.1403488E+002, 1.5023270E+002, 3.0030758E+000
 2.1421745E+002, 1.5023270E+002, 3.0030758E+000
 2.1458261E+002, 1.5023270E+002, 3.0030758E+000
 2.1494775E+002, 1.5023270E+002, 3.0030758E+000
 2.1513033E+002, 1.5023270E+002, 3.0030758E+000
 2.1549548E+002, 1.5023270E+002, 3.0030758E+000
 2.1586063E+002, 1.5023270E+002, 3.0030758E+000
 2.1604320E+002, 1.5023270E+002, 3.0030758E+000
 2.1640834E+002, 1.5023270E+002, 3.0030758E+000
 2.1677350E+002, 1.5023270E+002, 3.0030758E+000
 2.1695607E+002, 1.5023270E+002, 3.0030758E+000
 2.1732121E+002, 1.5023270E+002, 3.0030758E+000
 2.1750380E+002, 1.5023270E+002, 3.0030758E+000
 2.1786894E+002, 1.5023270E+002, 3.0030758E+000
 2.1823409E+002, 1.5023270E+002, 3.0030758E+000
 2.1841666E+002, 1.5023270E+002, 3.0030758E+000
 2.1878181E+002, 1.5023270E+002, 3.0030758E+000
 2.1914696E+002, 1.5023270E+002, 3.0030758E+000
 2.1932953E+002, 1.5023270E+002, 3.0030758E+000
 2.1969469E+002, 1.5023270E+002, 3.0030758E+000
 2.2005983E+002, 1.5023270E+002, 3.0030758E+000
 2.2024240E+002, 1.5023270E+002, 3.0030758E+000
 2.2060756E+002, 1.5023270E+002, 3.0030758E+000
 2.2097270E+002, 1.5023270E+002, 3.0030758E+000
 2.2115527E+002, 1.5023270E+002, 3.0030758E+000
 2.2152043E+002, 1.5023270E+002, 3.0030758E+000
 2.2170300E+002, 1.5023270E+002, 3.0030758E+000
 2.2206815E+002, 1.5023270E+002, 3.0030758E+000
 2.2243329E+002, 1.5023270E+002, 3.0030758E+000
 2.2261588E+002, 1.5023270E+002, 3.0030758E+000
 2.2298102E+002, 1.5023270E+002, 3.0030758E+000
 2.2334616E+002, 1.5023270E+002, 3.0030758E+000
 2.2352875E+002, 1.5023270E+002, 3.0030758E+000
 2.2389389E+002, 1.5023270E+002, 3.0030758E+000
 2.2425903E+002, 1.5023270E+002, 3.0030758E+000
 2.2444160E+002, 1.5023270E+002, 3.0030758E+000
 2.2480676E+002, 1.5023270E+002, 3.0030758E+000
 2.2517191E+002, 1.5023270E+002, 3.0030758E+000
 2.2535448E+002, 1.5023270E+002, 3.0030758E+000
 2.2571964E+002, 1.5023270E+002, 3.0030758E+000
 2.2590221E+002, 1.5023270E+002, 3.0030758E+000
 2.2626735E+002, 1.5023270E+002, 3.0030758E+000
 2.2663251E+002, 1.5023270E+002, 3.0030758E+000
 2.2681508E+002, 1.5023270E+002, 3.0030758E+000
 2.2718022E+002, 1.5023270E+002, 3.0030758E+000
 2.2754538E+002, 1.5023270E+002, 3.0030758E+000
 2.2772795E+002, 1.5023270E+002, 3.0030758E+000
 2.2809309E+002, 1.5023270E+002, 3.0030758E+000
 2.2845824E+002, 1.5023270E+002, 3.0030758E+000
 2.2864082E+002, 1.5023270E+002, 3.0030758E+000
 2.2900597E+002, 1.5023270E+002, 3.0030758E+000
 2.2937111E+002, 1.5023270E+002, 3.0030758E+000
 2.2955370E+002, 1.5023270E+002, 3.0030758E+000
 2.2991884E+002, 1.5023270E+002, 3.0030758E+000
 2.3010141E+002, 1.5023270E+002, 3.0030758E+000
 2.3046655E+002, 1.5023270E+002, 3.0030758E+000
 2.3083171E+002, 1.5023270E+002, 3.0030758E+000
 2.3101428E+002, 1.5023270E+002, 3.0030758E+000
 2.3137943E+002, 1.5023270E+002, 3.0030758E+000
 2.3174458E+002, 1.5023270E+002, 3.0030758E+000
 2.3192715E+002, 1.5023270E+002, 3.0030758E+000
 2.3229230E+002, 1.5023270E+002, 3.0030758E+000
 2.3265746E+002, 1.5023270E+002, 3.0030758E+000
 2.3284003E+002, 1.5023270E+002, 3.0030758E+000
 2.3320517E+002, 1.5023270E+002, 3.0030758E+000
 2.3357033E+002, 1.5023270E+002, 3.0030758E+000
 2.3375290E+002, 1.5023270E+002, 3.0030758E+000
 2.3411804E+002, 1.5023270E+002, 3.0030758E+000
 2.3430061E+002, 1.5023270E+002, 3.0030758E+000
 2.3466577E+002, 1.5023270E+002, 3.0030758E+000
 2.3503091E+002, 1.5023270E+002, 3.0030758E+000
 2.3521349E+002, 1.5023270E+002, 3.0030758E+000
 2.3557864E+002, 1.5023270E+002, 3.0030758E+000
 2.3594379E+002, 1.5023270E+002, 3.0030758E+000
 2.3612636E+002, 1.5023270E+002, 3.0030758E+000
 2.3649150E+002, 1.5023270E+002, 3.0030758E+000
 2.3685666E+002, 1.5023270E+002, 3.0030758E+000
 2.3703923E+002, 1.5023270E+002, 3.0030758E+000
 2.3740437E+002, 1.5023270E+002, 3.0030758E+000
 2.3776953E+002, 1.5023270E+002, 3.0030758E+000
 2.3795210E+002, 1.5023270E+002, 3.0030758E+000
 2.3831725E+002, 1.5023270E+002, 3.0030758E+000
 2.3868240E+002, 1.5023270E+002, 3.0030758E+000
 2.3886497E+002, 1.5023270E+002, 3.0030758E+000
 2.3923012E+002, 1.5023270E+002, 3.0030758E+000
 2.3941269E+002, 1.5023270E+002, 3.0030758E+000
 2.3977785E+002, 1.5023270E+002, 3.0030758E+000
 2.4014299E+002, 1.5023270E+002, 3.0030758E+000
 2.4032556E+002, 1.5023270E+002, 3.0030758E+000
 2.4069072E+002, 1.5023270E+002, 3.0030758E+000
 2.4105586E+002, 1.5023270E+002, 3.0030758E+000
 2.4123843E+002, 1.5023270E+002, 3.0030758E+000
 2.4160359E+002, 1.5023270E+002, 3.0030758E+000
 2.4196873E+002, 1.5023270E+002, 3.0030758E+000
 2.4215131E+002, 1.5023270E+002, 3.0030758E+000
 2.4251645E+002, 1.5023270E+002, 3.0030758E+000
 2.4288161E+002, 1.5023270E+002, 3.0030758E+000
 2.4306418E+002, 1.5023270E+002, 3.0030758E+000
 2.4342932E+002, 1.5023270E+002, 3.0030758E+000
 2.4361191E+002, 1.5023270E+002, 3.0030758E+000
 2.4397705E+002, 1.5023270E+002, 3.0030758E+000
 2.4434219E+002, 1.5023270E+002, 3.0030758E+000
 2.4452477E+002, 1.5023270E+002, 3.0030758E+000
 2.4488992E+002, 1.5023270E+002, 3.0030758E+000
 2.4525507E+002, 1.5023270E+002, 3.0030758E+000
 2.4543764E+002, 1.5023270E+002, 3.0030758E+000
 2.4580280E+002, 1.5023270E+002, 3.0030758E+000
 2.4616794E+002, 1.5023270E+002, 3.0030758E+000
 2.4635051E+002, 1.5023270E+002, 3.0030758E+000
 2.4671567E+002, 1.5023270E+002, 3.0030758E+000
 2.4708081E+002, 1.5023270E+002, 3.0030758E+000
 2.4726338E+002, 1.5023270E+002, 3.0030758E+000
 2.4762854E+002, 1.5023270E+002, 3.0030758E+000
 2.4781111E+002, 1.5023270E+002, 3.0030758E+000
 2.4817625E+002, 1.5023270E+002, 3.0030758E+000
 2.4854140E+002, 1.5023270E+002, 3.0030758E+000
 2.4872398E+002, 1.5023270E+002, 3.0030758E+000
 2.4908913E+002, 1.5023270E+002, 3.0030758E+000
 2.4945427E+002, 1.5023270E+002, 3.0030758E+000
 2.4963686E+002, 1.5023270E+002, 3.0030758E+000
 2.5000200E+002, 1.5023270E+002, 3.0030758E+000
 2.5036714E+002, 1.5023270E+002, 3.0030758E+000
 2.5054971E+002, 1.5023270E+002, 3.0030758E+000
 2.5091487E+002, 1.5023270E+002, 3.0030758E+000
 2.5128001E+002, 1.5023270E+002, 3.0030758E+000
 2.5146259E+002, 1.5023270E+002, 3.0030758E+000
 2.5182774E+002, 1.5023270E+002, 3.0030758E+000
 2.5201031E+002, 1.5023270E+002, 3.0030758E+000
 2.5237546E+002, 1.5023270E+002, 3.0030758E+000
 2.5274062E+002, 1.5023270E+002, 3.0030758E+000
 2.5292319E+002, 1.5023270E+002, 3.0030758E+000
 2.5328833E+002, 1.5023270E+002, 3.0030758E+000
 2.5365349E+002, 1.5023270E+002, 3.0030758E+000
 2.5383606E+002, 1.5023270E+002, 3.0030758E+000
 2.5420120E+002, 1.5023270E+002, 3.0030758E+000
 2.5456635E+002, 1.5023270E+002, 3.0030758E+000
 2.5474893E+002, 1.5023270E+002, 3.0030758E+000
 2.5511407E+002, 1.5023270E+002, 3.0030758E+000
 2.5547922E+002, 1.5023270E+002, 3.0030758E+000
 2.5566180E+002, 1.5023270E+002, 3.0030758E+000
 2.5602695E+002, 1.5023270E+002, 3.0030758E+000
 2.5620953E+002, 1.5023270E+002, 3.0030758E+000
 2.5657468E+002, 1.5023270E+002, 3.0030758E+000
 2.5693982E+002, 1.5023270E+002, 3.0030758E+000
 2.5712238E+002, 1.5023270E+002, 3.0030758E+000
 2.5748755E+002, 1.5023270E+002, 3.0030758E+000
 2.5785269E+002, 1.5023270E+002, 3.0030758E+000
 2.5803525E+002, 1.5023270E+002, 3.0030758E+000
 2.5840042E+002, 1.5023270E+002, 3.0030758E+000
 2.5876556E+002, 1.5023270E+002, 3.0030758E+000
 2.5894812E+002, 1.5023270E+002, 3.0030758E+000
 2.5931329E+002, 1.5023270E+002, 3.0030758E+000
 2.5967844E+002, 1.5023270E+002, 3.0030758E+000
 2.5986099E+002, 1.5023270E+002, 3.0030758E+000
 2.6022617E+002, 1.5023270E+002, 3.0030758E+000
 2.6040872E+002, 1.5023270E+002, 3.0030758E+000
 2.6077386E+002, 1.5023270E+002, 3.0030758E+000
 2.6113901E+002, 1.5023270E+002, 3.0030758E+000
 2.6132159E+002, 1.5023270E+002, 3.0030758E+000
 2.6168674E+002, 1.5023270E+002, 3.0030758E+000
 2.6205188E+002, 1.5023270E+002, 3.0030758E+000
 2.6223447E+002, 1.5023270E+002, 3.0030758E+000
 2.6259961E+002, 1.5023270E+002, 3.0030758E+000
 2.6296475E+002, 1.5023270E+002, 3.0030758E+000
 2.6314734E+002, 1.5023270E+002, 3.0030758E+000
 2.6351248E+002, 1.5023270E+002, 3.0030758E+000
 2.6387762E+002, 1.5023270E+002, 3.0030758E+000
 2.6406021E+002, 1.5023270E+002, 3.0030758E+000
 2.6442535E+002, 1.5023270E+002, 3.0030758E+000
 2.6460794E+002, 1.5023270E+002, 3.0030758E+000
 2.6497308E+002, 1.5023270E+002, 3.0030758E+000
 2.6533823E+002, 1.5023270E+002, 3.0030758E+000
 2.6552081E+002, 1.5023270E+002, 3.0030758E+000
 2.6588596E+002, 1.5023270E+002, 3.0030758E+000
 2.6625110E+002, 1.5023270E+002, 3.0030758E+000
 2.6643369E+002, 1.5023270E+002, 3.0030758E+000
 2.6679883E+002, 1.5023270E+002, 3.0030758E+000
 2.6716397E+002, 1.5023270E+002, 3.0030758E+000
 2.6734656E+002, 1.5023270E+002, 3.0030758E+000
 2.6771170E+002, 1.5023270E+002, 3.0030758E+000
 2.6807684E+002, 1.5023270E+002, 3.0030758E+000
 2.6825943E+002, 1.5023270E+002, 3.0030758E+000
 2.6862457E+002, 1.5023270E+002, 3.0030758E+000
 2.6880713E+002, 1.5023270E+002, 3.0030758E+000
 2.6917227E+002, 1.5023270E+002, 3.0030758E+000
 2.6953745E+002, 1.5023270E+002, 3.0030758E+000
 2.6972000E+002, 1.5023270E+002, 3.0030758E+000
 2.7008514E+002, 1.5023270E+002, 3.0030758E+000
 2.7045032E+002, 1.5023270E+002, 3.0030758E+000
 2.7063287E+002, 1.5023270E+002, 3.0030758E+000
 2.7099802E+002, 1.5023270E+002, 3.0030758E+000
 2.7136319E+002, 1.5023270E+002, 3.0030758E+000
 2.7154575E+002, 1.5023270E+002, 3.0030758E+000
 2.7191089E+002, 1.5023270E+002, 3.0030758E+000
 2.7227606E+002, 1.5023270E+002, 3.0030758E+000
 2.7245862E+002, 1.5023270E+002, 3.0030758E+000
 2.7282376E+002, 1.5023270E+002, 3.0030758E+000
 2.7300635E+002, 1.5023270E+002, 3.0030758E+000
 2.7337149E+002, 1.5023270E+002, 3.0030758E+000
 2.7373663E+002, 1.5023270E+002, 3.0030758E+000
 2.7391922E+002, 1.5023270E+002, 3.0030758E+000
 2.7428436E+002, 1.5023270E+002, 3.0030758E+000
 2.7464951E+002, 1.5023270E+002, 3.0030758E+000
 2.7483209E+002, 1.5023270E+002, 3.0030758E+000
 2.7519724E+002, 1.5023270E+002, 3.0030758E+000
 2.7556238E+002, 1.5023270E+002, 3.0030758E+000
 2.7574496E+002, 1.5023270E+002, 3.0030758E+000
 2.7611011E+002, 1.5023270E+002, 3.0030758E+000
 2.7647525E+002, 1.5023270E+002, 3.0030758E+000
 2.7665784E+002, 1.5023270E+002, 3.0030758E+000
 2.7702298E+002, 1.5023270E+002, 3.0030758E+000
 2.7720554E+002, 1.5023270E+002, 3.0030758E+000
 2.7757071E+002, 1.5023270E+002, 3.0030758E+000
 2.7793585E+002, 1.5023270E+002, 3.0030758E+000
 2.7811841E+002, 1.5023270E+002, 3.0030758E+000
 2.7848358E+002, 1.5023270E+002, 3.0030758E+000
 2.7884872E+002, 1.5023270E+002, 3.0030758E+000
 2.7903128E+002, 1.5023270E+002, 3.0030758E+000
